Full_Name	Symbol	map
Adrenocortical_Carcinoma	ACC	5c6edf68a1c8500f77207c1c793d7ecc09ced793&
Bladder_Urothelial_Carcinoma	BLCA	9b248ed8b1fa6cc473701e4bb0188767ecd80463&
Breast_Invasive_Carcinoma	BRCA	c2d249ce625b4caaa1a23e7aef074022d51e3c90&
Cervical_Squamous_Cell_Carcinoma_and_Endocervical_Adenocarcinoma	CESC	b33fb5e1f486560bf243b5773833062d3a62d108&
Cholangiocarcinoma	CHOL	c5417394b0d1b42e81b1f466a381a3a08e31be55&
Colon_Adenocarcinoma	COAD	38c551ffa8f3c38611392499e422133f5c85cd6b&
Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma	DLBC	16732053dac1d3a4d34f56be0445a39a8498338f&
Esophageal_Carcinoma	ESCA	98f760f3b96b229c5f3f109f8ce20ed87aa4e92f&
Glioblastoma_Multiforme	GBM	4a975eb28b236d37ceb8459fd2a7d36a73af69c8&
Head_and_Neck_Squamous_Cell_Carcinoma	HNSC	61ad9eaf34f8d6d0633c552fa03d1e8984892f58&
Kidney_Chromophobe	KICH	eda3dd6316a9b4ec8877fb03e29cf278b44b0bf3&
Kidney_Renal_Clear_Cell_Carcinoma	KIRC	c0d8447fcc76bef6630b985d5d4223a45327af0b&
Kidney_Renal_Papillary_Cell_Carcinoma	KIRP	590515bb7eda3746a3ddb14978b2261250acb146&
Acute_Myeloid_Leukemia_Marrow	LAML	9c8e25dd025389844f2cc2cd2e2e8919145ea8c7&
Brain_Lower_Grade_Glioma	LGG	6754e12b93093e6f48ae04085df6e2bdf46fe34f&
Liver_Hepatocellular_Carcinoma	LIHC	dd1304348672508bb62ed40f3202afda336b97fc&
Lung_Adenocarcinoma	LUAD	6f80d16e39975eb8d45649326ee8baa9a2d7685b&
Lung_Squamous_Cell_Carcinoma	LUSC	34a1015827b22cc628f8690d2ced658329331fee&
Mesothelioma	MESO	c4811c7a41d6922242af894ab3500b440ab30449&
Ovarian_Serous_Cystadenocarcinoma	OV	656d5a7721ef105b7b9d7db1ce0f670570c6fa54&
Pancreatic_Adenocarcinoma	PAAD	879a7bf8cb08529bc9fd4e6868c198a96b77acb5&
Pheochromocytoma_and_Paraganglioma	PCPG	af094109646db5a36a0f43bc2973c5e9a1f462cb&
Prostate_Adenocarcinoma	PRAD	d45598869f3a0dda295e0fb5d7f6078523d6c2e1&
Rectum_Adenocarcinoma	READ	0765d2da0870e12a0e3c56c6e5dc539020f7ae1d&
Sarcoma	SARC	f72834aa203c22f123d371c9657ae69e3e76c5f7&
Skin_Cutaneous_Melanoma_metastatic	SKCM	74f3dc7de673ce53908c9c61bb5e53d695c42ce5&
Stomach_Adenocarcinoma	STAD	39c6904ed2b2d12b73af632c20c72bae94751f8e&
Testicular_Germ_Cell_Tumors	TGCT	fd24dd6fd5f6054a0d44b85fe38ff0382a541b6b&
Thyroid_Carcinoma	THCA	73b9a43ade541d66c8c249d639c8c89c229ddd52&
Thymoma	THYM	6ab705a55be70b6ad61bb236f2674271b649f3bc&
Uterine_Corpus_Endometrial_Carcinoma	UCEC	589576c8b07ef825161f98576444db1bc69749d0&
Uterine_Carcinosarcoma	UCS	8f904d4ede375a4215cb5a800af5d04178ed3cf6&
Uveal_Melanoma	UVM	a7b350ab57c4972e4a589c4eb7a8150edcc04ccf&
