Sample,X,Y,Z,Cluster
TARGET-20-PADYIR-09A,35.8293381753134,-18.598067656801,2.24162182620774,1
TARGET-20-PAEERJ-09A,28.9659893340725,-11.5734643216881,-4.43434288728016,1
TARGET-20-PAEFGR-09A,33.8901042474426,-18.8829358345037,-1.70163936365016,1
TARGET-20-PAEIKD-09A,38.9927659804369,-26.1756703343919,-1.08264919363466,1
TARGET-20-PAKERZ-09A,39.7272947139532,-21.6406497824032,-1.13699884136819,1
TARGET-20-PAKIWK-09A,39.2770059911483,-19.6682449727081,-2.92652928851681,1
TARGET-20-PAKLPD-09A,37.5466128718759,-11.1291221614332,-1.02666513946966,1
TARGET-20-PAKVGI-09A,41.5454320546643,-21.8472385160732,-1.31417225541719,1
TARGET-20-PAMVKZ-09A,28.8086642229906,-11.6719314099714,-3.32399140636616,1
TARGET-20-PAMYAS-09A,37.8463389757504,-26.3326799578677,2.25878975611912,1
TARGET-20-PAMYGX-09A,39.5448787332599,-18.3969132620107,-5.99277594173055,1
TARGET-20-PANAEV-09A,38.8922160410925,-13.4496637987131,-2.76169954377517,1
TARGET-20-PANDIX-09A,31.2031135618918,-14.8523916599249,-4.47903076352353,1
TARGET-20-PANFMG-09A,43.1463886109093,-19.3647349622559,-2.90665590883744,1
TARGET-20-PANGTF-09A,39.6233457660681,-19.0489396394996,-1.64522397815884,1
TARGET-20-PANHYK-09A,36.2454118671312,-23.9182053706058,-1.50734351267107,1
TARGET-20-PANINI-09A,34.1482251108193,-20.9438796890134,-2.75918412077105,1
TARGET-20-PANLLX-09A,38.2347998592205,-17.7724357033179,-0.519335429364899,1
TARGET-20-PANLXM-09A,39.798745523871,-19.7365051698469,0.380677337729486,1
TARGET-20-PANNHB-09A,37.7566980773293,-25.0016564095848,1.81869582905419,1
TARGET-20-PANPKN-09A,34.8212158293849,-14.5281124485372,-2.21806384557569,1
TARGET-20-PANSBH-09A,37.8151866606032,-19.6567820278689,0.627351809812815,1
TARGET-20-PANZKA-09A,41.6036804354448,-22.9560577437709,-2.60976242855428,1
TARGET-20-PAPBEJ-09A,40.5422744718993,-22.8183903104976,-3.3218759403109,1
TARGET-20-PAPVCN-09A,36.4269108320693,-15.9718058592004,2.58879127481663,1
TARGET-20-PAPWIU-09A,36.3274343052535,-14.1995190282644,-1.73473027763953,1
TARGET-20-PAPXRJ-09A,34.6257503858986,-21.5457124972336,0.0338499671223485,1
TARGET-20-PARANT-09A,36.8436863636051,-14.5095977230655,-0.123324760802558,1
TARGET-20-PARCZL-09A,34.9059241144766,-20.3283839113186,-2.69481633133015,1
TARGET-20-PARDDY-09A,40.2666099670299,-25.3259930228373,-4.11872055072608,1
TARGET-20-PARENB-09A,32.3493544979135,-14.8525223920363,-4.24809300204914,1
TARGET-20-PARFAL-09A,34.8741179852994,-19.6385083208691,-0.82222359955461,1
TARGET-20-PARHVK-09A,32.2532208501261,-23.3674012987046,-0.83621177423539,1
TARGET-20-PARJCR-09A,36.3690790208348,-13.1648989942847,-0.111955226539462,1
TARGET-20-PARPDS-09A,32.3102191809058,-13.4431143435054,-4.42209529520864,1
TARGET-20-PARUTH-09A,33.8323367458112,-15.0359018387427,-0.790380225808623,1
TARGET-20-PARXBT-09A,28.9004523422675,-13.4275581545899,-3.96256434113844,1
TARGET-20-PARXMP-09A,40.479680633409,-22.4196626134249,-1.3222550206674,1
TARGET-20-PARYGA-09A,38.377807475395,-19.6066117069479,-1.53769909632294,1
TARGET-20-PARYVW-09A,36.0117242223102,-18.0439334901655,0.890459069970359,1
TARGET-20-PARZWH-09A,32.2739646463063,-14.7676628224237,-6.01638203020289,1
TARGET-20-PASBHI-09A,37.5532037985621,-21.4181229276159,-3.20739940783875,1
