Sample,X,Y,Z,Cluster
TARGET-20-PADYIR-09A,-9.29311275600962,-20.2065393400938,56.1887162532118,1
TARGET-20-PAEERJ-09A,-9.73633024316271,-20.6501380323434,55.9774483078187,1
TARGET-20-PAEFGR-09A,-4.77662920492087,-11.9606777212932,60.4732791472433,1
TARGET-20-PAEIKD-09A,-10.2906047340284,-20.9424171668376,56.1411048111981,1
TARGET-20-PAKIWK-09A,-8.88782293952098,-19.6737748789484,56.579988631668,1
TARGET-20-PAKLPD-09A,-5.60669943183005,-10.3967595790721,62.3081163529734,1
TARGET-20-PAMYAS-09A,-9.84526770395756,-14.3013063691562,63.1297969843477,1
TARGET-20-PAMYGX-09A,-10.7884486783862,-21.0265632749411,56.5581822104493,1
TARGET-20-PANBZH-09A,-6.18159849686675,-11.3965563147023,62.1895790222761,1
TARGET-20-PANFMG-09A,-9.032181527103,-17.0572253138467,60.0994426439063,1
TARGET-20-PANGJY-09A,-10.6787315651674,-13.0940204014488,65.6039856587799,1
TARGET-20-PANGTF-09A,-10.2324455946458,-12.5839115062836,65.4610424661171,1
TARGET-20-PANHYK-09A,-3.81503732186298,-13.7801752379209,58.0003206096661,1
TARGET-20-PANINI-09A,-9.02560983646002,-13.2318158239585,63.2022282386054,1
TARGET-20-PANKFZ-09A,-6.60380855464424,-11.52335249163,62.4740621901866,1
TARGET-20-PANKNB-09A,-10.7472653540183,-13.1243792587506,65.6342160371481,1
TARGET-20-PANLKB-09A,-8.81110840090012,-12.5325147707512,63.6092244525179,1
TARGET-20-PANNHB-09A,-4.11439471067267,-13.6619351248651,58.4973885277024,1
TARGET-20-PANPKN-09A,-6.16420308054814,-10.4026321024026,62.7567422406483,1
TARGET-20-PANSBH-09A,-9.02571892099331,-17.1139713690811,60.0271325883153,1
TARGET-20-PANZKA-09A,-11.5778934177797,-19.3325468791577,59.9041058685454,1
TARGET-20-PAPVCN-09A,-8.11794956690182,-14.1272047509496,62.097791386224,1
TARGET-20-PAPWHS-09A,-6.43910517041168,-11.3983769179642,62.4090184043638,1
TARGET-20-PAPWIU-09A,-3.0290932706208,-16.5079436590457,58.6209788106901,1
TARGET-20-PAPXRJ-09A,-3.99547393020623,-14.6754312494013,56.1293068135809,1
TARGET-20-PARAJX-09A,-10.7886354652398,-15.5883119606473,63.0286144419267,1
TARGET-20-PARBRA-09A,-11.6334326176472,-14.2240454911204,65.6245510639727,1
TARGET-20-PARCZL-09A,-8.93559653717909,-12.802121061113,63.5208189419533,1
TARGET-20-PARENB-09A,-1.44247896730096,-15.9804855088122,57.0700611301115,1
TARGET-20-PARFAL-09A,-11.5058927803585,-20.5838691612962,58.0317438637496,1
TARGET-20-PARHVK-09A,-11.6388479612413,-20.4008800866309,58.4467304513493,1
TARGET-20-PARPDS-09A,-9.55349070541304,-18.7198884207714,58.8295446062523,1
TARGET-20-PARUTH-09A,-6.43913979646389,-9.57386340776689,63.4591951782629,1
TARGET-20-PARUUB-09A,-3.16241691382274,-14.6994901279922,54.7411663429352,1
TARGET-20-PARYVW-09A,-4.88171183047247,-15.2825690025929,58.1807988153774,1
TARGET-20-PARZUU-09A,-2.84321942350325,-14.8918808647189,55.1005735451377,1
TARGET-20-PARZWH-09A,-4.47102399143747,-15.3161882922446,57.9491270813007,1
TARGET-20-PASBHI-09A,-9.13477793445265,-12.4284464299023,62.7856076870377,1
TARGET-20-PASBPK-09A,-10.8025439065867,-15.5650565343374,63.0392178253609,1
TARGET-20-PASFEW-09A,-9.37358310995517,-18.7084056272483,58.6548531012175,1
TARGET-20-PASGWH-09A,-4.78609362865634,-10.6471054977771,61.3821119742941,1
TARGET-20-PASHBI-09A,-4.3097332667719,-14.1334972605788,58.3723985105097,1
TARGET-20-PASHYZ-09A,-8.92024501778871,-13.3327701023744,63.0269256462214,1
TARGET-20-PASMGW-09A,-2.86728907561433,-16.5142436447176,58.5626560241085,1
TARGET-20-PASPKE-09A,-7.85889107276861,-14.6426896501691,61.5718312400846,1
TARGET-20-PASSSI-09A,-1.10727666323295,-16.2003947576404,57.0441404630029,1
TARGET-20-PASTTW-09A,-4.06497666053581,-14.6877655656246,56.8060755024403,1
TARGET-20-PASVVS-09A,-4.31645147583104,-12.3043075901676,59.7885761703982,1
TARGET-20-PASVYA-09A,-3.40413869809049,-14.5802258325079,54.6323417790829,1
TARGET-20-PASWPD-09A,-3.21961363877127,-14.6346042795779,54.5493553755435,1
TARGET-20-PASWPT-09A,-3.72530068587571,-13.6667106027793,58.4640496972327,1
TARGET-20-PATDHA-09A,-11.7310258052683,-19.4074788923386,59.9361775713875,1
TARGET-20-PATIAK-09A,-6.34496794465018,-10.0326837027366,63.1345191753949,1
TARGET-20-PADZCG-09A,5.88134666417331,14.987739622121,-48.9421340515333,2
TARGET-20-PAEAKL-09A,7.19509798894602,5.38561626261446,-46.0334372474732,2
TARGET-20-PAECCE-09A,2.84907684245878,17.1193856903382,-50.5287812308267,2
TARGET-20-PAKERZ-09A,1.98431314924452,17.4161130517332,-52.3028954756521,2
TARGET-20-PAKIYW-09A,4.39283558243067,16.1742293194163,-46.8996176309233,2
TARGET-20-PAKTCX-09A,4.88268125835458,15.2310551789537,-47.4871526045558,2
TARGET-20-PAKVGI-09A,7.56189159444636,10.3802147309016,-51.3145435283053,2
TARGET-20-PALGKX-09A,5.69670910538431,14.8738518105821,-49.2569837459428,2
TARGET-20-PAMVKZ-09A,7.08149751955167,5.91878524111524,-45.5561112503643,2
TARGET-20-PANAEV-09A,5.17421061161786,8.66215095531363,-39.4798033088294,2
TARGET-20-PANDER-09A,6.19118160180039,8.95301337808289,-43.2745327404121,2
TARGET-20-PANDIX-09A,4.28390258361966,17.1371560761973,-46.3862436679313,2
TARGET-20-PANGDN-09A,6.77158177657489,15.0482040664179,-48.1117640277971,2
TARGET-20-PANKKE-09A,5.59612625510359,9.08963396121942,-41.0239082555139,2
TARGET-20-PANLIR-09A,6.39507786106894,17.1690849167244,-46.7774947459978,2
TARGET-20-PANLIZ-09A,5.06268801166407,8.58851710078277,-39.0777698725163,2
TARGET-20-PANLJN-09A,8.77741288471937,8.14672743008993,-50.324473395122,2
TARGET-20-PANLLX-09A,6.36968833318611,15.4902398789084,-52.1586834765978,2
TARGET-20-PANLXM-09A,7.05612416998133,16.5171900485518,-52.4504428157813,2
TARGET-20-PANPTM-09A,8.36457187412388,8.37707967593104,-50.5705518024009,2
TARGET-20-PANSJB-09A,6.3358837599755,7.90433917654847,-51.8279372693227,2
TARGET-20-PANTNA-09A,6.47294512312629,9.26730327281269,-52.0572008844358,2
TARGET-20-PANTPW-09A,7.24204263882468,7.44847743898213,-50.6746140663905,2
TARGET-20-PANUTB-09A,4.14739522158137,16.2205815062061,-45.2422321186969,2
TARGET-20-PANUUA-09A,8.8499537869463,7.80012105773294,-49.6936625108783,2
TARGET-20-PANVGE-09A,5.56383907336259,9.04100527814452,-40.8939375497079,2
TARGET-20-PANWHP-09A,6.07061136890353,10.5525528172113,-43.8367956313889,2
TARGET-20-PAPAWN-09A,8.62638213135511,7.38146583136867,-49.2570759392204,2
TARGET-20-PAPBEJ-09A,6.00562847872615,14.5184055967903,-51.5616425068455,2
TARGET-20-PAPVZK-09A,5.46453736454715,9.89489784974037,-40.6801393808001,2
TARGET-20-PAPWYK-09A,6.31696035195309,7.96121556983155,-43.2956288524453,2
TARGET-20-PAPXWI-09A,8.36595327151801,7.17993737975807,-49.309060868829,2
TARGET-20-PARANT-09A,7.50474815193875,10.0588902371129,-51.3425192035735,2
TARGET-20-PARBFJ-09A,7.84856249668502,6.48742596966306,-48.7087566344238,2
TARGET-20-PARBIU-09A,7.75113434414545,5.58478694163362,-52.3006444994718,2
TARGET-20-PARCUK-09A,7.28059565671124,5.03920457501721,-46.4159492233162,2
TARGET-20-PARDDY-09A,5.25016151944451,14.8892887216057,-52.226382049296,2
TARGET-20-PARDMG-09A,4.34050448866003,16.8763867332454,-46.3608780723028,2
TARGET-20-PARJCR-09A,1.09487826873709,17.9259053416006,-52.2186676913698,2
TARGET-20-PARKCX-09A,1.52565313401865,18.311872975123,-50.1209401404472,2
TARGET-20-PARMZF-09A,8.31525949248285,8.81453592984794,-50.702986452688,2
TARGET-20-PARPWL-09A,5.93511413770348,8.91294555357596,-42.2698218790675,2
TARGET-20-PARTAL-09A,5.00637805654858,15.0993611679791,-47.7296976134015,2
TARGET-20-PARUNX-09A,7.72717295708944,5.71188861161224,-52.3614759198542,2
TARGET-20-PARUWX-09A,4.28288692125998,15.116825165146,-51.6767790848781,2
TARGET-20-PARWDZ-09A,2.1505240573108,17.9285289345813,-49.5673831987893,2
TARGET-20-PARXBT-09A,7.00470769866184,16.3847128608835,-52.3864320161323,2
TARGET-20-PARXMP-09A,3.75415070576231,16.0245361787334,-50.7726028205022,2
TARGET-20-PARXNG-09A,6.55285570563342,16.990764541824,-46.9078985591172,2
TARGET-20-PARYGA-09A,6.65151366369942,13.5034774053662,-45.8394347346266,2
TARGET-20-PASCFW-09A,1.36910788165591,17.5457164961734,-52.6327667330974,2
TARGET-20-PASGMZ-09A,6.5705202066581,13.537562506335,-45.9012723042475,2
TARGET-20-PASIBG-09A,5.8657079930701,8.94515200244982,-42.0288500632711,2
TARGET-20-PASJTM-09A,4.16703977433476,15.4965801149904,-51.2095857341373,2
TARGET-20-PASPGA-09A,8.86515650003468,8.8272593241927,-50.8032990553374,2
TARGET-20-PASPLU-09A,2.41843973582225,17.7340771878413,-49.4244761206598,2
TARGET-20-PASPTM-09A,7.00182310976222,15.4768394230988,-50.464864491368,2
TARGET-20-PASVYL-09A,1.06220249950587,16.9828896018353,-53.5814307236643,2
TARGET-20-PASWAJ-09A,3.38650981034841,16.455525126313,-50.7736710579921,2
TARGET-20-PASWAT-09A,5.24691549353571,11.4755618401461,-40.368141499007,2
TARGET-20-PASWLN-09A,4.91784189954695,14.9380372109889,-52.537922352175,2
TARGET-20-PASXYG-09A,5.32454389855242,10.6086219132318,-40.3437711540294,2
TARGET-20-PASYJI-09A,6.11395157107179,9.4012560734032,-43.2158847915828,2
TARGET-20-PASZLJ-09A,7.70335438755458,5.82433881686673,-52.4135759507691,2
TARGET-20-PATDNN-09A,7.03944198824664,6.08676165387298,-45.4340681825633,2
TARGET-20-PATJHJ-09A,6.0198235410858,9.41834058361755,-52.4768794032329,2
