Sample,X,Y,Z,Cluster
TARGET-20-PAEAKL-09A,-112.869901288795,41.1573225964674,15.7278242315703,1
TARGET-20-PAKIYW-09A,-115.47659493173,31.9198836259244,13.9150865404777,1
TARGET-20-PAKLPD-09A,-112.315027166379,30.1543201881204,13.5312759873018,1
TARGET-20-PAKVGI-09A,-104.85848041152,41.4593631087192,13.5540038531486,1
TARGET-20-PALGKX-09A,-108.895503468462,43.2076321553673,11.6350233106825,1
TARGET-20-PAMVKZ-09A,-110.446703546047,40.7472385002446,13.0963685825721,1
TARGET-20-PAMYAS-09A,-113.136241448305,31.7434154092942,13.1544873223561,1
TARGET-20-PANAEV-09A,-109.040712315008,28.7553814426663,13.78822581618,1
TARGET-20-PANDER-09A,-114.306760391616,37.0283179870973,13.9611741184901,1
TARGET-20-PANGDN-09A,-111.090634947026,33.6408980319691,14.5405920377732,1
TARGET-20-PANGJY-09A,-113.10561401199,40.1966080632866,15.1966568491203,1
TARGET-20-PANINI-09A,-113.368388276274,32.3297851119713,13.1791611932945,1
TARGET-20-PANKFZ-09A,-111.900737324844,33.0185507035038,13.947724817793,1
TARGET-20-PANKKE-09A,-112.038292796339,36.314992847307,14.0048903638952,1
TARGET-20-PANKNB-09A,-110.852304512685,42.0666879209351,14.2457198639665,1
TARGET-20-PANLIZ-09A,-108.847073286885,43.2262981279826,11.6075659828812,1
TARGET-20-PANLJN-09A,-111.19038390565,39.9498813622368,14.7988523808676,1
TARGET-20-PANLKB-09A,-112.051983994169,29.4607360397022,13.4835136133823,1
TARGET-20-PANPTM-09A,-112.359165466911,39.689603068951,13.7373676119642,1
TARGET-20-PANSJB-09A,-115.321954724135,31.893950338861,13.8624605098257,1
TARGET-20-PANTNA-09A,-112.764495515906,39.2730120120753,13.3735233906537,1
TARGET-20-PANTPW-09A,-112.065837841807,32.6618356748254,13.861860884725,1
TARGET-20-PANUUA-09A,-113.129544954244,32.6151552249791,13.3422468604355,1
TARGET-20-PANVGE-09A,-113.192623532808,39.3767151208908,14.4685387556622,1
TARGET-20-PANWHP-09A,-112.128536356045,29.9281497283808,13.5230581402561,1
TARGET-20-PANZKA-09A,-111.738789369611,29.2067057448719,14.1602174322244,1
TARGET-20-PAPAWN-09A,-110.187386596441,40.4838052284054,14.3773839295645,1
TARGET-20-PAPBEJ-09A,-106.220772885963,43.6515457173381,10.9364135107956,1
TARGET-20-PAPVCN-09A,-113.810894272916,32.9162258314159,13.078259963897,1
TARGET-20-PAPVZK-09A,-112.498557681905,31.2473634915814,13.5595861834305,1
TARGET-20-PAPWHS-09A,-112.192838979735,29.6727998627159,13.465380604028,1
TARGET-20-PAPWIU-09A,-109.561515406348,38.979329207214,14.5229224202314,1
TARGET-20-PAPWYK-09A,-110.971732281636,41.3799568759836,13.8366723083906,1
TARGET-20-PAPXWI-09A,-111.273929532514,40.6404064794454,13.214053017282,1
TARGET-20-PARAJX-09A,-112.083040823892,39.9187168779673,13.2870908697778,1
TARGET-20-PARBFJ-09A,-110.927437707191,42.5829626150498,14.7137738356644,1
TARGET-20-PARBRA-09A,-112.790742754647,40.3061531592431,15.1718851669487,1
TARGET-20-PARCUK-09A,-112.826160509454,41.4243702034138,15.911956313155,1
TARGET-20-PARDDY-09A,-105.097453273167,41.3761534165973,13.7091374628666,1
TARGET-20-PARKCX-09A,-111.514485090166,30.6960840042106,14.2360749644986,1
TARGET-20-PARMZF-09A,-109.475107676998,38.7478344697973,14.5097565276595,1
TARGET-20-PARPDS-09A,-106.048887710801,43.7196915361558,10.8193381416162,1
TARGET-20-PARPWL-09A,-113.81078550833,41.825796128962,16.9771394776842,1
TARGET-20-PARTAL-09A,-114.209969209082,42.1772337702575,17.5471810772089,1
TARGET-20-PARUNX-09A,-104.862806102068,41.4320436280797,13.5852370763253,1
TARGET-20-PARUTH-09A,-112.27382481326,28.6272121606788,12.8035417266001,1
TARGET-20-PARUUB-09A,-109.295162288491,44.7534153162826,13.8523143835249,1
TARGET-20-PARYGA-09A,-108.993366382444,28.7371352794819,13.7915333461087,1
TARGET-20-PASBPK-09A,-114.548113330695,37.2618870802743,14.0179142126344,1
TARGET-20-PASCFW-09A,-114.800476922333,37.4542020431001,14.0191747285274,1
TARGET-20-PASHYZ-09A,-109.2568786834,44.8069750010341,13.7893104087056,1
TARGET-20-PASIBG-09A,-106.365105536058,43.6558653853372,10.9680541995337,1
TARGET-20-PASSSI-09A,-112.729540721929,41.843416388321,15.9895393081869,1
TARGET-20-PASVYL-09A,-111.340875230292,42.9393753337164,15.3923310876345,1
TARGET-20-PASWAJ-09A,-111.407227843224,33.28414070322,14.294297972832,1
TARGET-20-PASYJI-09A,-112.589679732903,39.2433366744223,14.032206518714,1
TARGET-20-PASZLJ-09A,-109.706950280174,44.1540274126905,14.1845151435185,1
TARGET-20-PATDHA-09A,-114.063824145378,33.4921056296153,12.906097555452,1
TARGET-20-PATDNN-09A,-112.479308238714,40.7959025920559,15.5688615686062,1
TARGET-20-PADYIR-09A,112.128864829108,-34.7631805419339,-13.162483236794,2
TARGET-20-PADZCG-09A,103.027442729691,-36.3997072830572,-13.4346253577026,2
TARGET-20-PAECCE-09A,111.584759856689,-41.2974731712773,-15.8241438188242,2
TARGET-20-PAEERJ-09A,112.934988576582,-38.3435061493295,-16.2785072588014,2
TARGET-20-PAEFGR-09A,112.34137443974,-34.6216164202009,-13.982148015086,2
TARGET-20-PAEIKD-09A,112.095929320743,-42.0022846413458,-15.7802839234101,2
TARGET-20-PAKERZ-09A,109.649847539863,-34.0448453166612,-12.980253340121,2
TARGET-20-PAKIWK-09A,112.360817219723,-34.794033601397,-13.2265796447895,2
TARGET-20-PAKTCX-09A,101.047519545849,-37.2751668298347,-13.5559737562364,2
TARGET-20-PAMYGX-09A,102.548927838547,-33.6516485403287,-13.0963172458744,2
TARGET-20-PANBZH-09A,110.720794293864,-33.3256662263997,-9.89811312056068,2
TARGET-20-PANDIX-09A,113.302797260138,-37.8241683558597,-16.3921155577623,2
TARGET-20-PANFMG-09A,112.073620030962,-41.1059421819374,-16.1085201063052,2
TARGET-20-PANGTF-09A,114.072566731187,-41.5792921574294,-13.4331267901807,2
TARGET-20-PANHYK-09A,104.648381899545,-38.2482021183139,-13.9669920278825,2
TARGET-20-PANLIR-09A,103.150030675763,-35.9451160059016,-13.3636053927468,2
TARGET-20-PANLLX-09A,113.372547357314,-39.1557038609001,-15.5153924161117,2
TARGET-20-PANLXM-09A,113.297195975743,-39.9234763204287,-14.7396879626611,2
TARGET-20-PANNHB-09A,112.241747906142,-40.6157069462643,-16.1886064223571,2
TARGET-20-PANPKN-09A,109.147034757177,-34.430736518997,-10.7199583428664,2
TARGET-20-PANSBH-09A,112.944657228393,-36.2045789957737,-12.2860913529774,2
TARGET-20-PANUTB-09A,112.258819375357,-39.2514968387791,-16.6416411753949,2
TARGET-20-PAPXRJ-09A,113.649661492899,-39.4458191927547,-14.0075317063267,2
TARGET-20-PARANT-09A,114.553281701399,-41.2862018900861,-12.569481433097,2
TARGET-20-PARBIU-09A,102.79477477166,-38.0856854442033,-13.7764351077492,2
TARGET-20-PARCZL-09A,110.219082927221,-33.7905161994144,-13.2160190244311,2
TARGET-20-PARDMG-09A,104.897112909698,-38.2499187334094,-13.9867217655729,2
TARGET-20-PARENB-09A,106.181305990854,-37.1848065936294,-13.5747597219322,2
TARGET-20-PARFAL-09A,112.132627565697,-38.0738983578828,-16.0597008863261,2
TARGET-20-PARHVK-09A,114.319526260213,-41.5783137640846,-13.0763700964538,2
TARGET-20-PARJCR-09A,111.970024606256,-32.7302479652943,-11.1617236030461,2
TARGET-20-PARUWX-09A,109.789613649304,-41.1788510308349,-15.7185357717823,2
