Sample,X,Y,Z,Cluster
TARGET-20-PADYIR-09A,-8.48550941722439,42.3150088762763,29.716470736851,1
TARGET-20-PAEFGR-09A,-10.9698946384625,48.4103589180206,27.1902234493446,1
TARGET-20-PAEIKD-09A,-11.4637548344441,45.9982215963731,29.871738866921,1
TARGET-20-PAKERZ-09A,-12.1006318804044,38.4836128509553,28.1829556978251,1
TARGET-20-PAKIWK-09A,-9.48476114872071,45.1771355785266,28.9341698633662,1
TARGET-20-PAKIYW-09A,-13.2372245778086,46.1330972692103,29.7541046811199,1
TARGET-20-PAKTCX-09A,-11.6760303476757,39.8566197606247,28.4208729374788,1
TARGET-20-PAKVGI-09A,-14.419585659093,41.0088809121686,29.2626368244479,1
TARGET-20-PALGKX-09A,-6.01803411637473,42.6015324768179,25.0042694711995,1
TARGET-20-PAMYAS-09A,-12.0979506609234,46.2662501220222,28.2921886235433,1
TARGET-20-PAMYGX-09A,-2.91849592060003,41.1518571417144,24.9093044973733,1
TARGET-20-PANDER-09A,-14.3079587187929,42.9987623529114,33.6903447249016,1
TARGET-20-PANHYK-09A,-7.56571835414513,42.2493008406229,26.6204950115265,1
TARGET-20-PANINI-09A,-10.7777607331705,45.9285812320483,27.3000219888429,1
TARGET-20-PANKFZ-09A,-16.5531807463299,38.8275850179253,32.2914868808861,1
TARGET-20-PANKKE-09A,-11.2463310835074,46.8610771833488,25.0557228862067,1
TARGET-20-PANLIZ-09A,-7.76504781145764,44.3469231052356,26.2083454285215,1
TARGET-20-PANLXM-09A,-6.29702853150798,43.9008741357272,21.6633676171022,1
TARGET-20-PANNHB-09A,-4.10867306148189,46.4810938033245,26.1456274260244,1
TARGET-20-PANPKN-09A,-11.0432340098311,43.6333594254449,29.0397757933611,1
TARGET-20-PANPTM-09A,-12.1152980692807,49.033962191775,25.7455306414697,1
TARGET-20-PANSBH-09A,-7.04160965783504,41.1445565096221,26.1090590105584,1
TARGET-20-PANUTB-09A,-4.8777418306756,43.3013872062153,22.6169094425364,1
TARGET-20-PANUUA-09A,-10.0433029554318,45.7167879460883,27.4182203029694,1
TARGET-20-PANVGE-09A,-16.6250939805577,40.5761851134707,33.1048116444848,1
TARGET-20-PANWHP-09A,-8.1287152919284,49.2147522426141,24.7695796343254,1
TARGET-20-PAPBEJ-09A,-9.6271451327541,40.8804571144698,28.0130758509491,1
TARGET-20-PAPVCN-09A,-13.5106689562569,41.5341423672112,31.8351636461727,1
TARGET-20-PAPVZK-09A,-15.3061480125058,46.8834435602553,27.1651131690982,1
TARGET-20-PAPWHS-09A,-13.0800716630985,47.2894238747033,25.2944619683095,1
TARGET-20-PAPWIU-09A,-14.1559515695013,40.75369061962,33.6569006650623,1
TARGET-20-PAPWYK-09A,-12.6768858643832,39.1541363561762,32.8775844879021,1
TARGET-20-PAPXRJ-09A,-11.2690031151093,41.7493791684397,28.3431358481575,1
TARGET-20-PAPXWI-09A,-10.9694787245156,41.3605897817768,29.6962733512212,1
TARGET-20-PARAJX-09A,-14.3298184219693,45.2078010195277,30.3639457651021,1
TARGET-20-PARANT-09A,-10.1972064831279,47.48028720543,25.6387798494196,1
TARGET-20-PARDMG-09A,-10.1714404343988,44.386334095827,23.3834304116071,1
TARGET-20-PARMZF-09A,-11.329523924581,46.3722847700356,26.8211737894992,1
TARGET-20-PARPWL-09A,-12.5381988281037,43.0931375104323,30.6825665294009,1
TARGET-20-PARTAL-09A,-8.73761915724778,46.9657326488946,23.2722705559222,1
TARGET-20-PARUTH-09A,-11.93363542255,45.6937227262202,25.3015717901878,1
TARGET-20-PARUUB-09A,-9.5001088296792,43.0321851661252,24.2869885224832,1
