Sample,X,Y,Z,Cluster
TARGET-20-PADYIR-09A,41.8396331683054,80.1534112152002,96.8429297993881,1
TARGET-20-PAECCE-09A,43.6768327874106,80.8954434660469,90.0604840009376,1
TARGET-20-PAEERJ-09A,45.0191350012157,84.15873601053,90.1477079952852,1
TARGET-20-PAEFGR-09A,43.5731058202324,82.2163747527733,91.6076659635952,1
TARGET-20-PAEIKD-09A,45.8549334389337,80.7900928991775,87.5706158726721,1
TARGET-20-PAKIWK-09A,41.2699339129818,77.3241186952825,89.2883164720605,1
TARGET-20-PAKLPD-09A,41.5988078425309,77.5749191715424,87.05797818745,1
TARGET-20-PAMYAS-09A,38.7216398907976,79.3310294742447,95.7355421981368,1
TARGET-20-PANAEV-09A,41.0591431871766,77.1642101140314,88.7284845798326,1
TARGET-20-PANBZH-09A,43.6686073810454,81.47535269276,90.6956483168132,1
TARGET-20-PANFMG-09A,45.2320453901045,81.4639587724998,86.9909399532728,1
TARGET-20-PANGTF-09A,42.077510285817,78.2676495797744,88.6901446422948,1
TARGET-20-PANINI-09A,39.2025617132992,80.1907827870948,96.2381269392672,1
TARGET-20-PANKKE-09A,38.653981225979,81.2987988698716,96.7675027115792,1
TARGET-20-PANLKB-09A,39.5909671212432,80.9860561477927,96.3522952127564,1
TARGET-20-PANLLX-09A,45.2421500501851,83.7884596993631,89.4110789476784,1
TARGET-20-PANLXM-09A,39.9601297214716,80.2522411588861,96.1525479461574,1
TARGET-20-PANNHB-09A,40.7652980907969,80.9180808029105,95.6138174870841,1
TARGET-20-PANPKN-09A,41.8106471178845,77.6451460676644,86.7835910026935,1
TARGET-20-PANSBH-09A,41.8965246759327,77.8546266431777,88.1407778712955,1
TARGET-20-PANSJB-09A,42.018551956173,77.8894556870279,86.3189289170424,1
TARGET-20-PANUTB-09A,40.9385938533071,82.1619272011699,95.9283541722848,1
TARGET-20-PANWHP-09A,41.8003933218791,77.4202605611589,87.5931935070364,1
TARGET-20-PAPVCN-09A,43.5350634626257,81.6665733049041,91.138682252731,1
TARGET-20-PAPVZK-09A,41.5880439449667,82.9531059104162,95.3216467243563,1
TARGET-20-PAPWHS-09A,39.5084833790959,79.3593535222606,95.0882473665624,1
TARGET-20-PAPWIU-09A,38.778918520253,79.6364592688618,96.0082171077802,1
TARGET-20-PAPXRJ-09A,41.7163903042016,77.6016235487618,87.8454470458137,1
TARGET-20-PARANT-09A,42.9800557850653,82.2273779628701,92.9887228742064,1
TARGET-20-PARCZL-09A,45.5506384810554,84.4056789256971,88.9192489052621,1
TARGET-20-PARDDY-09A,38.7535381905875,78.6852576843395,94.9740940857338,1
TARGET-20-PARDMG-09A,45.0345153231903,84.3058025901986,90.2263764450219,1
TARGET-20-PARENB-09A,45.0996455840558,84.4822678834808,90.2074011765456,1
TARGET-20-PARFAL-09A,42.8822716568011,82.6114581582945,93.4329371043783,1
TARGET-20-PARHVK-09A,43.6044382921814,82.2570734932213,91.5939701329646,1
TARGET-20-PARJCR-09A,44.9444910092621,81.0994686304354,88.3695234763865,1
TARGET-20-PARMZF-09A,42.067567884326,83.5771861972609,94.9892331856814,1
TARGET-20-PARUTH-09A,40.2001248573462,81.171450216376,96.0386437820116,1
TARGET-20-PARUWX-09A,45.5369821782537,84.2934184469895,88.8458305689775,1
TARGET-20-PARXBT-09A,41.1699872561833,81.9551747981424,97.2204052343028,1
TARGET-20-PARYGA-09A,40.9380237165094,77.0218506043362,89.0795269159326,1
TARGET-20-PARZWH-09A,41.2497290609329,82.3115698849785,95.5080479601613,1
TARGET-20-PASBHI-09A,41.6603002389845,80.5860432069657,93.1798467146917,1
TARGET-20-PASGMZ-09A,42.718334044454,76.5483555176687,88.8087860921355,1
TARGET-20-PASGWH-09A,41.0218713872358,80.3020034362184,94.0297708430079,1
TARGET-20-PASHBI-09A,41.5834464567369,81.2395209870167,94.230716946544,1
TARGET-20-PASJTM-09A,40.9390606244824,80.2455540332509,96.5332859249524,1
TARGET-20-PASMGW-09A,42.5997662672449,76.548604716562,88.9493976141546,1
TARGET-20-PASPKE-09A,41.8956876274181,81.735468585188,94.2146485954162,1
TARGET-20-PASPTM-09A,40.4999483319377,81.74067869712,96.7337005382454,1
TARGET-20-PASTTW-09A,45.2822866309998,82.3610018774878,86.7903776457475,1
TARGET-20-PASVVS-09A,44.9805365214024,80.9312184784387,88.2345877379982,1
TARGET-20-PASVYA-09A,46.3032839964711,80.608611924847,87.4411091496044,1
TARGET-20-PASWAT-09A,42.6933510715402,81.9045627664117,93.0964427017638,1
TARGET-20-PASWLN-09A,44.2245560087168,82.9596896343425,90.8903205160905,1
TARGET-20-PASWPD-09A,46.4471510793588,80.5631527601273,87.4330854782573,1
TARGET-20-PASWPT-09A,42.8771953707683,82.5206734111505,93.5560472510303,1
TARGET-20-PASXYG-09A,42.1180386285371,82.1799037217966,94.3029467028266,1
TARGET-20-PATIAK-09A,45.6978332438534,84.2095984496595,88.1196347337745,1
TARGET-20-PADZCG-09A,-39.7585491129554,-80.6478452947701,-93.267920024809,2
TARGET-20-PAEAKL-09A,-45.4367614199499,-79.5497797759915,-90.2379151912861,2
TARGET-20-PAKERZ-09A,-43.9121155178788,-80.7965529746727,-91.9546686007676,2
TARGET-20-PAKIYW-09A,-35.6119500476053,-79.2547129252811,-93.2258754186008,2
TARGET-20-PAKTCX-09A,-42.4695148546228,-81.6482233898415,-82.3191721733344,2
TARGET-20-PAKVGI-09A,-43.8637293627248,-82.1509249138276,-82.3383269271996,2
TARGET-20-PALGKX-09A,-43.0556836455246,-80.2627533150042,-91.856029446044,2
TARGET-20-PAMVKZ-09A,-44.4285673248336,-77.0671135916085,-91.0538248492719,2
TARGET-20-PAMYGX-09A,-44.0221567564806,-82.1893771479333,-82.4028393562606,2
TARGET-20-PANDER-09A,-35.8898782482668,-78.1078065011793,-93.6597319645676,2
TARGET-20-PANDIX-09A,-34.0749644120322,-79.4089953635096,-92.8540614952557,2
TARGET-20-PANGDN-09A,-34.5201555815598,-79.3798241835656,-92.9457769995352,2
TARGET-20-PANGJY-09A,-43.7112616407252,-79.7902722003455,-91.5813819879353,2
TARGET-20-PANHYK-09A,-41.1386899384779,-80.0933198378051,-93.0434317809008,2
TARGET-20-PANKFZ-09A,-36.5228030917131,-79.5999702131587,-94.1852997393208,2
TARGET-20-PANKNB-09A,-44.4822638833167,-79.2993328943177,-90.6627106707717,2
TARGET-20-PANLIR-09A,-39.5528769627789,-80.2987665355377,-93.1186125324347,2
TARGET-20-PANLIZ-09A,-40.6155621686694,-80.1585300857275,-92.0336260194005,2
TARGET-20-PANLJN-09A,-46.4543160521573,-79.4127227561072,-89.6303173160743,2
TARGET-20-PANPTM-09A,-44.1030532946987,-77.2981688439376,-91.2676076502064,2
TARGET-20-PANTNA-09A,-43.15684101374,-77.2020144318904,-88.6748184330571,2
TARGET-20-PANTPW-09A,-45.0149410611138,-81.4511131275114,-83.6211631910113,2
TARGET-20-PANUUA-09A,-33.1892591864915,-77.5394012491418,-93.4971675626237,2
TARGET-20-PANVGE-09A,-43.8924068531896,-79.4302752747384,-91.2152102877158,2
TARGET-20-PANZKA-09A,-44.968415581998,-81.4559688090031,-83.5744910259357,2
TARGET-20-PAPAWN-09A,-44.8209334603856,-78.6966574835444,-90.0967702047706,2
TARGET-20-PAPBEJ-09A,-45.0636973445798,-81.462199664238,-83.7114650840771,2
TARGET-20-PAPWYK-09A,-41.9028305493912,-79.637074200366,-93.7523034303723,2
TARGET-20-PAPXWI-09A,-45.1005295338394,-79.22401037519,-90.34151134817,2
TARGET-20-PARAJX-09A,-45.0000186322108,-78.8555504729356,-90.0780644697282,2
TARGET-20-PARBFJ-09A,-40.3734013091954,-79.7009514798556,-90.5371807274125,2
TARGET-20-PARBIU-09A,-45.8229787456482,-77.3271569150866,-87.8511023752479,2
TARGET-20-PARBRA-09A,-43.1630215313737,-77.3638255000872,-88.7892568757361,2
TARGET-20-PARCUK-09A,-44.5830137820003,-78.206226002386,-89.4479134100253,2
TARGET-20-PARKCX-09A,-34.5781958142556,-79.2141148647155,-93.0383255691263,2
