Sample,X,Y,Z,Cluster
TCGA-OR-A5J2-01A,-10.0317241096895,44.4707950395576,24.2880054639019,1
TCGA-OR-A5J3-01A,-13.2590616701348,40.3572612873984,20.7784271644052,1
TCGA-OR-A5J6-01A,-12.9305818415824,40.3405113961334,27.5757215771669,1
TCGA-OR-A5J8-01A,-10.1170185441761,43.2327700954021,22.8834298969173,1
TCGA-OR-A5JA-01A,-11.2230605993922,44.4606536646317,23.237861051341,1
TCGA-OR-A5JB-01A,-10.8219224880645,42.1205912425294,23.1301504298074,1
TCGA-OR-A5JD-01A,-14.5472840244551,39.5143584863654,28.3103398430615,1
TCGA-OR-A5JF-01A,-13.5741745418796,39.7366190717208,27.9957001646791,1
TCGA-OR-A5JJ-01A,-13.974237920062,39.9280411772762,21.156543730675,1
TCGA-OR-A5JL-01A,-12.722379556727,40.6832450400827,25.2432957335972,1
TCGA-OR-A5JM-01A,-11.8933269971774,41.0897303863015,24.0637978018922,1
TCGA-OR-A5JO-01A,-9.84985263829527,44.0063802425656,23.0253866498145,1
TCGA-OR-A5JV-01A,-14.9766556196759,39.7047863665524,21.1333371207713,1
TCGA-OR-A5JW-01A,-12.8853554311607,39.6831696090288,25.4912297923178,1
TCGA-OR-A5JY-01A,-12.5380769440659,40.6306833812883,24.7223952648554,1
TCGA-OR-A5JZ-01A,-11.3914955134243,38.764328743398,24.5836282553468,1
TCGA-OR-A5K0-01A,-11.58028583052,44.5288582353067,23.6094923311618,1
TCGA-OR-A5K5-01A,-9.6866719720805,44.2440394805655,22.6022718384222,1
TCGA-OR-A5K6-01A,-10.893627687553,45.0727010779232,24.6630000962119,1
TCGA-OR-A5K9-01A,-14.7369069206509,39.6576643511059,20.9741307325372,1
TCGA-OR-A5KO-01A,-14.1310189874939,37.2372406761029,24.5578848504329,1
TCGA-OR-A5KW-01A,-13.5680942087631,40.1674164206405,20.9238308128901,1
TCGA-OR-A5L4-01A,-12.8018815331339,39.7116978956359,24.599957412099,1
TCGA-OR-A5L8-01A,-14.2345938458677,36.8485722823736,24.979370153177,1
TCGA-OR-A5LB-01A,-13.7960243221362,39.5949350201803,25.8550978161348,1
TCGA-OR-A5LE-01A,-11.4106863781741,44.2494556888053,23.5042358490708,1
TCGA-OR-A5LH-01A,-14.2498775050014,41.4899695294463,23.3071681703896,1
TCGA-OR-A5LJ-01A,-14.9419962440538,39.5028486607771,28.3522129767674,1
TCGA-OR-A5LL-01A,-10.3765241121089,44.6893991962244,24.5713213697719,1
TCGA-OR-A5LO-01A,-12.0089585369256,39.4104069352258,24.8365249679908,1
TCGA-OR-A5LP-01A,-14.3169986802118,36.401518133846,25.2297604890617,1
TCGA-OR-A5LS-01A,-13.6634128285283,39.0781456004491,27.2623672408498,1
TCGA-OU-A5PI-01A,-13.8579287774497,38.3788205844172,26.9456770012991,1
TCGA-P6-A5OF-01A,-13.2128065466156,39.3107655116773,28.2846166680361,1
TCGA-P6-A5OG-01A,-10.5415734102919,42.7540898927355,23.030334353924,1
TCGA-PK-A5H9-01A,-12.8371458268167,40.1680695459693,26.3377506654171,1
TCGA-PK-A5HB-01A,-11.3292618297066,40.4309472327811,23.9755800876429,1
TCGA-OR-A5J1-01A,13.6443846655353,-39.1569637548237,-24.773815312326,2
TCGA-OR-A5J5-01A,10.7081586479048,-35.3449839986177,-22.8207684964775,2
TCGA-OR-A5J7-01A,7.39309838742186,-30.6684673563009,-15.7360667180158,2
TCGA-OR-A5J9-01A,10.0475733293241,-35.3700234806697,-21.7399952810763,2
TCGA-OR-A5JC-01A,8.08298272189136,-32.7110116271155,-17.8974361254069,2
TCGA-OR-A5JE-01A,9.74952199417505,-33.2438422460644,-22.9047554703709,2
TCGA-OR-A5JG-01A,10.2273273008319,-33.9276439669151,-23.2452230419518,2
TCGA-OR-A5JI-01A,9.95778133124334,-34.8586492258975,-21.6270904934009,2
TCGA-OR-A5JK-01A,13.0604233326303,-37.8497230174815,-22.558087704481,2
TCGA-OR-A5JP-01A,11.1386346022581,-35.4094156869463,-23.8447838097835,2
TCGA-OR-A5JQ-01A,8.17712713357244,-34.3542326793028,-18.8958324965813,2
TCGA-OR-A5JR-01A,7.40804454424486,-33.4229748225551,-17.1714719958225,2
TCGA-OR-A5JS-01A,7.21378755406468,-30.1920822121922,-15.2270935342886,2
TCGA-OR-A5JT-01A,10.6152794586851,-38.0269254520271,-23.392958587012,2
TCGA-OR-A5JX-01A,8.96216195736197,-33.6212496162383,-19.724591468585,2
TCGA-OR-A5K1-01A,15.8416180455609,-39.8593389193154,-22.3598506230031,2
TCGA-OR-A5K2-01A,10.6892281194357,-34.2388790384712,-23.8803259485045,2
TCGA-OR-A5K3-01A,10.9048580613603,-38.4021183786458,-23.4298073021011,2
TCGA-OR-A5K4-01A,7.30426014430206,-33.4888349574844,-17.0306244090688,2
TCGA-OR-A5K8-01A,9.27321949583697,-34.0695998354783,-20.4290656501001,2
TCGA-OR-A5KT-01A,13.6360799575764,-39.5394396299456,-24.9010460638833,2
TCGA-OR-A5KU-01A,11.0428824227457,-39.1853277315362,-23.4527073499873,2
TCGA-OR-A5KV-01A,13.4893866908577,-39.0797836219792,-24.7202141684577,2
TCGA-OR-A5KX-01A,10.1370983513032,-34.6742562612232,-22.226472384912,2
TCGA-OR-A5KY-01A,9.93257282704128,-33.7376824377426,-22.8226599338348,2
TCGA-OR-A5KZ-01A,7.35398216391056,-30.5589073763415,-15.6192764431471,2
TCGA-OR-A5L3-01A,14.7012921960165,-39.4025325784025,-24.9412279148681,2
TCGA-OR-A5L5-01A,16.1028113760415,-39.8739790908846,-22.8581450425331,2
TCGA-OR-A5L6-01A,11.6241416543613,-37.5284839272912,-23.8883004261895,2
TCGA-OR-A5L9-01A,11.8435709317275,-37.3164411581929,-23.821135000332,2
TCGA-OR-A5LA-01A,12.2440423947005,-37.0754923756608,-22.4666993878141,2
TCGA-OR-A5LC-01A,14.5526173056361,-39.5987711163914,-25.0464941883745,2
TCGA-OR-A5LD-01A,10.1524872751219,-34.7354793192608,-22.2140311461313,2
TCGA-OR-A5LG-01A,8.16507093402721,-32.5093291551127,-17.9325567794861,2
TCGA-OR-A5LK-01A,12.1094647714408,-36.8450897164285,-22.3117045517609,2
TCGA-OR-A5LM-01A,7.87065596548018,-31.8590474466649,-17.1144099820614,2
TCGA-OR-A5LN-01A,16.2669090424604,-39.337987627913,-24.375152247314,2
TCGA-OR-A5LR-01A,15.9302478442631,-39.8861226264796,-22.4581768467287,2
TCGA-OR-A5LT-01A,7.97007324611511,-34.7912988544113,-18.7921823744241,2
TCGA-PA-A5YG-01A,15.7404026093179,-41.9264380440563,-24.0982045941731,2
TCGA-PK-A5H8-01A,7.87826683775819,-31.9747453201524,-17.188020325443,2
TCGA-PK-A5HA-01A,15.7689567985017,-41.997891493807,-24.0833742036249,2
