Sample,X,Y,Z,Cluster
TCGA-OR-A5J1-01A,27.0387922662176,-83.3129948917025,2.14268175174276,1
TCGA-OR-A5J2-01A,24.968538612604,-100.764972359344,-18.6817914466477,1
TCGA-OR-A5J9-01A,26.65707508309,-80.0246521121302,0.570210485352447,1
TCGA-OR-A5JF-01A,18.150179147124,-80.62636352117,-1.74197855855981,1
TCGA-OR-A5JI-01A,18.6997283654623,-85.8197322935088,-6.80487022948804,1
TCGA-OR-A5JJ-01A,24.9503047076963,-81.5034957426875,-6.04413493859941,1
TCGA-OR-A5JK-01A,25.1580240854417,-81.8285263985101,-5.45341787325837,1
TCGA-OR-A5JQ-01A,21.9502291497996,-75.8513908165481,-6.8004919098676,1
TCGA-OR-A5JS-01A,24.8251531856483,-82.8568756950062,-5.88571825161429,1
TCGA-OR-A5JX-01A,28.2843836798493,-81.538974193589,-5.11126500118467,1
TCGA-OR-A5JY-01A,28.2768925041642,-79.8997901652919,1.87217085871502,1
TCGA-OR-A5K0-01A,22.297829775061,-79.7173010901842,-5.85484177952333,1
TCGA-OR-A5K5-01A,24.4121760359053,-84.8016791578367,1.2158661665776,1
TCGA-OR-A5K6-01A,25.5586149412312,-81.5551174855176,-6.88494032418614,1
TCGA-OR-A5K9-01A,25.1078494063235,-77.7260868732326,-5.03983607808175,1
TCGA-OR-A5KO-01A,25.9241357005441,-134.997260167885,-3.63276233713645,1
TCGA-OR-A5KU-01A,25.1244085363083,-81.4205686565825,-4.04375069727409,1
TCGA-OR-A5KV-01A,21.4152776551084,-82.3785611604647,-5.3191839289945,1
TCGA-OR-A5KY-01A,23.6922596653188,-77.6214978606297,0.387272124458296,1
TCGA-OR-A5L3-01A,18.6385177171469,-82.7767191438327,-6.75352896544203,1
TCGA-OR-A5L5-01A,17.3384324382413,-85.1593693284887,-7.01289219644638,1
TCGA-OR-A5L8-01A,20.2203510018723,-82.2104278176438,-8.03020052330349,1
TCGA-OR-A5LB-01A,29.3788990743065,-81.1478365160974,-3.75939434493337,1
TCGA-OR-A5LC-01A,25.2978255534205,-83.8877693321148,-0.540717902463163,1
TCGA-OR-A5LD-01A,30.2555556343268,-79.6498884803055,0.584144549427774,1
TCGA-OR-A5LE-01A,26.84465702963,-80.7407566070665,-0.592230862067562,1
TCGA-OR-A5LG-01A,17.9738964469983,-79.2805269743794,-6.14047690131832,1
TCGA-OR-A5LJ-01A,21.6382351578595,-84.1347788123512,2.92054275231013,1
TCGA-OR-A5LS-01A,24.7497373512604,-81.3535452219198,-1.95172167250167,1
TCGA-OU-A5PI-01A,25.5892446381522,-83.7160746349674,-7.82602486459325,1
TCGA-P6-A5OF-01A,24.3115203541758,-88.8589915469449,-25.3929180930867,1
TCGA-OR-A5J3-01A,-23.0083467052013,49.3817021503549,-1.85132713460411,2
TCGA-OR-A5J5-01A,-9.98704584877436,53.8687830485771,2.93818473205333,2
TCGA-OR-A5J6-01A,-16.9735478258858,51.6546064289473,1.36440107396753,2
TCGA-OR-A5J7-01A,-20.1420616159,54.2104591956092,-1.84826779904979,2
TCGA-OR-A5J8-01A,-11.5991977068141,61.5421699095935,1.77277116679727,2
TCGA-OR-A5JA-01A,-12.8693032434219,59.2782558777789,2.6948638231186,2
TCGA-OR-A5JB-01A,-9.56995352105564,52.7939952357344,3.61615333905122,2
TCGA-OR-A5JC-01A,-13.7752166036155,59.8826986073974,12.0951045597783,2
TCGA-OR-A5JD-01A,-15.413712182629,49.232986912949,-0.00157357225965749,2
TCGA-OR-A5JE-01A,-13.089611911315,52.0078280068086,3.91616608176016,2
TCGA-OR-A5JG-01A,-20.0350526346415,52.8913527715769,-2.84961024528993,2
TCGA-OR-A5JL-01A,-16.0553921567307,53.5191938863681,10.1954977441058,2
TCGA-OR-A5JM-01A,-5.32496452942835,54.2934224993131,2.59904091421564,2
TCGA-OR-A5JO-01A,-19.3882806527556,58.7196708808174,6.5074192022673,2
TCGA-OR-A5JP-01A,-9.13607917890339,55.6062469379432,5.8566349657449,2
TCGA-OR-A5JR-01A,-22.9572269908578,51.0344584769669,-0.908750854950689,2
TCGA-OR-A5JT-01A,-17.2908286385444,54.6431837498167,-2.2145345977593,2
TCGA-OR-A5JV-01A,-16.5467072278164,53.6870079307429,3.92736522440426,2
TCGA-OR-A5JW-01A,-14.7423081967439,53.1422788444205,3.92436565087246,2
TCGA-OR-A5JZ-01A,-15.9083961539663,52.1723200414083,-1.03445321874838,2
TCGA-OR-A5K1-01A,-16.6118528012724,55.0374769793306,0.17902857669932,2
TCGA-OR-A5K2-01A,-13.6702835447458,56.5767398366513,0.598678351369198,2
TCGA-OR-A5K3-01A,-14.6539002507307,60.0182904176571,7.14307477395197,2
TCGA-OR-A5K4-01A,-17.2382203922573,59.5052387345795,1.26849018555301,2
TCGA-OR-A5K8-01A,-15.565531478209,56.4627128402749,4.84010938894708,2
TCGA-OR-A5KT-01A,-14.2187984110541,53.2844713198149,1.59016742285522,2
TCGA-OR-A5KW-01A,-18.2991236792351,61.7823514566557,4.71012501560307,2
TCGA-OR-A5KX-01A,-14.2003233857204,53.2771160708416,9.55145671070274,2
TCGA-OR-A5KZ-01A,-12.4861547755151,55.4765348813123,9.11357285630349,2
TCGA-OR-A5L4-01A,-13.2802189487895,54.8829271608492,-0.383983977212906,2
TCGA-OR-A5L6-01A,-13.2018025147632,54.0695006059488,7.42889300842854,2
TCGA-OR-A5L9-01A,-13.3744085768693,47.5605932042909,2.9196630930201,2
TCGA-OR-A5LA-01A,-15.0043524445293,55.266453979011,3.09640801906953,2
TCGA-OR-A5LH-01A,-15.5312943436626,54.4663486601833,4.37988248816866,2
TCGA-OR-A5LK-01A,-12.3548068996203,57.4110726013317,1.89932251853168,2
TCGA-OR-A5LL-01A,-20.5616794453456,48.3615458392712,-2.10684741938931,2
TCGA-OR-A5LM-01A,-14.0329227240483,53.7131005801444,8.0612605010493,2
TCGA-OR-A5LN-01A,-14.2547825715099,53.6887933118522,4.49633686278556,2
