Sample,X,Y,Z,Cluster
TCGA-OR-A5J1-01A,68.6643359947428,-21.1654304777475,-58.2142096169467,1
TCGA-OR-A5J2-01A,70.4732401742033,-26.7797002601983,-53.3185295053164,1
TCGA-OR-A5J8-01A,70.0648908689951,-25.7308979342667,-52.9083225860511,1
TCGA-OR-A5JB-01A,71.1235990481999,-26.5636696430795,-53.7057864203905,1
TCGA-OR-A5JD-01A,70.5519920639433,-25.9873206229981,-52.1075125301655,1
TCGA-OR-A5JF-01A,67.8507248704194,-28.4772361463545,-55.0549809476381,1
TCGA-OR-A5JI-01A,67.1933823107639,-18.728704578649,-58.3026022465928,1
TCGA-OR-A5JJ-01A,67.8487093744376,-28.3380985611557,-54.8845302670604,1
TCGA-OR-A5JK-01A,69.9966917759955,-29.847899816011,-55.6116712549623,1
TCGA-OR-A5JO-01A,68.5232110601059,-20.0879501359906,-55.7319326703063,1
TCGA-OR-A5JQ-01A,70.4127352209569,-25.7882763010569,-52.2047001979797,1
TCGA-OR-A5JR-01A,69.5342771143947,-22.9529569312306,-52.5133859380314,1
TCGA-OR-A5JS-01A,68.4289267026742,-28.4846428718609,-55.2743935855875,1
TCGA-OR-A5JT-01A,68.4462135981004,-20.0407851378357,-53.2765848873435,1
TCGA-OR-A5JV-01A,69.6365207572609,-23.301882890835,-52.2992306954765,1
TCGA-OR-A5JW-01A,68.3762249280765,-19.7616849199775,-53.0317050087122,1
TCGA-OR-A5JY-01A,70.935897629264,-26.3364379092287,-51.5974685233585,1
TCGA-OR-A5JZ-01A,67.5311135339426,-18.4842427295712,-55.1261318697499,1
TCGA-OR-A5K0-01A,67.3658753664134,-27.940794191421,-54.211669341028,1
TCGA-OR-A5K1-01A,68.7939240691802,-24.7555902660847,-51.6103583901126,1
TCGA-OR-A5K3-01A,69.908248147972,-29.3026828604579,-55.3895601035782,1
TCGA-OR-A5K4-01A,67.5836233428757,-18.709887891027,-55.6294761031487,1
TCGA-OR-A5K8-01A,68.3236567403973,-19.4613359813567,-52.5308925336655,1
TCGA-OR-A5KO-01A,69.2123985046304,-23.703368521207,-51.8607856964368,1
TCGA-OR-A5KU-01A,68.5843991526418,-24.3538486497543,-51.4342999688617,1
TCGA-OR-A5KX-01A,66.983601290484,-18.0710551975225,-56.8182987077634,1
TCGA-OR-A5KZ-01A,68.5810414701913,-29.4981181390243,-58.1102861608777,1
TCGA-OR-A5L5-01A,68.2522955623732,-19.6782037005369,-55.5932792241413,1
TCGA-OR-A5L8-01A,68.1910250907524,-20.066743199083,-58.0260747632952,1
TCGA-OR-A5LA-01A,70.1743268771512,-25.9038533265803,-56.2586974168648,1
TCGA-OR-A5LB-01A,68.6596496290293,-28.9523997092692,-56.9388473303911,1
TCGA-OR-A5LC-01A,68.6183203376572,-29.3348274963838,-57.713031932399,1
TCGA-OR-A5LH-01A,68.9578390927854,-28.6466838149346,-55.8642982832623,1
TCGA-OR-A5LJ-01A,69.4307601336279,-28.5263606343298,-55.2776732906646,1
TCGA-OR-A5LK-01A,68.8706843127189,-25.5522087814288,-51.6058759731301,1
TCGA-OR-A5LL-01A,68.7227952812955,-20.8869456096263,-53.3555777792795,1
TCGA-OR-A5LP-01A,69.5923283836276,-24.0024235641,-52.2727040907247,1
TCGA-OR-A5LR-01A,67.7342779464514,-18.8680870694734,-55.3242535094185,1
TCGA-OR-A5LS-01A,67.2656875777396,-18.7954534071696,-58.1640955973263,1
TCGA-OR-A5LT-01A,68.3747238244864,-19.7656888305726,-53.0595933703422,1
TCGA-OU-A5PI-01A,71.7650536711164,-26.2806494852349,-53.7432293970594,1
TCGA-P6-A5OF-01A,69.7734019443052,-25.3865551866831,-52.6958629485573,1
TCGA-P6-A5OG-01A,68.5177505788668,-20.3537116418379,-57.1285449751554,1
TCGA-PA-A5YG-01A,69.8605724002234,-25.056322548782,-52.2994607811734,1
TCGA-PK-A5H9-01A,68.4251805813657,-20.4213602509779,-57.7330511144817,1
TCGA-OR-A5J3-01A,-90.2891998962715,35.0817730861511,70.7564931477791,2
TCGA-OR-A5J5-01A,-92.672809953565,32.0528664255131,72.9858435178126,2
TCGA-OR-A5J6-01A,-91.0058752554687,29.0262699003567,74.0181394849301,2
TCGA-OR-A5J7-01A,-90.7391917797923,31.9468902687128,69.808811786257,2
TCGA-OR-A5J9-01A,-90.8681917751154,31.9063499263566,70.2377923615537,2
TCGA-OR-A5JA-01A,-92.7615645982257,30.4229649907095,72.3045584232862,2
TCGA-OR-A5JC-01A,-91.7061639382552,29.9454259339136,71.9652764876687,2
TCGA-OR-A5JE-01A,-89.196071640647,30.2446258686237,72.2029678921348,2
TCGA-OR-A5JG-01A,-92.8498191817674,31.3742709321347,72.8623899727547,2
TCGA-OR-A5JL-01A,-93.1131362399901,30.8052782300095,72.6750612950005,2
TCGA-OR-A5JM-01A,-89.0133698482171,30.0454550708272,72.2322816246504,2
TCGA-OR-A5JP-01A,-89.7234362643088,36.2219184098371,70.5307808286833,2
TCGA-OR-A5JX-01A,-91.6604650763257,29.1870823902838,71.3963513774146,2
TCGA-OR-A5K2-01A,-89.3260250069263,30.1437304847721,72.3361574396601,2
TCGA-OR-A5K5-01A,-90.1060755371349,29.9050255777867,73.9612635569405,2
TCGA-OR-A5K6-01A,-89.3421044770599,37.3062434610726,70.0834494262229,2
TCGA-OR-A5K9-01A,-90.1478138846409,34.2157145784414,70.3362125910784,2
TCGA-OR-A5KT-01A,-90.7977946585587,31.2946839343013,74.9631708183323,2
TCGA-OR-A5KV-01A,-90.2312050313428,30.1002682029752,71.831588148264,2
TCGA-OR-A5KW-01A,-93.3312218219778,30.8596677836103,72.7540788703162,2
TCGA-OR-A5KY-01A,-91.7666373879942,30.8831895436155,71.1347185711366,2
TCGA-OR-A5L3-01A,-92.3506369621902,31.8061302552454,74.2034000999687,2
TCGA-OR-A5L4-01A,-92.9521296595136,30.15573686734,71.9782992590943,2
TCGA-OR-A5L6-01A,-89.1815626036088,37.8371833353621,69.9078312546221,2
TCGA-OR-A5L9-01A,-90.2798359573369,35.5250272902896,71.0530525869628,2
TCGA-OR-A5LD-01A,-90.1865583326507,35.7390987746762,71.0993166786087,2
TCGA-OR-A5LE-01A,-90.0057922680721,30.2652871773631,74.5233563504687,2
TCGA-OR-A5LG-01A,-93.9537804651799,32.729909488637,75.5028987222788,2
TCGA-OR-A5LM-01A,-92.8840172555958,30.2602113657654,72.333570568782,2
TCGA-OR-A5LN-01A,-93.8867228110881,32.6713632271484,75.4179376303042,2
TCGA-OR-A5LO-01A,-91.5087543010019,30.7457972188143,71.2384870424659,2
TCGA-PK-A5H8-01A,-91.7368444153762,29.1067378246654,73.0426235940932,2
TCGA-PK-A5HA-01A,-88.5027586259688,29.3876147494845,71.7782583473179,2
TCGA-PK-A5HB-01A,-94.0385614256685,29.9331852481112,72.3570377779649,2
