Sample,X,Y,Z,Cluster
TCGA-OR-A5J3-01A,-8.48519593778063,6.51570682396141,1.66642853640336,1
TCGA-OR-A5J7-01A,-7.52290445229934,6.25019029775362,1.11932530423749,1
TCGA-OR-A5J8-01A,-6.83915711914234,5.33828466704653,1.1180961449536,1
TCGA-OR-A5JB-01A,-10.1097738495465,5.92281963902045,1.58626793774576,1
TCGA-OR-A5JE-01A,-9.59066996680815,5.96446341473984,0.954496125054668,1
TCGA-OR-A5JG-01A,-9.03045279827111,5.62275033134001,1.71742171829416,1
TCGA-OR-A5JL-01A,-6.06192621478092,4.42221977096334,0.712326888885383,1
TCGA-OR-A5JO-01A,-5.72609957595907,4.68835418202189,0.989870366415439,1
TCGA-OR-A5JS-01A,-5.50188140647385,5.58356067114725,1.01451543379818,1
TCGA-OR-A5JW-01A,-8.87911415342234,6.96953105994344,1.80045948308578,1
TCGA-OR-A5K0-01A,-8.74133867612283,6.27162948517238,1.31230231577039,1
TCGA-OR-A5K2-01A,-9.78770086550089,5.43803144389816,0.570234378572586,1
TCGA-OR-A5K5-01A,-7.21141401235589,4.50081088255385,0.52677952290727,1
TCGA-OR-A5KO-01A,-6.83190754692513,6.89671094718829,1.7747036677331,1
TCGA-OR-A5LE-01A,-5.01441282974622,5.5681230561718,1.67284567075595,1
TCGA-P6-A5OG-01A,-7.18617048164115,5.22085783939548,0.108419874461713,1
TCGA-PK-A5HB-01A,-6.8837325147095,5.72336810533136,1.16697249538484,1
TCGA-OR-A5J1-01A,7.22995612564323,-0.542683229324075,3.3958435538262,2
TCGA-OR-A5J2-01A,-0.588505992785231,3.60432826209239,2.29731998524394,2
TCGA-OR-A5J6-01A,7.39087358522423,-0.280204019911985,3.99565580746608,2
TCGA-OR-A5JD-01A,5.42148146414838,-3.52075994408448,0.278210172945138,2
TCGA-OR-A5JF-01A,7.5158251597828,0.360355060557852,1.9592034711321,2
TCGA-OR-A5JI-01A,0.75697851602795,3.51328894579966,2.93836918906547,2
TCGA-OR-A5JM-01A,4.68306208751783,4.04536271682454,1.69909520960731,2
TCGA-OR-A5JP-01A,4.22339204923465,3.7039052952059,1.67921615199518,2
