Sample,X,Y,Z,Cluster
TCGA-4Z-AA7N-01A,0.669854771473545,-20.9705219295633,-15.8566884108794,1
TCGA-4Z-AA7R-01A,-0.0913127214136981,-22.2744038522575,-9.46644275963904,1
TCGA-4Z-AA7S-01A,-3.82040754322883,-25.9179682958588,-11.9686011089412,1
TCGA-4Z-AA87-01A,-4.48836813904121,-25.5508650873222,-12.2461720464411,1
TCGA-BT-A20P-01A,2.41328650685558,-25.5119110655193,-7.75374199770521,1
TCGA-BT-A20Q-01A,-0.312152460352167,-22.0934965326621,-9.34305740397221,1
TCGA-CF-A8HX-01A,3.90042927182028,-25.5457916864029,-7.17002530985561,1
TCGA-CF-A9FF-01A,1.28867201522297,-25.8278242035271,-8.15800666595471,1
TCGA-CF-A9FH-01A,-2.3218427937985,-26.9143583581167,-6.58045929214007,1
TCGA-CU-A3QU-01A,-0.592795557380299,-25.5816572299846,-9.25200770902616,1
TCGA-CU-A5W6-01A,-1.62306850704157,-27.1875834052228,-6.5561852968326,1
TCGA-DK-A1AB-01A,0.600400687998028,-20.9647206659287,-15.2549381486081,1
TCGA-DK-A3IK-01A,-1.41676500934359,-27.9604360445214,-4.8708166233723,1
TCGA-DK-A3IV-01A,-0.463551391059397,-20.2975327480692,-10.1585643659614,1
TCGA-DK-AA6L-01A,0.551747602089841,-29.4379283065505,-6.10816035630647,1
TCGA-DK-AA75-01A,0.0389164881630684,-28.4443968736831,-6.1497684595991,1
TCGA-E7-A3X6-01A,-0.413201341742262,-21.5473526702443,-9.5131859082879,1
TCGA-E7-A6ME-01A,-0.808143645527872,-27.0059676283156,-6.50016426248288,1
TCGA-E7-A7PW-01A,-0.463938626160603,-26.4391542133041,-8.50936480645026,1
TCGA-E7-A85H-01A,0.441001716064634,-22.9131388895115,-9.29419535976008,1
TCGA-FD-A3SJ-01A,-1.88457534842227,-28.7206661573627,-6.89625890278932,1
TCGA-FD-A3SL-01A,-0.381872371262122,-25.9751451400361,-8.11278519801929,1
TCGA-FD-A43P-01A,-0.702661122595872,-26.7228941219247,-8.38760003832178,1
TCGA-FD-A43X-01A,0.592897437613952,-29.1037523943865,-6.02628766785907,1
TCGA-FD-A5C0-01A,-1.32252905265432,-26.2695382534391,-10.5226008313981,1
TCGA-GC-A6I3-01A,-4.53781771971321,-25.5227176251479,-12.2675957180177,1
TCGA-GD-A2C5-01A,-0.38989599195318,-26.3252254911972,-7.67232803592896,1
TCGA-GD-A3OQ-01A,-0.437762494682463,-19.1999981448855,-11.3999069665799,1
TCGA-GU-A42R-01A,0.372315258745867,-22.4690635126619,-10.4576117534576,1
TCGA-GV-A3JX-01A,-0.214132662236618,-26.0814124274801,-5.55230724775847,1
TCGA-GV-A3QH-01A,0.682496085679567,-20.9734900839316,-15.9786195132104,1
TCGA-K4-A3WS-01A,3.44386416783281,-26.7234879174025,-6.32278063000711,1
TCGA-K4-A3WU-01B,-0.607054056702597,-24.8409865546689,-7.95491576477169,1
TCGA-KQ-A41O-01A,3.4572887811919,-26.9275115516899,-6.15330403437625,1
TCGA-KQ-A41Q-01A,-0.525691357517606,-26.6272876224345,-6.1513617989811,1
TCGA-KQ-A41S-01A,-0.475014295553724,-19.3821837637603,-10.9602827345329,1
TCGA-UY-A78K-01A,-0.702821595738536,-25.4168558433605,-10.1435762823258,1
TCGA-UY-A9PD-01A,-4.42017536549512,-24.2679405476055,-11.7625044882336,1
TCGA-XF-A8HC-01A,0.0973005877081271,-26.3357482439746,-9.08719491487536,1
TCGA-XF-A9SV-01A,-0.707632946287312,-26.4635576009588,-8.98086968953437,1
TCGA-XF-AAML-01A,-0.250908565981054,-26.580797103118,-9.39781869933522,1
TCGA-XF-AAMZ-01A,1.46340244445802,-29.3355769571051,-5.54003141002101,1
TCGA-XF-AAN1-01A,-0.706600585706029,-21.9043933405098,-9.14987357718768,1
TCGA-ZF-A9R0-01A,-1.14177981423113,-27.6535349471159,-7.0213142147187,1
TCGA-ZF-A9R7-01A,0.421945924624717,-26.1966089486312,-8.19407676850297,1
TCGA-ZF-AA4T-01A,-4.37662142199961,-24.3096599118874,-11.7590111599613,1
TCGA-ZF-AA4X-01A,-0.475858273977649,-19.8524107400935,-10.5461998916323,1
