Sample,X,Y,Z,Cluster
TCGA-4Z-AA7O-01A,-19.0183150807861,-22.4153334683999,-25.1267527183374,1
TCGA-BT-A20J-01A,-28.2249911770792,-34.8662713491058,-24.9906106565897,1
TCGA-BT-A20P-01A,-21.0191697265197,-21.1806466202471,-19.3076448262527,1
TCGA-BT-A20T-01A,-28.4666843752569,-26.8003793097759,-30.7640292074648,1
TCGA-BT-A20X-01A,-11.2184078913059,-19.0141550433205,-14.4527856532737,1
TCGA-BT-A2LB-01A,-27.6196813390198,-28.5124793709063,-22.8521338787861,1
TCGA-C4-A0F0-01A,-31.1211690113784,-25.3831299885403,-21.2964827296748,1
TCGA-C4-A0F6-01A,-32.1744499064733,-25.0933322483712,-22.055689046216,1
TCGA-CF-A1HR-01A,-12.9981000272223,-31.4304899220664,-23.017508864374,1
TCGA-CF-A1HS-01A,-19.2664610404129,-31.0460493477743,-18.3345111083576,1
TCGA-CF-A3MG-01A,-29.1148230938988,-30.7472840171258,-27.385117241138,1
TCGA-CF-A3MH-01A,-25.0077529640384,-22.3059021574938,-22.1619274044594,1
TCGA-CF-A3MI-01A,-21.4277757755148,-25.2005438342703,-21.1478749054763,1
TCGA-CF-A47S-01A,-17.0674808126552,-21.5669165071655,-21.7178198273223,1
TCGA-CF-A47T-01A,-26.8942428460636,-23.808243961156,-20.9742316015339,1
TCGA-CF-A47W-01A,-23.3664957016836,-24.008821781491,-24.4118797823531,1
TCGA-CF-A47X-01A,-20.8514195449588,-22.44358466374,-22.7311270906469,1
TCGA-CF-A5U8-01A,-19.2069912991783,-22.3386562531914,-24.3017931835686,1
TCGA-CF-A5UA-01A,-26.292264968042,-28.2329716480135,-27.0186857775047,1
TCGA-CF-A8HY-01A,-20.7402971377044,-24.2686295266584,-27.7862564266734,1
TCGA-CU-A3YL-01A,-16.4264746107879,-20.5138660609695,-17.7910510462241,1
TCGA-DK-A1A5-01A,-27.956719808837,-26.3545437381567,-34.3678186463514,1
TCGA-DK-A1A6-01A,-27.5877944915108,-31.0600705827204,-28.9945875006154,1
TCGA-DK-A1AC-01A,-27.8981809316631,-25.6236683189698,-22.5728286769949,1
TCGA-DK-A2I6-01A,-27.5354939670113,-35.6851965657942,-24.4134282878665,1
TCGA-DK-A3IK-01A,-24.0338102912268,-21.9096531077185,-20.7759530453274,1
TCGA-DK-A3IL-01A,-27.9231548187524,-30.1588364159248,-22.1815472125448,1
TCGA-DK-A3WX-01A,-31.132405016059,-20.9229746294938,-20.7347336593748,1
TCGA-DK-A6AV-01A,-25.4291171656515,-31.7204893504678,-23.3323250117134,1
TCGA-DK-A6AW-01A,-22.4800709025395,-18.8947349745093,-22.3060834151666,1
TCGA-DK-A6B0-01A,-22.081113332921,-20.3977622533782,-23.1133867435249,1
TCGA-DK-A6B2-01A,-11.9457508883102,-33.1830803712261,-24.1655205814653,1
TCGA-DK-AA6M-01A,-19.8568386289217,-25.5695680374458,-28.589731243841,1
TCGA-DK-AA6T-01A,-18.2104376532735,-35.1148864364075,-22.6725905425795,1
TCGA-DK-AA6U-01A,-29.9260384048188,-30.5509126323799,-25.1906187678638,1
TCGA-DK-AA71-01A,-23.3929799452149,-25.8304264644478,-24.6310955736074,1
TCGA-DK-AA74-01A,-24.4759561991293,-22.5415699465725,-24.9018843341355,1
TCGA-DK-AA75-01A,-22.2629161288016,-24.6008045400485,-24.7489630440401,1
TCGA-E5-A4U1-01A,-16.2194942004132,-22.1909359897552,-19.45202087327,1
TCGA-E7-A4XJ-01A,-22.9396547987897,-23.6576071533749,-21.1839673642717,1
TCGA-E7-A519-01A,-22.1827118359537,-20.8452711567135,-24.6524055362013,1
TCGA-E7-A678-01A,-21.1090678823135,-25.2301902525414,-26.7033862127739,1
TCGA-E7-A7DU-01A,-22.7471642581342,-30.8766784811675,-24.0028255966376,1
TCGA-E7-A8O8-01A,-23.1649874899034,-22.8693728170839,-23.2892371793575,1
TCGA-FD-A3B5-01A,-20.6134220943138,-33.6096237104444,-24.5809035608167,1
TCGA-FD-A3NA-01A,-19.446515723363,-24.9338066510648,-19.2333338034929,1
TCGA-FD-A3SJ-01A,-25.2261600175875,-28.0150477231976,-24.2588799595888,1
TCGA-FD-A3SN-01A,-29.6026463891855,-27.2072256944933,-30.4809652110752,1
TCGA-FD-A43N-01A,-26.4582404497402,-31.2813872293094,-29.9146647584539,1
TCGA-FD-A43S-01A,-18.4942753705701,-24.3679323899118,-26.6591114519299,1
TCGA-FD-A43U-01A,-22.5150258524136,-27.6216198969877,-27.5165875785522,1
TCGA-FD-A43X-01A,-22.9773321885239,-23.7597562571625,-20.4655575212119,1
TCGA-FD-A5BT-01A,-26.0072296208255,-25.65412501704,-25.6132513819375,1
TCGA-FD-A5BU-01A,-10.488874207499,-18.374771955842,-15.9195749061176,1
TCGA-FD-A5BX-01A,-27.2354442556898,-24.5416728381307,-25.6767059457952,1
TCGA-FD-A5BY-01A,-28.5151359996632,-24.9616952067841,-20.3894495118843,1
TCGA-FD-A5C0-01A,-14.2431757266771,-31.2986707171635,-20.6949585866506,1
TCGA-FD-A62S-01A,-30.8403052760665,-20.8969268174875,-19.3175389496192,1
TCGA-FD-A6TA-01A,-27.4487364897354,-27.8745253486659,-33.7037823726517,1
TCGA-FD-A6TB-01A,-19.5333238605885,-32.1107985187993,-24.3538232619668,1
TCGA-FD-A6TC-01A,-17.1134177500239,-19.1250516233913,-19.3260409780041,1
TCGA-FD-A6TF-01A,-28.0074030606461,-26.4965611153149,-20.5186195683028,1
TCGA-FD-A6TI-01A,-15.0111349827199,-34.6771555347725,-26.0762614439492,1
TCGA-FD-A6TK-01A,-27.5371575160697,-27.2249947513595,-25.9987848828878,1
TCGA-FJ-A3Z7-01A,-25.0478975582672,-28.105044718898,-25.2495145967829,1
TCGA-FJ-A3Z9-01A,-22.9769208628343,-21.8155055406842,-19.8876085966942,1
TCGA-FJ-A871-01A,-26.6972134013529,-21.3495773247637,-23.0397774291059,1
TCGA-G2-A2EJ-01A,-29.9235583415495,-27.9494320769134,-30.514435671759,1
TCGA-G2-A2EO-01A,-26.3596268776848,-28.4560905802176,-24.6708138019269,1
TCGA-G2-A3IE-01A,-27.4771847813712,-22.988238413337,-21.5320588951099,1
TCGA-G2-AA3B-01A,-25.7968066757503,-25.9937768342009,-27.8478740245681,1
TCGA-G2-AA3C-01A,-26.2191667647225,-25.2459820674352,-22.6223421706807,1
TCGA-GC-A3RB-01A,-21.7619826936504,-33.449260129662,-22.5592444906362,1
TCGA-GC-A3RD-01A,-16.175594201309,-29.4135009725576,-21.9533868435417,1
TCGA-GC-A6I1-01A,-22.8637827139493,-26.7981074578815,-27.729769535181,1
TCGA-GC-A6I3-01A,-28.8550961349054,-26.4382228169716,-25.6998113920195,1
TCGA-GD-A6C6-01A,-18.617544898079,-21.6674448817868,-19.4859605732471,1
TCGA-GU-A42R-01A,-20.7923796406494,-28.3868202311979,-17.3925360798775,1
TCGA-GU-A762-01A,-27.5317305211238,-20.8535090177671,-21.4532649421378,1
TCGA-GU-A763-01A,-26.3035892133942,-21.7650007973319,-22.5901032276692,1
TCGA-GU-A766-01A,-24.2582018998123,-24.7581702635846,-27.5512486228704,1
TCGA-GU-AATO-01A,-24.547177456884,-24.7647658499319,-24.0061419186477,1
TCGA-GU-AATP-01A,-24.606533875206,-26.9684314820344,-28.4838632342787,1
TCGA-GV-A3JV-01A,-13.6294963064922,-28.4862199541324,-18.7599458694914,1
TCGA-GV-A3QF-01A,-26.561585582921,-29.6371969680023,-27.6759193167518,1
TCGA-HQ-A2OF-01A,-26.9750464581422,-28.0074344510725,-28.5063364015135,1
TCGA-K4-A4AB-01B,-20.6992459477813,-20.5710741294584,-24.9373361981644,1
TCGA-K4-A4AC-01A,-15.4788122192023,-19.0625643389036,-17.358133668784,1
TCGA-K4-A54R-01A,-30.9258995655507,-25.7584814021738,-28.2558644366134,1
TCGA-K4-AAQO-01A,-26.1212157311774,-26.5584689437656,-30.1111841025134,1
TCGA-KQ-A41O-01A,-30.3949220584169,-24.2617576996811,-20.2583053844163,1
TCGA-KQ-A41P-01A,-21.0181004179242,-29.2380739877309,-24.4922482333436,1
TCGA-KQ-A41Q-01A,-13.6446918356694,-23.3269949720494,-18.2135122157195,1
TCGA-PQ-A6FI-01A,-19.8662816833131,-22.7408808139206,-18.4290155055534,1
TCGA-PQ-A6FN-01A,-24.2679505756247,-28.4707705342628,-26.4402931317989,1
TCGA-S5-A6DX-01A,-25.5660045054075,-25.6679825385074,-26.8264639567224,1
TCGA-UY-A78O-01A,-19.4657543705271,-26.8524213860001,-25.3231906893245,1
TCGA-UY-A8OB-01A,-28.3087911313749,-30.0474256980308,-27.9107223659739,1
TCGA-UY-A8OD-01A,-27.043241603239,-29.1891855701027,-26.5333534905165,1
TCGA-UY-A9PB-01A,-29.5485735239297,-25.4254327323529,-22.8783685570146,1
TCGA-UY-A9PD-01A,-25.6124931475619,-24.6787983055136,-28.0680298320192,1
TCGA-UY-A9PE-01A,-25.528310990944,-27.792937687888,-26.2066932971864,1
TCGA-UY-A9PF-01A,-27.7703978770994,-26.0086945253568,-29.6719705384202,1
TCGA-XF-A8HF-01A,-29.8505496867727,-22.5680160512321,-29.1211344530541,1
TCGA-XF-A9SK-01A,-28.6506867202443,-28.8165047331883,-27.6852992269565,1
TCGA-XF-A9SM-01A,-28.9631455951488,-22.293342974333,-20.5853638752769,1
TCGA-XF-A9SP-01A,-23.9988580802699,-29.7093937537098,-27.6021649898722,1
