Sample,X,Y,Z,Cluster
TCGA-2F-A9KQ-01A,87.3232167936012,17.8075839578222,-83.0839836354396,1
TCGA-4Z-AA7N-01A,73.3404274616113,18.2806968277902,-78.109104749064,1
TCGA-4Z-AA7O-01A,67.0291092737295,13.8636035766597,-80.3523179259815,1
TCGA-BL-A13I-01A,73.8657305063148,14.8464369832835,-63.0898288558183,1
TCGA-BT-A20J-01A,62.8961358056091,23.149307642873,-62.8254982450252,1
TCGA-BT-A20O-01A,79.3565165989628,20.7730277391897,-67.2042096232064,1
TCGA-CF-A1HS-01A,75.9585203449126,11.7048393183748,-69.4663115816272,1
TCGA-DK-A1AF-01A,69.0523240166488,25.9265223575913,-68.7811957875688,1
TCGA-DK-A3IQ-01A,73.2870097041288,28.8224677282818,-80.4691001810633,1
TCGA-DK-A3IV-01A,77.0489690622484,24.0581739522676,-83.1534676527719,1
TCGA-DK-A3X2-01A,75.8535939869552,27.9775717754546,-65.1181331701955,1
TCGA-DK-AA6X-01A,83.8125187282631,29.0063975124001,-74.6100005936953,1
TCGA-E7-A5KE-01A,83.18280359674,10.9485531192589,-77.9805615956776,1
TCGA-E7-A6MD-01A,85.5250972166115,21.759432357532,-69.230591294974,1
TCGA-E7-A7DV-01A,80.5697615572211,19.8746004321734,-64.5826509779064,1
TCGA-E7-A97P-01A,68.6836428373285,20.4208599155557,-69.0993079688816,1
TCGA-FD-A3B3-01A,72.1719460258002,16.3936013301306,-73.2122164421081,1
TCGA-FD-A3B4-01A,82.9405809681381,24.5921866443188,-75.1967442979815,1
TCGA-FD-A3B7-01A,77.6092978729269,11.7177376718784,-77.171493356595,1
TCGA-FD-A3N5-01A,70.5888677026386,27.350604824936,-72.905274879021,1
TCGA-FD-A3N6-01A,80.6067455247178,11.261035215714,-77.2558304351842,1
TCGA-FD-A5BV-01A,71.1203010808046,24.5657310216742,-68.491559427532,1
TCGA-FD-A62N-01A,74.4466605540727,22.7750111642943,-78.5923051282203,1
TCGA-FD-A62S-01A,71.6773570270819,18.4427727071731,-77.8936133245739,1
TCGA-G2-A2EC-01A,83.8137297265859,17.0014873903845,-79.8706517048726,1
TCGA-G2-A2EO-01A,82.2013510376187,11.9788743211491,-65.3482049478419,1
TCGA-G2-A2ES-01A,83.3927887426819,11.6903639004748,-68.7654495422002,1
TCGA-G2-A3IB-01A,74.1421888560103,23.0251293898725,-59.2125276456536,1
TCGA-G2-A3IE-01A,78.214396625528,14.9441094646527,-66.5882771721375,1
TCGA-GC-A3I6-01A,76.6759013340535,26.3411080695828,-72.8669635568701,1
TCGA-GC-A6I1-01A,72.9542318941068,10.9468788330871,-59.1309644065134,1
TCGA-GD-A2C5-01A,66.167865349094,8.74584005014169,-72.3725005500719,1
TCGA-GD-A3OP-01A,73.0573984124111,34.9796015759368,-69.5225875008736,1
TCGA-GV-A40G-01A,77.3782616711022,22.4755793144417,-68.0839353306896,1
TCGA-H4-A2HO-01A,83.4535705115366,21.4194720082285,-83.1605036234972,1
TCGA-HQ-A2OF-01A,80.9522798979078,15.9361925070257,-70.8668856507488,1
TCGA-HQ-A5NE-01A,75.4058867564682,25.3924766510573,-69.2297200435517,1
TCGA-K4-A54R-01A,72.3221662840083,19.4964728200091,-72.1906089203891,1
TCGA-K4-AAQO-01A,74.9290802002725,29.6922294324479,-63.5858003085925,1
TCGA-UY-A78L-01A,77.9479137115707,10.2149596644962,-71.8989397304252,1
TCGA-XF-A8HD-01A,76.7650692633804,18.5972894928549,-61.3292929504534,1
TCGA-XF-AAME-01A,72.3905492599105,18.4163922163744,-62.9323138049358,1
TCGA-XF-AAMJ-01A,70.1974016493787,25.5596794460621,-66.5007935493369,1
TCGA-XF-AAMQ-01A,83.4533640216685,18.5642023518378,-77.9946728583526,1
TCGA-XF-AAMT-01A,66.7623373135272,20.4614143691568,-71.5646837983362,1
TCGA-XF-AAN0-01A,70.4265695649125,11.9609399844975,-71.3505195537692,1
TCGA-ZF-A9R4-01A,68.9040177000161,15.2880002532192,-60.7613161936279,1
TCGA-ZF-A9RD-01A,72.8325081499157,16.9554146621345,-77.7924759094015,1
TCGA-ZF-A9RF-01A,77.4246964970191,13.7288849160211,-72.4116521670773,1
TCGA-ZF-AA4X-01A,69.2796226661093,17.3099273878369,-64.8599589735404,1
TCGA-ZF-AA53-01A,64.9533346870371,12.344725740774,-65.8700947888239,1
TCGA-2F-A9KO-01A,-124.628598062842,-25.3051141551468,134.485084584516,2
TCGA-2F-A9KP-01A,-120.908307547633,-31.6744924745132,148.029279906172,2
TCGA-4Z-AA7M-01A,-132.968646802467,-26.8688254320291,143.686576965157,2
TCGA-4Z-AA7W-01A,-120.995406903978,-34.4353706984061,146.809053276653,2
TCGA-4Z-AA82-01A,-124.414584801829,-30.6277398463346,141.15121194467,2
TCGA-4Z-AA84-01A,-118.818829091986,-23.3581405876082,148.253953728343,2
TCGA-4Z-AA86-01A,-120.96148210676,-31.7348828399381,136.311977738461,2
TCGA-4Z-AA87-01A,-122.727072843593,-28.1157092092264,147.970208907001,2
TCGA-4Z-AA89-01A,-131.13827543415,-14.0110478135755,150.668465627038,2
TCGA-5N-A9KI-01A,-127.526233407175,-32.728680433334,156.715032001857,2
TCGA-BL-A3JM-01A,-140.051737043501,-21.9360024501203,145.526340278256,2
TCGA-BT-A20R-01A,-132.512041968826,-17.1411618352764,154.925910262832,2
TCGA-BT-A20U-01A,-125.464237999424,-29.5817193818927,159.139208593903,2
TCGA-BT-A20V-01A,-128.653539852211,-27.389189870771,159.424922011421,2
TCGA-BT-A20W-01A,-125.080366130071,-21.7834420099049,150.248759453159,2
TCGA-BT-A2LA-01A,-137.776855747825,-32.1024083669673,149.000966560052,2
TCGA-BT-A2LB-01A,-137.702766858078,-28.2314899214163,144.5665388429,2
TCGA-BT-A2LD-01A,-136.547802413381,-21.8433899524352,144.708356251395,2
TCGA-BT-A3PJ-01A,-125.291130637642,-28.9129327314044,141.685861629365,2
TCGA-BT-A42E-01A,-127.461875681814,-15.4741471604143,140.098130807408,2
TCGA-C4-A0EZ-01A,-132.589030509891,-17.6636583674114,150.640316886427,2
TCGA-C4-A0F1-01A,-124.165091902445,-14.007512061977,151.707291864553,2
TCGA-C4-A0F7-01A,-133.438862055233,-102.411445045588,181.25282885618,2
TCGA-CF-A47S-01A,-123.206094775797,-13.1827908681956,151.228532854047,2
TCGA-CF-A47T-01A,-122.200619496218,-17.3057608434337,154.324767355798,2
TCGA-CF-A47V-01A,-147.669418980282,-18.0441929282917,141.255552772662,2
TCGA-CF-A47W-01A,-131.515409879729,-19.228160528486,154.352047166743,2
TCGA-CF-A47X-01A,-132.088034535635,-19.8727361762389,147.243186743339,2
TCGA-CF-A47Y-01A,-133.651308117254,-18.4617091314267,144.488348187834,2
TCGA-CF-A5U8-01A,-130.277774347097,-15.7700132995884,148.017444980897,2
TCGA-CF-A8HY-01A,-125.306659366409,-21.6553967407543,145.465769784392,2
TCGA-CF-A9FH-01A,-135.491932074128,-32.1713894623696,137.945359108009,2
TCGA-CF-A9FM-01A,-134.438043789175,-29.7697463565453,151.943000483424,2
TCGA-CU-A3YL-01A,-135.23263327911,-27.9899956933013,139.986934042365,2
TCGA-CU-A72E-01A,-115.852169025313,-12.0456511401508,157.757773979785,2
TCGA-DK-A1A5-01A,-116.422531974406,-22.5261691273539,151.593301650398,2
TCGA-DK-A1AA-01A,-135.352569174385,-24.7485842754894,135.495919800307,2
TCGA-DK-A1AC-01A,-130.9028858303,-32.1126668984397,155.062274947197,2
TCGA-DK-A1AD-01A,-121.001437145812,-32.2739064059854,142.645371705253,2
TCGA-DK-A1AE-01A,-127.772357762226,-17.4550220343597,146.079993285703,2
TCGA-DK-A1AG-01A,-125.621491469004,-15.6044843581182,155.598861551159,2
TCGA-DK-A2I2-01A,-129.250201805694,-23.6760344783588,149.898484782,2
TCGA-DK-A3IK-01A,-127.368320422834,-22.3501259979116,145.396808048906,2
TCGA-DK-A3IL-01A,-125.898105972804,-36.1831674255952,154.679744110899,2
TCGA-DK-A3IM-01A,-119.598815352672,-25.3084899592205,143.668938611906,2
TCGA-DK-A3IN-01A,-124.562122313778,-23.6207259394858,143.695496062897,2
TCGA-DK-A3IU-01A,-135.330584774613,-34.2237447808927,149.283222425452,2
TCGA-DK-A3WY-01A,-140.871782962104,-18.6385245248504,145.912936515754,2
TCGA-DK-A3X1-01A,-119.947569639813,-29.6374099758456,162.99915064109,2
TCGA-DK-A6AV-01A,-124.674992176381,-35.0297319128395,158.313495706754,2
TCGA-DK-A6B0-01A,-120.244214557203,-22.232645340304,161.647236981688,2
TCGA-DK-AA6M-01A,-126.342732091065,-28.3935119241587,160.569101264782,2
TCGA-DK-AA6Q-01A,-130.260866558505,-31.1979807333989,156.848972114077,2
TCGA-DK-AA6S-01A,-123.760874581043,-46.3092951436402,158.575328467405,2
TCGA-DK-AA6T-01A,-145.501286453843,-19.6490893392122,142.517254253579,2
TCGA-DK-AA6U-01A,-128.685663422442,-40.2989191143125,149.545545558943,2
TCGA-E5-A4TZ-01A,-118.740451281115,-20.818529898515,144.950957772335,2
TCGA-E7-A3X6-01A,-127.637503932579,-28.672595723788,141.414003253786,2
TCGA-E7-A3Y1-01A,-139.946796454719,-29.0992863495531,137.523862417102,2
TCGA-E7-A4XJ-01A,-131.008491539662,-3.43775939023399,156.801770935444,2
TCGA-E7-A519-01A,-120.981331441646,-15.8252251070373,154.898997538459,2
TCGA-E7-A5KF-01A,-128.086888427476,-15.8773348266114,158.739318747292,2
TCGA-E7-A678-01A,-129.72176591736,-34.1604587956194,154.478898609633,2
TCGA-E7-A6ME-01A,-133.476857789533,-19.367943607564,155.18159098084,2
TCGA-E7-A7DU-01A,-130.951900602009,-19.4844833027058,143.343349002534,2
TCGA-E7-A8O7-01A,-123.708198316215,-24.2842569479537,151.894394181618,2
TCGA-E7-A8O8-01A,-137.408262275972,-36.7598824212083,148.00981594647,2
TCGA-FD-A3B6-01A,-124.338411821732,-41.8383732646681,155.660328203837,2
TCGA-FD-A3SJ-01A,-123.989254239657,-32.9434449465893,153.536973097648,2
TCGA-FD-A3SP-01A,-130.842488666698,-17.5904019488405,137.312421859217,2
TCGA-FD-A3SR-01A,-136.997053983851,-25.1877090477173,146.858733107648,2
TCGA-FD-A3SS-01A,-134.683219675361,-28.7007157873448,147.292948841095,2
