Sample,X,Y,Z,Cluster
TCGA-CS-4943-01A,-17.7050240887245,24.7593219180474,-7.90847022564646,1
TCGA-CS-5395-01A,-16.674016021292,18.3286908019169,-7.42054039228827,1
TCGA-CS-5397-01A,-15.7031362224682,18.255453334448,-7.79556441898024,1
TCGA-CS-6186-01A,-17.5563893520564,12.9543303821154,-7.31786618547109,1
TCGA-CS-6188-01A,-16.8271967296031,14.5271652427714,-4.64588589935468,1
TCGA-DB-5277-01A,-12.3100511028744,19.1015516225794,-7.64003755992619,1
TCGA-DB-A64W-01A,-19.4280668527966,20.8247903801801,-7.12840379237986,1
TCGA-DH-5140-01A,-19.8225979624444,20.709296512611,-14.4978724052124,1
TCGA-DH-A669-01A,-21.5691478936047,20.8397823507146,-10.3891320842027,1
TCGA-DH-A7UU-01A,-23.4607279746903,19.0092668618521,-8.36846626143444,1
TCGA-DU-5847-01A,-21.0784880572643,19.2424075953819,-7.50856846774581,1
TCGA-DU-5854-01A,-16.0721946141302,13.1616334316647,-4.16985463980129,1
TCGA-DU-6392-01A,-22.5193062445647,20.7895611422686,-10.1881704450064,1
TCGA-DU-6403-01A,-18.1994842446541,21.2953467588238,-8.58762049753292,1
TCGA-DU-6405-01A,-19.5396068430946,18.1839448333843,-7.71118902496449,1
TCGA-DU-6406-01A,-19.9717169911949,19.1450846857526,-10.3939179649071,1
TCGA-DU-7010-01A,-14.4103315847018,19.8456913388293,-5.62801649722609,1
TCGA-DU-7013-01A,-18.8168760852925,21.5508354488136,-9.76970566549184,1
TCGA-DU-7292-01A,-13.9914396663798,15.8377797420937,-5.62322704852746,1
TCGA-DU-7298-01A,-14.9522379386008,15.8819481578993,-6.26870339672717,1
TCGA-DU-8165-01A,-16.8244921270092,17.0685288504697,-5.50489888005833,1
TCGA-DU-A5TY-01A,-15.8548328406771,18.4316927115156,-10.8287845081296,1
TCGA-DU-A76L-01A,-18.2243706760383,17.0917604947023,-9.00981298583334,1
TCGA-DU-A7TD-01A,-20.4403004978052,23.3631785293042,-8.02002302707215,1
TCGA-DU-A7TJ-01A,-18.2174414149836,19.1061023202064,-9.18525391412493,1
TCGA-E1-5304-01A,-18.5425819452511,22.6821516554523,-9.47850864002043,1
TCGA-E1-A7YI-01A,-16.1429289777056,23.572568698439,-8.19959815001821,1
TCGA-E1-A7YQ-01A,-16.690299315508,12.4976895572334,-7.21706842120372,1
TCGA-E1-A7YV-01A,-16.5652453705515,20.4831085356883,-9.22025552863394,1
TCGA-FG-6688-01A,-17.5881543386786,14.8064019527859,-4.74347658956126,1
TCGA-FG-A4MU-01B,-18.2084059290311,19.932907620593,-9.19913802721179,1
TCGA-FG-A87N-01A,-21.2988310286759,21.9659409029373,-8.99999622338623,1
TCGA-HT-7467-01A,-17.0369266566184,11.115026338625,-6.58973151943623,1
TCGA-HT-7471-01A,-19.8307634196186,20.4820502574429,-7.09907445456588,1
TCGA-HT-7477-01B,-15.5370760680886,20.4835593750848,-9.81807828290945,1
TCGA-HT-8011-01A,-18.1622305077605,20.2039460320536,-7.76045510280676,1
TCGA-HT-8104-01A,-15.4546039110547,16.371597998112,-4.97738884782641,1
TCGA-HT-8110-01A,-18.7650123292893,16.768416401068,-7.95977852774911,1
TCGA-HT-8564-01A,-19.1825497771098,11.3502648293831,-7.48238541093254,1
TCGA-HT-A5RA-01A,-19.953402227806,20.0887209252482,-8.52562115684709,1
TCGA-HT-A5RC-01A,-16.760986030358,18.9248683731047,-10.7659056279042,1
TCGA-HT-A61B-01A,-12.68574392228,18.8415540523809,-9.09094348202057,1
TCGA-HT-A61C-01A,-20.772630241711,22.2189814217569,-10.9054261192661,1
TCGA-HW-7486-01A,-17.9890173709805,12.4638090482934,-4.11510203853704,1
TCGA-KT-A7W1-01A,-19.3210112905341,19.7670523251439,-9.89738781963106,1
TCGA-P5-A5EU-01A,-12.4810728024621,19.3103396285583,-8.82082794167112,1
TCGA-S9-A6U0-01A,-17.9359142388517,20.5276613262571,-11.7420135335823,1
TCGA-S9-A6WG-01A,-21.520468514958,17.8280534292594,-8.95548066883258,1
TCGA-S9-A7IS-01A,-19.341199040235,19.8551024214079,-10.0895739169553,1
TCGA-S9-A7J0-01A,-18.8779339779278,21.2850722106907,-7.46968015912057,1
TCGA-TM-A84B-01A,-18.0083255912838,12.9265416923978,-6.2842874666189,1
TCGA-TM-A84I-01A,-16.0995368308809,21.6167496122104,-9.34447831933504,1
TCGA-TM-A84J-01A,-17.6255077102788,23.5600648502,-9.76803518811333,1
TCGA-TQ-A7RM-01A,-18.6030587630793,21.7485309446457,-8.76429822044245,1
TCGA-CS-4944-01A,16.2566449922806,-8.13153030069013,-3.49318772132096,2
TCGA-CS-6670-01A,7.00344009096488,-21.5511448618785,0.57813055588624,2
TCGA-DB-5278-01A,11.8077780855009,-26.6585203190333,3.90666858884317,2
TCGA-DB-A4XA-01A,12.079601864551,-20.6426316922804,1.05978922508517,2
TCGA-DB-A64R-01A,9.892793141163,-25.8614383933692,3.33517159191778,2
TCGA-DB-A64U-01A,15.1606956931437,-21.5747917691007,11.176129362669,2
TCGA-DB-A64V-01A,14.5846931237541,-19.6382029475783,4.97295059620506,2
TCGA-DB-A64X-01A,12.8434027656568,-10.7116251642576,3.32496387686707,2
TCGA-DB-A75P-01A,14.2769812608974,-11.0592849973275,-1.99393822881691,2
TCGA-DH-5141-01A,11.8867706964591,-19.8764001858665,4.21504313927493,2
TCGA-DH-A66B-01A,17.7763816528877,-9.83429006485506,-1.98297312622338,2
TCGA-DH-A66F-01A,14.0010918339561,-23.4231024631925,12.4890966538944,2
TCGA-DH-A7US-01A,13.2995993475263,-19.7992878800352,7.28911122014097,2
