Sample,X,Y,Z,Cluster
TCGA-CS-5390-01A,27.2987718408428,10.5342250858136,-17.8293660968858,1
TCGA-CS-5394-01A,28.0686741874776,10.7188498904425,-17.8492691932535,1
TCGA-CS-6186-01A,24.9014922486269,14.9248706775147,-13.3042835272152,1
TCGA-CS-6668-01A,25.5417485891368,11.8526685350424,-16.9596012194989,1
TCGA-CS-6669-01A,30.1638562407463,10.8071832868077,-28.5370037014156,1
TCGA-DB-A4XG-01A,30.3081239916719,11.391389991476,-16.9783338872327,1
TCGA-DB-A4XH-01A,27.942552360741,12.276394770777,-17.2342005295764,1
TCGA-DB-A64L-01A,28.9978099863285,11.9986788645817,-16.6187646161334,1
TCGA-DB-A64W-01A,29.8300095568537,11.6504327874595,-14.4108463099903,1
TCGA-DB-A64X-01A,22.3806010472338,14.3123027111187,-14.3791218638726,1
TCGA-DH-5144-01A,21.8464980481626,13.0817309815755,-13.3504916221601,1
TCGA-DH-A7UR-01A,32.0717523090614,13.9125507318082,-17.4466993277381,1
TCGA-DU-5871-01A,24.841131863059,12.3026230912987,-16.2394479468521,1
TCGA-DU-5872-01A,26.1892893622177,9.94442044348132,-19.9562521719505,1
TCGA-DU-5874-01A,27.7067077173162,9.94209839543798,-18.004604450348,1
TCGA-DU-6394-01A,30.0600531659685,12.5046907553693,-21.808414266112,1
TCGA-DU-7018-01A,22.8171412904569,13.0371917723251,-13.6964862882307,1
TCGA-DU-7294-01A,21.9023812956047,12.8655108161772,-13.1455176277502,1
TCGA-DU-7300-01A,25.7012705487665,9.94993770876524,-13.1823663450109,1
TCGA-DU-7302-01A,21.950022563977,11.3731702875429,-10.2663224344456,1
TCGA-DU-7304-01A,30.3487459621404,6.02497388769167,-28.9885311029084,1
TCGA-DU-7306-01A,27.2441508631583,12.5987607121645,-19.0635735940986,1
TCGA-DU-8161-01A,28.2724888867578,11.4029224409361,-28.2965881597236,1
TCGA-DU-8162-01A,29.9921492992942,10.2601315000879,-27.9885738828515,1
TCGA-DU-8164-01A,30.5130726145308,11.0755054654287,-17.2245879789012,1
TCGA-DU-A6S3-01A,31.7169104531937,14.827902752228,-17.0439888629448,1
TCGA-DU-A7TG-01A,29.2236020917353,11.4381532751287,-25.587744835105,1
TCGA-E1-5311-01A,24.4143390559006,13.6068704033905,-14.4607848855771,1
TCGA-E1-5318-01A,24.2770227712143,14.143868478201,-14.2902313133887,1
TCGA-E1-A7YO-01A,27.628133941009,12.2291667871739,-19.5660745288137,1
TCGA-E1-A7YY-01A,29.7868058391734,12.259868351174,-24.9869286747576,1
TCGA-E1-A7Z3-01A,26.3698889150325,10.1761584364248,-22.0070720579975,1
TCGA-E1-A7Z4-01A,26.3297725137712,14.9015900397725,-9.14624216134947,1
TCGA-E1-A7Z6-01A,30.0185902456913,7.86114771465602,-27.4947537679027,1
TCGA-EZ-7264-01A,22.093075085318,11.4558750512728,-10.4436925501969,1
TCGA-FG-5962-01B,26.6629098017764,12.9034134408345,-18.618321450415,1
TCGA-FG-5964-01A,21.0889687426806,14.2732374082225,-14.0688624143445,1
TCGA-FG-6688-01A,27.2016065588939,7.56397640974738,-19.8697090156177,1
TCGA-FG-7637-01A,27.1426449092484,8.65116437556781,-18.9748701671775,1
TCGA-FG-7641-01B,26.3344766091748,14.593732963124,-9.14828008714389,1
TCGA-FG-8181-01A,28.6179297950245,11.5789381197552,-26.2891264308529,1
TCGA-FG-8189-01B,29.2437391250068,11.2825385641362,-25.6246156545914,1
TCGA-HT-7468-01A,21.396034049324,12.8159445340068,-13.0005616784777,1
TCGA-HT-7473-01A,30.3349939925302,6.07922679860136,-28.9361885313573,1
TCGA-HT-7480-01A,26.3659966086042,14.1467029243362,-11.2649437916975,1
TCGA-HT-7485-01A,26.2228885048916,9.92326852224097,-19.3722083782789,1
TCGA-HT-7607-01A,28.1023755351275,11.5024748261811,-26.1793527001382,1
TCGA-HT-7616-01A,27.5947541173467,12.230755159541,-19.9873931962655,1
TCGA-HT-7677-01A,26.1218398279679,15.8894328663031,-9.85704506533419,1
TCGA-HT-7680-01A,25.6645554794235,10.8452730089339,-19.0979035809397,1
TCGA-HT-7687-01A,26.4130932400601,14.2114387899414,-10.980247344401,1
TCGA-HT-7694-01A,22.3797239248416,10.9684422037724,-10.1259136482062,1
TCGA-HT-7695-01A,26.4439625991285,14.4112180409496,-9.14447047976718,1
