Sample,X,Y,Z,Cluster
TCGA-3C-AAAU-01A,32.1149757416207,-26.369537646861,-79.3371036061636,1
TCGA-3C-AALJ-01A,20.8227376905749,-28.676786395493,-81.8661282860225,1
TCGA-3C-AALK-01A,25.2380042700485,-28.941517197255,-85.5977024302266,1
TCGA-4H-AAAK-01A,36.4550644042132,-21.8440385859121,-80.0365225299945,1
TCGA-5L-AAT0-01A,28.1608032238164,-33.3872648452001,-81.9813563890854,1
TCGA-5L-AAT1-01A,20.1867652455967,-41.2927315776689,-76.9721442348439,1
TCGA-A1-A0SD-01A,38.2371559989628,-21.3602219720154,-80.7596327659565,1
TCGA-A1-A0SE-01A,23.8036955655434,-18.0051299970543,-79.762759423823,1
TCGA-A1-A0SF-01A,23.1914410297376,-22.4393119711598,-82.4217362251616,1
TCGA-A1-A0SG-01A,31.4253704275017,-21.7613757255515,-81.6645880854972,1
TCGA-A1-A0SM-01A,29.2639028232335,-35.9141434702124,-75.707175750576,1
TCGA-A1-A0SQ-01A,31.959650076342,-24.0983078293217,-82.8922926549014,1
TCGA-A2-A04N-01A,33.2607914864281,-22.4041949702016,-80.2590601312801,1
TCGA-A2-A04R-01A,24.1404836186236,-16.3492928790335,-86.3616836808146,1
TCGA-A2-A04V-01A,22.865786929117,-20.900634962841,-81.5568712670231,1
TCGA-A2-A0CK-01A,23.7175318198337,-38.6988656744347,-81.1890268545395,1
TCGA-A2-A0CO-01A,23.0777329122367,-38.3852752507376,-80.0987482139029,1
TCGA-A2-A0CP-01A,21.35273731446,-22.8079060838457,-82.8724885880485,1
TCGA-A2-A0CQ-01A,20.1835048217446,-24.6802696947276,-81.5373247371485,1
TCGA-A2-A0CR-01A,22.910545414736,-37.2539297684899,-80.7177934863297,1
TCGA-A2-A0CS-01A,31.266475725328,-20.6067952800988,-81.5253524934512,1
TCGA-A2-A0CW-01A,22.4224691249521,-19.9836424298959,-79.4707475864866,1
TCGA-A2-A0CZ-01A,21.8421727030099,-41.2589554640283,-78.7761337751538,1
TCGA-A2-A0D4-01A,38.7260402026569,-24.475621139222,-81.2190300004598,1
TCGA-A2-A0EP-01A,20.3125613619533,-40.3089942080695,-75.8110688998922,1
TCGA-A2-A0SU-01A,23.7017037183608,-18.2213040486991,-79.9071592906741,1
TCGA-A2-A0SY-01A,29.625562442327,-31.9881317736585,-83.1317060552613,1
TCGA-A2-A0T5-01A,26.2729169912828,-24.4813822263243,-75.7838314181781,1
TCGA-A2-A0YC-01A,36.2201157148605,-20.3912849941608,-75.7632969128938,1
TCGA-A2-A0YE-01A,21.9828248942365,-14.2730172797403,-80.2682597403245,1
TCGA-A2-A259-01A,35.1045670464794,-23.8004187113348,-79.4689857860527,1
TCGA-A2-A3KC-01A,21.9406340688209,-20.370869581888,-77.2537468324967,1
TCGA-A2-A3XV-01A,22.678730642292,-33.0328856173293,-85.8622866758316,1
TCGA-A2-A3XW-01A,19.5516041217768,-38.8623503516979,-78.6005825334065,1
TCGA-A2-A4RW-01A,27.7937972605831,-33.678666543588,-75.4284928037204,1
TCGA-A2-A4RY-01A,25.1245668783698,-40.5833916491655,-75.8215471019751,1
TCGA-A2-A4S0-01A,31.7923537148146,-23.216295487065,-70.9139769245981,1
TCGA-A2-A4S1-01A,19.8093476907269,-36.1419577133089,-79.2175490510992,1
TCGA-A2-A4S2-01A,23.4965508554577,-27.8244779707725,-77.0376145007888,1
TCGA-A7-A13H-01A,27.9271299099099,-34.9810153088535,-76.100199785787,1
TCGA-A7-A3IZ-01A,29.8293040416805,-33.4161225104286,-75.1100729319218,1
TCGA-A7-A3J1-01A,25.9065673610439,-37.7473359631874,-70.8497968033166,1
TCGA-A7-A3RF-01A,17.5227764722393,-35.4206814301868,-78.4390163453164,1
TCGA-A7-A425-01A,27.757678372305,-32.746653167619,-82.2571990551811,1
TCGA-A7-A426-01A,27.6813362909123,-32.7100821576576,-81.2157434991673,1
TCGA-A7-A4SA-01A,26.6075439258705,-37.2292938674543,-80.2045447956566,1
TCGA-A7-A4SB-01A,20.1401510550412,-30.3324516918106,-80.7283367948718,1
TCGA-A7-A4SC-01A,21.6181429040603,-39.9904890070431,-73.6010676530364,1
TCGA-A7-A4SF-01A,26.0550904416956,-26.7387047134555,-83.1538163139887,1
TCGA-A7-A56D-01A,22.7687566865636,-36.6449032638258,-80.837702919688,1
TCGA-A7-A5ZX-01A,28.0530158445188,-36.9730750673262,-75.9470463316397,1
TCGA-A7-A6VW-01A,17.427367365768,-37.6086999918803,-78.2174832182472,1
TCGA-A7-A6VY-01A,20.6333661690594,-36.0951606449029,-78.9851193986157,1
TCGA-A8-A06P-01A,33.3841022911246,-21.6806548947147,-80.8978704653987,1
TCGA-A8-A06R-01A,28.5817920286717,-22.1096621218296,-81.5760203938854,1
TCGA-A8-A06U-01A,38.7256319088307,-24.7966423242754,-81.1825297866278,1
TCGA-A8-A06Z-01A,23.0429337831906,-19.1780074720783,-86.9161104306999,1
TCGA-A8-A07J-01A,31.3147819268772,-21.3224475050962,-74.4259018144375,1
TCGA-A8-A07P-01A,23.2817409062639,-18.5774890000847,-86.7264867507891,1
TCGA-A8-A07Z-01A,26.1303901580175,-30.3116806094243,-82.1468360823572,1
TCGA-A8-A083-01A,32.8276721367628,-23.8334414957151,-79.6844660648617,1
TCGA-A8-A08A-01A,27.3530768385986,-31.9708919073462,-79.8467567409797,1
TCGA-A8-A08G-01A,26.0438780320426,-38.414313948268,-84.3249917150645,1
TCGA-A8-A091-01A,34.6406907280392,-25.4925790026275,-79.8464810246266,1
TCGA-A8-A093-01A,25.1547811253017,-19.9063199366051,-77.2238557811002,1
TCGA-A8-A09B-01A,24.8098116923421,-21.6579515897686,-80.9298427825649,1
TCGA-A8-A09K-01A,22.7663634943313,-18.0943339838232,-80.7978911857007,1
TCGA-A8-A09M-01A,22.7568952412627,-19.2419190074322,-82.9180765642242,1
TCGA-A8-A09N-01A,25.0878879269995,-15.7969757635766,-78.9926095994965,1
TCGA-A8-A09Q-01A,22.0207721840314,-14.6726144479031,-80.4333250583708,1
TCGA-A8-A09T-01A,35.9270264033585,-20.3910029438633,-76.7791714268618,1
TCGA-A8-A0A9-01A,27.5165624720669,-20.4641474320278,-76.8360564328213,1
TCGA-A8-A0AD-01A,37.9148282074916,-22.144966095979,-79.8444303025447,1
TCGA-AC-A23G-01A,22.3708518490203,-36.6573636710988,-75.2943075213175,1
TCGA-AC-A2BM-01A,33.3366480703137,-25.5538632981058,-79.1865253155485,1
TCGA-AC-A2FM-01A,28.9048309922132,-34.1970006837563,-85.3884147748023,1
TCGA-AC-A2QI-01A,27.0580502179669,-36.9289761899857,-74.7586358860162,1
TCGA-AC-A2QJ-01A,18.3026832099218,-38.3765989707417,-78.4054913568348,1
TCGA-AC-A3BB-01A,22.6480028434628,-36.2108896942461,-75.2202887928967,1
TCGA-AC-A3EH-01A,20.3653843692193,-22.7936212653917,-78.4254324057965,1
TCGA-AC-A3HN-01A,21.6122949107312,-40.0215031593064,-73.4366568889073,1
TCGA-AC-A3QP-01A,23.5417520300767,-32.2317566932928,-83.042566996801,1
TCGA-AC-A3TM-01A,25.3264148083609,-34.925201169576,-82.9400898391079,1
TCGA-AC-A3TN-01A,27.7741052468412,-33.1777197194909,-81.6901182819862,1
