Sample,X,Y,Z,Cluster
TCGA-3C-AAAU-01A,-148.647133688198,-85.0658350000809,92.3093758462329,1
TCGA-3C-AALJ-01A,-145.170641068545,-98.3923466793331,101.649855775149,1
TCGA-3C-AALK-01A,-147.239203860687,-89.3511625698282,102.604708214816,1
TCGA-4H-AAAK-01A,-149.153362492313,-93.5823945451696,86.6023747874483,1
TCGA-5L-AAT0-01A,-146.437735327202,-91.3211880959442,94.5475745031984,1
TCGA-5L-AAT1-01A,-151.857263863067,-92.2896471655334,87.4805419499426,1
TCGA-A1-A0SD-01A,-148.637123458332,-103.102898708107,88.725799445783,1
TCGA-A1-A0SE-01A,-148.535546088998,-110.131968561845,98.5073825307059,1
TCGA-A1-A0SF-01A,-147.910769576862,-102.442998523428,99.4294531871943,1
TCGA-A1-A0SG-01A,-146.006261798859,-96.4557868975533,95.1594705068608,1
TCGA-A1-A0SQ-01A,-151.052725598703,-106.831503116304,84.8749041717251,1
TCGA-A2-A04N-01A,-145.954412469113,-92.5112984287946,94.2411321793598,1
TCGA-A2-A04V-01A,-146.867151569594,-104.983717827965,102.997317585175,1
TCGA-A2-A0CK-01A,-152.657164509598,-89.5582011799296,97.741274862907,1
TCGA-A2-A0CO-01A,-147.229858984702,-90.0335190912303,94.195351410851,1
TCGA-A2-A0CP-01A,-145.467225318594,-104.408456719293,103.884518856445,1
TCGA-A2-A0CQ-01A,-147.529291367559,-100.284296465652,105.024694804513,1
TCGA-A2-A0CR-01A,-151.127324704237,-88.9436790109476,97.4013531962759,1
TCGA-A2-A0CS-01A,-144.883956628339,-103.064951405028,97.039551945806,1
TCGA-A2-A0CV-01A,-149.068676714916,-97.0300794486331,85.8360346337521,1
TCGA-A2-A0CW-01A,-146.887383340619,-109.369729009413,104.821997940228,1
TCGA-A2-A0CY-01A,-156.756365912776,-108.36411831766,86.9828885498596,1
TCGA-A2-A0D3-01A,-150.251487874884,-106.26151052862,89.6357950196526,1
TCGA-A2-A0EP-01A,-150.371968046807,-94.5694166320667,86.97092389587,1
TCGA-A2-A0SU-01A,-147.964426770502,-108.790122445009,96.5063292509158,1
TCGA-A2-A0SY-01A,-144.165340662871,-91.6122159167528,93.8183761953121,1
TCGA-A2-A0T5-01A,-141.723562547628,-99.4090523408011,100.192873937935,1
TCGA-A2-A0YD-01A,-148.992070361108,-104.348119856789,88.5030178191586,1
TCGA-A2-A0YE-01A,-149.587519667828,-111.565227737686,98.6556051468716,1
TCGA-A2-A0YH-01A,-152.132953979607,-111.646439681791,99.9810213828844,1
TCGA-A2-A259-01A,-145.749108111716,-95.5512409159106,88.8159604965484,1
TCGA-A2-A3KC-01A,-149.433770831034,-107.727658543994,103.727089008533,1
TCGA-A2-A3XV-01A,-147.457565852948,-87.9398019196952,102.996388334391,1
TCGA-A2-A3XW-01A,-151.141429801405,-88.7312708277309,97.3286053988174,1
TCGA-A2-A4RW-01A,-145.021363188626,-94.0058967393045,95.7068073085739,1
TCGA-A2-A4RY-01A,-150.655842660434,-94.365194487436,87.4341572961465,1
TCGA-A2-A4S1-01A,-147.797983679742,-96.6650419517057,100.093387944139,1
TCGA-A7-A13H-01A,-146.12239413018,-91.1989043258756,94.7669378130382,1
TCGA-A7-A3RF-01A,-144.006334746912,-101.456272816619,101.624053244516,1
TCGA-A7-A425-01A,-146.52247997853,-89.5816491728224,96.5814866837616,1
TCGA-A7-A426-01A,-146.55064511855,-91.4828500050914,96.6644880847365,1
TCGA-A7-A4SA-01A,-151.998147466397,-92.239525349426,86.5399277478079,1
TCGA-A7-A4SB-01A,-142.449008093622,-99.4552243822788,102.6269319269,1
TCGA-A7-A4SC-01A,-140.252160830787,-95.2830803904991,97.7210946199524,1
TCGA-A7-A4SF-01A,-142.373794041115,-97.3734878126722,100.320432947443,1
TCGA-A7-A56D-01A,-148.347724032021,-89.1406234779296,98.1675081356742,1
TCGA-A7-A5ZX-01A,-148.466837063811,-93.5265237595456,89.2024127723558,1
TCGA-A7-A6VX-01A,-145.358841970462,-105.494036484596,97.3537940895933,1
TCGA-A7-A6VY-01A,-148.558958392265,-95.7252960283412,99.6672816769777,1
TCGA-A8-A06P-01A,-148.023247009843,-93.6596904182161,94.5788891480311,1
TCGA-A8-A06R-01A,-143.511112263625,-101.987091927444,102.987567081288,1
TCGA-A8-A06X-01A,-147.247031087096,-111.069099298912,106.534317750841,1
TCGA-A8-A06Z-01A,-144.427305492986,-101.64655538278,106.431817855935,1
TCGA-A8-A07J-01A,-145.621984423791,-105.565478835372,97.2542314770763,1
TCGA-A8-A07P-01A,-150.503898865605,-103.498960632392,82.9791128389001,1
TCGA-A8-A07Z-01A,-144.681993071951,-93.6555993075617,99.210087188379,1
TCGA-A8-A083-01A,-147.241787924189,-94.9819804371642,90.2448888569614,1
TCGA-A8-A08A-01A,-145.36917355778,-93.1394289308154,96.3258039194731,1
TCGA-A8-A08C-01A,-152.47733372488,-107.695267981806,86.7307246560932,1
TCGA-A8-A08T-01A,-149.36639667802,-96.6585792340167,85.6310643338291,1
TCGA-A8-A091-01A,-138.984668838478,-95.9171749517,97.5596711477889,1
TCGA-A8-A09K-01A,-147.616163965857,-107.398734920795,103.761794533527,1
TCGA-A8-A09M-01A,-146.827404948958,-107.463721416373,104.459189740509,1
TCGA-A8-A09Q-01A,-148.41851281957,-110.005467492187,98.5825592230722,1
TCGA-A8-A0A4-01A,-151.288586663393,-110.527706436691,96.1548326521556,1
TCGA-A8-A0A9-01A,-150.119095687004,-99.9478959809313,102.421161461585,1
TCGA-AC-A23G-01A,-149.799223336541,-98.1952681979518,101.035385932492,1
TCGA-AC-A2BM-01A,-141.720968715136,-90.9118778914165,91.6407004621998,1
