Sample,X,Y,Z,Cluster
TCGA-3C-AALK-01A,150.374384262263,7.56517298815124,16.1876761327919,1
TCGA-4H-AAAK-01A,144.661347613019,-27.6556313510853,19.7003334879094,1
TCGA-5L-AAT0-01A,145.116648972192,-33.8564571937207,35.3766735464527,1
TCGA-5L-AAT1-01A,144.910605457152,12.8532377278965,23.6235237335693,1
TCGA-A1-A0SB-01A,136.87321927302,-17.7675261230297,52.6216463224925,1
TCGA-A1-A0SE-01A,131.884916210288,-14.8588381708153,39.4535345574955,1
TCGA-A1-A0SF-01A,144.354131420348,-18.2129350022072,27.0589778707801,1
TCGA-A1-A0SG-01A,150.918568606253,3.10392299837565,14.0604360196362,1
TCGA-A1-A0SI-01A,140.209711665428,14.8712238536864,19.1488591794447,1
TCGA-A1-A0SJ-01A,108.00088068287,-34.967787903699,-1.57465891950695,1
TCGA-A1-A0SK-01A,158.852952295942,9.4543982405589,28.6433895546815,1
TCGA-A1-A0SM-01A,122.842013193498,-36.5685738819523,-0.202939186631471,1
TCGA-A1-A0SN-01A,109.493930924618,-24.1625126177348,-0.00912265353876118,1
TCGA-A1-A0SO-01A,130.080287200716,-8.12357393623539,44.0072731214068,1
TCGA-A1-A0SP-01A,154.393706715304,17.0402734695067,19.7972173030642,1
TCGA-A1-A0SQ-01A,148.277628142807,19.7906336631996,24.2620707722373,1
TCGA-A2-A04N-01A,119.164683995188,-59.4594565259417,-3.66505709233181,1
TCGA-A2-A04P-01A,142.972227439078,-13.0781838934634,27.6297476078384,1
TCGA-A2-A04Q-01A,144.888471688375,20.6611084392614,28.7597732393548,1
TCGA-A2-A04R-01A,117.577851025849,-58.556750326695,-6.35175696646298,1
TCGA-A2-A04T-01A,162.003745744591,-22.5457100174645,37.7301753878416,1
TCGA-A2-A04U-01A,150.107467628279,-29.3100352352242,11.9679569245514,1
TCGA-A2-A04W-01A,152.520961369111,9.61975711081809,9.48071931754047,1
TCGA-A2-A04X-01A,143.722973600635,21.5606337980744,26.9474078637543,1
TCGA-A2-A04Y-01A,146.545228666523,20.9085158723322,26.8989166232747,1
TCGA-A2-A0CL-01A,139.138804058804,-25.4501814769952,55.0255163934856,1
TCGA-A2-A0CM-01A,124.671460789788,-41.4978965658744,-2.58810515909854,1
TCGA-A2-A0CO-01A,144.553321565574,-26.899326391313,28.1898010650932,1
TCGA-A2-A0CP-01A,143.816402430618,-34.4356182458424,23.859651928969,1
TCGA-A2-A0CS-01A,119.619248094601,-54.0282498045301,-5.4755270884919,1
TCGA-A2-A0CU-01A,148.066481764918,13.8186944909124,11.2221495485933,1
TCGA-A2-A0CV-01A,144.707252934135,-33.2870613975952,26.9999342679996,1
TCGA-A2-A0CX-01A,120.183185409986,-24.3923713503262,0.0649055465190459,1
TCGA-A2-A0CZ-01A,144.131303043377,-23.5615610316521,29.3210386037426,1
TCGA-A2-A0D0-01A,130.795196616276,-39.8907417237131,6.82086094233862,1
TCGA-A2-A0D1-01A,148.346971661422,7.09135152509416,5.20352933019533,1
TCGA-A2-A0D2-01A,159.891901135567,8.13015328325392,30.7828330543182,1
TCGA-A2-A0D3-01A,145.814017188853,-26.2901812905747,43.932796434963,1
TCGA-A2-A0EM-01A,138.42985898485,14.5855580876402,18.0475085357385,1
TCGA-A2-A0EN-01A,148.523267370903,-27.596473806073,21.9386751462993,1
TCGA-A2-A0EP-01A,144.335019338198,-27.1803574068559,26.8364387317903,1
TCGA-A2-A0EQ-01A,143.861703257611,25.4318478864484,28.6084304452244,1
TCGA-A2-A0ER-01A,143.722171498015,21.6249154309936,27.8072419597294,1
TCGA-A2-A0ES-01A,136.485836845454,-15.4136843232849,51.034598131811,1
TCGA-A2-A0ET-01A,129.500228788716,-12.233927007327,40.5290575953503,1
TCGA-A2-A0EU-01A,147.858986986959,18.7863156172469,24.17938673925,1
TCGA-A2-A0EW-01A,139.294916099479,-12.4108065233507,49.366705372999,1
TCGA-A2-A0EX-01A,-66.6649889980044,157.189705782661,66.6818136810616,1
TCGA-A2-A0EY-01A,116.456966756612,-28.6073417877181,2.17452451934629,1
TCGA-A2-A0ST-01A,159.394134385918,9.02168547830713,29.6575441734616,1
TCGA-A2-A0SU-01A,129.534112216325,-14.0428838258541,38.7721185489078,1
TCGA-A2-A0SW-01A,148.053635921608,11.9616669712416,4.83204629930211,1
TCGA-A2-A0SX-01A,146.873007165481,-17.7731402891467,42.9659047731521,1
TCGA-A2-A0SY-01A,147.892350383969,-19.8439045991056,22.1720267330478,1
TCGA-A2-A0T1-01A,155.457268841461,14.1803069500558,16.104537989731,1
TCGA-A2-A0T3-01A,150.70976954299,-26.3779930036313,14.8927590985895,1
TCGA-A2-A0T5-01A,135.015113876158,-30.6011348712096,16.7657924989606,1
TCGA-A2-A0T6-01A,147.165163143173,-30.6919208423699,45.1404215544911,1
TCGA-A2-A0T7-01A,110.367160838637,-54.0382295143233,-11.9462292036663,1
TCGA-A2-A0YC-01A,139.631754093592,16.6515624090034,19.2822349635231,1
TCGA-A2-A0YD-01A,150.53471511669,-24.5026370302011,60.0041935755175,1
TCGA-A2-A0YG-01A,124.621113065401,-28.7192983242986,9.84578983171757,1
TCGA-A2-A0YH-01A,116.900080944717,-43.6412829512544,-1.40148862912915,1
TCGA-A2-A0YI-01A,146.884467712605,-19.6243508078974,43.9607152737776,1
TCGA-A2-A0YJ-01A,123.337709677657,-43.8250090787075,-1.74660810333112,1
TCGA-A2-A0YK-01A,142.874295196933,-27.1434327085987,58.0432562689114,1
TCGA-A2-A0YL-01A,145.840299729018,-26.3228133121292,43.9233736127281,1
TCGA-A2-A0YM-01A,129.546712700583,-12.2859813939746,40.5685049325493,1
TCGA-A2-A0YT-01A,151.416108144886,10.2544129172106,9.68321051935583,1
TCGA-A2-A1FV-01A,158.191096472734,-33.865877454842,45.2186550465724,1
TCGA-A2-A1FX-01A,116.649576606926,-55.3602298097915,-7.33089168598157,1
TCGA-A2-A1FZ-01A,144.592304970062,7.45832792864113,25.5643475875876,1
TCGA-A2-A1G0-01A,138.21781600168,-19.5485909818613,53.3898673504393,1
