Sample,X,Y,Z,Cluster
TCGA-A2-A0EO-01A,-45.8250254034918,-18.4322200143659,-6.67803888239488,1
TCGA-A2-A0ET-01A,-40.5517476628653,-11.4463020608807,-12.1400947083381,1
TCGA-A7-A0CG-01A,-32.5531510172015,-11.5235376573551,-16.1794275116407,1
TCGA-A7-A0D9-01A,-39.2993427810882,-10.8680139073338,-12.7979623880138,1
TCGA-A7-A13D-01A,-41.6356612179345,-4.29329055570381,-6.89595822627845,1
TCGA-A8-A06U-01A,-32.5771644203813,4.90152354623908,-27.8242198008005,1
TCGA-A8-A07P-01A,-38.3246076417407,8.49210131220173,-26.3553293023767,1
TCGA-A8-A08A-01A,-37.9094314472987,-7.22935727077586,-3.01569915827902,1
TCGA-A8-A093-01A,-36.893577593944,-12.3431737354858,-0.291603329440314,1
TCGA-A8-A09G-01A,-34.7659566466906,15.4287094703377,-14.6894356325245,1
TCGA-A8-A09Q-01A,-25.6941630405302,0.456536826003978,-11.4307723562103,1
TCGA-A8-A09T-01A,-35.5992325044372,19.9345688179493,-26.682900516285,1
TCGA-A8-A0A2-01A,-31.4365520144477,-33.0472461498779,-22.316812683156,1
TCGA-A8-A0A6-01A,-24.861963380716,-43.4085215988268,-13.3721293527452,1
TCGA-A8-A0A7-01A,-2.94410700586302,-15.4817536911471,4.26927852467635,1
TCGA-A8-A0A9-01A,-34.0631711335698,-39.1688496712103,-9.76946114236586,1
TCGA-A8-A0AD-01A,-30.7546065523685,-14.8916182219971,-1.51152534539924,1
TCGA-AC-A23C-01A,-9.32168721948892,-18.4153741089701,-18.0425030522593,1
TCGA-AC-A23E-01A,-8.63067924155112,-25.5888684752082,-13.3054015112468,1
TCGA-AC-A23H-01A,-11.6309452474367,-28.2173845085567,-17.4004313668231,1
TCGA-AC-A2B8-01A,-32.766197742911,-48.018867288647,-19.3260234910463,1
TCGA-AC-A2FF-01A,-26.4065341972894,-34.9404554546852,-12.7275014174761,1
TCGA-AC-A2FG-01A,-25.3792362248443,-42.8942141952015,-9.64823644420975,1
TCGA-AC-A2FK-01A,-19.2619230807918,-34.1377923447654,-30.3430488323223,1
TCGA-AC-A2QH-01B,-15.1721185353196,-21.5271236058084,-11.2036504854866,1
TCGA-AC-A2QJ-01A,-9.3299064421013,-21.0071976238347,14.4941626315594,1
TCGA-AC-A3BB-01A,-11.3871002472083,-27.2290907707321,-4.01451001438242,1
TCGA-AC-A3HN-01A,-19.1296389223003,-24.5796315662439,-0.690060163348391,1
TCGA-AC-A3OD-01B,-29.2913660256756,-22.6806843363958,-10.7912670832632,1
TCGA-AC-A3QP-01A,-4.89841700663901,-24.4266906950025,-2.36100354701404,1
TCGA-AC-A3TN-01A,-20.8642250408982,-32.0833920889151,-12.573552455632,1
TCGA-AC-A3W5-01A,-28.112074920121,-34.0192445119828,-7.36858826804506,1
TCGA-AC-A3W6-01A,-6.34586589223095,-13.572502466627,6.51073866262631,1
TCGA-AC-A3YI-01A,-24.4563852034076,-40.6052698716445,-16.0072030099769,1
TCGA-AC-A3YJ-01A,-5.71083706921661,-17.3046269079106,4.36065346519988,1
TCGA-AC-A5XS-01A,-29.7964957542801,1.0237485320071,-7.10354944332585,1
TCGA-AC-A5XU-01A,2.05124647171895,-21.3834039332324,7.87173734791404,1
TCGA-AC-A62X-01A,-34.06784376397,-25.7575104514622,-10.2331383792756,1
TCGA-AC-A6IW-01A,-6.61289854968301,-20.2270406674208,1.97951955195902,1
TCGA-AC-A7VB-01A,-25.7930113453875,-1.0987422426372,-24.433001330124,1
TCGA-AC-A7VC-01A,-26.0176180178214,-10.6252538472218,-6.39502678180163,1
TCGA-AC-A8OP-01A,-19.1734934711067,-30.2658782194719,-19.1744103509428,1
TCGA-AC-A8OQ-01A,-10.7910172163738,-38.9672597461064,-18.735807750724,1
TCGA-AC-A8OS-01A,-6.93042344456113,-22.9563764804804,-12.8885619835447,1
TCGA-AN-A04C-01A,-22.1038412037,-31.810025149415,-22.6334339813161,1
TCGA-AN-A0AK-01A,-12.7936149170721,-23.7748858849878,2.05576294887572,1
TCGA-AN-A0AL-01A,-32.2617513759325,1.51636230148839,-16.2361339447164,1
TCGA-AN-A0FD-01A,-14.3924083007799,-30.5915222472152,-15.7865280974483,1
TCGA-AN-A0FF-01A,-23.6210127136039,-8.20487507447988,4.84671782261912,1
TCGA-AN-A0FJ-01A,-2.12988114105482,-27.4010719642435,5.0492852591231,1
TCGA-AN-A0FK-01A,-0.0194579224520939,-23.5489640249032,-16.3473817590094,1
TCGA-AN-A0FL-01A,-1.68414371978392,-19.2341931432516,-3.31856427321553,1
TCGA-AN-A0FN-01A,-7.16370366149986,-25.2244735621783,-31.0523096608,1
TCGA-AN-A0FT-01A,-7.03173242809148,-18.3330652165372,6.44189794751995,1
TCGA-AN-A0FW-01A,-37.2304360686514,11.5111272509585,-15.5326392354801,1
TCGA-AN-A0FX-01A,-4.23726318175233,-13.6923973966157,3.78280478281653,1
TCGA-AN-A0FY-01A,-1.88796578169708,-31.8797832857285,-21.7857285306691,1
TCGA-AN-A0FZ-01A,1.75933244054648,-20.3646821654585,5.19207763333196,1
TCGA-AN-A0G0-01A,-5.55947588351749,-24.3450209826235,-12.5509436051958,1
