Sample,X,Y,Z,Cluster
TCGA-3C-AAAU-01A,31.7756193123862,-29.7965495372249,-8.59409375095522,1
TCGA-3C-AALI-01A,35.8433393076286,-45.7024788090877,8.76241108043988,1
TCGA-3C-AALJ-01A,36.2706420888301,-35.6240692030872,7.00911057592203,1
TCGA-5L-AAT0-01A,35.5466697878958,-30.2077322685162,19.5844183277496,1
TCGA-5T-A9QA-01A,7.87299163487042,-63.2722781540944,-6.06354244186443,1
TCGA-A1-A0SE-01A,-31.4325545415053,-41.183146704632,-0.0887653602877877,1
TCGA-A1-A0SG-01A,-17.3876789795681,-54.2034022640712,3.84094997755181,1
TCGA-A1-A0SH-01A,-22.2246733666877,-44.1274279873398,-4.0239732181246,1
TCGA-A1-A0SK-01A,34.3690558559007,-35.8469762264752,-16.2587413771896,1
TCGA-A1-A0SM-01A,-22.4263351191447,-47.9137272187203,-7.82200101688569,1
TCGA-A1-A0SN-01A,34.7029834243221,-26.9784144897898,10.7714260853688,1
TCGA-A1-A0SO-01A,-15.0390333698388,-43.8526853301308,-8.84549124414864,1
TCGA-A1-A0SP-01A,18.7567898389403,-42.4410543688604,-21.3445044318036,1
TCGA-A2-A04N-01A,-0.490459513684452,-67.2700197004889,-3.16019254097083,1
TCGA-A2-A04P-01A,17.4640743457743,-19.6488604501087,-22.8204766000633,1
TCGA-A2-A04R-01A,25.0569770547265,-16.311777069671,-2.77418950801104,1
TCGA-A2-A04T-01A,-4.29023199551204,-49.5301093068641,-10.0154643402343,1
TCGA-A2-A04U-01A,22.3757929814608,-25.8347113388744,-25.3211755475049,1
TCGA-A2-A04V-01A,37.8429816308541,-26.685711185117,5.85816330481113,1
TCGA-A2-A04W-01A,25.9634406685947,-22.2971962108241,-26.7046998158749,1
TCGA-A2-A04X-01A,0.968621717247197,-63.6932655057559,-12.924618184663,1
TCGA-A2-A0CK-01A,36.1488026558729,-21.7588363010478,1.20971433835564,1
TCGA-A2-A0CM-01A,-9.0221656824259,-45.3616091291725,-3.31897989643381,1
TCGA-A2-A0CP-01A,-25.2736358320745,-37.7357785061287,0.273019948651742,1
TCGA-A2-A0CQ-01A,33.4814190262056,-42.7824027911632,-21.3479070643651,1
TCGA-A2-A0CS-01A,29.5681360190461,-18.3090120077328,-1.83993378552022,1
TCGA-A2-A0CT-01A,19.9736649798962,-27.3162259991921,-16.8490789781301,1
TCGA-A2-A0CU-01A,34.6182697191835,-6.99462478695903,-10.894274233352,1
TCGA-A2-A0CV-01A,29.6979259675773,-4.17739112374422,-9.17280630162906,1
TCGA-A2-A0CW-01A,34.6674592166471,-28.4111920417273,-10.8926943551581,1
TCGA-A2-A0CX-01A,17.6929560414094,-28.4960014399119,-16.9152941359446,1
TCGA-A2-A0CY-01A,28.4872289692379,-41.0825909951927,-20.6638370862988,1
TCGA-A2-A0D0-01A,31.4915225586242,-34.9885689138015,13.9286260220981,1
TCGA-A2-A0D1-01A,-4.82527723441797,-60.7585166993853,0.248769699904291,1
TCGA-A2-A0D2-01A,-13.6844286985401,-30.1950695973875,11.1490729671324,1
TCGA-A2-A0D3-01A,6.99960581686567,-56.7077910065145,-12.456914280819,1
TCGA-A2-A0D4-01A,37.0704863814193,-21.8980872686556,-12.8851583021688,1
