Sample,X,Y,Z,Cluster
TCGA-3X-AAVA-01A,1.85841086661793,-2.32860683950597,0.820911303147089,1
TCGA-3X-AAVE-01A,1.26181677112889,-2.53331239020058,0.642045791328581,1
TCGA-4G-AAZO-01A,2.02756099564341,-1.89076357621033,2.64745905826589,1
TCGA-4G-AAZT-01A,2.01724834279368,-1.08631153631692,3.28942911023637,1
TCGA-W5-AA2U-01A,2.39593850350705,-1.86778143030246,2.80110660005475,1
TCGA-W5-AA36-01A,2.39056847145681,-1.74447513053824,3.43184927891025,1
TCGA-W5-AA38-01A,2.62578606561868,-1.85976864232506,3.24131565210542,1
TCGA-W6-AA0S-01A,1.52272352392273,-2.19450375092621,0.138152301332526,1
TCGA-YR-A95A-01A,1.63562339975088,-2.70780937800537,1.33695361035029,1
TCGA-W5-AA2I-01A,1.13785483131022,0.455967419206199,5.02147511228799,2
TCGA-W5-AA2Q-01A,-1.69128038415262,3.68977398755128,3.26160500151989,2
TCGA-W5-AA2T-01A,1.12149685631964,1.01461154809239,5.37747454858959,2
TCGA-W5-AA2W-01A,-1.98194711339143,3.76387286060027,2.14985122530191,2
TCGA-W5-AA2Z-01A,-1.27431976124297,3.657163292852,3.59255303540477,2
TCGA-W5-AA30-01A,0.778812865916691,1.13519983102548,5.19640387979752,2
TCGA-W5-AA31-01A,-0.687644163084488,2.81969608957289,4.24832272878628,2
TCGA-W5-AA33-01A,-1.75954562846819,4.38472558532804,1.85610359861276,2
TCGA-W5-AA34-01A,1.25441377856233,1.31413423154368,5.29622858357088,2
TCGA-WD-A7RX-01A,0.0969380287903008,2.07236960145835,5.37427133714461,2
TCGA-ZH-A8Y1-01A,-0.0419058107280956,2.55070206784062,4.42433808592734,2
TCGA-ZH-A8Y4-01A,-2.22571194043806,3.93263664965464,2.33952816016139,2
TCGA-ZH-A8Y5-01A,-2.02409993911568,3.6302967734261,2.44267971485926,2
TCGA-3X-AAV9-01A,-1.73604176895954,0.215897223843735,-5.05396271893429,3
TCGA-3X-AAVB-01A,-1.58749719681541,-0.387109386862282,-5.70952006622887,3
TCGA-W5-AA2X-01A,-1.33548054404058,0.0181560290304685,-5.0946838465092,3
TCGA-ZH-A8Y2-01A,-2.10532544303192,1.18908142256266,-4.79872803183323,3
TCGA-ZU-A8S4-01A,-1.30813014621171,-0.278525262910083,-5.35151749337778,3
TCGA-3X-AAVC-01A,-0.417844645073321,-1.33916482873329,-3.16780986415375,4
TCGA-W5-AA2G-01A,0.0462321201975561,-1.03240092553604,-2.7975696848543,4
TCGA-W5-AA2H-01A,-0.527842412711291,-1.17061457254627,-4.63150938363632,4
TCGA-W5-AA2O-01A,-0.437523626239431,-1.78246021456931,-4.75836414456153,4
TCGA-W5-AA2R-01A,-0.122849099757836,-1.12250697411667,-1.7168200978535,4
TCGA-W5-AA39-01A,-0.0488046343790982,-2.5638313863367,-6.53442905541229,4
TCGA-ZD-A8I3-01A,-0.628435080393856,-2.54942899864789,-7.98301325940309,4
TCGA-ZH-A8Y6-01A,-0.171231741871406,-2.77400967371487,-5.96460147561558,4
TCGA-ZH-A8Y8-01A,-0.0579643414298807,-2.63089971528424,-5.36752859532165,4
