Sample,X,Y,Z,Cluster
TCGA-3L-AA1B-01A,-13.3671461666458,-1.28116554847323,-24.6010369794865,1
TCGA-4N-A93T-01A,-17.395767093499,-4.76954844314191,7.02479056945548,1
TCGA-5M-AAT4-01A,-11.4324918442336,-0.687093516389195,-24.0052072802193,1
TCGA-5M-AAT5-01A,-10.3357620441527,6.41648920986746,-24.4556172687614,1
TCGA-5M-AAT6-01A,-11.1650891096169,4.65991348713088,-9.67958059979459,1
TCGA-5M-AATA-01A,-15.9036226830319,-10.8101058674269,-14.81410979077,1
TCGA-5M-AATE-01A,-14.5457233294735,-4.92429320145792,-17.8783992483265,1
TCGA-A6-2672-01B,6.31460763023066,-1.60195723780121,-11.6386639682047,1
TCGA-A6-2674-01B,-0.739614034439338,-9.4261651222454,-18.9897119851424,1
TCGA-A6-2675-01A,-7.1132374645139,-7.74663688590562,-21.7452020891364,1
TCGA-A6-2677-01A,-4.71119565083923,7.41165302964222,-19.2372262781421,1
TCGA-A6-2677-01B,0.480009632936959,-10.533601516716,-16.9912525207919,1
TCGA-A6-2678-01A,5.04590865642616,-0.40424679752429,-11.3072421588308,1
TCGA-A6-2684-01C,1.45551690070732,-8.43248493832491,-17.1384690008094,1
TCGA-A6-3807-01A,-17.6323398592367,-10.1971959019588,-17.0846793143843,1
TCGA-A6-3809-01A,6.27560553098948,-4.73431865711126,-11.2122774856296,1
TCGA-A6-3809-01B,3.48216019670594,5.62013766740136,-15.5970765747807,1
TCGA-A6-3810-01B,0.779165817164504,-11.0514266736747,-19.7534905454763,1
TCGA-A6-4105-01A,-9.91605564088525,11.3615475987394,-22.6345422388411,1
TCGA-A6-5656-01A,-11.6771978799468,-3.34425830111359,-26.332687716426,1
TCGA-A6-5656-01B,-0.463485719990859,-7.75611106716288,-17.0652878257339,1
TCGA-A6-5657-01A,-6.12119551304239,0.821761148055423,-13.5685604226352,1
TCGA-A6-5659-01A,-1.65708757786011,-1.96101344423723,-17.483039136722,1
TCGA-A6-5659-01B,1.85722497358481,-8.97129894622238,-17.6880536915981,1
TCGA-A6-5660-01A,-8.42947374640386,-11.9775970699421,-18.7652259866352,1
TCGA-A6-5661-01A,2.1589365532414,3.20103212057291,-15.1529156067935,1
TCGA-A6-5661-01B,0.5247094580522,0.445432912547527,-17.8140700340213,1
TCGA-A6-5662-01A,-7.67387257862777,-12.1050319273952,-17.0710198478992,1
TCGA-A6-5664-01A,-3.26007469900754,1.66754709097266,-14.9441855203765,1
TCGA-A6-5665-01A,1.74682211284452,2.28456798547811,-12.6477001763385,1
TCGA-A6-5665-01B,-2.97862658912771,-5.49523008755852,-27.6282458180514,1
TCGA-A6-5666-01A,-11.2542696336765,5.32047147194682,-22.6182939898229,1
TCGA-A6-5667-01A,-10.9086652506299,4.46172634709464,-21.3955407012141,1
TCGA-A6-6137-01A,-8.15047303854845,-6.27579127291242,-23.6924496571341,1
TCGA-A6-6138-01A,-0.457292071350604,0.214644488525569,-19.9613862420646,1
TCGA-A6-6140-01A,1.90125217717349,6.44768226234316,-12.6872980132001,1
TCGA-A6-6141-01A,-10.7475465151336,-3.62364998093177,-12.2781557217755,1
TCGA-A6-6142-01A,-16.7480521317626,-4.01993575443487,8.50072817891182,1
TCGA-A6-6648-01A,-1.35951488217469,1.29493037293016,-19.9366224604632,1
TCGA-A6-6649-01A,-13.4010780135732,-11.8684559241237,-13.9730840542316,1
TCGA-A6-6650-01A,2.61130502230695,-1.44949656571072,-11.5012061446265,1
TCGA-A6-6650-01B,1.80171861943998,-6.97822705690551,-16.5084155450571,1
TCGA-A6-6651-01A,-21.4582724190396,-3.90553151234868,-16.9596983943513,1
TCGA-A6-6652-01A,-18.1626076292318,-3.32940795421969,-17.8932352678108,1
TCGA-A6-6653-01A,4.4443072040125,6.3590007424429,-8.58923638087687,1
TCGA-A6-6780-01A,-0.034385913830735,-3.47171893569185,-18.2118875536576,1
TCGA-A6-6780-01B,2.86693238518014,-10.176383938321,-18.2673195492091,1
TCGA-A6-6781-01B,-0.330823527610544,-10.1636751890083,-19.7814240816423,1
