Sample,X,Y,Z,Cluster
TCGA-5M-AAT6-01A,-4.07262057160172,-53.6696530241849,-59.9167709105725,1
TCGA-A6-2672-01B,-0.543086530943842,-45.3271785526709,-51.3210873559035,1
TCGA-A6-2674-01A,-0.67287220734173,-56.0850703568709,-57.473785476453,1
TCGA-A6-2674-01B,3.96280837560099,-50.9636034502892,-58.9145526467677,1
TCGA-A6-2675-01A,-2.64921254974201,-56.6133216708946,-55.0458638954476,1
TCGA-A6-2677-01B,-3.67594020270991,-40.0098828036705,-51.5413279089035,1
TCGA-A6-2681-01A,-0.754390106190216,-43.9486878044794,-55.8447107820842,1
TCGA-A6-2682-01A,-6.36567977646531,-52.9627191724454,-59.8035878535079,1
TCGA-A6-2684-01A,-2.96787591894569,-52.5518566415946,-58.7419283253734,1
TCGA-A6-2684-01C,-2.73988697475954,-53.88751415347,-55.3372823856098,1
TCGA-A6-3809-01B,0.302142576988458,-44.7474774145854,-51.6771670450292,1
TCGA-A6-3810-01A,-2.40806221798087,-53.5246469198416,-55.4773278763607,1
TCGA-A6-3810-01B,-5.5966011299109,-38.430697102016,-54.0275069455422,1
TCGA-A6-5656-01B,4.81524756158306,-54.4296556432064,-56.1265969181745,1
TCGA-A6-5657-01A,-2.18790979130347,-49.8424613376363,-50.4356294788511,1
TCGA-A6-5659-01B,-0.882054560608868,-39.9469030212486,-52.4882226668757,1
TCGA-A6-5660-01A,1.87731408360151,-52.2448253889485,-51.1521057221684,1
TCGA-A6-5661-01B,-1.7168558087126,-46.2924066782862,-52.847935296004,1
TCGA-A6-5662-01A,1.17177110276202,-44.3928681532809,-53.4604470702608,1
TCGA-A6-5664-01A,4.2674634381574,-54.5202749445186,-48.2059608427296,1
TCGA-A6-5665-01B,-2.07706947195048,-42.883830368374,-54.0963068352226,1
TCGA-A6-5667-01A,-2.4969921070141,-44.0732655560762,-49.6670812169911,1
TCGA-A6-6138-01A,4.82225948403477,-45.0240358118523,-54.4568344244341,1
TCGA-A6-6142-01A,2.67158872325471,-55.0208827433852,-58.4058149755452,1
TCGA-A6-6649-01A,-2.98931032996427,-47.6756867237334,-45.8872630541791,1
TCGA-A6-6650-01B,0.732770089334512,-38.0300609240104,-49.1166685747005,1
TCGA-A6-6651-01A,-1.46923136845428,-52.5518023005843,-59.4418769885436,1
TCGA-A6-6654-01A,0.79637120924832,-50.6998952371183,-53.3328486377802,1
TCGA-A6-6780-01B,0.44151907183134,-41.7086691177339,-50.5685098764965,1
TCGA-A6-6781-01A,1.34129990808611,-57.8660468860018,-55.9450196544789,1
TCGA-A6-6781-01B,2.32954581569178,-50.5185702441502,-62.3477916784197,1
TCGA-A6-6782-01A,-3.06316411380462,-54.8798314935254,-58.6873013326559,1
TCGA-A6-A566-01A,-5.10857353824249,-55.6590726298061,-57.3309234699947,1
TCGA-A6-A56B-01A,-10.0823807669631,-53.315688038792,-52.5137651575785,1
TCGA-A6-A5ZU-01A,-2.56457830102964,-54.1141530337313,-52.5934675109667,1
TCGA-AA-3489-01A,-2.05347580950822,-55.2117225154154,-56.7974151572061,1
TCGA-AA-3496-01A,-6.33045477899798,-44.2739652461376,-54.44975454985,1
TCGA-AA-3511-01A,-4.47235319796694,-47.2749820140989,-51.0671252373816,1
TCGA-AA-3517-01A,-1.54891676482937,-49.4893912977178,-54.4308339988151,1
TCGA-AA-3532-01A,-6.06502263772272,-58.7526283222492,-54.2708108501913,1
TCGA-AA-3538-01A,-5.9077297303413,-44.6689974867471,-50.3036188631103,1
TCGA-AA-3553-01A,-2.81147754369514,-46.0683087069938,-47.385399235322,1
