Sample,X,Y,Z,Cluster
TCGA-3L-AA1B-01A,-21.068808525257,-13.0712485268812,-6.24277042022257,1
TCGA-5M-AAT6-01A,-20.9582714755217,-21.3726667272107,-9.32961380057153,1
TCGA-5M-AATA-01A,-17.4394638912252,-15.3555329531777,-6.08827023069002,1
TCGA-A6-2672-01A,-16.0462252252869,-16.5225696838801,-13.750295389436,1
TCGA-A6-2672-01B,-20.2596989486875,-20.6638668746434,-8.06846053811163,1
TCGA-A6-2674-01A,-24.463451489052,-24.6113796436873,-7.4273848200034,1
TCGA-A6-2674-01B,-25.5657569612071,-23.960421535327,-6.86464259529524,1
TCGA-A6-2675-01A,-18.0148242584184,-21.4955337661472,-6.56775757864245,1
TCGA-A6-2677-01A,-21.3639116841628,-9.23823018764108,-4.61859080337922,1
TCGA-A6-2677-01B,-24.8699140636455,-23.5889195512625,-6.02654162741226,1
TCGA-A6-2684-01C,-25.2752639275867,-23.2377111260373,-6.38040961605116,1
TCGA-A6-2685-01A,-15.3766933843332,-15.3735833586499,-10.7870719743936,1
TCGA-A6-3809-01A,-24.027860463051,-25.0003392725537,-7.40626259889227,1
TCGA-A6-3809-01B,-25.2400963605683,-23.8054684751433,-6.99823076707334,1
TCGA-A6-3810-01A,-25.7072958395292,-25.1008938470462,-5.52331258568219,1
TCGA-A6-3810-01B,-25.4599607095184,-23.9007402365888,-6.37668336417432,1
TCGA-A6-5656-01B,-24.9416629693311,-24.0171182718727,-6.12290460540478,1
TCGA-A6-5659-01B,-24.8570362186676,-23.6637161924465,-5.7361867800255,1
TCGA-A6-5661-01A,-25.5068642662965,-20.7232839602746,-3.96963468460426,1
TCGA-A6-5661-01B,-20.6076920306857,-20.6718571659073,-7.71097393669359,1
TCGA-A6-5665-01B,-20.4245029917201,-21.077712622797,-7.85812854383173,1
TCGA-A6-6137-01A,-18.3901154004766,-15.0440116160653,-14.1458646246394,1
TCGA-A6-6141-01A,-19.0799904935057,-8.40624988757312,-9.55422386863885,1
TCGA-A6-6649-01A,-18.4020967359326,-18.65983009943,-11.8814928286089,1
TCGA-A6-6650-01B,-24.5450752632668,-24.3537842029576,-5.89779944068029,1
TCGA-A6-6651-01A,-23.3026392872944,-17.8275042788634,-8.86739978023406,1
TCGA-A6-6780-01A,-24.7773161136282,-22.6406719214705,-8.85131735824782,1
TCGA-A6-6780-01B,-25.3326188842095,-23.8156503500381,-7.07901036003247,1
TCGA-A6-6781-01A,-22.4950834540227,-20.2124823779006,-7.64074894296022,1
TCGA-A6-6781-01B,-25.4063258786555,-23.3648993530649,-6.79618623203787,1
TCGA-A6-A565-01A,-19.6132063614089,-20.2632297606806,-8.20910524593037,1
TCGA-A6-A56B-01A,-16.8432953061113,-12.955586187995,-14.6131065854868,1
TCGA-AA-3496-01A,-15.8379744254848,-20.8092234087907,-7.74702719435754,1
TCGA-AA-3530-01A,-24.8299802169661,-24.8065124231886,-4.95673233622702,1
TCGA-AA-3534-01A,-20.6036452650231,-9.96799867552262,-6.09167058075567,1
