Sample,X,Y,Z,Cluster
TCGA-5M-AAT6-01A,105.570565156122,340.437080900558,-70.3193202663264,1
TCGA-A6-2674-01A,105.5348727659,340.156423334615,-70.8720798879081,1
TCGA-A6-2674-01B,108.945632152038,336.767246987633,-73.2386253769279,1
TCGA-A6-2675-01A,109.013689100495,339.580046744425,-67.6882136160853,1
TCGA-A6-2681-01A,103.607507733536,335.504823708334,-71.087686201925,1
TCGA-A6-2682-01A,103.821049524333,336.544304142183,-71.4708565666479,1
TCGA-A6-2685-01A,105.986052730776,340.984633371014,-69.6850910041965,1
TCGA-A6-3810-01A,109.238211166848,340.104932637721,-67.230462444783,1
TCGA-A6-5656-01B,107.066101197583,342.721623358224,-68.9011998465881,1
TCGA-A6-5657-01A,103.508130127537,339.634046081456,-73.1800980173185,1
TCGA-A6-6141-01A,107.396880830407,336.898048749516,-66.279397123171,1
TCGA-A6-6142-01A,106.473745724,340.50396150167,-65.8936570538379,1
TCGA-A6-6651-01A,107.081234706532,340.675608060871,-66.08530349161,1
TCGA-A6-6654-01A,105.277519983078,341.797092569528,-69.4468079321917,1
TCGA-A6-6780-01B,108.977763109567,336.753120363648,-73.2119491874287,1
TCGA-A6-6781-01A,110.535186325156,335.214872226467,-65.2122496028075,1
TCGA-A6-6781-01B,110.516765972687,335.941861269284,-65.6217217599877,1
TCGA-A6-6782-01A,107.028202146205,341.192012067539,-65.735616018676,1
TCGA-A6-A566-01A,105.05690809942,341.303980232561,-69.3695749741112,1
TCGA-A6-A5ZU-01A,106.964311037522,341.262133177223,-65.3249073309787,1
TCGA-AA-3489-01A,106.006639736861,341.554544020297,-69.9752540188651,1
TCGA-AA-3554-01A,105.875186351531,339.710599227972,-73.0847479419243,1
TCGA-AA-3684-01A,104.42236766287,336.726497666893,-66.7887075001349,1
TCGA-AA-3715-01A,104.935581957849,338.578769478156,-71.2143614385377,1
TCGA-AA-3812-01A,103.599990248142,335.482622084856,-71.0861348618855,1
TCGA-AA-3833-01A,105.528965778442,338.457582411801,-74.2471803349342,1
TCGA-AA-3852-01A,106.993043084784,335.159863496593,-64.7869431501248,1
TCGA-AA-3870-01A,103.3599695734,340.394978774462,-68.4365301777426,1
TCGA-AA-3872-01A,106.381666980421,340.642423632193,-68.9431601404585,1
TCGA-AA-3877-01A,105.682275348614,338.544420516139,-74.1786695092684,1
TCGA-AA-A00N-01A,104.675172061213,340.7300941247,-69.1450775579198,1
TCGA-AA-A01P-01A,106.275430760523,339.041717381931,-73.3126733100197,1
TCGA-AD-6895-01A,106.6606747031,338.802709911113,-73.8922621438915,1
TCGA-AD-6899-01A,110.367682481108,334.381277731916,-64.561029658997,1
TCGA-AD-6901-01A,106.246839831402,341.906697551615,-70.4235540845386,1
TCGA-AD-6964-01A,108.558816269241,339.080472320491,-67.7003824169174,1
TCGA-AY-6196-01A,109.113817944781,337.736870436293,-67.0019133284349,1
TCGA-AZ-4308-01A,109.447604654354,333.770452784108,-66.0647429521039,1
TCGA-AZ-4323-01A,103.185029596818,339.305970227669,-73.2944182391596,1
TCGA-AZ-6600-01A,104.646136397858,338.969711259616,-67.4560043136219,1
TCGA-AZ-6601-01A,106.562544278245,339.071257504959,-72.8172516729621,1
TCGA-AZ-6605-01A,110.249379184963,336.485868391059,-66.2316559060355,1
TCGA-AZ-6607-01A,103.069487342647,340.394498592436,-68.3196356906981,1
TCGA-CA-5254-01A,105.666559732026,340.01197851045,-70.377428194414,1
TCGA-CA-6717-01A,108.947896560989,338.963236098292,-67.5480408773793,1
TCGA-CK-5916-01A,106.932854697089,339.153943699731,-72.3724521537558,1
TCGA-CM-4748-01A,104.07027088137,337.248549052234,-71.5267328903899,1
TCGA-CM-5344-01A,107.040714814089,340.816164320166,-66.0833168072811,1
TCGA-CM-5348-01A,109.406813494532,338.002025419855,-67.1703593844204,1
TCGA-CM-5863-01A,106.933867265983,334.701671516638,-64.5120668489791,1
TCGA-CM-5868-01A,108.704357566568,340.836027987977,-69.5184735076991,1
TCGA-CM-6162-01A,110.702092922365,335.774077423085,-65.4586584756029,1
TCGA-CM-6165-01A,109.335445764455,333.901279958906,-65.0646326044028,1
TCGA-CM-6167-01A,108.639237611501,339.311441918626,-67.7906694139201,1
TCGA-CM-6168-01A,102.571404345955,340.309059778036,-68.0073654155318,1
TCGA-CM-6679-01A,109.582786603925,333.960206035484,-65.2404183237177,1
TCGA-D5-5538-01A,108.621813950076,341.6783926539,-71.7531682684038,1
TCGA-D5-5539-01A,107.609849738315,334.220459794988,-64.202190249819,1
TCGA-D5-5541-01A,106.859905388648,340.371598332258,-65.3892448579333,1
TCGA-D5-6529-01A,108.805672238351,333.469991265638,-63.7745866993925,1
TCGA-D5-6534-01A,108.859282042368,338.838215988586,-67.5608020367983,1
TCGA-D5-6536-01A,105.362613995468,342.161617655763,-70.4457937145802,1
TCGA-D5-6541-01A,108.660248634616,341.411710136234,-70.3930289480659,1
TCGA-D5-6922-01A,109.129960360387,334.970360324927,-66.5968556175943,1
TCGA-D5-6923-01A,110.770475696589,334.001751288253,-64.2775722693677,1
TCGA-D5-6926-01A,109.957440307171,336.084792819522,-66.2991236445182,1
TCGA-D5-6928-01A,110.198902144158,337.753557554697,-67.0413434899931,1
TCGA-D5-6929-01A,105.815362496115,341.56909657825,-70.3352888487269,1
TCGA-DM-A280-01A,106.573373886381,341.936966727698,-64.3579657202733,1
TCGA-DM-A285-01A,108.95884788249,333.887823815589,-64.6381512019707,1
TCGA-F4-6459-01A,108.607773290373,337.42116541082,-67.0347833469863,1
TCGA-F4-6461-01A,104.427802279379,336.738110095044,-66.7828793128989,1
TCGA-F4-6569-01A,106.84087204006,340.750333127405,-68.9783787776464,1
TCGA-F4-6570-01A,106.099046297518,338.706975401135,-73.9805850724705,1
TCGA-F4-6703-01A,106.744093912847,340.475144676548,-68.8016334853231,1
TCGA-F4-6704-01A,110.432940760335,335.081522674641,-65.1740799114468,1
TCGA-F4-6805-01A,106.433797132021,342.353816073461,-68.9017320571034,1
TCGA-F4-6807-01A,106.821638426226,340.574025887036,-68.4796433638631,1
TCGA-F4-6809-01A,105.954791808641,339.728930848109,-68.8333218476247,1
TCGA-F4-6855-01A,107.901950323208,340.055143024023,-67.1249931025436,1
TCGA-G4-6297-01A,105.780700692116,336.481655536184,-74.2246857857306,1
TCGA-G4-6299-01A,105.611296559502,340.363933529586,-70.4990363329141,1
TCGA-G4-6302-01A,104.68119901859,340.269468010887,-70.8835089767218,1
TCGA-G4-6314-01A,105.068930334365,339.83570478391,-65.8149586001714,1
TCGA-G4-6627-01A,108.636935054631,341.738344855447,-71.6146966664474,1
TCGA-G4-6628-01A,106.211687270381,339.05285234513,-73.806217133244,1
TCGA-NH-A6GC-01A,106.508609133703,334.716858215107,-64.4955582888463,1
TCGA-WS-AB45-01A,103.28149007371,339.710273695091,-73.3532806959711,1
TCGA-3L-AA1B-01A,-22.7824783983505,-59.9020979186754,21.5887513377209,2
TCGA-4N-A93T-01A,-21.3331376157656,-72.0511899200337,7.44021650301485,2
TCGA-4T-AA8H-01A,-17.8515417981616,-71.0840659230898,20.7328605938872,2
TCGA-5M-AAT4-01A,-19.9686604871156,-69.5429386148208,11.7976299721069,2
TCGA-5M-AAT5-01A,-16.2542966785461,-71.2709594084901,14.5043193605516,2
TCGA-5M-AATA-01A,-28.3079739625182,-79.9140598362211,14.7867715860302,2
TCGA-5M-AATE-01A,-18.5420220126707,-74.2078215886358,18.5904558531009,2
TCGA-A6-2671-01A,-30.1819237450059,-91.4534788442945,16.305476408612,2
TCGA-A6-2672-01A,-34.2672528053066,-87.9790228399745,16.7340400142055,2
TCGA-A6-2672-01B,-35.2096246713325,-86.7582781385131,15.5980195932242,2
TCGA-A6-2676-01A,-30.3224444477965,-95.1720402384643,15.8328085724607,2
TCGA-A6-2677-01A,-17.4599383262335,-73.1172270370922,17.7752068226821,2
TCGA-A6-2677-01B,-15.4956650063837,-64.4399816471081,9.6411093842384,2
TCGA-A6-2678-01A,-30.4673156050731,-80.387712005018,17.9070713940943,2
TCGA-A6-2679-01A,-18.1770142604736,-74.1921122211239,3.75521866812145,2
TCGA-A6-2680-01A,-40.4845242497382,-91.4972814273526,14.6071530094203,2
TCGA-A6-2683-01A,-18.6358560980846,-73.8611992683044,4.25110029512068,2
TCGA-A6-2684-01A,-29.0135057932608,-90.6985424467527,15.4533709428314,2
TCGA-A6-2684-01C,-16.1195569257682,-62.0101465630533,10.070522857739,2
TCGA-A6-2686-01A,-28.7447293877294,-97.9059464897265,12.9607743638979,2
TCGA-A6-3807-01A,-20.0592848900799,-63.0241933778944,10.4755840284447,2
TCGA-A6-3808-01A,-24.4652551478223,-58.092093980918,21.6706445445261,2
TCGA-A6-3809-01A,-34.4156387538106,-87.2321787200511,17.1359428087269,2
TCGA-A6-3809-01B,-33.0721000825442,-102.682280149033,15.8982939802572,2
TCGA-A6-3810-01B,-15.4209475533729,-64.4586891750547,9.56802691610836,2
TCGA-A6-4105-01A,-26.9517816163007,-79.5468521317522,18.8826805614313,2
TCGA-A6-4107-01A,-15.8864536534431,-77.3234504252386,5.19510776957119,2
TCGA-A6-5656-01A,-29.2381135322513,-80.5722760481297,19.3575872123927,2
TCGA-A6-5659-01A,-30.7262767361409,-80.7673509906466,18.6213799207307,2
TCGA-A6-5659-01B,-21.9833385153974,-77.0547188881097,13.485547832023,2
TCGA-A6-5660-01A,-22.4487371788772,-78.6926172255134,20.7049933588495,2
TCGA-A6-5661-01A,-34.6314327468355,-87.4334496869047,17.2804404936152,2
TCGA-A6-5661-01B,-33.068927893429,-102.683544316478,15.8936902581704,2
TCGA-A6-5662-01A,-12.2346634096938,-71.2062041024027,8.83374698459419,2
TCGA-A6-5664-01A,-24.5117951869296,-58.056593524785,21.6726845231973,2
TCGA-A6-5665-01A,-35.8789792278056,-92.875501839564,15.6087782785376,2
TCGA-A6-5665-01B,-33.0708743519675,-102.665948497451,15.8908557663094,2
TCGA-A6-5666-01A,-18.1260408710113,-73.9390742416179,18.3760596685988,2
TCGA-A6-5667-01A,-17.6234641963826,-69.7363637460987,8.22623110555749,2
TCGA-A6-6137-01A,-15.7787440021503,-69.4809994944729,17.7975808599473,2
TCGA-A6-6138-01A,-22.4943038620883,-75.9051616438779,12.8891656228983,2
TCGA-A6-6140-01A,-21.1727628593924,-74.4032966073379,15.7108496589417,2
TCGA-A6-6648-01A,-27.3003542661588,-78.4436249264051,25.1744552533161,2
TCGA-A6-6649-01A,-37.9918926479319,-94.7197581848814,9.83937458212215,2
TCGA-A6-6650-01A,-26.7902755821746,-77.8905850293195,13.5627694683229,2
TCGA-A6-6650-01B,-22.7221935535137,-76.6227267149618,13.5236629998973,2
TCGA-A6-6652-01A,-13.3146869691609,-69.82759734855,21.4459817865836,2
TCGA-A6-6653-01A,-36.4124427210102,-93.5020104417784,14.1704343872307,2
TCGA-A6-6780-01A,-34.7912033549987,-86.6039754153194,16.3219545603584,2
TCGA-A6-A565-01A,-35.1738989748564,-93.9243713220941,14.6226962672269,2
TCGA-A6-A567-01A,-12.9640923968913,-69.3041899699005,20.6060233938524,2
TCGA-A6-A56B-01A,-11.8570464725428,-71.096746228961,8.88382626696678,2
TCGA-AA-3488-01A,-16.8662125519145,-74.0470926967597,3.71567764761353,2
TCGA-AA-3492-01A,-33.7531620037861,-87.5822774345308,16.8758991336828,2
TCGA-AA-3494-01A,-25.8580525791654,-80.2441064690514,18.9219269062354,2
TCGA-AA-3495-01A,-31.1899498149611,-81.6626653016908,20.0738133430305,2
TCGA-AA-3496-01A,-15.2389128234396,-68.3333342041855,16.8441464205218,2
TCGA-AA-3502-01A,-38.9515925572342,-91.5991050332701,16.0072965397256,2
TCGA-AA-3506-01A,-16.337452077743,-75.5948458632228,3.4096298735173,2
TCGA-AA-3509-01A,-28.7121926070117,-79.5797005044815,23.8700352558879,2
TCGA-AA-3510-01A,-31.5671037450144,-78.600787402869,20.299865085622,2
TCGA-AA-3511-01A,-18.095867442381,-68.0220655511433,10.8064202556532,2
TCGA-AA-3514-01A,-17.8889337587365,-74.9740999843665,3.11005014075902,2
TCGA-AA-3516-01A,-32.6122087125303,-94.1639424790842,15.8791285018352,2
TCGA-AA-3517-01A,-17.9552489304761,-71.255573914446,12.0379621221279,2
TCGA-AA-3518-01A,-36.5053224921661,-93.2566102345714,14.9474217495684,2
TCGA-AA-3519-01A,-29.1731433620729,-80.1475552200418,21.2855661904927,2
TCGA-AA-3520-01A,-34.1730015592909,-88.3096901435182,16.7755079717302,2
TCGA-AA-3521-01A,-12.8682512804385,-71.7040182026963,8.64196445687692,2
TCGA-AA-3522-01A,-27.2144517866385,-78.6168978746488,22.6230619252289,2
TCGA-AA-3524-01A,-31.3382613448789,-88.3891438563284,16.656743503039,2
TCGA-AA-3525-01A,-35.8867303259581,-93.3490710420775,15.3164679875832,2
TCGA-AA-3526-01A,-27.65201078134,-81.6669434600396,19.7619776728234,2
TCGA-AA-3527-01A,-18.0658649924997,-74.95642800045,3.06870894879938,2
TCGA-AA-3529-01A,-39.0876420590546,-91.4327787548366,16.2107338733635,2
TCGA-AA-3530-01A,-16.3632863332854,-71.4814808935022,15.0946878821602,2
TCGA-AA-3531-01A,-16.2308637418987,-74.8869468527559,4.08989443160799,2
TCGA-AA-3532-01A,-30.1901497086139,-91.8476022581665,16.1965560932283,2
TCGA-AA-3534-01A,-29.4821891753002,-81.2459774928689,23.3173487828429,2
TCGA-AA-3538-01A,-27.5322981875706,-79.5243523859356,25.961986620026,2
TCGA-AA-3542-01A,-16.8079644518313,-75.0704333550525,4.78795293889267,2
TCGA-AA-3543-01A,-36.5254431632506,-94.0198594920825,12.3530316789613,2
TCGA-AA-3544-01A,-21.8513430683401,-59.8924516119852,21.6115256157675,2
TCGA-AA-3548-01A,-23.163377542268,-69.3272196612976,22.375656512875,2
TCGA-AA-3549-01A,-38.2176299187203,-92.8593314731282,15.8574990568674,2
TCGA-AA-3552-01A,-21.6939311573213,-69.6474301204046,22.4149059828941,2
TCGA-AA-3553-01A,-30.1519564242874,-80.034173878288,21.1668320987323,2
TCGA-AA-3555-01A,-38.4509156458938,-91.8352798367787,15.1457639873903,2
TCGA-AA-3556-01A,-29.6675446366288,-78.5559393878254,23.1289746753991,2
TCGA-AA-3560-01A,-33.5392535351706,-87.2743127188999,17.5240226667051,2
TCGA-AA-3561-01A,-34.8498659803783,-83.6167223781295,19.3235213270694,2
TCGA-AA-3562-01A,-29.4140451958083,-80.2126405499982,26.0687443558027,2
TCGA-AA-3655-01A,-36.3243612738074,-95.7265501533961,12.7299668176188,2
TCGA-AA-3660-01A,-23.5257182740918,-59.261735363454,21.9206217544867,2
TCGA-AA-3662-01A,-22.753827418197,-59.7690047435275,21.7796470117011,2
TCGA-AA-3663-01A,-38.8780212135608,-91.639153817927,16.0265647633188,2
TCGA-AA-3664-01A,-35.6643932307566,-87.1422612013382,18.0225779684067,2
