Sample,X,Y,Z,Cluster
TCGA-2H-A9GF-01A,-14.6299227574202,7.48781191280603,-14.5728772930526,1
TCGA-2H-A9GG-01A,-7.7120912066339,6.15383886685674,-12.3369857078557,1
TCGA-2H-A9GH-01A,-12.2678988748364,6.82613168526871,-14.0682481649384,1
TCGA-2H-A9GL-01A,-4.04221334940298,7.33768044820863,-9.25053193023836,1
TCGA-2H-A9GM-01A,-5.29581979006706,10.7287865642801,-8.45388799101862,1
TCGA-2H-A9GO-01A,-8.53621085550806,4.24807172313975,-19.743656186686,1
TCGA-2H-A9GQ-01A,-18.1282310253793,10.762192699967,-14.5641176034558,1
TCGA-2H-A9GR-01A,-11.9770181441616,12.6450662826761,-14.1445398653811,1
TCGA-IC-A6RE-01A,-5.21239934709955,9.84570831200219,-9.01042583537133,1
TCGA-IG-A3I8-01A,-9.21543465346066,6.0931217338314,-18.7793224251068,1
TCGA-IG-A3YA-01A,-18.1569420678218,12.8597287027421,-15.4791808932023,1
TCGA-IG-A3YB-01A,-16.8564990860426,12.5903142556305,-12.6222245919162,1
TCGA-IG-A4P3-01A,-15.6370744427576,-6.32847305094,-18.0216415006806,1
TCGA-IG-A4QS-01A,-16.8679308907511,-4.49517035056057,-17.158654034428,1
TCGA-IG-A5B8-01A,-14.7062479582361,-2.92812710943187,-14.970912058989,1
TCGA-IG-A5S3-01A,-8.20830005373763,6.99531268136921,-17.929538398614,1
TCGA-IG-A7DP-01A,-14.4318092109678,12.6739412910064,-13.8016547226235,1
TCGA-IG-A8O2-01A,-18.6438977333011,13.2752768385711,-13.4361926588653,1
TCGA-IG-A97H-01A,-15.8587685546235,11.4619155154094,-15.4477898992305,1
TCGA-JY-A6FD-01A,-15.9378075734926,-10.7990046531997,-16.3760308860813,1
TCGA-JY-A6FH-01A,-14.1576395030965,8.50500275582859,-17.4995699247419,1
TCGA-JY-A93C-01A,-8.35343553206158,6.1534537435761,-13.7253075633282,1
TCGA-JY-A93D-01A,-15.1020291308939,5.44182175984038,-15.1579261897336,1
TCGA-JY-A93E-01A,-14.1625814637782,5.16178656817106,-15.1356229705075,1
TCGA-JY-A93F-01A,-16.7517477042506,-7.54586587111059,-17.1414141128389,1
TCGA-KH-A6WC-01A,-15.6083047287022,-5.16089591354163,-15.9155691513037,1
TCGA-L5-A43C-01A,-13.3957013601484,0.303835986756513,-17.3227350474582,1
TCGA-L5-A4OE-01A,-18.9208128431188,-8.2889284171327,-18.3400289383866,1
TCGA-L5-A4OG-01A,-18.7579612295464,-8.29600759939133,-16.9986738247991,1
TCGA-L5-A4OI-01A,-8.85918170094973,5.15054227960268,-15.4834025560067,1
TCGA-L5-A4OM-01A,-11.5960788410936,2.10581957094563,-19.2379434883992,1
TCGA-L5-A4ON-01A,-16.1727843526323,-4.62871232628874,-14.8916172469725,1
TCGA-L5-A4OO-01A,-14.5740233223326,4.16752383492295,-14.5171859949735,1
TCGA-L5-A4OT-01A,-11.5289861657056,2.05643783506938,-14.9500925650102,1
TCGA-L5-A4OU-01A,-12.7446102369234,0.714093619317732,-15.9090193908191,1
TCGA-L5-A4OW-01A,-16.1373005332562,2.81405259607492,-14.403446913345,1
TCGA-L5-A4OX-01A,-6.9544821474072,7.26645720411242,-11.4368962208969,1
TCGA-L5-A88S-01A,-14.5013636460997,10.0697512689617,-12.3836051804104,1
TCGA-L5-A88T-01A,-16.5274671421069,-5.55325172490431,-17.1147486712682,1
TCGA-L5-A88Y-01A,-14.9460768536179,1.00443326895543,-13.6469913500463,1
TCGA-L5-A891-01A,-9.95261488701451,6.63257696386378,-17.520271540893,1
TCGA-L5-A893-01A,-12.8441448923121,2.89443494287826,-14.6758751860448,1
TCGA-L5-A8NE-01A,-11.8134312895464,9.94873949334295,-12.8542172764895,1
TCGA-L5-A8NF-01A,-11.0610790004528,8.99391139678539,-15.849792766735,1
TCGA-L5-A8NG-01A,-10.4140878552838,5.26462032511893,-11.9284545044081,1
TCGA-L5-A8NH-01A,-18.2053621499733,-11.7390446137053,-17.7511712797688,1
TCGA-L5-A8NI-01A,-14.7532243018716,13.9105291220301,-13.8328348952373,1
TCGA-L5-A8NJ-01A,-8.02380509760265,11.7951401239878,-10.0151893768263,1
TCGA-L5-A8NK-01A,-19.0834868455189,-8.71014704373121,-19.2464934719111,1
TCGA-L5-A8NL-01A,-14.4888616024063,7.12791434403627,-12.2733287554478,1
TCGA-L5-A8NM-01A,-14.5706117755263,0.81529385724033,-17.6249945272436,1
TCGA-L5-A8NN-01A,-14.2758943929615,6.909938596137,-16.6477231933125,1
TCGA-L5-A8NR-01A,-8.10485500111132,7.42094403207368,-12.7191902334506,1
TCGA-L5-A8NS-01A,-13.2157468121817,6.60922903284035,-14.4210082106964,1
TCGA-L5-A8NT-01A,-14.5459070469913,7.39157264857877,-14.9272446389316,1
TCGA-L5-A8NU-01A,-11.0718890712079,11.6590914692169,-13.9367590694056,1
TCGA-L5-A8NV-01A,-12.9382026869352,1.54499876120977,-15.830634922906,1
TCGA-L5-A8NW-01A,-17.3801371978161,-7.54740617761391,-16.633747648199,1
TCGA-L7-A56G-01A,-9.93969591168922,4.54450928587444,-20.3002594547721,1
TCGA-L7-A6VZ-01A,-14.6330023812522,2.05540916178262,-13.7253288401311,1
TCGA-LN-A49M-01A,-16.2427031854644,-7.92409751004476,-15.2539714553499,1
TCGA-LN-A49P-01A,-18.2838715477977,11.3327202943196,-14.5239487310034,1
TCGA-LN-A49S-01A,-19.8501722365575,-7.38398500022625,-15.8376805172981,1
TCGA-LN-A49Y-01A,-20.0673165702477,11.4757804598265,-15.9935396806263,1
TCGA-LN-A4A4-01A,-7.28317598801327,6.96262857327866,-12.4330925360809,1
TCGA-LN-A4A8-01A,-15.266005251851,7.69051056863123,-15.6364522805976,1
TCGA-LN-A4A9-01A,-16.2644751745772,-6.86818929895863,-17.1440145827814,1
TCGA-LN-A4MQ-01A,-19.834528847713,11.6723689741387,-17.7884445969682,1
TCGA-LN-A7HY-01A,-15.8110499923633,9.6829859712947,-14.7748728188322,1
TCGA-LN-A8I0-01A,-15.6435218359524,-12.0947675458474,-18.078433633824,1
TCGA-M9-A5M8-01A,-9.61953774552494,12.0282109891009,-9.20214034407757,1
TCGA-Q9-A6FW-01A,-15.817820854504,-5.71449814914395,-16.3589595803823,1
TCGA-R6-A6DQ-01B,-9.55133917705533,11.9734438410338,-10.1385982392531,1
TCGA-R6-A6KZ-01A,-12.4441692153183,7.68527893517812,-14.3700793177253,1
TCGA-R6-A6L4-01A,-14.2141974468284,-3.93247533998896,-16.5800013844489,1
TCGA-R6-A6XQ-01B,-14.3966571064132,-0.163815938075923,-17.7309413706394,1
TCGA-R6-A6Y0-01B,-17.68480667382,-3.69077708037891,-17.5663883942906,1
TCGA-R6-A8W8-01B,-13.3875401419062,1.87607910792055,-16.9353927643984,1
TCGA-R6-A8WC-01A,-8.01186858111957,6.91572135537918,-12.9762638599382,1
TCGA-R6-A8WG-01A,-7.61563319228676,5.18449812545427,-14.9563872915742,1
TCGA-S8-A6BV-01A,-16.3611855921319,-3.77605931964276,-17.2138389015725,1
TCGA-V5-A7RC-01B,-18.7351819129107,11.3064458924026,-17.2473540552997,1
TCGA-V5-AASW-01A,-6.27907556666251,7.33361904531268,-12.2965485577556,1
TCGA-V5-AASX-01A,-10.7715116295767,10.8657330003224,-12.6962148927034,1
TCGA-VR-A8EO-01A,-7.26507264199701,4.88480883698422,-18.8900897792928,1
TCGA-VR-A8EP-01A,-19.223199774315,13.011036460941,-17.4765501001395,1
TCGA-VR-A8EQ-01A,-9.14029416434431,10.2041533563791,-10.4155073211769,1
TCGA-VR-A8ET-01A,-16.4596475213452,-10.0428031206562,-15.1075299513109,1
TCGA-VR-A8EW-01A,-17.6346560137131,-6.01213681734519,-17.4223993136062,1
TCGA-VR-A8EX-01A,-17.3159232161362,-5.17637849518865,-17.1286228176473,1
TCGA-VR-A8EZ-01A,-16.7794775893523,11.4833224389975,-15.8898799262125,1
TCGA-VR-AA4D-01A,-8.00600946349459,8.53422936805769,-8.68723486775253,1
TCGA-VR-AA4G-01A,-11.9247434176139,10.4841907468226,-14.9655882478479,1
TCGA-VR-AA7I-01A,-14.1717955616705,-5.99309700722721,-19.0487932125425,1
TCGA-Z6-A8JE-01A,-10.3666253651386,6.63227970999345,-18.9902827906198,1
TCGA-ZR-A9CJ-01B,-12.941732113345,8.14713036848651,-10.2140108385151,1
TCGA-2H-A9GI-01A,14.831853116121,-7.05982258846644,18.0746219840229,2
TCGA-2H-A9GJ-01A,17.7921961519887,-4.90317383178651,23.8676194916478,2
TCGA-2H-A9GK-01A,16.8285450976126,-4.53978027940411,24.9922241496322,2
TCGA-2H-A9GN-01A,15.8184655399089,-3.37599183566307,24.7217870664874,2
TCGA-IC-A6RF-01A,18.6935225867789,-2.95341264973422,25.0494082822862,2
TCGA-IG-A3QL-01A,21.7116043053528,-7.09751530879549,24.4962015120597,2
TCGA-IG-A3YC-01A,20.5054005332993,-6.80670999311753,26.6128045238685,2
TCGA-IG-A50L-01A,19.4967382016045,-5.36989090457824,26.0353943475646,2
TCGA-IG-A51D-01A,18.865655537803,-2.76374922205327,24.7004517834838,2
TCGA-IG-A625-01A,20.3300233993862,-7.85237994883191,26.1593459981783,2
TCGA-IG-A6QS-01A,15.9879836502822,-1.1990776132523,23.4479231561593,2
TCGA-IG-A97I-01A,26.0048503548469,-1.64515039849351,17.8933102460986,2
TCGA-JY-A6FA-01A,25.7744971687518,-4.62217849081255,16.9950812721643,2
TCGA-JY-A6FB-01A,16.4773565077505,-8.24738131207311,19.6272603686848,2
TCGA-JY-A6FE-01A,22.0803366050847,-9.47472959902037,26.5841281611731,2
TCGA-JY-A6FG-01A,19.9887275157617,-3.04511169856545,23.7309429522652,2
TCGA-JY-A938-01A,16.7902345580731,-5.83139217974439,26.3869461011864,2
TCGA-JY-A939-01A,15.0538011925134,-9.93256612438456,18.5675540745121,2
TCGA-L5-A43E-01A,14.9561691045159,-8.82390201756175,18.1177563029123,2
TCGA-L5-A43J-01A,19.7245376811224,-7.18593516556293,26.8361345900129,2
TCGA-L5-A4OH-01A,30.4647191402648,-4.46076384271307,19.2538156868335,2
TCGA-L5-A4OJ-01A,17.5697780620743,-6.40671096419603,23.7084529221431,2
TCGA-L5-A4OP-01A,29.2343019204629,-6.55190574563688,20.3976123701423,2
TCGA-L5-A4OS-01A,14.2804702202534,-6.51323862194317,17.3315785386826,2
TCGA-L5-A88V-01A,17.2975718213953,-8.43754187568075,17.7202940948954,2
TCGA-L5-A88W-01A,28.4372325116734,-4.97372534826429,15.4237671307225,2
TCGA-L5-A88Z-01A,18.5413841398002,-3.41327654375169,25.379077287502,2
TCGA-L5-A8NQ-01A,27.24446760203,-4.11468402015359,18.4099912369513,2
TCGA-LN-A49O-01A,18.1883572531457,-2.40329997018547,23.3678898119327,2
TCGA-LN-A49U-01A,20.5681357498487,-6.2014855343492,23.6372684922089,2
TCGA-LN-A49W-01A,20.5777582728303,-2.10459613196236,25.4088561756504,2
TCGA-LN-A49X-01A,16.4106060334126,-6.98686504100191,25.190839721337,2
TCGA-LN-A4A1-01A,25.5575778622718,-1.97327677110471,18.8556208095817,2
TCGA-LN-A4A3-01A,26.3703857462959,-2.70425901563047,18.4284860234753,2
TCGA-LN-A4A5-01A,18.346367380034,-7.73046648549302,23.554469734471,2
TCGA-LN-A5U5-01A,24.0073956234519,-7.61513852371263,26.9200051171945,2
TCGA-LN-A5U6-01A,17.9189630237589,-0.128595042263716,21.6116848849485,2
TCGA-LN-A5U7-01A,20.6354370382548,-3.88202148756348,23.9192678897882,2
TCGA-LN-A7HV-01A,20.6369613295306,-3.94135148152296,22.7792108516881,2
TCGA-LN-A7HW-01A,19.5511808927687,-9.71631206700076,26.1123673206285,2
TCGA-LN-A7HX-01A,25.5411634996033,-4.84337062498102,15.0664613028998,2
TCGA-LN-A7HZ-01A,23.8766202658791,-8.33754749472613,24.2421281195686,2
TCGA-LN-A8HZ-01A,20.3829408499686,-5.87213125805974,25.5408174985303,2
TCGA-LN-A8I1-01A,16.7250779619994,-4.04799026735232,22.667870385098,2
TCGA-LN-A9FO-01A,25.7704185947438,-4.29094337235205,15.8095467675877,2
TCGA-LN-A9FP-01A,16.9580457626945,-8.03641332624898,23.5577903565993,2
TCGA-LN-A9FQ-01A,21.5467992858531,-9.07569353556192,27.2519540835282,2
TCGA-LN-A9FR-01A,18.0542005552704,-9.81464674526942,24.0387158296778,2
TCGA-R6-A6DN-01B,15.1207952566303,-9.8712385933204,17.0007521194267,2
TCGA-R6-A6XG-01B,15.481808801303,-10.2811687454326,19.2538235566862,2
TCGA-R6-A8W5-01B,17.5108306281536,-6.16026458568661,24.0393503090236,2
TCGA-RE-A7BO-01A,14.3782448626173,-5.81828430643305,22.410785982414,2
TCGA-S8-A6BW-01A,20.1819878495239,-2.8134533593172,18.7634740591801,2
TCGA-V5-A7RB-01A,14.3461950369124,-9.25471908608534,21.8605253094547,2
TCGA-V5-A7RE-01A,14.0774846653229,-10.6913119016726,18.7062161704806,2
TCGA-V5-AASV-01A,17.118704700299,-7.61370957005981,26.0092538108054,2
TCGA-VR-A8ER-01A,20.142794314894,-4.16461258942013,23.5804756409489,2
TCGA-VR-A8EU-01A,28.3706290086547,-3.62906772087781,17.8211103411151,2
TCGA-VR-A8EY-01A,19.4409275432001,-3.32881650699931,23.2234228609028,2
TCGA-VR-A8Q7-01A,15.7076798450347,-7.647764058668,25.0279213714556,2
TCGA-XP-A8T6-01A,21.6617217820202,-3.76655331481291,24.8364101796384,2
TCGA-XP-A8T8-01A,17.9920748881628,-3.21594533054849,23.0116361868841,2
TCGA-Z6-A8JD-01A,19.0310741459368,-3.10545180241698,26.2121203127889,2
TCGA-Z6-A9VB-01A,20.9485945283492,-3.82488681105409,24.303143932211,2
TCGA-Z6-AAPN-01A,24.1392834569963,-2.49647572548869,17.5216197437928,2
