Sample,X,Y,Z,Cluster
TCGA-2H-A9GG-01A,-3.16818344729265,-2.79314324439835,1.31183188909144,1
TCGA-2H-A9GI-01A,0.132463304517557,1.08206828875801,2.77876437156775,1
TCGA-2H-A9GJ-01A,-7.7582298938498,-10.473520148149,3.56502831574003,1
TCGA-2H-A9GL-01A,-2.23427070739147,-3.05295330322489,1.27344479682307,1
TCGA-2H-A9GM-01A,-6.88950018115192,-8.85956122836268,4.77777273188077,1
TCGA-2H-A9GN-01A,-8.79318888986964,-4.94963587534101,2.08966343990908,1
TCGA-2H-A9GO-01A,-2.18469230817864,-5.78258441294698,2.19789689839945,1
TCGA-2H-A9GQ-01A,-1.68774446307355,-5.9706989679481,4.57259790904937,1
TCGA-IC-A6RE-01A,-5.77372928738556,-8.31277648500229,5.87954425519737,1
TCGA-IC-A6RF-01A,-4.22056923108788,-9.34661853636049,1.8186054268976,1
TCGA-IG-A3I8-01A,-0.658144838651821,-12.1629212196892,4.34093276197713,1
TCGA-IG-A3YC-01A,-1.10955200804302,-10.9749991841577,3.47627400487959,1
TCGA-IG-A51D-01A,-8.77929097759668,-4.72873353848355,1.68021233029422,1
TCGA-IG-A8O2-01A,-4.72360766236986,-5.7951764954475,6.4297410592286,1
TCGA-IG-A97H-01A,-3.7942681740194,-5.56277598333992,10.0026396423564,1
TCGA-IG-A97I-01A,-0.807009812537519,-12.3788892471062,4.46079831803672,1
TCGA-JY-A6FD-01A,-4.70473530714569,-8.76071017453159,2.55871745058037,1
TCGA-JY-A6FG-01A,-4.44904051426118,-6.75887162301698,6.83415042233064,1
TCGA-JY-A938-01A,-4.68839208586158,-5.99559941827679,3.48050414806753,1
TCGA-JY-A93C-01A,-8.05166671451313,-8.53481085426293,1.76527849861528,1
TCGA-JY-A93F-01A,-2.91003435586421,-8.20021782663939,7.0281312841178,1
TCGA-KH-A6WC-01A,-6.16178518269327,-6.61625028787178,4.16725610387075,1
TCGA-L5-A43C-01A,0.236420146469244,-11.1506514002676,2.436100124624,1
TCGA-L5-A4OG-01A,-2.93448112474974,-5.79205205973103,6.35601638722673,1
TCGA-L5-A4OI-01A,-4.6204872129415,-5.45782400324157,7.75590534068006,1
TCGA-L5-A88T-01A,-6.03445265819436,-5.80501079595054,4.42520210537446,1
TCGA-L5-A88W-01A,-3.25064987881917,-6.23781242510614,5.85102431337356,1
TCGA-L5-A88Y-01A,-5.90980824981287,-8.07400843035643,2.28246739555317,1
TCGA-L5-A88Z-01A,-1.0403891761966,-7.10578104136274,7.84433429633548,1
TCGA-L5-A893-01A,-7.04983921319602,-8.76247633533012,4.78227185194784,1
TCGA-L5-A8NH-01A,-5.13576276417318,-7.66734961782036,3.28301675720433,1
TCGA-L5-A8NK-01A,-7.61661745692279,-4.48850382634269,4.06075003950718,1
TCGA-L5-A8NM-01A,-7.7938455818175,-9.22744740706701,1.96282486427521,1
TCGA-L5-A8NN-01A,-1.18688541056747,-0.973081421151925,2.37915178946367,1
TCGA-L5-A8NQ-01A,-4.08806888944252,-6.51939848437808,7.08122833846539,1
TCGA-L7-A56G-01A,-7.7747778919028,-3.68897436485077,5.1320947466297,1
TCGA-L7-A6VZ-01A,-4.6180927920742,-9.83059338139803,3.21750762218284,1
TCGA-M9-A5M8-01A,-6.20952997221297,-7.20859045556016,1.7400297337543,1
TCGA-Q9-A6FW-01A,-3.98843119525175,-7.13799950002227,4.75440647263192,1
TCGA-R6-A6KZ-01A,-0.667477147699422,-0.512881342295323,2.217153228559,1
TCGA-R6-A6L4-01A,-1.86442298139696,-7.66338398506061,3.50971024260756,1
TCGA-R6-A6XG-01B,-3.81928784583381,-6.52720557229181,6.77255079631577,1
TCGA-R6-A6XQ-01B,-1.64883739853563,-5.61621153244457,6.01860416037664,1
TCGA-R6-A6Y0-01B,-5.59094515853385,-7.17678163171841,7.32168871113298,1
TCGA-R6-A8W8-01B,-6.70103514093499,-6.70632969670155,2.60017712286754,1
TCGA-R6-A8WG-01A,-6.92435331686933,-5.96699199275765,3.87615858720656,1
TCGA-RE-A7BO-01A,-2.68882494799354,-6.52870199204419,6.97783306157405,1
TCGA-V5-A7RB-01A,-6.56129685878775,-8.93419490324605,2.81518168259033,1
TCGA-V5-A7RE-01A,-0.722154018232029,0.20695618081435,3.58853838078745,1
TCGA-V5-AASW-01A,-0.593573242795825,0.590289659641642,2.43315937392339,1
TCGA-V5-AASX-01A,-7.29930014805255,-8.34191569454745,2.41000493120103,1
TCGA-VR-A8EO-01A,-7.15368550751636,-5.75554460758235,8.37539497878945,1
TCGA-VR-A8EQ-01A,-4.37093810420558,-11.8191447095262,3.42566481577473,1
TCGA-VR-A8ER-01A,-1.4071530357653,-7.02565862391415,8.69998961681709,1
TCGA-VR-A8ET-01A,-1.64319016235195,-8.11303508207188,4.78162195514117,1
TCGA-VR-A8EX-01A,-4.43791240961073,-6.97587972062067,8.2218257998556,1
