Sample,X,Y,Z,Cluster
TCGA-2H-A9GF-01A,-18.817874735805,-32.1859814890615,-6.69653100300451,1
TCGA-2H-A9GH-01A,-17.0865799762674,-35.4892689901962,-3.92570434951333,1
TCGA-2H-A9GK-01A,-29.0373438683491,-28.2523179910005,-5.15750089151089,1
TCGA-2H-A9GO-01A,-18.626699176676,-35.0900224687156,-3.92988594227648,1
TCGA-2H-A9GR-01A,-18.3843217060058,-33.5690512538799,-5.41990737143422,1
TCGA-IC-A6RE-01A,-18.5891563369605,-34.6264370567759,-4.36987294487355,1
TCGA-IG-A3YA-01A,-19.2674031473684,-26.0476543486455,-8.54648556343455,1
TCGA-IG-A7DP-01A,-20.0414541844945,-27.8782659203045,-11.7137684933093,1
TCGA-JY-A6FB-01A,-19.1883978772388,-25.5865403748104,-9.32378943982561,1
TCGA-JY-A938-01A,-19.0250224036681,-25.926140624901,-12.2303747312015,1
TCGA-JY-A939-01A,-17.2449569118847,-31.8528578434669,-7.25366393973274,1
TCGA-JY-A93D-01A,-19.9357241845855,-28.3578640136369,-11.5017283067897,1
TCGA-JY-A93E-01A,-21.9206657302691,-29.3501256710759,-9.77358854954003,1
TCGA-L5-A43E-01A,-19.2743655978896,-26.061732505578,-8.48421943669789,1
TCGA-L5-A4OE-01A,-25.0646860911727,-29.1388814640033,-8.57464566704567,1
TCGA-L5-A4OG-01A,-18.5904552311627,-32.7051210887976,-6.22524865586783,1
TCGA-L5-A4OH-01A,-19.4209632557935,-29.0567201809875,-7.88828765253389,1
TCGA-L5-A4ON-01A,-15.6072725145217,-31.285512039116,-7.91915463165001,1
TCGA-L5-A4OP-01A,-19.5995518163598,-26.0597702047591,-12.641114238312,1
TCGA-L5-A4OT-01A,-17.0986081909463,-35.4855355834048,-3.93067128416851,1
TCGA-L5-A4OU-01A,-24.5494855374983,-28.8019835728883,-9.30384416307133,1
TCGA-L5-A4OW-01A,-19.8310783772272,-30.1889878726969,-7.91970094598486,1
TCGA-L5-A4OX-01A,-19.0517267529569,-31.5123074802417,-7.25696914922174,1
TCGA-L5-A88S-01A,-19.1228297285101,-26.3090678229259,-12.1831897968076,1
TCGA-L5-A88T-01A,-26.4403729435258,-30.7433462976618,-5.06947199576665,1
TCGA-L5-A88V-01A,-19.6228106622676,-35.2274999160406,-3.57517782275947,1
TCGA-L5-A88Y-01A,-25.3744397735605,-29.2209477938481,-8.25012356818507,1
TCGA-L5-A891-01A,-21.2199091738239,-28.247854822941,-11.2079602566817,1
TCGA-L5-A893-01A,-20.7393639673749,-30.1406663410738,-8.51504346756398,1
TCGA-L5-A8NE-01A,-18.845283375205,-34.7282289628376,-4.21454076310026,1
TCGA-L5-A8NG-01A,-17.0895670139924,-31.9379400014756,-7.20699276428538,1
TCGA-L5-A8NI-01A,-15.5780634036078,-31.2227376098606,-7.97160707637538,1
TCGA-L5-A8NJ-01A,-21.9411527057507,-29.5397032957237,-9.99221365996221,1
TCGA-L5-A8NL-01A,-18.2282731552829,-26.8466603271841,-12.0957015749241,1
