Sample,X,Y,Z,Cluster
TCGA-02-0055-01A,-3.5354740994853,-10.2362069956867,-7.49523250765725,1
TCGA-02-2483-01A,-7.55639925532151,-1.56340270771017,-6.39035093368052,1
TCGA-02-2486-01A,-18.3768208496196,-8.75514301196182,-7.15071206214262,1
TCGA-06-0129-01A,-5.67377517157785,-1.51613199536953,-7.81269190230154,1
TCGA-06-0139-01A,-5.61988099372169,-8.43642907935934,-8.17421968688116,1
TCGA-06-0156-01A,-6.46363221206015,-10.4899407913908,-8.24719124697161,1
TCGA-06-0174-01A,-1.29566403675839,-0.183791550075759,-3.07261154314702,1
TCGA-06-0178-01A,-14.1107261676548,-6.88277849457019,-9.34299501345421,1
TCGA-06-0187-01A,9.70570360090332,3.97132991047058,-0.566059014106642,1
TCGA-06-0190-01A,-7.16066105363052,-10.6825826636787,-8.31305120950568,1
TCGA-06-0210-01A,-15.8479265027553,-7.00784407004341,-8.98802629647154,1
TCGA-06-0211-01A,-10.7782969613039,-0.775169046505017,-7.71359651040433,1
TCGA-06-0211-01B,-12.6887632288328,0.0238807542408746,-8.40532514527844,1
TCGA-06-0219-01A,-17.8922684921515,-10.1185124910452,-8.7658795666552,1
TCGA-06-0645-01A,-13.2631820026413,-1.48341027415082,-7.39240310502322,1
TCGA-06-0646-01A,-10.8344289103655,-0.699676305311396,-9.69049710728232,1
TCGA-06-0686-01A,-3.44846380634698,-4.98917595625239,-5.17443856209519,1
TCGA-06-0744-01A,-0.463246753667459,-1.01707640161258,-2.40384734514468,1
TCGA-06-0745-01A,3.99312737831549,1.00481222718554,-2.35792218212493,1
TCGA-06-0747-01A,-12.2254683695308,-2.12183958917236,-9.61408257487069,1
TCGA-06-2558-01A,-8.11703661052663,-3.38527486291176,-6.70838714706633,1
TCGA-06-2559-01A,1.88054817262901,-0.619896667576228,-2.24937639744423,1
TCGA-06-2563-01A,-0.655248788113373,-2.0684732703016,-2.15430982819557,1
TCGA-06-2565-01A,-13.7042725996516,-0.130502325071642,-7.61739324253305,1
TCGA-06-2567-01A,-3.95679534765525,-9.0494531594856,-6.85265152539414,1
TCGA-06-2569-01A,-0.617243860564466,-4.4945760626162,-5.6470168365864,1
TCGA-06-2570-01A,-3.03669602253373,-3.06296918983591,-5.21367129138024,1
TCGA-06-5408-01A,8.41763730457261,1.90954083910791,-1.49013438371624,1
TCGA-06-5410-01A,-18.9366852134132,-10.6118591271784,-8.44020191822356,1
TCGA-06-5413-01A,-13.2468457506364,-9.5187727401852,-8.16591673254073,1
TCGA-06-5414-01A,5.48408600056106,2.50413816373007,-0.940558465926015,1
TCGA-06-5416-01A,-2.38557815544705,-2.19298378033816,-4.24865445541266,1
TCGA-06-5417-01A,-6.93911800754805,-3.04224599663822,-6.9618114521469,1
TCGA-06-5418-01A,-13.5286089583481,-0.587848807337988,-7.06162355255264,1
TCGA-12-0616-01A,-13.0095116387665,-1.91793496984991,-5.1647681088483,1
TCGA-12-0618-01A,-0.200275916253013,-5.60017023144495,-8.19877536964148,1
TCGA-12-3650-01A,1.5463890042474,0.106768112372995,-3.21484984986347,1
TCGA-12-3652-01A,4.74511682633747,0.319278719546417,-3.11347580331339,1
TCGA-12-3653-01A,2.0867112509917,-0.674561856649717,-1.22667238017041,1
TCGA-12-5295-01A,-18.5195866930248,-9.94298060309244,-6.81665231649094,1
TCGA-14-0789-01A,-10.8381821916926,-0.807968498937224,-8.31885924360388,1
TCGA-14-0817-01A,-16.0614378426411,-5.47398461488803,-8.05261228042727,1
TCGA-14-0871-01A,-3.21896291720749,-4.44605528797653,-6.08901594287545,1
TCGA-14-1823-01A,-14.0334079895591,-5.34329890044796,-6.66016423135859,1
TCGA-14-1825-01A,-13.154892645639,-7.16339981699952,-7.7754596188394,1
TCGA-14-1829-01A,-15.7600109434107,-6.34590365257956,-7.27530498408171,1
TCGA-14-2554-01A,-13.8205187015823,-6.43359959749514,-7.96919756500302,1
TCGA-15-0742-01A,-1.5440187254584,-2.47537488258075,-4.35839249203172,1
TCGA-15-1444-01A,-7.69805256490856,-2.14203616838676,-8.03710831187465,1
TCGA-19-1390-01A,-1.76617800444396,-0.827103119827015,-4.54155477976916,1
TCGA-19-2629-01A,-1.24582582998733,-6.45454440418781,-6.84321217506974,1
TCGA-19-4065-01A,-19.2135417113648,-9.96791026164984,-6.55214835430995,1
TCGA-26-5133-01A,-8.69879339994631,-4.8140146210409,-7.11371372122201,1
TCGA-26-5134-01A,-4.265971561491,-1.7546719225981,-6.2707912558355,1
TCGA-27-1830-01A,-14.181379029828,-7.29538483423126,-8.5794954546934,1
TCGA-27-1831-01A,-17.8859637762913,-8.23012755455109,-7.16776904214406,1
TCGA-27-1832-01A,-5.15985321814628,-9.87775207453481,-8.39950595113249,1
TCGA-27-1834-01A,-12.707297425414,-5.80791173277258,-7.68738636584941,1
TCGA-27-2519-01A,-11.7649036104186,-8.62965011184064,-7.40065544946958,1
TCGA-27-2523-01A,-0.178973984906504,-1.23729099924954,-4.41940311120653,1
TCGA-27-2524-01A,-13.5053112517648,-2.38302094570865,-8.45406260187737,1
TCGA-27-2528-01A,-5.63752757779983,-10.6178075091473,-8.5209049049759,1
TCGA-28-2499-01A,-10.7224155640453,-1.36453217354564,-8.53549391119839,1
TCGA-28-2513-01A,-15.8437910118338,-4.2080488640841,-6.52732720083053,1
TCGA-28-5204-01A,-12.5412842687097,-2.34884929947389,-8.86355106366931,1
TCGA-28-5208-01A,-13.101301724545,-2.29015063324288,-5.1784616948801,1
TCGA-28-5209-01A,-7.03232747623032,-1.4940650128531,-5.82002949869195,1
TCGA-28-5213-01A,-17.1655876975642,-9.08964910126216,-6.44248485535271,1
TCGA-28-5215-01A,-15.1267216877896,-10.2592996594901,-8.42646277532856,1
TCGA-28-5216-01A,-12.9062626087932,-8.19657917429798,-7.34051912170863,1
TCGA-28-5218-01A,-1.39743784343041,-4.65811797645068,-6.78869723129406,1
TCGA-32-1970-01A,1.77701667478404,1.1721907757092,-0.870290687453807,1
TCGA-32-1982-01A,-16.4667195233708,-3.86332049728791,-10.2504153992106,1
TCGA-32-2615-01A,-14.6515242852768,-0.474167784202637,-5.83103718714577,1
TCGA-32-2632-01A,-16.7725047301535,-3.73545580923255,-9.81147764790474,1
TCGA-32-2634-01A,-3.8892655198612,-3.91497947740857,-5.38547992173038,1
TCGA-32-5222-01A,-16.7900656622455,-3.80617147675137,-8.91689379921436,1
TCGA-41-2571-01A,2.85115788619846,-0.113321401140679,-2.68930097721741,1
TCGA-41-2572-01A,2.39203665099939,0.387987662793349,-2.50477692770611,1
TCGA-41-3915-01A,-6.62241295909528,-10.1716654051456,-6.85596316514322,1
TCGA-41-5651-01A,2.2923750476988,-1.17537304314065,-1.19844055258009,1
TCGA-76-4925-01A,0.937718206857205,-0.615513026071392,-1.90913546113095,1
TCGA-76-4931-01A,9.29665753406058,2.29479134173047,-0.968291425676959,1
TCGA-76-4932-01A,8.84877745074154,1.71000054256434,-1.60753172118853,1
TCGA-06-0125-01A,-9.59151885321457,0.559024307748373,11.8221458492758,2
TCGA-06-0130-01A,-10.9259763544996,0.400162475215076,10.1518846558255,2
TCGA-06-0157-01A,-11.9109178558768,0.774071443494342,9.8739137915532,2
TCGA-06-0168-01A,-10.384059187428,-1.25090466210143,9.38449845908388,2
TCGA-06-0743-01A,-9.56045163399786,1.1065484480922,10.996598551218,2
TCGA-06-2564-01A,-10.591899164233,1.1325778422859,11.2520985914305,2
TCGA-06-5856-01A,-8.78256954953667,1.50262252158192,12.7655962485006,2
TCGA-06-5858-01A,-7.67697707898321,2.4265234958189,11.8225186391382,2
TCGA-08-0386-01A,-6.73844269255303,2.27751663602713,11.3732879016725,2
TCGA-12-0619-01A,-9.65020194352388,1.25154119934578,12.6934726441268,2
TCGA-14-0790-01B,-7.80323207737774,1.32500867944018,10.0661622815841,2
TCGA-26-5132-01A,-8.78832778129975,1.1145820995787,10.0003863036436,2
TCGA-26-5139-01A,-7.41115865607722,1.55061695607191,11.8188907923957,2
TCGA-27-1835-01A,-10.7763848081566,1.81077492735702,10.7488124697995,2
TCGA-28-1753-01A,-9.56480821492983,0.345454486987737,11.408938583339,2
TCGA-32-2616-01A,-8.97883603150766,1.74495770228508,10.9103581585643,2
TCGA-32-2638-01A,-8.59593447865217,3.43369481057514,11.542052957254,2
TCGA-02-0047-01A,12.6643972106378,9.73219510028123,7.51012538104167,3
TCGA-02-2485-01A,-2.0726171084679,-8.30584132803429,2.09557681789256,3
TCGA-06-0132-01A,13.8538618007251,9.02830071328366,8.86890686260273,3
TCGA-06-0138-01A,21.2584639182415,8.93217286912074,6.54174581533595,3
TCGA-06-0141-01A,12.3268111514205,-0.424655966960082,5.74816824464282,3
TCGA-06-0158-01A,18.4628495923409,3.86920334513086,3.00559608990431,3
TCGA-06-0184-01A,12.6354107875532,0.304324536527835,6.40527659916941,3
TCGA-06-0238-01A,13.2878906316492,11.2573807925342,8.58481864952002,3
TCGA-06-0644-01A,12.9421368696076,1.14514188180658,7.81177161650125,3
TCGA-06-0649-01B,14.1928171829415,-0.0444749928012143,5.69938387628263,3
TCGA-06-0749-01A,13.8040685007202,8.70135992747062,5.65428027673133,3
TCGA-06-0750-01A,21.6616184084493,7.40057037490125,7.95755086371108,3
