Sample,X,Y,Z,Cluster
TCGA-4P-AA8J-01A,-29.0275567102117,-116.255440549434,51.7579095510775,1
TCGA-BA-4074-01A,-26.6200551461342,-119.979798805714,50.6860667440422,1
TCGA-BA-4077-01B,-26.7461093516234,-101.663870805574,45.8239196525229,1
TCGA-BA-5152-01A,-26.3083912663365,-120.318439484353,46.857936936422,1
TCGA-BA-5153-01A,-23.8302271518745,-110.149095520194,38.637129810801,1
TCGA-BA-5555-01A,-28.1599352912912,-122.069125252129,42.6584383797584,1
TCGA-BA-5556-01A,-27.8483808588112,-129.59123863583,25.066978720392,1
TCGA-BA-5557-01A,-32.0632153882141,-124.371238326804,28.9462630838589,1
TCGA-BA-5558-01A,-31.622393803043,-126.001596293095,25.4093205763088,1
TCGA-BA-5559-01A,-23.8543226025467,-109.929255616132,39.4932044574677,1
TCGA-BA-6873-01A,-31.7616637853034,-126.450622168448,41.0928738773648,1
TCGA-BA-A4IF-01A,-25.6332274899054,-125.670834630965,45.0551175855696,1
TCGA-BA-A4IG-01A,-26.1795396655313,-103.321204746323,44.5607983917717,1
TCGA-BA-A4IH-01A,-23.8362208999524,-107.242884758257,38.4634259528405,1
TCGA-BA-A6D8-01A,-26.9237534745194,-116.663152381062,47.920155694502,1
TCGA-BA-A6DA-01A,-28.473561284962,-98.921380006735,48.929771370134,1
TCGA-BA-A6DB-01A,-34.5256818302834,-123.396162774102,28.0031080555826,1
TCGA-BA-A6DD-01A,-28.7400804010109,-115.647004734762,51.4791041565996,1
TCGA-BA-A6DI-01A,-29.9049915277697,-127.644340145375,25.9856367792146,1
TCGA-BA-A8YP-01A,-29.3070484353868,-124.826196225952,45.1100822596341,1
TCGA-BB-4223-01A,-24.0307222427432,-108.693209613566,38.9333117002771,1
TCGA-BB-4224-01A,-24.3688806795028,-104.039053775313,49.1416088806134,1
TCGA-BB-4225-01A,-21.2022769922761,-116.772272468048,42.050895947686,1
TCGA-BB-4228-01A,-23.8793785262053,-107.26712212977,38.6883782250308,1
TCGA-BB-8601-01A,-28.2069208919819,-109.802555814215,45.7478012848978,1
TCGA-BB-A5HY-01A,-27.3247822853425,-116.75108684621,48.9125773346686,1
TCGA-BB-A6UM-01A,-26.7303488229946,-101.38584002809,45.3468060274548,1
TCGA-BB-A6UO-01A,-27.6035896084861,-129.543148072771,27.2192658906717,1
TCGA-C9-A47Z-01A,-32.6050426466796,-124.011133044,27.9657719520489,1
TCGA-C9-A480-01A,-30.7387873149272,-127.322461205454,27.0296998100828,1
TCGA-CN-4722-01A,-34.5091835549496,-126.397014289045,30.3906806945698,1
TCGA-CN-4723-01A,-26.648138450001,-125.505027454146,46.5505677221106,1
TCGA-CN-4736-01A,-29.4186155136669,-128.358710382293,27.1066589098144,1
TCGA-CN-4737-01A,-30.0876145027909,-127.029590762975,22.8246508279928,1
TCGA-CN-4740-01A,-27.7814337348295,-117.570787451197,50.5755026873771,1
TCGA-CN-4741-01A,-25.0659887033875,-100.131266315347,48.9543888181421,1
TCGA-CN-5356-01A,-28.196775378459,-119.147395275571,50.1092517742037,1
TCGA-CN-5359-01A,-18.8196870361498,-120.609829959762,41.4693491097785,1
TCGA-CN-5360-01A,-28.784635987246,-125.519992345971,41.5387891606907,1
TCGA-CN-5370-01A,-25.1203600985136,-127.604060095156,37.2172257926678,1
TCGA-CN-5373-01A,-31.5044090574759,-125.921190078161,24.5658064278859,1
TCGA-CN-5374-01A,-25.4486387373212,-101.125252519997,47.7489248478351,1
TCGA-CN-6010-01A,-19.043515145311,-119.839383492092,41.8044264822727,1
TCGA-CN-6017-01A,-34.5373318007492,-122.10612278375,23.4077809237596,1
TCGA-CN-6021-01A,-33.3649428860514,-124.911907963713,32.6289569864179,1
TCGA-CN-6023-01A,-26.0648665513774,-121.976637140999,46.5428424815219,1
TCGA-CN-6024-01A,-34.0599619500086,-126.283152574223,38.781354263023,1
TCGA-CN-6988-01A,-20.2684155840017,-122.775460610766,38.8435384681333,1
TCGA-CN-6992-01A,-25.5165853421048,-123.216397529562,47.8500653988545,1
TCGA-CN-A497-01A,-29.9147216365626,-127.212532113667,49.0433998128417,1
TCGA-CN-A499-01A,-25.4674013697201,-100.033495938181,49.0251276960011,1
TCGA-CN-A49A-01A,-30.2191708014044,-124.859497961292,45.164709817663,1
TCGA-CN-A49B-01A,-18.1743394343929,-118.797798295917,43.2200793049776,1
TCGA-CN-A49C-01A,-26.4458692247296,-103.437238276934,42.161299423296,1
TCGA-CN-A63T-01A,-28.2033144307518,-109.866726443862,45.7809525866588,1
TCGA-CN-A63U-01A,-26.7419418202484,-125.724918174366,45.9834094313458,1
TCGA-CN-A63V-01A,-33.4429657393462,-124.021667927862,30.0610722558301,1
TCGA-CN-A641-01A,-35.5818885116079,-113.895865510682,26.783088102899,1
TCGA-CN-A642-01A,-26.4313907682542,-125.211116930411,42.7803936028291,1
TCGA-CN-A6UY-01A,-21.5827032453823,-108.078576511092,39.6110618756458,1
TCGA-CN-A6V3-01A,-20.108574714734,-120.263386110352,40.0569437844912,1
TCGA-CN-A6V6-01A,-26.3312301636904,-103.805491673948,42.107992173515,1
TCGA-CN-A6V7-01A,-25.2128005240833,-106.85252866749,40.7011873706033,1
TCGA-CQ-5323-01A,-27.9526074296415,-98.8358912280604,48.1850452921609,1
TCGA-CQ-5329-01A,-20.0895528541981,-120.203307258228,40.3123815247684,1
TCGA-CQ-5330-01A,-20.1773011285513,-122.857643861444,38.6204814031779,1
TCGA-CQ-5331-01A,-34.8596406685312,-121.44804562149,30.6984566018986,1
TCGA-CQ-5333-01A,-27.1475409473294,-128.449175652998,44.3950120177768,1
TCGA-CQ-5334-01A,-28.0988622488094,-127.489345966699,43.9582140466897,1
TCGA-CQ-6219-01A,-30.5781501394887,-128.75266595744,28.4958307601743,1
TCGA-CQ-6220-01A,-32.9597409754422,-123.156242186131,31.1491783875224,1
TCGA-CQ-6225-01A,-25.3795765433007,-122.60498995057,40.8704910025794,1
TCGA-CQ-6228-01A,-30.9776822085951,-126.956781483495,49.9555345252564,1
TCGA-CQ-6229-01A,-29.6755498936992,-128.38758698755,27.4437223499215,1
TCGA-CQ-7063-01A,-30.5442004438857,-127.210591353175,25.959595120383,1
TCGA-CQ-A4C6-01A,-30.3142171163235,-126.980500270023,23.7497519779732,1
TCGA-CQ-A4C7-01A,-20.4038350871139,-122.965396596054,38.66578296402,1
TCGA-CQ-A4C9-01A,-26.4704093100973,-123.271227073615,46.9079424029154,1
TCGA-CQ-A4CE-01A,-32.9400140019272,-125.686733181248,29.2414194717032,1
TCGA-CQ-A4CI-01A,-27.579886382483,-107.018641307735,41.8813238014757,1
TCGA-CR-5243-01A,-24.5192391529085,-102.604365080975,45.749647504206,1
TCGA-CR-5248-01A,-26.0794166263012,-104.514100168444,42.3100927306835,1
TCGA-CR-5249-01A,-25.5213374162682,-101.121665993661,47.6780253028282,1
TCGA-CR-6467-01A,-23.9465954748277,-109.506161783868,39.4449539085475,1
TCGA-CR-6470-01A,-26.2476093917954,-104.921407407431,41.8020045453768,1
TCGA-CR-6471-01A,-25.3620458295033,-98.9588565470518,51.0454494499009,1
TCGA-CR-6472-01A,-26.8102078924986,-107.138719281189,41.5399976922371,1
TCGA-CR-6473-01A,-23.5708255723222,-107.846120195197,40.8648845913201,1
TCGA-CR-6480-01A,-25.3678449303891,-99.2196623533006,50.5111270929432,1
TCGA-CR-6481-01A,-29.4650635604922,-125.272511818919,42.8239731930043,1
TCGA-CR-6482-01A,-23.8695512167753,-110.473542364302,38.0614059435088,1
TCGA-CR-6484-01A,-25.286251230505,-127.773002061959,36.8795412291464,1
TCGA-CR-6487-01A,-26.529480107409,-105.415635597807,41.5910506211084,1
TCGA-CR-6492-01A,-27.3053705201385,-129.349197567317,25.5468945142667,1
TCGA-CR-7367-01A,-20.8879139587928,-123.413232940852,38.7392033778509,1
TCGA-CR-7368-01A,-23.9171592054657,-99.7764435100043,49.2603485420166,1
TCGA-CR-7369-01A,-31.4706745822829,-124.911047017686,30.1710923466328,1
TCGA-CR-7370-01A,-25.8989427569481,-122.580720474269,41.1206329259707,1
TCGA-CR-7372-01A,-34.0243843684749,-124.135522551381,28.0460659664008,1
TCGA-CR-7373-01A,-28.2061023744862,-126.967713163177,44.1713579964803,1
TCGA-CR-7374-01A,-28.341715947124,-122.842329032902,47.9257817987986,1
TCGA-CR-7376-01A,-29.1262040285937,-127.830385029076,49.7595245858443,1
TCGA-CR-7379-01A,-31.2097378199151,-126.309946811043,24.7641215852255,1
TCGA-CR-7380-01A,-27.2456364235756,-129.805106575281,27.6880468622511,1
TCGA-CR-7385-01A,-25.4912760146219,-103.814466002041,44.292933742049,1
TCGA-CR-7386-01A,-27.8314258191178,-129.020712881641,27.0377791613323,1
TCGA-CR-7388-01A,-25.3506045479967,-103.117929854946,47.1805332701709,1
TCGA-CR-7391-01A,-34.5155266827175,-124.251045795782,28.5285832359144,1
TCGA-CR-7393-01A,-34.5065679766827,-122.163197798358,23.3960944029172,1
TCGA-CR-7394-01A,-35.2040304451898,-125.505569047257,31.0532260819725,1
TCGA-CR-7395-01A,-34.4324717138418,-123.258022820715,30.1944204375024,1
TCGA-CR-7398-01A,-26.9674019808804,-122.609987644759,41.5737138547561,1
TCGA-CR-7402-01A,-26.7647566889744,-103.993763092064,43.5002509330028,1
TCGA-CR-7404-01A,-25.4823235927971,-103.482645878035,44.7807490456715,1
TCGA-CV-5432-01A,-29.6086372838745,-124.925285110681,44.7377842401695,1
TCGA-CV-5434-01A,-26.3559285346236,-124.779020925643,43.1745053842988,1
TCGA-CV-5435-01A,-28.5630791486462,-117.6311454765,50.6222776383301,1
TCGA-CV-5436-01A,-25.7755256379348,-123.282670811255,47.4167570417906,1
TCGA-CV-5439-01A,-28.6650123024244,-129.144795526134,24.7577715144523,1
TCGA-CV-5440-01A,-18.1486434002337,-122.987033299217,37.6775078098724,1
TCGA-CV-5442-01A,-25.3346477647232,-98.8536896814825,51.2554207690537,1
TCGA-CV-5443-01A,-23.3182923149739,-108.194394928809,40.5156993165464,1
TCGA-CV-5444-01A,-25.4660348133935,-127.906459770596,36.5340538138582,1
TCGA-CV-5966-01A,-26.7912744515815,-126.362381482711,47.7972168959774,1
TCGA-CV-5971-01A,-24.6155747416934,-104.82863206876,49.8261958623726,1
TCGA-CV-5976-01A,-17.6799887782002,-123.03340528291,37.4259340455197,1
TCGA-CV-5978-01A,-19.4403370894388,-120.039630445053,41.3125191897573,1
TCGA-CV-6003-01A,-20.1865654528575,-107.537475039177,42.5818217078018,1
TCGA-CV-6433-01A,-27.0766063397521,-102.37198655577,42.9291998350647,1
TCGA-CV-6441-01A,-18.6825235963814,-118.110388224873,43.7725185428212,1
TCGA-CV-6933-01A,-24.7189362732575,-105.121362134368,49.9398410802366,1
TCGA-CV-6934-01A,-36.4666525624636,-121.577576088415,29.0170466575556,1
TCGA-CV-6938-01A,-32.9337789886868,-127.207827597202,39.8336504499897,1
TCGA-CV-6939-01A,-23.9183525863815,-109.355004243423,40.161892205497,1
TCGA-CV-6940-01A,-18.2189227996121,-118.602724052396,43.6127893044967,1
TCGA-CV-6941-01A,-33.8415329595074,-126.161437111351,39.8066016301711,1
TCGA-CV-6942-01A,-29.2648757000303,-125.494892679187,42.8503729313736,1
TCGA-CV-6943-01A,-31.3394007953564,-126.306539296108,27.3697697312204,1
TCGA-CV-6948-01A,-23.7924215313468,-114.75972866612,43.6485638601224,1
TCGA-CV-6951-01A,-17.6632899798943,-122.977814932438,37.2624614428185,1
TCGA-CV-6952-01A,-32.4761333580338,-125.057656728137,26.7613402201432,1
TCGA-CV-6953-01A,-33.7830274775499,-124.090203885536,30.0651958274071,1
TCGA-CV-6954-01A,-31.2700052300541,-126.783636677398,27.4580886552619,1
TCGA-CV-6956-01A,-27.7232195453764,-127.670893675713,49.4707863582935,1
TCGA-CV-6962-01A,-25.8465575304325,-125.565017558577,41.6090036100268,1
TCGA-CV-7089-01A,-27.7206915036696,-130.16081637014,26.1347464798399,1
TCGA-CV-7090-01A,-26.3956373616276,-129.496259064587,24.9720495284446,1
TCGA-CV-7091-01A,-33.3645919372296,-127.333078980554,40.3229268032307,1
TCGA-CV-7095-01A,-30.2019880538349,-126.782429864131,22.1174824742909,1
TCGA-CV-7099-01A,-35.551291842721,-127.616441069126,31.2103259082252,1
TCGA-CV-7100-01A,-20.5096489747539,-117.631061724555,42.2102302625476,1
TCGA-CV-7103-01A,-29.0527613896303,-125.370501102187,41.5758954007937,1
TCGA-CV-7180-01A,-33.9597920966679,-127.25668319065,40.267910890482,1
TCGA-CV-7242-01A,-28.7609622649331,-107.70905161635,41.5354967942294,1
TCGA-CV-7248-01A,-18.7533884652127,-118.939408428727,42.7952844253897,1
TCGA-CV-7250-01A,-33.5326453890631,-123.640762691364,30.5250341052791,1
TCGA-CV-7254-01A,-22.7150832699135,-117.886638397435,42.0070316290686,1
TCGA-CV-7261-01A,-29.7936534068618,-127.03229032541,48.5249096259846,1
TCGA-CV-7263-01A,-27.3648321144973,-125.285598613868,42.4526741429648,1
TCGA-CV-7406-01A,-27.6633285085746,-99.2045752397048,48.9147808752652,1
TCGA-CV-7407-01A,-27.524174654393,-116.453370297409,49.6551823490131,1
TCGA-CV-7413-01A,-34.0606634614077,-126.739829856084,30.3514471123217,1
TCGA-CV-7414-01A,-15.8566708082012,-123.525254510159,39.0981299895639,1
TCGA-CV-7421-01A,-34.9121307296123,-125.944683698014,39.8517156984595,1
TCGA-CV-7422-01A,-19.8296633082972,-118.697000265622,41.8466968466626,1
TCGA-CV-7424-01A,-26.1206748769525,-123.492733036465,45.7527477861139,1
TCGA-CV-7428-01A,-34.5461791781367,-126.869496044563,30.6762461997982,1
TCGA-CV-7429-01A,-28.2103508832369,-118.233305479755,50.4492466956291,1
TCGA-CV-7437-01A,-19.8819622226234,-119.928303044243,40.8311131049046,1
TCGA-CV-7440-01A,-28.1183046243924,-119.582777227004,49.798731424263,1
TCGA-CV-7568-01A,-33.8427595785873,-126.424050098527,38.5680413920471,1
TCGA-CV-A45P-01A,-34.6073963580683,-122.059163869954,30.4320290302747,1
TCGA-CV-A45R-01A,-30.576583780407,-128.277241952033,28.6207111410047,1
TCGA-CV-A45T-01A,-26.4719216206674,-99.4904134335373,49.4730714544341,1
TCGA-CV-A45V-01A,-33.1649630643903,-122.847205788282,27.6498680258236,1
TCGA-CV-A45W-01A,-26.8505439278174,-122.565065523172,41.5594837912085,1
TCGA-CV-A45Z-01A,-28.0312050492875,-123.444014013513,42.6404727043112,1
TCGA-CV-A468-01A,-27.2681582333743,-99.2028531237333,49.3077741953933,1
TCGA-CV-A6JO-01B,-33.7900280929164,-122.191104779198,27.368537433539,1
TCGA-CV-A6JT-01A,-31.7919352129911,-125.124730741462,28.2597539644439,1
TCGA-CV-A6JU-01A,-29.3718066857509,-115.680240022076,52.2678295602818,1
TCGA-CV-A6K0-01B,-18.8013565619848,-121.677339519849,40.8692071741405,1
TCGA-D6-6515-01A,-27.426638525724,-125.599473732326,42.7507796389601,1
