Sample,X,Y,Z,Cluster
TCGA-4P-AA8J-01A,-27.9818572141168,3.11463882687256,9.91148330509048,1
TCGA-BA-4074-01A,-17.3069092839526,-3.5270463998311,6.06633463223532,1
TCGA-BA-4076-01A,-21.7883795107431,-0.101076100046922,-9.51739985955181,1
TCGA-BA-4078-01A,-25.187561128146,1.22405338632872,10.0075512816544,1
TCGA-BA-5152-01A,-9.29591910654885,-0.203329049145577,-15.2455317780718,1
TCGA-BA-5153-01A,-24.2672438895215,2.53182461044372,-22.9793446555055,1
TCGA-BA-5557-01A,-18.3706264172482,11.5154057625554,-3.52283422135968,1
TCGA-BA-6869-01A,-27.6859878323274,3.55545950132529,-4.79396473566954,1
TCGA-BA-6871-01A,-19.6575064850383,0.741465748681086,6.12243086989294,1
TCGA-BA-6872-01A,-21.4262962639591,-2.30454834979288,-9.14553020673312,1
TCGA-BA-6873-01A,-16.5352495616858,-4.10109082325973,-25.0550624898075,1
TCGA-BA-7269-01A,-29.1191257278434,2.17516233952974,-2.06780617559654,1
TCGA-BA-A4IF-01A,-10.1092523514839,-0.806717049902187,-11.4036684060996,1
TCGA-BA-A4IG-01A,-12.6035305592809,0.00162316940367904,5.18112176341054,1
TCGA-BA-A4IH-01A,-26.315504423874,1.60728331076168,7.35091912325582,1
TCGA-BA-A4II-01A,-21.3324574868094,4.75675890428753,-4.24495421098906,1
TCGA-BA-A6D8-01A,-26.6303079784443,2.37649178185872,5.01503730846568,1
TCGA-BA-A6DA-01A,-24.5632122661875,5.56060048268179,-5.06422139338945,1
TCGA-BA-A6DB-01A,-6.47856823567474,5.12837107701097,5.13013627245255,1
TCGA-BA-A6DD-01A,-17.5131619015177,-8.66785087711989,0.16031465603307,1
TCGA-BA-A6DG-01A,-20.062116819087,11.4181298146423,-0.286866177561884,1
TCGA-BA-A6DJ-01A,-16.9837889443403,9.64097353670206,-3.35809174358714,1
TCGA-BA-A6DL-01A,-14.9152935230319,10.1328076466557,-4.94296486266425,1
TCGA-BA-A8YP-01A,-25.9699516361218,0.680619021604677,11.2592502658694,1
