Sample,X,Y,Z,Cluster
TCGA-BA-5557-01A,-41.4158709739876,-37.5871663047215,157.06882934156,1
TCGA-BA-A6DA-01A,-40.3099379191323,-38.2883822348045,155.583269945177,1
TCGA-CN-4729-01A,-36.8619330919197,-33.9886433726143,159.765399342811,1
TCGA-CN-4734-01A,-41.6436935352652,-32.7200785186096,160.489943105681,1
TCGA-CN-4738-01A,-42.4396960872713,-31.7393402756847,158.183710159981,1
TCGA-CN-4741-01A,-35.3753320904078,-27.5694383365993,157.363122077396,1
TCGA-CN-4742-01A,-36.8030372526248,-33.7864752257581,158.95777032702,1
TCGA-CN-5365-01A,-40.7710626104915,-32.8372264843607,153.238676424351,1
TCGA-CN-5369-01A,-41.3096163188617,-33.1243262910729,160.088481704659,1
TCGA-CN-5373-01A,-40.0610561753461,-36.7367147441079,155.606813803313,1
TCGA-CN-6013-01A,-35.8379465750897,-28.7810867057744,157.355892358778,1
TCGA-CN-6020-01A,-37.947095928484,-34.1391305135035,158.916377089834,1
TCGA-CN-6995-01A,-41.3194611079961,-37.0810675898573,157.098929922915,1
TCGA-CN-6998-01A,-41.5220191319641,-35.3698005736002,156.168607884855,1
TCGA-CN-A498-01A,-40.6885899858902,-38.1395704913523,155.96201430529,1
TCGA-CQ-6220-01A,-40.79278034629,-34.1436412962,158.984630020947,1
TCGA-CQ-6223-01A,-40.1628876076092,-34.5814925197003,157.726630748886,1
TCGA-CQ-7069-01A,-35.5356376505549,-29.6442348882534,157.628329699142,1
TCGA-CQ-A4C9-01A,-40.3562855528667,-32.0448759974843,153.069581372174,1
TCGA-CR-6471-01A,-41.4692404185003,-33.8017439255477,155.186325585493,1
TCGA-CR-7368-01A,-39.5365909550473,-35.6508384814076,155.765137536826,1
TCGA-CR-7372-01A,-42.2283891357307,-33.1029319671827,154.840044189943,1
TCGA-CR-7389-01A,-35.5341380548932,-28.4816648005206,157.435209380065,1
TCGA-CR-7397-01A,-42.3734473929245,-36.690922715444,154.902160070723,1
TCGA-CV-6955-01A,-40.025885788809,-38.7083711373521,155.142316999601,1
TCGA-CV-6961-01A,-37.6548699709404,-34.1399180897378,159.278674598533,1
TCGA-CV-7250-01A,-39.7847211949209,-33.6785529144797,154.591383642001,1
TCGA-CV-7411-01A,-42.2139814936293,-39.2377638773936,157.166119865199,1
TCGA-CV-7423-01A,-40.2230054649099,-31.5189523269314,153.255623689793,1
TCGA-CV-7427-01A,-42.3585517738153,-34.3289585201988,156.045757213763,1
TCGA-CV-A45O-01A,-40.432690027882,-37.1749090395863,155.826502867822,1
TCGA-CX-7085-01A,-41.7235645725887,-35.0690557775891,156.005570058647,1
TCGA-DQ-5625-01A,-41.9613638901126,-32.372127471702,161.063167535419,1
TCGA-H7-A6C4-01A,-41.7642227520231,-33.8755305990205,155.512393861291,1
TCGA-HD-A633-01A,-39.535811714224,-34.5522620573445,157.873945125308,1
TCGA-P3-A6T3-01A,-41.8799256179934,-35.8217712461463,155.404918887902,1
TCGA-QK-A652-01A,-35.5021151446476,-29.9804102010001,157.701850479292,1
TCGA-QK-A6II-01A,-40.5170134186516,-36.2401311783341,155.885767242388,1
TCGA-QK-A6VC-01A,-41.2106814189432,-35.4083319085442,156.804873430236,1
TCGA-QK-A8ZB-01A,-41.9725621359135,-38.6208032863358,157.246861516746,1
