Sample,X,Y,Z,Cluster
TCGA-4P-AA8J-01A,-81.6292242547555,-11.8759601765337,64.2060540446976,1
TCGA-BA-4076-01A,-92.6204868125514,7.483586642325,63.1621435986121,1
TCGA-BA-5152-01A,-85.0712247536189,-5.51961420671777,57.2352725390651,1
TCGA-BA-5557-01A,-80.9313413610959,-6.56529884794139,57.9835150965188,1
TCGA-BA-5558-01A,-88.7520044655442,-4.6358654329386,50.9768855972047,1
TCGA-BA-6869-01A,-82.1265629868954,-10.6349765357059,51.1820797182921,1
TCGA-BA-6870-01A,-82.3761750725093,-7.28490450191774,65.4349498800493,1
TCGA-BA-7269-01A,-86.6041175807417,-4.83067849238243,60.2755273019079,1
TCGA-BA-A4IG-01A,-80.2088175499455,1.70887349379366,61.5737413577535,1
TCGA-BA-A6D8-01A,-81.2051258408329,-4.52599200280024,59.3842206029827,1
TCGA-BA-A6DA-01A,-84.6828448588329,-1.84171142400758,57.881327644909,1
TCGA-BA-A6DD-01A,-81.4736044791612,-3.0103040158925,67.1474074381939,1
TCGA-BA-A6DL-01A,-86.4879774912575,-13.5639318844936,47.2894022177607,1
TCGA-BA-A8YP-01A,-83.3951732225199,2.19601569679186,61.113359617602,1
TCGA-BB-A5HZ-01A,-91.4034405572165,-4.51941120583042,56.3305231265755,1
TCGA-CN-4722-01A,-84.9677430188081,-7.83236265211216,52.8159488504781,1
TCGA-CN-4730-01A,-85.395405654297,-2.34632040441742,61.078802218757,1
TCGA-CN-4731-01A,-80.2371390355583,4.1125167220703,58.8110366036431,1
TCGA-CN-4734-01A,-88.1879329974372,1.22223882579792,55.4388445901478,1
TCGA-CN-5364-01A,-83.5112030717073,-6.33395738533434,55.4672872934839,1
TCGA-CN-5365-01A,-75.5767142580041,-0.120259587731893,55.8453044503565,1
TCGA-CN-5369-01A,-83.534615107776,-4.07903672485815,49.3991667406121,1
TCGA-CN-6021-01A,-82.1684321836666,-2.53417533462065,63.3373100792136,1
TCGA-CN-6995-01A,-78.3942236595465,-1.73102444980017,61.4469070508384,1
TCGA-CN-6998-01A,-90.6638255509101,3.94577611090021,63.2916316849707,1
TCGA-CN-A63V-01A,-79.2348322192787,-5.16114714492997,67.6383801744423,1
TCGA-CN-A642-01A,-78.2754307226159,-8.66375074210212,60.3708666940356,1
TCGA-CQ-5324-01A,-81.6172780995334,2.99921812098817,56.5851102494967,1
TCGA-CQ-5327-01A,-87.7310760399613,-13.8150422713712,67.9151258256749,1
TCGA-CQ-5330-01A,-92.1774848474143,-6.80372117918788,59.3449237863457,1
TCGA-CQ-5331-01A,-93.9171220036408,-25.8589390214588,112.268077938068,1
TCGA-CQ-5333-01A,-73.7300977192422,-11.6544683691901,65.8660804542281,1
TCGA-CQ-6219-01A,-90.376578929979,3.40348754201663,63.6709035465519,1
TCGA-CQ-6228-01A,-81.9398065346303,0.348673229344446,62.3865611782313,1
TCGA-CQ-A4CA-01A,-84.0066415935121,-6.55737227967191,69.8926945349794,1
TCGA-CQ-A4CB-01A,-91.7466091383495,-3.92843732298473,59.6856443615099,1
TCGA-CQ-A4CE-01A,-91.2037094604753,-2.71829504283593,62.0253570955924,1
TCGA-CR-5247-01A,-84.2212836893518,2.57727898767569,55.0408939959478,1
TCGA-CR-6491-01A,-88.9045580976117,1.72470323223436,53.1544686266479,1
TCGA-CR-6493-01A,-90.3019730256622,-6.15374385819589,59.0957318237797,1
TCGA-CR-7395-01A,-93.6894357926167,0.0171343723223313,62.5452789698898,1
TCGA-CR-7401-01A,-88.4679722010767,-6.73800268983678,63.2038351077349,1
TCGA-CV-5441-01A,-88.2345614101966,1.90117293013668,57.7516559242558,1
TCGA-CV-5442-01A,-90.8914507117935,-2.36360932148458,65.1954546925092,1
TCGA-CV-5973-01A,-86.6649639326875,2.90298342364928,56.8055979499954,1
TCGA-CV-5976-01A,-82.594781823493,-12.4935361023933,67.2050221327763,1
