Sample,X,Y,Z,Cluster
TCGA-4P-AA8J-01A,-143.321404994755,-140.568681523588,25.2210163813626,1
TCGA-BA-4074-01A,-143.362603673134,-140.291921584361,20.3865295989149,1
TCGA-BA-6871-01A,-134.652198705826,-138.039665806089,28.3735033855408,1
TCGA-BA-7269-01A,-145.543931836913,-139.613156016342,21.8959440611879,1
TCGA-BA-A6DB-01A,-144.165400276476,-137.787471811203,28.3589851984492,1
TCGA-BA-A6DD-01A,-139.89662100186,-135.913365639596,26.0651834382691,1
TCGA-BA-A6DG-01A,-142.09090105082,-136.61308416658,24.6434299174229,1
TCGA-BA-A8YP-01A,-144.184675059755,-141.46225664112,22.4955282973368,1
TCGA-BB-4228-01A,-142.009257601058,-142.602556803453,17.1621350376336,1
TCGA-BB-A5HU-01A,-141.033225874412,-141.155289820527,17.8589103639571,1
TCGA-BB-A6UO-01A,-142.62196712752,-141.500238657966,24.2527748930746,1
TCGA-CN-4723-01A,-143.507561286795,-139.235274708954,19.6354603086795,1
TCGA-CN-4726-01A,-136.718482300014,-136.296156696139,27.1408777226402,1
TCGA-CN-4731-01A,-143.677364137974,-143.005618968804,26.2128963551127,1
TCGA-CN-4733-01A,-144.444681062384,-136.390360535578,27.742426974063,1
TCGA-CN-4736-01A,-145.490513112537,-140.14669403108,24.29632141454,1
TCGA-CN-4737-01A,-143.662726366956,-138.150212742603,24.0812376132952,1
TCGA-CN-4742-01A,-144.663972544519,-136.277044902962,24.3241232698292,1
TCGA-CN-5356-01A,-143.67957674684,-142.471722541798,18.6193083292215,1
TCGA-CN-5363-01A,-137.928272530365,-136.737668612914,29.3869892924934,1
TCGA-CN-5366-01A,-143.020841941295,-140.071534093237,25.3628706719338,1
TCGA-CN-5367-01A,-100.570660207395,-136.356705019646,21.753419749115,1
TCGA-CN-5370-01A,-99.5796186451241,-134.729364623069,18.5482080080875,1
TCGA-CN-5373-01A,-142.459582887606,-137.854457382121,23.9846454449257,1
TCGA-CN-6016-01A,-144.377454612712,-139.608093149111,23.9805748908725,1
TCGA-CN-6017-01A,-145.781476255519,-140.065187781236,26.6693827835271,1
TCGA-CN-6019-01A,-146.244376185187,-139.161710080203,24.6183150880918,1
TCGA-CN-6022-01A,-99.0424154854844,-134.286563377718,18.9460021259213,1
TCGA-CN-6024-01A,-143.292654444754,-139.420513165755,19.5219341532641,1
TCGA-CN-6997-01A,-141.649193879419,-144.416010682774,26.5737417266838,1
TCGA-CN-A49A-01A,-99.2939103084196,-135.0152656228,20.2833395374607,1
TCGA-CN-A49B-01A,-139.476041936459,-144.73839352073,27.8563458425629,1
TCGA-CQ-5325-01A,-145.592524158761,-139.025836112153,26.8454267462216,1
TCGA-CQ-5330-01A,-139.344681281688,-144.658226623452,27.9577088775069,1
TCGA-CQ-5332-01A,-138.005009613002,-133.225337645324,28.7956549103386,1
TCGA-CQ-5334-01A,-140.405920510863,-142.16321881193,17.6161600355456,1
TCGA-CQ-6218-01A,-142.71445926309,-136.649434797367,28.9109646020484,1
TCGA-CQ-6219-01A,-144.713653574807,-137.881320843552,21.3199295896589,1
TCGA-CQ-6224-01A,-145.114225460294,-137.696809678849,24.5033509784868,1
TCGA-CQ-6227-01A,-145.901872459718,-139.043663007562,25.9183801039845,1
TCGA-CQ-7072-01A,-144.123721616795,-139.752138428352,23.7426152172471,1
TCGA-CQ-A4C7-01A,-137.735516216113,-136.453318342902,28.9308946074091,1
TCGA-CQ-A4C9-01A,-147.111868502736,-142.548034994078,25.0113405377866,1
