Sample,X,Y,Z,Cluster
TARGET-50-CAAAAC-01A,-19.0020295344415,-26.7447770298205,20.0075918151852,1
TARGET-50-CAAAAL-01A,-22.7174653363845,-23.4701315600322,16.8887685183266,1
TARGET-50-CAAAAO-01A,-22.3480661323988,-22.6781399634064,10.5780751423996,1
TARGET-50-PAJLKC-01A,-24.5425816545056,-35.4348552059364,15.0130924501187,1
TARGET-50-PAJLSP-01A,-20.4273779840875,-28.2784553772395,21.0795346383435,1
TARGET-50-PAJLTI-01A,-20.5927687880417,-23.0902438388295,19.8860370095542,1
TARGET-50-PAJMEL-01A,-19.4145721114639,-20.7879904513632,14.8182252439853,1
TARGET-50-PAJMEP-01A,-18.6298355011648,-28.5757845704359,18.8793029009607,1
TARGET-50-PAJMFU-01A,-18.852885655964,-19.6531551510471,15.4410745856378,1
TARGET-50-PAJMFY-01A,-19.5543344479212,-24.0879639657054,11.9035946420691,1
TARGET-50-PAJMIZ-01A,-19.7021617341622,-25.5011530886956,15.542439931597,1
TARGET-50-PAJMKI-01A,-22.4646046191979,-32.547612024599,16.4831241977712,1
TARGET-50-PAJMLI-01A,-21.6724058697959,-25.0002754612003,11.0249122513237,1
TARGET-50-PAJMSE-01A,-19.4647436978828,-25.0087910330393,12.0888999128308,1
TARGET-50-PAJNBN-01A,-22.9263227998419,-27.4167044503694,15.6653175658658,1
TARGET-50-PAJNCJ-01A,-24.1548074938795,-28.8665968538587,17.0886143207752,1
TARGET-50-PAJNLT-01A,-21.7919744823073,-25.2707130661688,17.645365327507,1
TARGET-50-PAJNNR-01A,-18.3776706288551,-31.7007721316583,16.0153336157208,1
TARGET-50-PAJNRH-01A,-18.8542217629161,-24.9482599659955,9.35050089735073,1
TARGET-50-PAJNTJ-01A,-20.8167837703199,-20.4567124374055,15.1615947554255,1
TARGET-50-PAJNVX-01A,-15.7485376362213,-19.6119042759135,19.6667237007317,1
TARGET-50-PAJNZS-01A,-17.1436812859715,-18.5997801139354,13.8816241430502,1
TARGET-50-PAKFME-01A,-17.5625397948766,-22.400865812931,18.6806103561553,1
TARGET-50-PAKFYV-01A,-21.5319331323373,-33.0336380425329,15.599441136424,1
TARGET-50-PAKGMU-01A,-22.4789710194102,-28.6492069375399,18.05336495935,1
TARGET-50-PAKPDF-01A,-22.8536220814519,-29.3211688765815,15.7836842040907,1
TARGET-50-PAKWPM-01A,-23.1758939877891,-20.4958544628527,17.1042157827323,1
TARGET-50-PAKYFC-01A,-19.6869809162003,-26.5888428211663,18.9753247854931,1
TARGET-50-PAKZFK-01A,-19.9395530726835,-21.7446287648504,14.5241785360846,1
TARGET-50-PALDTE-01A,-22.9820477851066,-22.1018398202435,14.2593334166209,1
TARGET-50-PALDWP-01A,-19.4787128629812,-34.1876531130357,18.0009158800715,1
TARGET-50-PALFME-01A,-23.6490485671819,-23.4641565705302,17.4397834266132,1
TARGET-50-PALGAZ-01A,-19.9969456291553,-21.1598076310074,15.300696440914,1
TARGET-50-PALJIP-01A,-22.0036768579332,-28.9590088003232,13.5983948277153,1
TARGET-50-PALLFB-01A,-20.1346872146702,-30.7516146648153,17.2745624755626,1
TARGET-50-CAAAAJ-01A,24.1350326100913,48.3694598236146,-22.896552143998,2
TARGET-50-CAAAAR-01A,29.544885124766,50.1421754350486,-16.1467493829531,2
TARGET-50-PADZUB-01A,22.3267716882317,47.5594668525257,-22.6750117607971,2
TARGET-50-PAECJB-01A,35.3459649700266,47.017211495373,-18.434529655151,2
TARGET-50-PAJLIP-01A,20.4366414156048,51.7965684500789,-18.404325914206,2
TARGET-50-PAJLNJ-01A,22.7114030628053,44.3020819733593,-22.0146092787358,2
TARGET-50-PAJLWT-01A,25.9072058263142,50.2376711129967,-18.9673494111504,2
TARGET-50-PAJMJT-01A,27.7722163351773,50.477033059004,-16.9686895079233,2
TARGET-50-PAJMMY-01A,30.9945758974727,51.3750125498238,-11.827188465839,2
TARGET-50-PAJMUF-01A,23.7542728835672,51.737380283079,-22.9156407001177,2
TARGET-50-PAJNAA-01A,21.7994670175074,52.0908147010663,-18.8905957628592,2
TARGET-50-PAJNAV-01A,19.1420260060171,50.74306055767,-25.3566836938573,2
TARGET-50-PAJNCC-01A,24.8722539875813,47.2620135798809,-21.6979415588725,2
TARGET-50-PAJNJJ-01A,23.4710274184024,51.9808649722093,-18.3807138957096,2
TARGET-50-PAJNSL-01A,24.7235241657302,50.1482416626192,-21.4048712768757,2
TARGET-50-PAJNUS-01A,23.259019203825,44.1910040283252,-18.9019983639701,2
TARGET-50-PAJNVE-01A,20.7851676725867,46.3540489854574,-18.1634246610399,2
TARGET-50-PAJNYT-01A,32.4162409331831,50.4508019207144,-15.1789092361921,2
TARGET-50-PAJNZI-01A,20.7179809912581,40.6015644945395,-21.390789125656,2
TARGET-50-PAJNZK-01A,24.069558739866,52.4198515011966,-18.4729014537609,2
TARGET-50-PAJNZU-01A,19.8347069648674,52.4256331464593,-20.0154865549012,2
TARGET-50-PAJPAR-01A,24.18633853027,43.7220059912457,-21.4483995482131,2
TARGET-50-PAJPCM-01A,23.1486960021768,44.2155471266777,-19.0749400274433,2
TARGET-50-PAJPDN-01A,25.6653597291805,46.3148781193656,-20.5045704567417,2
TARGET-50-PAJPHA-01A,35.7633715191458,49.649783204729,-9.56610674197782,2
TARGET-50-PAKKNS-01A,29.1999889351642,47.7806044355148,-15.4416160043775,2
TARGET-50-PAKNAL-01A,23.5720913095759,48.9340559329883,-21.6669094708583,2
TARGET-50-PAKNRX-01A,23.3834826049824,46.1598897745157,-20.3640920635394,2
TARGET-50-PAKNXS-01A,25.3018112984161,51.4829392536793,-23.2522421788279,2
TARGET-50-PAKRCC-01A,22.43421712322,45.0110645787362,-23.5963280261764,2
TARGET-50-PAKRVH-01A,35.0466233098133,47.8595513752573,-17.1167587624426,2
TARGET-50-PAKSCC-01A,23.397180185168,52.2542443651511,-16.4584732168487,2
TARGET-50-PAKSDG-01A,25.9930554882005,46.0805309728981,-18.1464179996671,2
TARGET-50-PAKUIT-01A,31.9144410636225,50.8568751011756,-15.1591212397885,2
TARGET-50-PAKVET-01A,23.5059187834426,53.0049217379819,-17.5031388227471,2
TARGET-50-PAKXXF-01A,22.0473098475364,41.081534228948,-22.6575760992614,2
TARGET-50-PALERC-01A,23.0832166515788,51.0919775115098,-25.604469750288,2
TARGET-50-PALGLU-01A,23.6395439485643,42.4453501766792,-21.9407856394637,2
TARGET-50-PALGVY-01A,23.6183070100706,41.4950598765751,-23.4628970913494,2
TARGET-50-CAAAAH-01A,2.36351581969772,-18.4078584744779,7.89774571692931,3
TARGET-50-CAAAAM-01A,-7.86577687164667,-25.9251590221784,6.3189200223702,3
TARGET-50-CAAAAS-01A,-5.4213485541663,-21.9559268819479,1.25811056628891,3
