Sample,X,Y,Z,Cluster
TARGET-50-CAAAAC-01A,-14.1574312795014,-19.7765136906566,-20.964911804512,1
TARGET-50-CAAAAJ-01A,-14.7133078227591,-12.7568222396048,-20.9078666531458,1
TARGET-50-CAAAAL-01A,-14.5794285578256,-16.2097200790765,-23.5343289237561,1
TARGET-50-CAAAAR-01A,-13.6807735092091,-13.7459104550313,-28.168422432914,1
TARGET-50-CAAAAS-01A,-8.4992768355523,-10.8177968305538,-22.0254562675382,1
TARGET-50-PAECJB-01A,-16.4446805340428,-15.0952707702606,-27.3767653132769,1
TARGET-50-PAJLKC-01A,-11.2807727913907,-18.5688054127384,-20.9912780999799,1
TARGET-50-PAJLNJ-01A,-20.3115818152158,-14.7412014312246,-23.5174764988566,1
TARGET-50-PAJLSP-01A,-7.80998965184752,-10.6678651568189,-19.2513792924107,1
TARGET-50-PAJLTI-01A,-10.5354069095784,-16.8373452557175,-19.9260412177695,1
TARGET-50-PAJMEL-01A,-11.046287463331,-16.5166911411028,-29.2057440570534,1
TARGET-50-PAJMEN-01A,-14.8614459502521,-15.6246889282309,-15.8834188191495,1
TARGET-50-PAJMFU-01A,-13.56556160945,-10.3183673639701,-23.0506522846839,1
TARGET-50-PAJMFY-01A,-17.6552283045875,-13.5954233966672,-16.9830341664709,1
TARGET-50-PAJMJT-01A,-11.1988354457824,-11.9640476374555,-24.6922642123668,1
TARGET-50-PAJMKI-01A,-14.0569960210899,-13.248926336498,-21.4026983902854,1
TARGET-50-PAJMLI-01A,-12.4788240583974,-13.8413539886286,-26.6134854729859,1
TARGET-50-PAJMLZ-01A,-16.4334755836931,-17.3046772233549,-22.3044931365337,1
TARGET-50-PAJMSE-01A,-11.8377912847283,-14.5104392384942,-22.0794403354231,1
TARGET-50-PAJMUF-01A,-13.4093875304739,-15.7768081716421,-21.1686993099159,1
TARGET-50-PAJNBN-01A,-10.6751347428543,-16.4259184338628,-22.0074131767809,1
TARGET-50-PAJNCJ-01A,-10.8500326230456,-14.5573715777881,-24.2013897353915,1
TARGET-50-PAJNCZ-01A,-12.5208242276301,-20.0088456968178,-23.2028752380442,1
TARGET-50-PAJNGH-01A,-10.3316153033213,-18.788393480776,-20.4936279459518,1
TARGET-50-PAJNNC-01A,-9.51268884008313,-11.7435416454496,-21.0874876598451,1
TARGET-50-PAJNSL-01A,-10.4860782258476,-13.7972811768583,-27.5182302737529,1
TARGET-50-PAJNTJ-01A,-11.9759286104881,-13.3603941524856,-23.0810010287117,1
TARGET-50-PAJNUS-01A,-15.8304789471072,-18.2871076475242,-20.0931469184732,1
TARGET-50-PAJNYT-01A,-11.5065556233935,-14.7478891232538,-27.2401753373216,1
TARGET-50-PAJNZK-01A,-11.6019256108541,-8.52756887447049,-18.6573160235511,1
TARGET-50-PAJNZS-01A,-11.5791740683261,-9.12532311520086,-23.2617335215033,1
TARGET-50-PAJNZU-01A,-15.7953306213181,-17.5713491150734,-25.1093650972973,1
TARGET-50-PAJPCM-01A,-10.9572875051606,-10.8399590561542,-25.2929353087758,1
TARGET-50-PAJPDC-01A,-11.2612689903308,-7.23353685819553,-24.6053486142908,1
TARGET-50-PAKFME-01A,-13.5105428192384,-12.4415258700489,-25.1052575831213,1
TARGET-50-PAKKNS-01A,-21.2812159821658,-17.3905461024414,-19.2772788787329,1
TARGET-50-PAKKSE-01A,-17.4388129923714,-11.7279524021381,-16.8095466473801,1
TARGET-50-PAKRVH-01A,-16.6565106531834,-16.9984965847261,-18.9252689747575,1
TARGET-50-PAKWPM-01A,-18.0598054304449,-15.4196211147241,-16.6327022353156,1
TARGET-50-PAKYFC-01A,-15.2680451828121,-14.4358948234305,-25.7157587892056,1
TARGET-50-PALDTE-01A,-9.39133820344988,-18.8369448295061,-22.3258895163671,1
TARGET-50-PALDWP-01A,-10.8462159515025,-9.49925989520866,-21.0745119045994,1
TARGET-50-PALERC-01A,-12.7957862100769,-18.240017123672,-26.0349590717893,1
TARGET-50-PALGAZ-01A,-11.1927984672693,-7.26573241663891,-20.0688772148819,1
TARGET-50-CAAAAM-01A,45.0957967735297,16.7214284289695,39.8180739791092,2
