Sample,X,Y,Z,Cluster
TCGA-KL-8323-01A,-29.779986025502,-80.2982511819257,5.69279083226368,1
TCGA-KL-8324-01A,-30.9700366480477,-81.0656036068949,17.6598522048628,1
TCGA-KL-8325-01A,-29.3773773517439,-80.1272777771419,3.31103667033454,1
TCGA-KL-8327-01A,-33.4462096543734,-78.360588743583,1.79180821674279,1
TCGA-KL-8329-01A,-27.0291344598476,-74.8783450428307,5.01379001577498,1
TCGA-KL-8330-01A,-28.3424852338531,-73.5198557869419,7.34569352598437,1
TCGA-KL-8331-01A,-31.6268147796083,-77.0733852913563,14.9537010020364,1
TCGA-KL-8334-01A,-32.6101444630311,-76.5301120334205,6.25955435264134,1
TCGA-KL-8335-01A,-28.5712374870564,-82.8121253557542,16.0758865751061,1
TCGA-KL-8336-01A,-29.1612122844211,-72.9810813446269,10.5367041826238,1
TCGA-KL-8338-01A,-26.2255384761919,-76.2531754899685,11.9303847671501,1
TCGA-KL-8339-01A,-29.4233134316916,-77.3957387710375,2.01853135904313,1
TCGA-KL-8341-01A,-26.942844721571,-78.2230384659728,4.6024180301125,1
TCGA-KL-8342-01A,-26.342316109435,-77.2874480193765,-2.59915869106246,1
TCGA-KL-8343-01A,-35.0743573296672,-81.3160979198784,3.56315985320735,1
TCGA-KL-8344-01A,-30.3437477280651,-76.805541701993,1.66618242801198,1
TCGA-KM-8476-01A,-33.1657505601895,-72.979841883375,10.2057125588575,1
TCGA-KN-8418-01A,-30.8652970039688,-82.4062280753341,12.1042506236084,1
TCGA-KN-8421-01A,-31.4370177238685,-76.8679413453843,7.49983887845718,1
TCGA-KN-8423-01A,-28.1707601103575,-78.8456136281862,10.0991984244768,1
TCGA-KN-8424-01A,-35.9390535365053,-83.2378135364808,5.53422418820525,1
TCGA-KN-8428-01A,-27.3442149820311,-81.7401838130077,10.983785185739,1
TCGA-KN-8432-01A,-32.5475006480396,-73.9404813622995,18.7138060111725,1
TCGA-KN-8433-01A,-30.0121022838288,-80.7966971052631,5.58676923110088,1
TCGA-KN-8434-01A,-32.5041204321257,-85.0105065870841,3.04280686001509,1
TCGA-KN-8435-01A,-33.517769429396,-76.6340401129551,9.89578810885831,1
TCGA-KN-8436-01A,-27.5810777066721,-73.5482567948142,7.82398622134717,1
TCGA-KO-8403-01A,-31.0526954636196,-83.0764805503354,11.0266562246442,1
TCGA-KO-8404-01A,-26.5830467343594,-77.1629701833854,12.1501704986465,1
TCGA-KO-8406-01A,-28.2467708078168,-75.38614770575,5.83155012930512,1
TCGA-KO-8407-01A,-33.3303679150638,-76.4553889211752,6.68729684898958,1
TCGA-KO-8408-01A,-30.5729234719973,-82.4450786152207,17.6020802939801,1
TCGA-KO-8411-01A,-29.3474229467591,-79.6142557510682,5.14519906806633,1
TCGA-KO-8414-01A,-36.2767950882103,-76.9157684753257,4.99674989160606,1
TCGA-KO-8416-01A,-25.3334116905107,-78.3207991343765,3.468109904327,1
TCGA-KO-8417-01A,-34.6719475445939,-78.152022986855,4.80049184672881,1
TCGA-KL-8326-01A,39.569228658946,94.5466505137402,-5.35733290672922,2
TCGA-KL-8328-01A,33.136865178506,94.7566003053783,-15.6093928749505,2
TCGA-KL-8332-01A,43.7598898266091,94.2324671991189,-7.69295801917881,2
TCGA-KL-8333-01A,43.0333519891687,97.769475395579,-7.02067065612226,2
TCGA-KL-8337-01A,30.2720794788196,95.9849291968234,-11.7054370613716,2
TCGA-KL-8340-01A,38.9164359275634,96.227457055401,-1.72086935557884,2
TCGA-KL-8345-01A,43.8852697326459,97.5065295463146,-10.7653608260594,2
TCGA-KL-8346-01A,41.1053851648816,97.6181263218045,-15.2991440401573,2
TCGA-KM-8438-01A,30.8743772554354,100.359693469965,-9.87719952853272,2
TCGA-KM-8439-01A,36.0192509004825,99.1913077027128,-17.0597399368973,2
TCGA-KM-8440-01A,35.2109703323958,101.338033589705,-2.2132936584426,2
TCGA-KM-8441-01A,35.3073730648764,100.446211765338,-12.8958758828542,2
TCGA-KM-8442-01A,40.2290888013476,97.3086216077256,-16.4701396554469,2
TCGA-KM-8443-01A,28.8173853430286,98.5207198154965,-12.3842836438892,2
TCGA-KM-8477-01A,39.0439859234236,92.5055963353143,-10.3716999140883,2
TCGA-KM-8639-01A,36.7666989156952,95.0873605888952,-9.44714840399251,2
TCGA-KN-8419-01A,43.1209002438999,96.6761739773996,-16.5099454739301,2
TCGA-KN-8425-01A,37.0484651288655,99.8484231598299,-7.17604663348413,2
TCGA-KN-8426-01A,39.83331866561,96.8125801071261,-7.58971980929885,2
TCGA-KN-8427-01A,33.7369631821724,99.1266855915217,-9.15163783092958,2
TCGA-KN-8429-01A,37.3637709092903,95.0983161992162,-9.95397394920399,2
TCGA-KN-8430-01A,39.8741182741205,94.4767870514902,-17.0088045937609,2
TCGA-KN-8431-01A,33.552842028321,97.5669681723428,-9.21719931828592,2
TCGA-KN-8437-01A,37.2977139446147,96.1600015343878,-10.001523179736,2
TCGA-KO-8405-01A,41.4591332746147,96.4725069008046,-11.565457054354,2
TCGA-KO-8409-01A,33.5656065030015,102.179310679129,-1.6075348987838,2
TCGA-KO-8410-01A,41.8558601706677,93.8743835423667,-9.46064126090941,2
TCGA-KO-8413-01A,37.3339928665574,99.6934253552939,-6.20296484846797,2
TCGA-KO-8415-01A,41.7764805784593,97.0788404201594,-1.68481110752882,2
