Sample,X,Y,Z,Cluster
TCGA-KL-8323-01A,-3.67352063283204,3.58161334544009,0.00666703995411343,1
TCGA-KL-8325-01A,-3.22851086985767,5.29051422206817,0.856724711465087,1
TCGA-KL-8329-01A,-1.63160050098334,5.85887500798726,-0.990009159989881,1
TCGA-KL-8332-01A,-1.66628078565376,6.69919597869801,1.20098223435796,1
TCGA-KL-8340-01A,-0.745838178840059,5.94484942675899,0.85559693015531,1
TCGA-KL-8341-01A,-1.90287632612791,5.8939513018279,0.22388035449859,1
TCGA-KL-8342-01A,-1.95199358070094,7.88195461524562,2.0067368156965,1
TCGA-KL-8346-01A,-1.64765496062772,5.73819071258463,-0.8660593770076,1
TCGA-KN-8421-01A,-2.04346161569192,8.09231470670941,2.13569579853046,1
TCGA-KN-8423-01A,-1.94478082085381,5.95652212300801,0.242639423736742,1
TCGA-KN-8424-01A,-3.76649236139551,3.72036361321102,0.146049345176658,1
TCGA-KN-8426-01A,-2.00098947943401,6.60044840767581,-0.235109402358111,1
TCGA-KN-8429-01A,-2.06769918151833,8.24172511551594,2.26766159142769,1
TCGA-KO-8406-01A,-3.10843084633851,3.92572867459136,-0.338337890234706,1
TCGA-KO-8410-01A,-2.31761250684458,6.21177153902245,0.818192764295,1
TCGA-KO-8413-01A,-0.397129282134353,6.0950153112921,1.27546223434753,1
TCGA-KL-8324-01A,-4.26093505502084,-2.7045004327049,0.453674778538234,2
TCGA-KL-8326-01A,-4.28293718925426,-2.22930383721019,0.564774532975399,2
TCGA-KL-8327-01A,-3.74482229574656,-6.88316604335765,-0.899544209574768,2
TCGA-KL-8330-01A,-1.301946887935,-1.45513140305505,-3.29603710212211,2
TCGA-KL-8331-01A,-2.50614110068788,-2.9174697665514,-1.10116665348702,2
TCGA-KL-8336-01A,-0.68673476861689,0.396750448935023,-2.17549361924935,2
TCGA-KL-8337-01A,-2.15513353568758,-3.13199354111375,-1.87807330634527,2
TCGA-KL-8338-01A,-3.91579042809269,-6.08285437900476,-0.345622622480205,2
TCGA-KL-8339-01A,-1.27382728703833,0.632645781838318,-2.9615471906405,2
TCGA-KL-8343-01A,2.41538609603371,-1.18978360814106,-2.36423982610324,2
TCGA-KL-8345-01A,1.21362418948526,-1.3759491538071,-2.97738450810653,2
TCGA-KM-8438-01A,-3.69225916777303,-7.75678644801203,-1.06965984045489,2
TCGA-KM-8439-01A,5.68325691743887,-0.965818188358361,-2.02535963703393,2
TCGA-KM-8440-01A,-0.82246670923787,-1.53179220849674,-3.19935030635688,2
TCGA-KM-8441-01A,7.19864812227579,-0.932783309788183,-2.2417782972494,2
TCGA-KM-8442-01A,-1.98986463097523,-4.45898446194895,-1.50986521775492,2
TCGA-KM-8443-01A,-1.2875312628567,-1.93814459847348,-2.91979786818737,2
TCGA-KM-8476-01A,-3.60692674940812,-7.51669954695928,-1.25652461632933,2
TCGA-KM-8477-01A,3.80023788632477,-0.93765329148881,-1.65278345904405,2
TCGA-KM-8639-01A,7.41037596599573,-0.960256011436455,-2.29680230051646,2
TCGA-KN-8418-01A,-1.00042357592399,-0.451723680262554,-3.33474958650839,2
TCGA-KN-8419-01A,2.94350187881747,-1.1200853290425,-2.11532358230646,2
TCGA-KN-8425-01A,-2.88824271882131,-4.98935791393313,-1.29147816150533,2
TCGA-KN-8431-01A,-3.46044917665458,-8.01727125049788,-1.28674034078448,2
TCGA-KN-8432-01A,-4.37079292081992,-2.18280139192834,0.657871961549833,2
TCGA-KN-8433-01A,7.86474879925618,-1.02139451295917,-2.38955965121295,2
TCGA-KN-8435-01A,0.544393805483315,-1.61003154355668,-3.0756180876211,2
TCGA-KN-8436-01A,2.42616318519707,-1.20157499159979,-2.35893118314622,2
TCGA-KN-8437-01A,6.91961837193854,-0.933880296364834,-2.20561486622046,2
TCGA-KO-8409-01A,-3.65227921242012,-7.06186321487295,-1.29728419014708,2
TCGA-KO-8411-01A,-4.05748066522106,-1.43296487751907,0.490325181660495,2
TCGA-KO-8414-01A,-3.10276425335215,-5.45120284742816,-1.35833566486999,2
TCGA-KO-8415-01A,-3.81992720271138,-6.75762747626072,-1.76971851633967,2
TCGA-KO-8416-01A,-2.36104436682592,-3.05641869203801,-1.41602430544413,2
TCGA-KO-8417-01A,-0.313604071659045,-1.49494629983336,-3.1590105152752,2
TCGA-KL-8328-01A,1.00202079375576,0.0510003858523498,4.04790639778427,3
TCGA-KL-8333-01A,4.34864806675081,0.774596999610153,1.55222234460908,3
TCGA-KL-8334-01A,2.65189432319845,0.0482475654655819,5.26138873289752,3
TCGA-KL-8335-01A,5.78164336302242,0.374908966290848,3.06234708037422,3
TCGA-KL-8344-01A,3.90854791995548,0.966717245535905,1.51260146078452,3
TCGA-KN-8427-01A,4.22873375910063,0.0452333886370753,5.00462656792522,3
TCGA-KN-8428-01A,3.35206158629762,0.00355316043199408,5.38454522701709,3
TCGA-KN-8430-01A,4.52319998890978,0.665221769928019,1.52085657268894,3
TCGA-KN-8434-01A,1.56792875247286,1.01202543455126,3.18313585265464,3
TCGA-KO-8403-01A,2.66625054527833,0.0359436595940729,5.35427124337644,3
TCGA-KO-8404-01A,5.69771583240057,0.364725243552016,3.11767369676929,3
TCGA-KO-8405-01A,6.05747951707075,0.313504369751176,3.12225152628564,3
TCGA-KO-8407-01A,1.22792908091776,0.338280688389495,3.89595096726512,3
TCGA-KO-8408-01A,3.21518841519698,-0.00417466199477596,5.43622169321039,3
