Sample,X,Y,Z,Cluster
TCGA-KL-8324-01A,3.71439907376777,5.7502334975946,5.57921294859279,1
TCGA-KL-8326-01A,4.38243661793728,8.28741478669764,6.77852830099675,1
TCGA-KL-8327-01A,3.95716663338831,7.91413952498471,6.2768480415491,1
TCGA-KL-8328-01A,3.51564578813372,10.442551857708,7.59796001799806,1
TCGA-KL-8330-01A,1.63465991176789,3.44889418553432,3.58797859055896,1
TCGA-KL-8331-01A,5.48746843647482,10.1013772260986,8.55098875589382,1
TCGA-KL-8332-01A,5.11195968383537,8.21938239864411,7.96334031719418,1
TCGA-KL-8334-01A,4.02995706961732,12.5754488897003,7.94079230518344,1
TCGA-KL-8337-01A,2.34979143312804,4.17297418800798,1.45641607927351,1
TCGA-KL-8338-01A,5.57903593523918,9.58561275618414,9.01521131110766,1
TCGA-KL-8342-01A,4.5460545774358,9.27059418197355,7.64584984493504,1
TCGA-KL-8346-01A,3.35937970953145,5.28323239787749,6.5680808060015,1
TCGA-KM-8438-01A,3.03450809081428,9.19624495821753,6.40967171391603,1
TCGA-KM-8476-01A,3.35550914849174,10.7111018937059,6.70308145940321,1
TCGA-KN-8418-01A,2.73564098096403,4.24449959652852,3.95683091521133,1
TCGA-KN-8421-01A,2.85449549974886,12.3273345122496,7.2035342521846,1
TCGA-KN-8423-01A,2.64474701776916,2.29700053051838,6.90521700019932,1
TCGA-KN-8425-01A,3.44283356068292,2.47528794905346,7.69345772116993,1
TCGA-KN-8426-01A,2.09863335384561,1.77716152991081,5.86647892943446,1
TCGA-KN-8430-01A,1.38182317183907,4.22492429263116,5.66497511944483,1
TCGA-KN-8431-01A,3.24312314913018,4.72696265868765,5.88662041922561,1
TCGA-KN-8433-01A,0.553415791320258,2.47142466387244,6.69917838297975,1
TCGA-KO-8404-01A,4.2869715639602,8.8793325850214,5.61425345957299,1
TCGA-KO-8405-01A,2.55353657716136,9.61302074505813,5.39098055520791,1
TCGA-KO-8407-01A,5.65158977467386,9.39827696281624,7.80453246429782,1
TCGA-KO-8408-01A,3.29622117982788,9.76110334110253,4.96457560554951,1
TCGA-KO-8409-01A,4.34652260170084,7.46314581014248,5.51508115442441,1
TCGA-KO-8410-01A,3.12331955994613,2.21591053724022,8.11002224900328,1
TCGA-KO-8413-01A,0.844424920345874,1.79031733861929,6.63668222301052,1
TCGA-KO-8414-01A,2.08936573411966,4.82514397364839,2.88986813739435,1
TCGA-KO-8415-01A,3.31214758391535,9.30623815363128,6.30741920336793,1
TCGA-KO-8416-01A,3.05376170693581,13.2720711133619,6.76367995807344,1
TCGA-KL-8323-01A,-3.99072478485054,-4.94335450745498,-5.79084529593045,2
TCGA-KL-8325-01A,-2.85129151093834,-4.98673261622776,-5.25797243646667,2
TCGA-KL-8329-01A,-6.72552303923854,-10.4395255315252,-8.23027480391391,2
TCGA-KL-8333-01A,0.284660493077387,-6.14547478777278,-6.48576254287447,2
TCGA-KL-8335-01A,-7.32584556480195,-10.3782043883681,-7.80045993735412,2
TCGA-KL-8336-01A,1.39955492820393,-7.04234576743723,-5.90934167326354,2
TCGA-KL-8339-01A,-3.94416566183147,-5.6598754937948,-4.44755700928906,2
TCGA-KL-8340-01A,-7.81712015778931,-8.1409446583926,-7.32305573833522,2
TCGA-KL-8341-01A,-1.36770340353781,-4.08379182527375,-7.81639365637048,2
TCGA-KL-8343-01A,-5.84745696118522,-6.62544938497297,-6.96673339174288,2
TCGA-KL-8344-01A,-0.327263163760152,-4.72354413222328,-3.38128660393332,2
TCGA-KL-8345-01A,-6.92449780773328,-10.4920467996929,-8.590274146393,2
TCGA-KM-8439-01A,4.57457524657984,-8.6075901982197,-4.21741242149991,2
TCGA-KM-8440-01A,-7.01369724893709,-9.8773632122598,-7.74887797659463,2
TCGA-KM-8441-01A,4.17728746800776,-7.95875322110942,-4.51751299422058,2
TCGA-KM-8442-01A,-2.36471165259317,-4.26069653390133,-3.24795003945158,2
TCGA-KM-8443-01A,-5.88051936362891,-9.12931771170349,-5.66995392339997,2
TCGA-KM-8477-01A,-6.15957910139569,-8.95975444526407,-9.1704831665955,2
TCGA-KM-8639-01A,4.71914750537838,-7.78257377951039,-4.93647947267749,2
TCGA-KN-8419-01A,-5.15717285457499,-5.83057184922014,-5.99552000715006,2
TCGA-KN-8424-01A,-7.7247567477357,-8.56733113462725,-7.88537878843369,2
TCGA-KN-8427-01A,-0.828984067146089,-4.60149198854452,-4.45432602069209,2
TCGA-KN-8428-01A,-5.08799932068822,-5.10790416421633,-5.18562567568456,2
TCGA-KN-8429-01A,-2.57063592163447,-3.86269087023819,-4.72249746660497,2
TCGA-KN-8432-01A,-1.03496207192872,-4.78246549493137,-7.92296870350556,2
TCGA-KN-8434-01A,-8.50099943390572,-8.83430215293691,-7.32408224423853,2
TCGA-KN-8435-01A,-4.18918837125423,-4.90085425559304,-5.22063862234362,2
TCGA-KN-8436-01A,-1.1308201918609,-3.63733702818099,-4.95583095022861,2
TCGA-KN-8437-01A,4.96646857649339,-7.97903375687169,-5.31752531492149,2
TCGA-KO-8403-01A,-6.4407036727056,-7.53909760600388,-7.4697408221774,2
TCGA-KO-8406-01A,-6.83873429758865,-10.4252631354905,-7.72525022516861,2
TCGA-KO-8411-01A,-5.96491682986178,-6.23604889609318,-6.21641626050585,2
TCGA-KO-8417-01A,-1.68226685208416,-3.48662770897038,-4.0429199103943,2
