Sample,X,Y,Z,Cluster
TCGA-KL-8325-01A,3.18122346484381,7.32834940818066,-8.16649669921047,1
TCGA-KL-8332-01A,1.92029249360013,6.43444946067356,-6.80345587039557,1
TCGA-KL-8333-01A,1.64212380292592,5.69823640255927,-5.09204446228615,1
TCGA-KL-8334-01A,3.26128315716432,5.26345822266634,-7.86247911563505,1
TCGA-KL-8335-01A,4.39852553453122,2.20484272396341,-5.52727503284827,1
TCGA-KL-8336-01A,2.70396745474331,8.2650644429834,-12.9463765467585,1
TCGA-KL-8341-01A,3.59886131935975,5.69625985577818,-8.2128862713832,1
TCGA-KL-8342-01A,2.77793757752652,8.99980639005456,-13.7634872355663,1
TCGA-KL-8343-01A,1.9939199507207,5.33943044134796,-5.16949189396174,1
TCGA-KL-8345-01A,3.24230364342574,7.51111406006978,-8.61464887564348,1
TCGA-KL-8346-01A,1.91076423791283,8.6663521836959,-14.6117319056231,1
TCGA-KM-8440-01A,1.50577067837878,5.91812102118435,-4.73333084284001,1
TCGA-KM-8442-01A,1.35964931459385,5.42078756582893,-3.18531619118237,1
TCGA-KM-8443-01A,3.76022278276114,6.05879503981935,-6.06675741550897,1
TCGA-KN-8419-01A,3.06596415732662,6.96868005818541,-8.49179923326419,1
TCGA-KN-8423-01A,3.06471984008733,8.60130737857722,-10.6555940721148,1
TCGA-KN-8424-01A,3.70109933281902,7.90693722296917,-9.60996710476303,1
TCGA-KN-8426-01A,3.76631083004755,9.47609404626474,-11.6941138641895,1
TCGA-KN-8429-01A,3.88531967457643,3.17166570599705,-6.18032397251907,1
TCGA-KN-8432-01A,4.70216014023559,2.13172901361519,-6.39000451355826,1
TCGA-KN-8434-01A,4.15718074176909,7.56341898144954,-11.2907894134991,1
TCGA-KN-8436-01A,2.99987298098223,7.91986299890517,-9.32405590384067,1
TCGA-KO-8403-01A,2.79463232250787,9.55923572372297,-12.3106477035777,1
TCGA-KO-8405-01A,1.8867017969812,8.57628112361618,-13.8745281386282,1
TCGA-KO-8406-01A,2.1641382955991,6.01671317962625,-6.70791661629047,1
TCGA-KO-8407-01A,4.74081253155211,4.57207239734511,-7.01288914999958,1
TCGA-KO-8411-01A,1.63919217083381,6.76387306385017,-6.56041813913969,1
TCGA-KO-8413-01A,4.00055514807585,8.74491414903338,-11.9449046138928,1
TCGA-KO-8415-01A,3.63440664048623,4.91002104481517,-6.1813704623212,1
TCGA-KO-8416-01A,1.24587718194965,5.63982335447237,-4.14210305764199,1
TCGA-KO-8417-01A,3.25254611088285,8.87944758221344,-12.6622347751208,1
TCGA-KL-8324-01A,-3.34990388847362,-10.1625142397107,9.7887827805139,2
TCGA-KL-8326-01A,-4.56044301480271,-4.5450027863937,9.09749791396938,2
TCGA-KL-8327-01A,-4.39690196374918,-8.60268399951446,9.90499707572318,2
TCGA-KL-8328-01A,-1.87372162886428,-10.3695138938155,9.53053476429445,2
TCGA-KL-8330-01A,-5.13601834533585,-9.29573380840896,8.85175417068702,2
TCGA-KL-8331-01A,-3.69048007811519,-5.24503925252323,7.9085521207571,2
TCGA-KL-8337-01A,-4.25506183303182,-5.2391726291055,8.04810101341641,2
TCGA-KL-8338-01A,-1.69426880690553,-11.5265838850482,10.8373833368903,2
TCGA-KL-8339-01A,-1.35145772961348,-9.08320634787313,12.1291007775167,2
TCGA-KL-8340-01A,-3.68473264312502,-2.52504939081287,6.28622115737931,2
TCGA-KL-8344-01A,-2.72127398762309,-8.49030155200539,10.6311538856315,2
TCGA-KM-8438-01A,-2.82092140338125,-10.2954068133711,9.18995483989028,2
TCGA-KM-8439-01A,-3.64814557319236,-9.76871115335882,9.46552614454952,2
TCGA-KM-8441-01A,-4.25414296784548,-5.94290960220972,8.69622408437911,2
TCGA-KM-8476-01A,-3.6892022222521,-5.54139253524924,8.79311288223608,2
TCGA-KM-8639-01A,-4.72350405296243,-7.09029417782596,9.44001709172735,2
TCGA-KN-8418-01A,-0.684647118329353,-9.97451476431781,11.7980733888199,2
TCGA-KN-8425-01A,-3.47666910146741,-4.21502314935102,7.34765222493456,2
TCGA-KN-8427-01A,-2.10800836369587,-8.45038874703559,9.63892795173503,2
TCGA-KN-8430-01A,-3.11775410058996,-3.63397062490145,7.07219244891973,2
TCGA-KN-8431-01A,-1.19578970090427,-10.4745483762285,11.8488537835026,2
TCGA-KN-8433-01A,-1.73676609763194,-11.3947799444977,11.0875029552468,2
TCGA-KN-8437-01A,-4.96301823254644,-5.43499508340042,8.7668205270522,2
TCGA-KO-8408-01A,-2.36716999880552,-9.79148958892914,9.83185991770117,2
TCGA-KO-8409-01A,-4.01278975811277,-9.92130430420857,9.98577923676472,2
TCGA-KO-8414-01A,-4.48136945388449,-5.72247750889052,8.34836113304232,2
TCGA-KL-8323-01A,-0.939353661005779,1.10644884223996,1.87837894203703,3
TCGA-KL-8329-01A,-0.406722897432512,1.07395593282263,1.30505162100231,3
TCGA-KM-8477-01A,-0.901645624529153,-1.19789131457579,2.08851980022608,3
TCGA-KN-8421-01A,-1.2081980455044,-0.933420177355024,3.3935990367415,3
TCGA-KN-8428-01A,-0.883238075020153,-1.68068269970969,2.92154653384188,3
TCGA-KN-8435-01A,-1.48695429361635,-0.390424206112365,2.69672385498663,3
TCGA-KO-8404-01A,-0.751418708058493,-1.74265427052277,4.38128159694879,3
TCGA-KO-8410-01A,-1.3866419387923,0.294531808736245,2.79940010013944,3
