Sample,X,Y,Z,Cluster
TCGA-A3-3307-01A,11.1726628644421,28.1481505548977,34.4348474796404,1
TCGA-A3-3324-01A,15.9064451547406,24.5468700839858,29.6497761114033,1
TCGA-A3-3329-01A,14.3641189698916,24.1048479656343,39.6580444686797,1
TCGA-A3-3351-01A,17.3772901672867,27.0965124810756,32.3430603429132,1
TCGA-A3-3352-01A,14.8538383121469,29.1499336731827,32.628533720326,1
TCGA-A3-3358-01A,16.8404792508395,15.9908180382174,42.3769800779533,1
TCGA-A3-3359-01A,14.8610354206295,30.6260257131111,34.4093596389433,1
TCGA-A3-3367-01A,18.3507275348395,24.643798372779,31.6352601738931,1
TCGA-A3-3380-01A,14.2411469472775,30.1271708948039,30.0339885208622,1
TCGA-A3-A6NN-01A,14.0506185001807,31.673264650145,35.0254525638388,1
TCGA-A3-A8CQ-01A,14.9242492141435,17.9159420042776,38.6568886717445,1
TCGA-A3-A8OU-01A,14.8816579875186,19.0163996911472,43.7554116624443,1
TCGA-A3-A8OV-01A,15.0680799440814,26.2899642867655,41.4740833704355,1
TCGA-A3-A8OW-01A,15.0196491493126,21.0071209766749,45.905722111388,1
TCGA-AK-3434-01A,13.3648334010786,19.2782683037745,44.4902661529896,1
TCGA-AS-3778-01A,16.2089879479018,22.7576444167169,38.9488436885031,1
TCGA-B0-4693-01A,11.6530802321216,29.1461030722618,37.6852365396347,1
TCGA-B0-4701-01A,15.5865019388988,24.2658557979086,33.1395373557099,1
TCGA-B0-4710-01A,20.1365207741985,16.8529096074721,39.0205463579783,1
TCGA-B0-4714-01A,15.8032822838284,18.5346771160123,44.0500615349,1
TCGA-B0-4810-01A,17.7490049161753,22.9288804666947,41.1870606312664,1
TCGA-B0-4813-01A,18.2330979936247,18.9708303815668,35.2084211994043,1
TCGA-B0-4818-01A,14.8878074894355,18.3502862326973,44.0359090454779,1
TCGA-B0-4823-01A,8.1842185206444,29.1279408245932,32.4247067321558,1
