Sample,X,Y,Z,Cluster
TCGA-A3-3306-01A,21.8664821145452,25.5157171012136,29.1030195177911,1
TCGA-A3-3307-01A,14.828477740175,40.8287619140493,31.4917335470492,1
TCGA-A3-3308-01A,6.56828809172233,36.2627103717764,30.1545952357109,1
TCGA-A3-3311-01A,15.3202494817682,20.3330220989918,13.9954710994652,1
TCGA-A3-3316-01A,20.2205750115372,26.725489815475,29.6042740804023,1
TCGA-A3-3317-01A,17.2125833296261,31.4036567722943,34.5661486860628,1
TCGA-A3-3319-01A,21.2735109232033,24.3116652791225,27.833101214802,1
TCGA-A3-3320-01A,17.0685035674707,39.9708816089382,43.6541960456149,1
TCGA-A3-3322-01A,21.6325932923633,34.3840740150883,41.3283515229615,1
TCGA-A3-3323-01A,12.2576829026641,43.2772536383085,37.4831594978794,1
TCGA-A3-3324-01A,20.0419894105234,37.4620448339283,45.2304998268523,1
TCGA-A3-3326-01A,11.3097879817141,45.9274827642236,43.880210475324,1
TCGA-A3-3331-01A,19.0064304717123,46.5936604681282,37.1074799176509,1
TCGA-A3-3346-01A,16.1443492027471,30.6286647705212,19.124334849489,1
TCGA-A3-3347-01A,22.3580181517966,20.6450576968801,25.7958836815802,1
TCGA-A3-3349-01A,3.4637082619146,34.9659514824416,35.9300954028559,1
TCGA-A3-3351-01A,18.2410575608346,39.3214085962963,42.797602168563,1
TCGA-A3-3357-01A,15.2185368829046,33.075400776017,19.7627818666278,1
TCGA-A3-3358-01A,19.97598060887,15.3777323391456,17.86913695017,1
TCGA-A3-3359-01A,11.6772670082748,40.6054029128668,32.5636879842491,1
TCGA-A3-3362-01A,7.65545501851942,39.4688803401636,36.7316592703845,1
TCGA-A3-3365-01A,12.8027925856121,31.4004520958624,38.2538511908889,1
TCGA-A3-3367-01A,16.7552521337297,16.6236303067461,11.2758807421699,1
TCGA-A3-3370-01A,17.3044828942843,42.4346444608377,42.379551485661,1
TCGA-A3-3372-01A,16.8631147673037,35.7131494246585,38.0153503529178,1
TCGA-A3-3373-01A,14.2523259807926,34.7189842220352,40.8190360462249,1
TCGA-A3-3376-01A,17.3182708019792,46.1659266290883,35.4765474199716,1
TCGA-A3-3378-01A,18.0435124251385,33.7421830117721,31.4773760750179,1
TCGA-A3-3380-01A,7.98426498596532,39.526255350557,29.2403699664757,1
TCGA-A3-3382-01A,12.6825051904866,34.9013150295079,29.1294519249448,1
TCGA-A3-3385-01A,21.8673583357278,33.2970592840757,33.8521500236583,1
TCGA-A3-3387-01A,15.3121199643724,18.3891386267464,16.5418709776683,1
TCGA-A3-A6NJ-01A,6.03995371609475,33.6677758693114,26.2251331110336,1
TCGA-A3-A6NN-01A,7.66535337112459,33.5074109564589,27.770905455562,1
TCGA-A3-A8CQ-01A,8.2670530425959,42.3847874339146,31.3281649300049,1
TCGA-A3-A8OW-01A,3.75291134711078,36.3547722937491,34.9589273101026,1
TCGA-A3-A8OX-01A,5.40577759630548,41.4039343983376,32.2817988971373,1
TCGA-AK-3431-01A,11.5979269138975,31.9257924542997,39.3026956765082,1
TCGA-AK-3434-01A,14.0776747407799,27.5808509690087,37.9464938035357,1
TCGA-AK-3460-01A,12.8655793542023,31.7593072467211,36.3398865791992,1
TCGA-AK-3461-01A,16.7629444255385,35.0374433373886,28.2841211268458,1
TCGA-B0-4693-01A,21.9228398356861,39.0165808338706,30.9949911035944,1
TCGA-B0-4703-01A,23.5378687805022,29.3005513335106,41.3191907746385,1
TCGA-B0-4714-01A,24.243133276489,27.0132012855523,37.1595306962717,1
TCGA-B0-4815-01A,24.218542490712,24.0337675518455,39.1587844301449,1
TCGA-B0-4816-01A,8.27912617269674,36.0973258425857,31.0210803322778,1
TCGA-B0-4818-01A,12.3825096339236,46.1348804254924,31.288904908694,1
TCGA-B0-4819-01A,22.5897468000347,24.0648589660153,36.5401248094549,1
TCGA-B0-4827-01A,17.7078044550979,29.1559635514671,21.8169792823925,1
TCGA-B0-4836-01A,12.8710577695641,33.4944274732033,20.7055079519575,1
TCGA-B0-4838-01A,18.3380903798423,24.437405769176,27.6818464849591,1
TCGA-B0-4846-01A,16.8818887237359,14.9360357901967,12.1855828644781,1
TCGA-B0-4848-01A,15.9791084811182,31.6635799803739,23.402247044588,1
TCGA-B0-4849-01A,19.9485983889186,29.4893594738874,38.8650856516176,1
TCGA-B0-4945-01A,11.7733319358993,42.7358959912096,33.6915660630442,1
TCGA-B0-5094-01A,15.0994171401892,31.1712107826337,24.3303995532613,1
TCGA-B0-5095-01A,22.8877647434457,28.452064225225,40.8556669584153,1
TCGA-B0-5097-01A,13.8515096272851,30.2143099079855,37.6318481351689,1
TCGA-B0-5099-01A,7.73906177981333,35.3886782685309,27.0348599693113,1
TCGA-B0-5102-01A,18.5561508282072,14.8055906291594,17.2507342106353,1
TCGA-B0-5104-01A,11.9732670087054,12.718276529638,21.0808120037791,1
TCGA-B0-5106-01A,11.1969629098252,41.8393955385087,33.7605602349409,1
TCGA-B0-5108-01A,20.0972202107516,35.2073483052609,38.5839469828195,1
TCGA-B0-5110-01A,15.3025441816893,42.0586708936202,43.4904678038493,1
TCGA-B0-5113-01A,15.1232350427491,40.8654251043204,38.4791608170605,1
TCGA-B0-5115-01A,19.0915893546208,48.0194614200936,37.6576148533293,1
