Sample,X,Y,Z,Cluster
TCGA-3Z-A93Z-01A,-34.9593068799259,-19.4712428902284,-29.7673641640777,1
TCGA-A3-3306-01A,-28.6198738087915,-33.1213782674998,-45.3726678718834,1
TCGA-A3-3307-01A,-30.6167240903707,-17.124528286565,-27.0510272391012,1
TCGA-A3-3308-01A,-38.7526438539279,-28.3051304277495,-40.2210077858071,1
TCGA-A3-3320-01A,-34.5174165976151,-15.87387376182,-40.9340080330295,1
TCGA-A3-3322-01A,-34.6907286322871,-13.5336623237357,-37.8367575161597,1
TCGA-A3-3323-01A,-39.7618780407591,-26.6261493482585,-37.1086222453524,1
TCGA-A3-3325-01A,-30.4002410197264,-23.4328469899648,-42.3368303905224,1
TCGA-A3-3326-01A,-30.2759972136968,-24.0771063138728,-42.4227715003839,1
TCGA-A3-3329-01A,-37.6651232744151,-15.1734883621735,-41.4353932646125,1
TCGA-A3-3331-01A,-36.5724296193994,-36.0138544662978,-25.8354760139348,1
TCGA-A3-3343-01A,-28.9731556830455,-35.047794912227,-45.0891093326222,1
TCGA-A3-3349-01A,-38.3519112926016,-20.0185480934711,-31.6904819981955,1
TCGA-A3-3351-01A,-39.6718824935293,-22.1384968161712,-36.3712399766905,1
TCGA-A3-3352-01A,-28.6404862167201,-32.5095458043686,-45.1720903285611,1
TCGA-A3-3358-01A,-39.3694363978936,-23.951032038858,-32.8387102667408,1
TCGA-A3-3359-01A,-35.9021218338032,-21.1563845643072,-30.8550537651109,1
TCGA-A3-3362-01A,-34.510286425092,-22.8817678713748,-40.5023878483727,1
TCGA-A3-3367-01A,-37.3112274769208,-21.3319944079839,-38.0907079901593,1
TCGA-A3-3370-01A,-31.3139043567348,-16.0870916322273,-25.9944769114426,1
TCGA-A3-3372-01A,-29.0907090496951,-29.0035783027339,-44.1572731840942,1
TCGA-A3-3373-01A,-29.2246683339618,-34.4903377133915,-22.9779721300911,1
TCGA-A3-3376-01A,-34.6217883853606,-29.5351248890485,-27.5540722871364,1
TCGA-A3-3383-01A,-28.9889469832761,-35.0893945818538,-45.0521643487915,1
TCGA-A3-3387-01A,-30.7046197073238,-33.4187869463587,-24.7230061166934,1
TCGA-A3-A6NJ-01A,-33.6063892385893,-24.1821349803287,-26.4131292790935,1
TCGA-A3-A6NL-01A,-35.0886952594672,-15.946361802599,-29.6499750912055,1
TCGA-A3-A6NN-01A,-34.2745272997808,-21.4519573955507,-28.2379521405078,1
TCGA-A3-A8CQ-01A,-36.9395889910771,-17.6513569296294,-37.9623143973976,1
TCGA-A3-A8OU-01A,-36.8100243592573,-22.1634642631307,-38.395338294236,1
