Sample,X,Y,Z,Cluster
TCGA-2K-A9WE-01A,-28.6166918170477,-12.8033399714913,28.6947462578424,1
TCGA-2Z-A9J1-01A,-31.3537314890524,-15.4062553154315,22.6153185959821,1
TCGA-2Z-A9J5-01A,-28.7358903564148,-9.88495086077342,26.7209846316169,1
TCGA-2Z-A9J6-01A,-22.1425194851654,-26.7291668716769,5.04088622684428,1
TCGA-2Z-A9J8-01A,-15.1117623009115,-21.3827704326829,3.3571279508957,1
TCGA-2Z-A9JD-01A,-23.9722615275248,-12.9459512384571,24.4018011877783,1
TCGA-2Z-A9JG-01A,-22.4749701211457,-25.561604197127,6.81968725296839,1
TCGA-2Z-A9JN-01A,-21.2556763278051,-12.4735374874968,26.9159249903671,1
TCGA-2Z-A9JO-01A,-17.9301627694066,-22.4265998802676,-0.927128831158188,1
TCGA-2Z-A9JQ-01A,-30.1353946401031,-25.2141184923464,19.2720304169528,1
TCGA-2Z-A9JR-01A,-30.5995809350064,-22.6987482809594,17.402495267462,1
TCGA-2Z-A9JS-01A,-24.9756762780892,-19.475265043925,12.333137032657,1
TCGA-2Z-A9JT-01A,-28.0216169993485,-16.0449158972752,16.0683242467279,1
TCGA-4A-A93W-01A,-26.1692550682536,-15.8245412268917,12.1390644066477,1
TCGA-5P-A9JZ-01A,-25.3430209390232,-10.7601568245977,25.7203748998441,1
TCGA-5P-A9K0-01A,-25.6614071158223,-21.0816619773144,24.9890445151304,1
TCGA-5P-A9K2-01A,-31.3554323806223,-20.464797057649,21.2002816494855,1
TCGA-5P-A9K6-01A,-21.4754871340811,-14.8575818144785,19.9835233211748,1
TCGA-5P-A9KE-01A,-24.8437735569851,-10.2650005209198,27.8624069351391,1
TCGA-5P-A9KF-01A,-31.7434102911883,-10.1244677298966,16.101397274848,1
TCGA-A4-7288-01A,-23.1220046708936,-17.8114661036026,26.839436393533,1
TCGA-A4-7996-01A,-21.6942059858032,-18.108098405506,15.349740736579,1
TCGA-A4-8310-01A,-27.1088305324823,-24.305775816704,22.2362825223349,1
TCGA-A4-8311-01A,-24.516220200807,-19.3136005303344,7.57461112305695,1
TCGA-A4-8516-01A,-18.764372653756,-23.5829228100541,0.962818234699786,1
TCGA-A4-8517-01A,-25.8158594553584,-14.0570281395601,17.8081270009844,1
TCGA-A4-8518-01A,-26.2281261100887,-23.534504589949,21.2633743686135,1
TCGA-A4-8630-01A,-25.3994034432129,-11.6586902704827,13.7640990446185,1
TCGA-A4-A4ZT-01A,-28.8730693875622,-22.7637897504268,7.14685793470302,1
TCGA-A4-A5XZ-01A,-32.375562938834,-16.1740189717229,23.0445003428123,1
TCGA-A4-A5Y0-01A,-24.905525386864,-14.0733752324519,20.3258007944926,1
TCGA-A4-A772-01A,-22.7750043996001,-20.2880001558252,1.17717429509024,1
TCGA-AL-3472-01A,-36.4946792357719,-7.21052492364664,14.5669815520341,1
TCGA-AT-A5NU-01A,-24.3065197121927,-19.1593008917389,17.5740380552669,1
TCGA-B1-5398-01A,-23.6512586484405,-17.3610964377402,20.7066911830493,1
TCGA-B1-7332-01A,-24.0530567105976,-12.6029292423942,27.416886089799,1
TCGA-B1-A47O-01A,-26.6176958170213,-18.5958087661617,19.7852599406265,1
TCGA-B1-A657-01A,-36.4620950264073,-8.98395597554048,26.4592751313713,1
TCGA-B3-3925-01A,-19.1613453776154,-24.0302430384401,1.83776939522686,1
TCGA-B3-4103-01A,-19.3333251006594,-25.5235118242892,3.32157107007908,1
TCGA-B3-8121-01A,-24.4631651954385,-11.6620349737545,20.6329291205578,1
TCGA-B3-A6W5-01A,-21.7719209661045,-27.1266115522529,1.65003386201707,1
TCGA-B9-4113-01A,-15.6352449922544,-21.8491656521162,2.96222593656991,1
TCGA-B9-4117-01A,-25.1510034834774,-14.6989082045602,17.4633203654161,1
TCGA-B9-5155-01A,-29.8354836229901,-16.55356621168,25.744857356717,1
TCGA-B9-5156-01A,-22.5703363356931,-24.8305838912909,-0.902609531938986,1
TCGA-B9-A5W7-01A,-20.1090872218347,-25.8254172181595,2.54534148033819,1
TCGA-B9-A5W9-01A,-27.6882788098038,-23.1174683531894,9.31080750133197,1
TCGA-BQ-5876-01A,-12.106829311612,-28.5326224066875,1.48021031827732,1
TCGA-BQ-5881-01A,-28.3151472680304,-15.1053714850024,21.659546717529,1
TCGA-BQ-5883-01A,-19.5451198671,-10.678508168669,28.1156313413905,1
TCGA-BQ-5885-01A,-24.9714566171371,-12.7298607000231,16.9556508190797,1
TCGA-BQ-7045-01A,-25.8566421326334,-16.8985304081658,22.1867828697064,1
TCGA-BQ-7046-01A,-26.2267499504,-20.3887641732191,19.5937795579119,1
TCGA-BQ-7050-01A,-18.359546203635,-27.8983482257032,2.55654198717206,1
TCGA-BQ-7051-01A,-20.0240583373527,-20.4259576489235,-0.664042900043934,1
TCGA-BQ-7060-01A,-26.0132612094395,-16.1095894259676,13.581981775293,1
TCGA-BQ-7062-01A,-31.7475255479159,-18.766933727186,18.7506647950287,1
TCGA-DW-5560-01A,-22.681986662646,-9.7878423368498,26.3688206065351,1
TCGA-DW-7834-01A,-31.0678704969015,-13.6468731379252,19.2128454472487,1
TCGA-DW-7836-01A,-34.6909877465085,-12.9668347416122,15.0103420776394,1
TCGA-DW-7837-01A,-19.5644779890909,-21.1596134508313,3.17270262420796,1
TCGA-DW-7838-01A,-21.7798545995941,-18.7973535853677,15.6702992961044,1
TCGA-DW-7963-01B,-21.1328460019486,-17.2449441485501,24.4481849553643,1
TCGA-DZ-6132-01A,-23.3101503529447,-19.3131942406747,7.23639784954768,1
TCGA-DZ-6134-01A,-31.2691578313526,-22.7978318762204,11.2181315501821,1
TCGA-EV-5901-01A,-21.6359151015971,-8.68736791880688,23.3830887899652,1
TCGA-EV-5903-01A,-31.2177107697752,-8.26035161591673,16.5537999461054,1
TCGA-F9-A7Q0-01A,-24.1678934844849,-24.5574867465408,11.3079377205243,1
TCGA-F9-A7VF-01A,-32.079332479388,-20.8386739575419,15.8026863355,1
TCGA-G7-6790-01A,-19.9553205057687,-18.3296517663582,14.748014921492,1
TCGA-G7-6795-01A,-29.3881416285232,-21.8500512499201,17.6903106315696,1
TCGA-G7-6796-01A,-31.6947956435811,-19.8402664996841,24.3200868616054,1
TCGA-G7-6797-01A,-20.3928592499233,-19.6931307438449,-5.1873820319192,1
TCGA-G7-7502-01A,-16.7548222771108,-25.633801311471,-2.01501460429439,1
TCGA-G7-A8LD-01A,-21.0421685897055,-22.7104161055752,-3.09894096294434,1
TCGA-G7-A8LE-01A,-34.8864662415991,-13.4318666892146,15.3341583710164,1
TCGA-GL-A4EM-01A,-31.7153570926922,-17.2240136723369,15.4821494301127,1
TCGA-GL-A59R-01A,-26.6567682625718,-11.6443364258387,23.7488833055025,1
TCGA-GL-A59T-01A,-31.3938815092553,-18.6864468594201,21.7537138287402,1
TCGA-GL-A9DC-01A,-28.3813483830969,-23.0328822844053,29.5686077122583,1
TCGA-GL-A9DD-01A,-31.2900034383474,-10.6859975417593,24.0232826170658,1
TCGA-HE-7128-01A,-30.346885455841,-8.04305520452156,25.1710637360373,1
TCGA-HE-A5NF-01A,-25.9242379978846,-20.6455631204239,20.7878405247516,1
TCGA-HE-A5NH-01A,-24.2160884536559,-12.890549225315,23.6038677710466,1
TCGA-HE-A5NI-01A,-32.7679950617263,-20.0956655492421,21.6265362939671,1
TCGA-HE-A5NK-01A,-27.0667389496785,-9.3262717087491,30.4370305948083,1
TCGA-HE-A5NL-01A,-19.1606039874853,-20.5945815614234,2.96051691709522,1
TCGA-IA-A40U-01A,-16.5167342950842,-27.9575391012496,-0.269245528464252,1
TCGA-IA-A83S-01A,-16.8260117903855,-19.4785051287993,0.660393333029774,1
TCGA-IA-A83T-01A,-27.9914590361237,-6.11070906359839,26.9152562969029,1
TCGA-IA-A83V-01A,-34.3663993154092,-15.6278947990832,19.6735086084856,1
TCGA-IZ-8195-01A,-20.0280222010162,-18.7266209219487,23.5219887942403,1
TCGA-IZ-A6M8-01A,-21.4477714424392,-15.5481754139585,19.4094573301972,1
TCGA-IZ-A6M9-01A,-30.5284315977641,-22.9857280688078,19.7496670363804,1
TCGA-J7-6720-01A,-21.7871599713806,-29.5128091158436,2.67180511337292,1
TCGA-KV-A6GD-01A,-33.2338524429364,-12.0748863195399,24.368018335544,1
TCGA-KV-A6GE-01A,-30.2278521084998,-22.8993122447129,11.2407154202645,1
TCGA-KV-A74V-01A,-35.2800977021958,-10.0516867575806,19.9140555948282,1
TCGA-MH-A55W-01A,-21.6115121407201,-20.315371559737,23.0991803038668,1
TCGA-MH-A55Z-01A,-31.5509602015814,-10.9411490455981,19.2033326289733,1
TCGA-MH-A560-01A,-29.663005411025,-17.5053768134593,29.0050392080047,1
TCGA-MH-A561-01A,-33.407400630913,-13.86936653284,25.5117519553887,1
TCGA-MH-A854-01A,-21.189387363007,-12.2943146514645,29.4758942667853,1
TCGA-MH-A855-01A,-31.5471238940091,-16.109112968771,11.9022469106709,1
TCGA-O9-A75Z-01A,-27.6495895542002,-9.49185427962873,25.938369280052,1
TCGA-P4-A5E6-01A,-25.1290267394925,-20.2009479959211,17.4376163996535,1
TCGA-P4-A5E7-01A,-33.3806550446757,-14.4886968925069,19.4888231427025,1
TCGA-P4-A5EB-01A,-12.481345635667,-27.5804568966551,-0.432681399239326,1
TCGA-P4-AAVM-01A,-34.2015762694367,-8.25825253869322,21.7580097371632,1
TCGA-P4-AAVO-01A,-35.577743195158,-5.78831864782404,21.5670100935617,1
TCGA-PJ-A5Z8-01A,-20.2056668325636,-25.7280623254469,-1.18092761996501,1
TCGA-PJ-A5Z9-01A,-31.5300732324417,-6.22849199937349,19.6511402732597,1
TCGA-SX-A71R-01A,-30.8296804276074,-12.646754501834,16.7367184708873,1
TCGA-SX-A71U-01A,-26.1549977720156,-23.916457428597,4.78685366132184,1
TCGA-SX-A71V-01A,-26.7624994280887,-14.9847987631527,16.6577594658236,1
TCGA-SX-A71W-01A,-16.88307044128,-25.2678559216801,5.84703459364975,1
TCGA-SX-A7SP-01A,-22.7487089273222,-21.5763284720773,21.3591793129223,1
TCGA-SX-A7SR-01A,-21.9749612134039,-20.1947501005651,0.970185700440991,1
TCGA-SX-A7SS-01A,-28.6900138375944,-25.3284040126324,6.39838912387717,1
TCGA-UN-AAZ9-01A,-18.3771988725954,-26.0285861022944,0.249988687004542,1
TCGA-UZ-A9PJ-01A,-24.2730332117395,-15.5160448021758,24.1222695785808,1
TCGA-UZ-A9PK-01A,-31.5173832656103,-16.2300813940006,12.6660894172119,1
TCGA-UZ-A9PP-01A,-22.4729052098733,-15.2393131871437,29.7932689187802,1
TCGA-UZ-A9PS-01A,-25.7423477173457,-17.6061563779253,20.3022901984526,1
TCGA-UZ-A9PV-01A,-24.0618621651805,-20.9232769196209,8.47093119959052,1
TCGA-UZ-A9PZ-01A,-31.7132459547411,-8.94223439988116,19.4636652835143,1
TCGA-UZ-A9Q0-01A,-30.4148607217576,-14.0429408279058,17.2943409928751,1
TCGA-UZ-A9Q1-01A,-15.5603951190724,-27.5926495019951,2.3974450878924,1
TCGA-V9-A7HT-01A,-26.9896155179592,-23.3034676188551,9.21171732416962,1
TCGA-Y8-A895-01A,-29.0163544016016,-12.6193509295975,14.1650421848924,1
TCGA-Y8-A896-01A,-20.8596602475601,-16.3614536181119,16.3993472449472,1
TCGA-Y8-A897-01A,-34.0736282883708,-9.08383567209791,18.6582446557653,1
TCGA-Y8-A898-01A,-33.0865701854243,-21.0423535973743,15.5154233163829,1
TCGA-Y8-A8RY-01A,-27.7605154485233,-17.0307372924792,7.77855841950639,1
TCGA-Y8-A8RZ-01A,-10.9724648628055,-21.1235800299623,4.73368312950213,1
TCGA-Y8-A8S0-01A,-34.7401101371969,-12.1856767071338,17.2790675998496,1
TCGA-2Z-A9J2-01A,22.4296085400691,23.6984301912296,-6.02089806743603,2
TCGA-2Z-A9J3-01A,16.3232497229492,13.7938627925214,-23.4238714839622,2
TCGA-2Z-A9J7-01A,29.345582289789,21.0779108456269,-0.238538749526439,2
TCGA-2Z-A9J9-01A,17.0427387108825,17.9874242579772,-30.7025361029784,2
TCGA-2Z-A9JE-01A,32.6337939961284,15.6460270071148,-4.65152823232549,2
TCGA-2Z-A9JI-01A,29.8672734609905,25.1787377737909,-2.20993492737834,2
TCGA-2Z-A9JJ-01A,21.4180576127559,16.8138499753955,-11.0191017263163,2
TCGA-2Z-A9JK-01A,16.6038551010046,14.6425770300693,-24.6245542291164,2
TCGA-2Z-A9JL-01A,24.2301076870319,25.6282985204768,-3.65429149129744,2
TCGA-2Z-A9JM-01A,32.5001044506005,22.8847135392506,-9.66275611967741,2
TCGA-4A-A93X-01A,26.0630298391023,24.3475970107915,-5.66593747614511,2
TCGA-4A-A93Y-01A,29.1812379486704,26.8359548502699,-3.65363817367723,2
TCGA-5P-A9JU-01A,27.7909210622631,21.5074579299454,-7.06622759732989,2
TCGA-5P-A9JV-01A,14.7370849695452,16.5716261689344,-24.7339339131502,2
TCGA-5P-A9JW-01A,27.5490578164368,23.5719186779681,-4.97652436632432,2
TCGA-5P-A9JY-01A,40.2155690408314,23.8284753383363,-3.38367495820954,2
TCGA-5P-A9K3-01A,29.5416932313451,20.7977291389818,0.841289701980962,2
TCGA-5P-A9K4-01A,19.8136318706778,10.1259991795444,-22.9246873608989,2
TCGA-5P-A9K8-01A,17.468824674477,18.3988068547146,-28.0474448011382,2
TCGA-5P-A9K9-01A,27.4823904371903,25.72958798922,-9.61628326179262,2
TCGA-5P-A9KA-01A,38.2671109233267,23.822435110046,-3.88221513319541,2
TCGA-5P-A9KC-01A,23.0970862810978,14.299770662457,-27.5799323934904,2
TCGA-5P-A9KH-01A,22.5760839946958,18.8099216433452,-23.2869994856057,2
TCGA-A4-7287-01A,23.665291983255,22.0959193884166,-0.660281943755614,2
TCGA-A4-7583-01A,34.6088767340608,29.7979361438719,-0.75693532526676,2
TCGA-A4-7584-01A,22.7624103251063,26.0442434547964,1.71097315808903,2
TCGA-A4-7585-01A,15.4120255536345,9.49100523357425,-22.742899912626,2
TCGA-A4-7732-01A,35.6942541526447,19.0863286976215,-6.90359091768153,2
TCGA-A4-7734-01A,15.0644189830262,16.7900905824494,-26.7418800892683,2
TCGA-A4-7828-01A,13.1174976228981,16.5632307817061,-26.7725094055909,2
TCGA-A4-7915-01A,19.7485920874993,14.5484062077549,-16.5139326815819,2
TCGA-A4-7997-01A,16.205722701928,10.8051568699104,-22.9574638031016,2
TCGA-A4-8098-01A,22.9099702910947,15.5690272848624,-23.540963986675,2
TCGA-A4-8312-01A,18.329017787967,13.9552356821647,-21.8248434050442,2
TCGA-A4-8515-01A,35.7770535601786,22.991517658037,-3.47124802923237,2
TCGA-A4-A57E-01A,21.6147690686732,24.4480830258617,0.0455490180067839,2
TCGA-A4-A5DU-01A,29.4214331872362,23.7368635707011,-6.62939043912097,2
TCGA-A4-A5Y1-01A,33.9219191654443,25.6643971097244,2.05764386015101,2
TCGA-A4-A6HP-01A,20.1993055183251,14.354559314521,-10.4463147353581,2
TCGA-A4-A7UZ-01A,30.0821182553236,21.6613646360123,-5.58093384825653,2
TCGA-AL-3466-01A,29.5631798757905,28.7667748508897,-4.21212932011019,2
TCGA-AL-3467-01A,14.8532667690971,19.2568049534886,-26.8090360342088,2
TCGA-AL-3468-01A,38.5693616489723,21.0368689227274,-5.20940742241296,2
TCGA-AL-3471-01A,35.3491202832386,14.9298873908833,-7.35729037139542,2
TCGA-AL-3473-01A,17.3616765737525,11.8911823115019,-25.7341661828695,2
TCGA-AL-7173-01A,33.4079169550366,19.340139657501,-5.00048238631984,2
TCGA-AL-A5DJ-01A,17.6422663202706,12.086405739617,-13.2244311287166,2
TCGA-B1-A47M-01A,30.5168562543462,26.0186850285177,-5.46223403392638,2
TCGA-B1-A47N-01A,33.9425186910928,21.9585156787362,-8.13158068174012,2
TCGA-B1-A654-01A,37.597579973694,24.0913259718087,-1.64339960237467,2
TCGA-B1-A655-01A,21.3872468453933,10.4657831017929,-19.1148569004877,2
TCGA-B1-A656-01A,29.2843455164046,24.8527790797252,0.953078227009102,2
TCGA-B3-3926-01A,26.1905766132573,25.3868213895473,-1.65604893245464,2
TCGA-B3-4104-01A,19.364459317854,13.9345473101227,-23.8129803878566,2
TCGA-B9-4115-01A,34.2952032984299,26.6036939640925,-4.92644689995167,2
TCGA-B9-4116-01A,20.9599949727892,19.7528313847595,-8.00726284213115,2
TCGA-B9-4617-01A,36.8423827014992,23.0606465646429,-4.80851939251862,2
TCGA-B9-7268-01A,33.5720708979949,21.448384791543,-6.51069188564234,2
TCGA-B9-A69E-01A,18.6905192441235,14.0426471784158,-12.8567544820338,2
