Sample,X,Y,Z,Cluster
TCGA-2Z-A9J3-01A,0.112184830823725,-16.6787741693598,-16.0865233961289,1
TCGA-2Z-A9J8-01A,-0.214322858571357,-20.0947281794236,-19.1413267741968,1
TCGA-2Z-A9JD-01A,-3.95194223166364,-9.32134841806684,-14.5509808827045,1
TCGA-2Z-A9JE-01A,0.841441770729726,-19.4589372974904,-9.95115328900711,1
TCGA-2Z-A9JG-01A,-2.67070322101301,-9.66093907291292,-12.6187564331285,1
TCGA-2Z-A9JJ-01A,-4.78321751046217,-12.3904327548524,-15.9812733814135,1
TCGA-2Z-A9JL-01A,1.17038337669167,-19.9836266057755,-11.8712206230222,1
TCGA-2Z-A9JN-01A,4.76456039013531,-17.4251283399099,-19.1770696147107,1
TCGA-2Z-A9JS-01A,-4.66191518053061,-15.7165139851294,-20.2705503015249,1
TCGA-5P-A9K4-01A,-4.43183763936848,-14.047723675715,-14.1147286008088,1
TCGA-5P-A9KA-01A,1.34307363990429,-19.8865652053178,-13.2424178169081,1
TCGA-5P-A9KC-01A,-4.98513789027312,-11.9405482910646,-16.0132716806537,1
TCGA-A4-7288-01A,-0.829777920520467,-9.40517762310522,-19.3221415187331,1
TCGA-A4-7584-01A,0.70829372184801,-15.509770141074,-18.891885448422,1
TCGA-A4-7734-01A,1.53534587533088,-19.6263866271822,-17.8966343780984,1
TCGA-A4-7996-01A,-1.12878970921439,-14.4298271780219,-19.3385356767862,1
TCGA-A4-7997-01A,-0.0835803519919706,-14.4523781861153,-20.4989341456396,1
TCGA-A4-8310-01A,-1.70413218838857,-14.1185726253966,-16.7942830955514,1
TCGA-A4-8312-01A,4.85713299873715,-17.1931855786864,-19.2643847598082,1
TCGA-A4-8515-01A,-3.9998401918622,-15.2175556823532,-19.085096753494,1
TCGA-A4-8516-01A,-4.70063380969995,-14.1103878488957,-13.1667657858898,1
TCGA-A4-8517-01A,-0.841935799990406,-9.11959672960129,-19.4443240379929,1
TCGA-A4-8518-01A,-2.77586234274484,-7.49214065586462,-11.6899078202752,1
TCGA-A4-8630-01A,-4.06606553420899,-15.2666300971866,-19.0328474573738,1
TCGA-A4-A4ZT-01A,-5.3770448437117,-10.7901689772732,-15.7333668083972,1
TCGA-A4-A5XZ-01A,-5.44589345491173,-10.4410452450905,-16.1601483093825,1
TCGA-A4-A5Y0-01A,0.59937899782073,-12.7842962304964,-16.5005957966528,1
TCGA-AL-3467-01A,3.03141747664877,-19.2506489594875,-15.8893686061039,1
TCGA-AL-7173-01A,1.03989201796143,-19.8450251055983,-11.3465581873151,1
TCGA-B1-5398-01A,-2.46084423874438,-11.9921017999304,-16.6991965225448,1
TCGA-B1-A655-01A,-2.70714580568081,-9.18116783923957,-12.417920857216,1
TCGA-B3-3925-01A,1.87930760109059,-16.014320059479,-18.4322197152375,1
TCGA-B9-4116-01A,2.22145512022316,-18.3369831874943,-15.5807788326946,1
TCGA-B9-5156-01A,-0.846077731155442,-14.9110557139559,-19.6670822270069,1
