Sample,X,Y,Z,Cluster
TCGA-2Z-A9J7-01A,-56.6373166112118,10.2205698561104,-15.5701796933045,1
TCGA-2Z-A9JE-01A,-59.2010099545774,5.33002686464301,-19.3496122713379,1
TCGA-2Z-A9JL-01A,-56.2334671569949,6.96890320335805,-16.2302332583227,1
TCGA-2Z-A9JR-01A,-58.4637068852852,10.3477174325189,-18.2550269567711,1
TCGA-5P-A9K4-01A,-53.862743064885,8.77435443885197,-21.0218081016088,1
TCGA-5P-A9KA-01A,-55.0652833108727,6.85245813330464,-15.5709150325181,1
TCGA-5P-A9KF-01A,-54.9329193900422,9.27391641718671,-21.6304641502513,1
TCGA-A4-7732-01A,-56.6296652217323,9.71406333176681,-16.5013916596578,1
TCGA-A4-7734-01A,-53.9874565092893,7.99435090625703,-15.7457168832653,1
TCGA-A4-A5XZ-01A,-55.2296752601432,10.1445501040599,-21.8055028354477,1
TCGA-A4-A6HP-01A,-56.9668238177515,7.49956248234425,-19.7739705544633,1
TCGA-A4-A772-01A,-58.3539878431995,7.64665907817736,-19.2449480930197,1
TCGA-AL-3472-01A,-55.8868779920766,8.00256272366741,-20.4892775667611,1
TCGA-B1-A47N-01A,-56.1813282114145,8.30406606350388,-16.7705346598461,1
TCGA-B1-A654-01A,-58.0875648999042,5.58593248285626,-19.1343644337037,1
TCGA-B9-4113-01A,-56.2446163668424,8.40084493853173,-19.4556378692749,1
TCGA-BQ-7058-01A,-55.652772109398,11.6220012132502,-21.9233704751121,1
TCGA-DW-5561-01A,-56.5066318162258,8.78716930436412,-16.950559654052,1
TCGA-DW-7840-01A,-58.3029449637397,5.34046621400599,-18.8229085460812,1
TCGA-DW-7841-01A,-57.4874090364485,9.35568697635603,-17.8044305464741,1
TCGA-DW-7842-01A,-54.8375728880596,9.36820676301357,-16.7787886448999,1
TCGA-EV-5901-01A,-54.605083142567,7.07554261927672,-15.4944975040486,1
TCGA-G7-A4TM-01A,-56.310777628921,9.37160188119296,-19.6836347391892,1
TCGA-G7-A8LE-01A,-54.5791558553041,8.68139346020774,-21.9926347052706,1
TCGA-GL-A59R-01A,-58.2877016998996,10.8122500760336,-19.1279828037372,1
TCGA-HE-A5NH-01A,-57.7842809429884,4.24506240740391,-18.0521222510961,1
TCGA-HE-A5NI-01A,-56.6351235592876,6.6225849053803,-19.4188214109277,1
TCGA-IA-A83W-01A,-56.1767188496742,6.85594964673013,-16.130157018916,1
TCGA-IZ-8196-01A,-55.4575876989307,8.70879066387469,-21.0039326044035,1
TCGA-KV-A6GE-01A,-56.6301538221637,7.53146323710401,-21.0581953497335,1
TCGA-KV-A74V-01A,-55.5857161962918,10.9453892410738,-21.7518950634971,1
TCGA-MH-A55Z-01A,-56.4055493340228,7.5918346127564,-20.0126496161957,1
TCGA-MH-A562-01A,-58.4400367430523,5.463953202046,-19.0603242660847,1
TCGA-O9-A75Z-01A,-55.3756721896573,8.32543206244998,-18.7524084626938,1
TCGA-P4-AAVL-01A,-56.4935316691124,7.82354672992105,-18.2377913379847,1
TCGA-SX-A71S-01A,-55.1463350681511,8.82900373272476,-17.4712363366475,1
TCGA-SX-A71W-01A,-57.0968352198017,9.38309182417233,-17.6426405751478,1
TCGA-SX-A7SU-01A,-55.1587558024792,9.12733531976534,-21.4264107740504,1
TCGA-UZ-A9PL-01A,-56.0071149829953,7.8379390248961,-19.6236013955666,1
TCGA-UZ-A9PR-01A,-55.3493580489803,8.4687873383636,-20.6601531096145,1
TCGA-UZ-A9PU-01A,-56.6634091534185,10.1184566664074,-16.0400254255816,1
TCGA-UZ-A9PX-01A,-56.4257458425074,9.65679882852218,-18.7358198695276,1
TCGA-UZ-A9Q0-01A,-56.0459905732218,6.91276216375492,-20.8707137282981,1
TCGA-Y8-A8RY-01A,-56.9782447417531,7.11757176750028,-19.7461259406522,1
TCGA-2Z-A9J1-01A,-44.7139355372179,5.5307239048715,0.117704822293119,2
TCGA-2Z-A9J3-01A,-51.5813186133536,5.00364522858365,-9.65280984069306,2
TCGA-2Z-A9J9-01A,-38.3589191994248,2.71330238202771,-3.65447399493876,2
TCGA-2Z-A9JJ-01A,-28.8037144220461,2.60844620313103,0.861111811558978,2
TCGA-2Z-A9JK-01A,-38.3142080686725,2.73338722278829,-3.68826843557403,2
TCGA-2Z-A9JM-01A,-50.8753069309103,0.538709402006141,-3.49906414226163,2
TCGA-2Z-A9JN-01A,-44.9475449141082,5.96696473646761,-2.11218842926258,2
TCGA-2Z-A9JO-01A,-27.7129629315997,1.79849142706653,3.50679818875927,2
TCGA-2Z-A9JP-01A,-47.3199038452859,6.58371171249066,-3.71621181486201,2
TCGA-2Z-A9JQ-01A,-52.4683230514556,5.91542941556057,-6.68364805228475,2
TCGA-2Z-A9JS-01A,-52.4679542687047,1.19256909451342,-5.74277518069467,2
TCGA-2Z-A9JT-01A,-49.5760128246755,0.438361115445382,-2.70584401499465,2
TCGA-4A-A93W-01A,-55.6447684920273,5.37059580310782,-11.8188054954135,2
TCGA-4A-A93Y-01A,-26.0598942620664,1.56154399195033,4.59990448268115,2
