Sample,X,Y,Z,Cluster
TCGA-2K-A9WE-01A,0.522360366641538,-46.0096217060754,62.8543411099166,1
TCGA-2Z-A9J3-01A,5.36887227280008,-42.1113393979631,62.2911565657814,1
TCGA-2Z-A9J7-01A,-10.4759249389945,-42.0315240338578,51.7190944750666,1
TCGA-2Z-A9J8-01A,8.99079781814533,-27.0894073922066,66.2566530319284,1
TCGA-2Z-A9J9-01A,-1.40205944453815,-39.2537854649088,72.6554892286105,1
TCGA-2Z-A9JD-01A,4.40685545392046,-44.2152649895269,64.5077593723967,1
TCGA-2Z-A9JG-01A,6.03176130101264,-34.628206344635,69.9884860205582,1
TCGA-2Z-A9JI-01A,1.39107977813127,-49.6175013962581,63.3266397285979,1
TCGA-2Z-A9JJ-01A,-0.607858287100705,-37.6696268278969,72.2302012659347,1
TCGA-2Z-A9JK-01A,1.09570732854463,-39.8315403717781,67.3699257783054,1
TCGA-2Z-A9JL-01A,6.29800136666761,-35.4495255887971,65.8033760941816,1
TCGA-2Z-A9JM-01A,-10.053622040497,-44.8873616153008,52.9546744868527,1
TCGA-2Z-A9JO-01A,-9.0439828274386,-44.4916992197378,53.6962744984176,1
TCGA-2Z-A9JR-01A,-1.68067511736443,-45.0524594049247,59.6985849366433,1
TCGA-2Z-A9JS-01A,1.03206317776383,-48.7841989077333,69.0973522257563,1
TCGA-4A-A93W-01A,9.03056423668496,-27.4650587763143,65.9635402242749,1
TCGA-5P-A9JV-01A,-1.44737011281595,-37.9607075109184,72.8177544326485,1
TCGA-5P-A9K0-01A,-0.672909669008946,-37.7637168750477,61.401453516709,1
TCGA-5P-A9K3-01A,-7.90681311319914,-43.9980663331479,49.9682094515376,1
TCGA-5P-A9K4-01A,8.64699413286057,-26.7807856623288,67.0222008119196,1
TCGA-5P-A9K6-01A,-10.0271168620227,-44.8761783350859,53.5997513320816,1
TCGA-5P-A9K8-01A,-3.34114745505373,-49.0102632234558,56.4683213278844,1
TCGA-5P-A9K9-01A,-7.96446165123083,-43.9776039628314,55.0658181297933,1
TCGA-5P-A9KA-01A,6.55227193823963,-35.2932352029494,65.8036987836605,1
TCGA-5P-A9KC-01A,-3.37066834210888,-51.0284096836624,56.1212159936361,1
TCGA-5P-A9KE-01A,-8.4802761371902,-42.0521957379449,48.3905999693203,1
TCGA-5P-A9KF-01A,0.396606570465099,-36.9291210010399,61.8856958908375,1
TCGA-5P-A9KH-01A,-2.33589628735797,-41.0740419467804,66.5676473492257,1
TCGA-A4-7288-01A,2.87238510033332,-45.6484185680502,71.207356026961,1
TCGA-A4-7584-01A,-3.61028297804332,-46.5248036952841,66.9302058035613,1
TCGA-A4-7585-01A,-4.11172529532508,-46.16155731837,63.4384347523967,1
