Sample,X,Y,Z,Cluster
TCGA-2Z-A9J2-01A,34.6338481425972,-48.5676989424218,-42.0551277425919,1
TCGA-2Z-A9J3-01A,34.9291669069574,-48.2715547840328,-41.9915826080131,1
TCGA-2Z-A9J6-01A,34.1611232211752,-46.4862863580073,-42.2456928295155,1
TCGA-2Z-A9J7-01A,34.8976606321184,-47.4079805673815,-41.8753147327222,1
TCGA-2Z-A9JD-01A,36.0104414578587,-45.0635520294331,-41.6396890209748,1
TCGA-2Z-A9JE-01A,35.0860565940672,-48.6357116756677,-42.6822876968347,1
TCGA-2Z-A9JM-01A,33.243076724681,-46.3544431023558,-42.7080126814381,1
TCGA-2Z-A9JQ-01A,30.0434725268297,-50.8439068245793,-43.3126537961963,1
TCGA-4A-A93X-01A,40.4631986185958,-48.2102753857953,-42.6014392726118,1
TCGA-4A-A93Y-01A,43.1873373591638,-45.6670246698956,-41.72188191656,1
TCGA-5P-A9JY-01A,34.3179934369897,-46.263041737099,-40.9391688335771,1
TCGA-5P-A9JZ-01A,47.6006300648828,-44.2544586698289,-44.9066253685348,1
TCGA-5P-A9K4-01A,34.3583616755752,-46.999754271677,-40.2465283001772,1
TCGA-A4-7286-01A,47.369331632423,-46.2688530505173,-44.9545528424701,1
TCGA-A4-7583-01A,45.8503763166083,-44.4607067734616,-42.1905960927977,1
TCGA-A4-8098-01A,39.669733382025,-45.9361977578401,-42.2550484364147,1
TCGA-A4-8515-01A,43.4144440699864,-45.7199077657074,-41.5331971210683,1
TCGA-A4-8516-01A,40.5733852104735,-44.8229692752144,-41.8628748521363,1
TCGA-A4-A48D-01A,43.2111935736545,-46.386076230886,-42.0026478791016,1
TCGA-A4-A772-01A,30.1423362885199,-50.7970947604956,-43.3264978091913,1
TCGA-AL-7173-01A,32.6708879172308,-51.4372638040925,-47.4492106586979,1
TCGA-AL-A5DJ-01A,35.4406241960858,-48.5688312712241,-43.2874658158821,1
TCGA-B1-5398-01A,44.534076814768,-48.0067295198173,-42.5656137692847,1
TCGA-B1-7332-01A,47.1483482916553,-44.8099038358571,-44.1938326059331,1
TCGA-B1-A47M-01A,34.3612166599407,-49.2255342768956,-42.4362793350092,1
TCGA-B1-A654-01A,33.8607383758015,-48.3524241708488,-43.9598574851577,1
TCGA-B1-A656-01A,32.6930150014962,-51.4307467709777,-47.4845425588801,1
TCGA-B1-A657-01A,43.9658040291528,-45.7344145166516,-41.1227395426237,1
TCGA-B9-4115-01A,30.817675089053,-45.7964494547516,-41.3930978950172,1
TCGA-B9-4617-01A,34.3287087924875,-45.8340479899379,-40.9103728186615,1
TCGA-B9-5155-01A,40.1700979860073,-45.8732286806955,-42.2848017134031,1
TCGA-B9-5156-01A,47.5635704033727,-46.5817223486282,-45.0765346564262,1
TCGA-B9-7268-01A,47.4736931449108,-47.3873497200773,-45.5299152666751,1
TCGA-B9-A5W7-01A,46.0327967789256,-44.3025479079277,-42.2338228148459,1
TCGA-B9-A5W9-01A,40.5536803247801,-48.5262759542555,-44.6918332332277,1
TCGA-BQ-5878-01A,45.4095414813505,-43.7783315239015,-42.3840003553834,1
TCGA-BQ-5881-01A,36.2941402286172,-49.3293387386814,-44.9777460841049,1
TCGA-BQ-5885-01A,40.4650791324645,-43.8715957556427,-41.5519547755149,1
TCGA-BQ-5886-01A,44.459596753381,-48.0162917360862,-41.8423942121688,1
TCGA-BQ-5889-01A,40.232622158209,-49.4239127352342,-41.1204171410822,1
