Sample,X,Y,Z,Cluster
TCGA-2Z-A9JI-01A,-57.7465830539567,21.1968297686492,50.256149031421,1
TCGA-2Z-A9JO-01A,-56.2080137319222,19.168813933832,47.4498161103826,1
TCGA-A4-7286-01A,-56.6880780294972,17.9334545067327,47.5799024180777,1
TCGA-A4-8515-01A,-53.7432248118158,15.305826676816,43.1621406584842,1
TCGA-A4-A5XZ-01A,-54.5125373739516,16.0834492493782,44.064008387275,1
TCGA-AL-3468-01A,-56.6460366477893,16.6765690419846,48.2087591419689,1
TCGA-B3-3926-01A,-57.2270154482126,19.68742667658,48.870436370313,1
TCGA-B9-4117-01A,-54.563763782651,16.1742057964613,44.092711255628,1
TCGA-B9-A5W8-01A,-57.4279564538594,19.3884132869208,47.8235989504074,1
TCGA-BQ-5892-01A,-55.7291586622822,16.896760007325,45.4429224189033,1
TCGA-EV-5902-01A,-57.4060236560342,21.2981721703505,48.7383877528413,1
TCGA-F9-A7Q0-01A,-57.4584274324481,20.7840972188562,49.3604138689371,1
TCGA-G7-6793-01A,-55.7566513284529,16.9619365861595,45.0437805529395,1
TCGA-G7-7501-01A,-55.6738567944395,17.8640685910113,44.9942020251242,1
TCGA-G7-A8LC-01A,-57.4496589089655,20.7101283914159,48.9101680078617,1
TCGA-GL-8500-01A,-57.2629720434926,19.7670481627042,48.6747899429123,1
TCGA-HE-7129-01A,-54.1237408018878,15.6897826746667,43.6063739785013,1
TCGA-HE-A5NK-01A,-57.5560556139426,20.1037375474617,48.8212354629676,1
TCGA-MH-A560-01A,-57.7018136377818,19.8741555652597,48.0696203254194,1
TCGA-P4-A5EB-01A,-56.5772521679241,17.9393775340615,47.3063139735791,1
TCGA-PJ-A5Z8-01A,-58.0703083558276,19.1988404431245,49.8513692327547,1
TCGA-SX-A71V-01A,-56.8266158580859,17.758881651935,48.4366607562601,1
TCGA-SX-A7SL-01A,-57.5386761232666,22.267620308101,48.7735101797042,1
TCGA-SX-A7SO-01A,-56.7355626568436,18.8791803626174,47.2223186117754,1
TCGA-UN-AAZ9-01A,-57.4469331777746,19.9575924472753,49.0187677391029,1
TCGA-UZ-A9PP-01A,-57.6697501565903,22.4302730777691,49.0174945713836,1
TCGA-Y8-A8S1-01A,-56.943303960969,20.2641410102575,48.1384708904162,1
TCGA-2K-A9WE-01A,116.746299316944,-63.1789643364839,-82.4177184477746,2
TCGA-2Z-A9J2-01A,114.257841514138,-52.6894140570407,-83.7526204128189,2
TCGA-2Z-A9J6-01A,116.400522046202,-54.6786804791655,-89.0580641653191,2
TCGA-2Z-A9J8-01A,117.189324634837,-55.9972474494913,-84.6220372904612,2
TCGA-2Z-A9J9-01A,116.90302274942,-63.6140866457763,-81.7496238787722,2
TCGA-2Z-A9JD-01A,114.531676265377,-55.8432945622591,-81.4046372504526,2
TCGA-2Z-A9JN-01A,116.888926223502,-63.3397396405122,-94.9246857417195,2
TCGA-4A-A93X-01A,116.268496233785,-63.0985103388246,-84.6345051452383,2
TCGA-5P-A9JU-01A,117.310547244613,-55.6034436338058,-83.0082684384427,2
TCGA-5P-A9K4-01A,114.912054244015,-53.8902672075482,-83.6535086714981,2
TCGA-5P-A9K8-01A,116.993086092109,-63.5945588728492,-93.4900177684267,2
TCGA-5P-A9KA-01A,115.096423279966,-58.141836074034,-91.5563558238573,2
TCGA-5P-A9KC-01A,114.409419353451,-55.7933339932698,-82.3500706440752,2
TCGA-A4-7288-01A,113.202934410559,-53.6443721864325,-82.9875545400304,2
TCGA-A4-7584-01A,112.179017462165,-54.8802265747306,-83.6481066054148,2
TCGA-A4-7734-01A,114.243996270768,-58.1630136032214,-92.690913605328,2
TCGA-A4-7996-01A,112.499660002533,-58.6365686504735,-86.9918606395182,2
TCGA-A4-7997-01A,116.004320138534,-59.9302908962701,-82.9242233157974,2
TCGA-A4-8098-01A,111.563991184299,-54.176828944631,-81.6380773411466,2
TCGA-A4-8311-01A,110.675834087675,-59.5906294555753,-92.4800459250848,2
TCGA-A4-8312-01A,116.70988972775,-63.1978854984036,-95.2713904197877,2
TCGA-A4-8516-01A,115.82523065928,-55.682864098034,-88.8768779980985,2
TCGA-A4-8518-01A,117.279460211051,-60.7501190901518,-82.5466251023329,2
TCGA-A4-8630-01A,113.390488204149,-58.6059518839552,-88.9093129178096,2
TCGA-A4-A48D-01A,115.179046021609,-54.6329041417541,-83.4581160627877,2
TCGA-A4-A4ZT-01A,110.949647118043,-60.0780770272746,-92.195376666956,2
TCGA-A4-A5Y0-01A,116.34711950893,-56.116742949866,-84.2412925974367,2
TCGA-A4-A5Y1-01A,114.410723422937,-66.4179058608713,-87.4444517652437,2
TCGA-A4-A772-01A,115.409393883567,-56.228517757585,-89.0392480939931,2
TCGA-AL-3467-01A,118.161795919444,-64.540960030516,-85.7665043289323,2
TCGA-AL-3471-01A,109.91113598163,-61.215291776941,-94.2653932897415,2
TCGA-AL-3473-01A,117.018073476033,-63.8850061102862,-85.0055385257033,2
TCGA-AL-A5DJ-01A,113.873293103084,-65.0083414753103,-89.2385256199819,2
TCGA-AT-A5NU-01A,109.781674576219,-61.2684555897406,-94.4836913061649,2
TCGA-B1-5398-01A,116.825969993122,-62.5431089820926,-84.0039670563283,2
TCGA-B1-7332-01A,116.118927340233,-58.9495811084203,-83.3631174277555,2
TCGA-B1-A655-01A,114.854886579343,-60.4293961444703,-83.1325022239332,2
TCGA-B1-A657-01A,116.479494919265,-60.0088427365411,-85.0568014725703,2
TCGA-B3-3925-01A,113.82745833279,-58.8586999667933,-92.3328263279616,2
TCGA-B3-4103-01A,114.929744916892,-62.6864918590215,-85.9536513655088,2
TCGA-B3-4104-01A,117.561847086887,-64.2583301005932,-85.8075059574909,2
TCGA-B3-A6W5-01A,111.802837454214,-61.0870504149011,-91.8646799084188,2
TCGA-B9-4116-01A,112.609595845355,-56.4447700450871,-86.3182452106676,2
TCGA-B9-4617-01A,110.737263909399,-60.9795926266032,-93.032024903086,2
TCGA-B9-5155-01A,112.730154510966,-58.8695387489415,-86.9688870439263,2
TCGA-B9-5156-01A,116.571923167638,-60.3128486888488,-83.9734009753292,2
TCGA-B9-7268-01A,116.899291803828,-60.2058107605955,-81.6662366753866,2
TCGA-B9-A44B-01A,114.1351840839,-66.5475219616511,-89.172875065991,2
TCGA-B9-A69E-01A,114.095043083485,-67.7094628206876,-90.0467479019144,2
TCGA-B9-A8YH-01A,111.606390576679,-58.6866503129345,-88.1995084035592,2
TCGA-B9-A8YI-01A,114.470473328077,-56.0950116277189,-83.1983788994522,2
TCGA-BQ-5875-01A,113.260877529958,-54.4980731026411,-84.2323769701119,2
TCGA-BQ-5876-01A,116.383124590724,-63.6102545879638,-85.2411785547951,2
TCGA-BQ-5878-01A,118.031535105961,-54.6989847312087,-86.7143179669802,2
TCGA-BQ-5879-01A,114.552133492355,-64.6066473590175,-84.2732020598501,2
TCGA-BQ-5883-01A,117.511929025558,-63.7792192210219,-94.5868603382126,2
TCGA-BQ-5884-01A,114.011934429233,-60.8424097015359,-83.0481880296044,2
TCGA-BQ-5890-01A,114.582657554121,-65.8829157668356,-87.09511716108,2
TCGA-BQ-5891-01A,115.133067718838,-63.2310178785965,-86.8800141255021,2
TCGA-BQ-7044-01A,113.746832305934,-64.9098596341367,-89.44079193051,2
TCGA-BQ-7045-01A,116.443580258813,-54.4623720059831,-89.1690387152365,2
TCGA-BQ-7046-01A,116.586660765462,-55.4412030992999,-83.7567308788586,2
TCGA-BQ-7048-01A,114.784200548011,-64.0860057862291,-84.1597054608992,2
TCGA-BQ-7051-01A,113.398520634359,-54.5918019495294,-83.1557515544814,2
TCGA-BQ-7053-01A,112.652117094644,-53.3653133979183,-81.5236678126003,2
TCGA-BQ-7059-01A,112.768556644363,-53.2790425692852,-81.32457502033,2
TCGA-BQ-7060-01A,113.407339389583,-54.5795086162702,-84.1521475392603,2
TCGA-BQ-7062-01A,117.28361079569,-60.9957098576721,-84.8750275382231,2
TCGA-DW-7837-01A,116.730546404203,-53.4119877756104,-88.3550312695114,2
TCGA-DW-7838-01A,114.929880657513,-63.8406998458309,-84.3267498949343,2
TCGA-DW-7963-01B,116.620519436242,-56.5629467886528,-84.3727902088626,2
TCGA-DZ-6133-01A,111.157745708812,-58.8065031263714,-88.5127978015434,2
TCGA-DZ-6135-01A,113.152917932205,-56.2542314421962,-85.9877577465829,2
TCGA-F9-A97G-01A,116.765652998665,-61.135975390391,-83.7182629430329,2
TCGA-G7-6790-01A,116.775848454639,-61.0680502500347,-83.9899989392251,2
TCGA-G7-6792-01A,113.333573567711,-55.9037338536977,-85.7069192681741,2
TCGA-GL-7773-01A,117.54140527829,-63.554866787991,-84.0207391341404,2
TCGA-GL-A59T-01A,115.371933570129,-62.9492931061249,-85.11392859659,2
TCGA-GL-A9DC-01A,110.276419830216,-58.4424217349738,-89.4479483434361,2
TCGA-GL-A9DD-01A,117.529336800837,-55.5200813373259,-83.9359688177757,2
TCGA-GL-A9DE-01A,116.021859657008,-59.5443612770365,-83.3607598750637,2
TCGA-HE-7128-01A,116.274601287703,-59.7068351987241,-84.1519928989928,2
TCGA-HE-A5NF-01A,117.137346951171,-60.6358050957593,-82.3164582553549,2
TCGA-HE-A5NL-01A,113.682157847069,-58.5308586676425,-88.6252458866854,2
TCGA-IA-A40X-01A,113.507525272038,-54.8212631283184,-81.5633665289337,2
TCGA-IA-A83S-01A,116.565333694419,-59.5342840356668,-84.4099621158677,2
TCGA-IA-A83W-01A,114.185447097062,-57.6595687411424,-89.3253403394291,2
TCGA-KV-A74V-01A,117.808818284339,-61.3820437486725,-85.0162024060992,2
TCGA-MH-A857-01A,117.038504783926,-63.5933862267775,-93.85746971266,2
TCGA-P4-A5E7-01A,113.615194869603,-59.0207799837338,-92.2278025911123,2
TCGA-P4-AAVK-01A,112.020310242718,-62.2324713183939,-91.3371198538638,2
TCGA-P4-AAVM-01A,116.198061428273,-55.7377490218923,-83.9012366177386,2
TCGA-PJ-A5Z9-01A,111.624530398097,-61.1159511281418,-91.9821507620481,2
TCGA-SX-A7SP-01A,117.446675532898,-53.7922495404504,-88.0965635386702,2
TCGA-SX-A7SQ-01A,114.004800017499,-59.4995366863192,-87.4893024277032,2
TCGA-UZ-A9PK-01A,111.876858198589,-60.7986368115156,-91.6635679170746,2
TCGA-UZ-A9PO-01A,114.669329036082,-54.4685424742929,-82.8390802222543,2
TCGA-UZ-A9PS-01A,113.491346078218,-59.7103113009641,-86.8893779414461,2
TCGA-UZ-A9PV-01A,110.15297403052,-59.4867891457724,-93.1146250971384,2
TCGA-UZ-A9Q1-01A,113.000708174228,-59.45442538882,-86.2830202535561,2
TCGA-V9-A7HT-01A,116.159628322847,-63.2369117538245,-84.5464402195285,2
TCGA-WN-A9G9-01A,114.122782205577,-67.3792172309889,-89.8323112892948,2
