Sample,X,Y,Z,Cluster
TCGA-2Y-A9H6-01A,16.7920338091893,-36.5368089728864,-29.7502266374601,1
TCGA-2Y-A9H9-01A,16.9345829109294,-36.3127559612661,-30.0482664898084,1
TCGA-2Y-A9HA-01A,11.8104816709743,-36.1160339288262,-30.3328666631284,1
TCGA-2Y-A9HB-01A,14.1582321603999,-33.1641715043444,-34.0915301475791,1
TCGA-3K-AAZ8-01A,14.1021928931891,-29.5261114729368,-34.6295463341104,1
TCGA-4R-AA8I-01A,17.0977904824923,-33.5796780659741,-31.598955532145,1
TCGA-5C-A9VG-01A,13.776724916006,-36.8082705956387,-34.7351483045467,1
TCGA-BC-4072-01B,8.26588717542626,-35.5032571257741,-31.5576369599953,1
TCGA-BC-A10T-01A,8.98159209609396,-35.2765298127173,-31.850307994962,1
TCGA-BC-A10U-01A,13.0312243989987,-36.8071206445667,-34.4744549285994,1
TCGA-BC-A10Y-01A,16.890422244825,-35.420947435568,-33.4477922170799,1
TCGA-BC-A10Z-01A,13.9624422888567,-35.6340098606337,-32.7047613705493,1
TCGA-CC-A3MC-01A,13.2908558126242,-37.4807761512425,-29.028395430707,1
TCGA-CC-A7IL-01A,12.8245826018818,-32.747196782966,-27.0550139367226,1
TCGA-DD-A115-01A,16.9575226252061,-35.0344779583754,-32.4132899698712,1
TCGA-DD-A118-01A,14.3581361191909,-27.0550643451359,-36.1747321209714,1
TCGA-DD-A11D-01A,17.176052890351,-33.9043965712163,-31.3795696888579,1
TCGA-DD-A1EA-01A,10.8516211027069,-34.9163225702905,-31.6735021596522,1
TCGA-DD-A1EE-01A,10.7986114355856,-34.6602644277983,-32.8776260660055,1
TCGA-DD-A3A4-01A,13.5785507965654,-35.6064195194593,-33.6553498553876,1
TCGA-DD-A3A8-01A,12.2029587860415,-29.3835231125547,-34.5717379307404,1
TCGA-DD-A4NE-01A,15.4501514135163,-34.65455335888,-33.6771466235112,1
TCGA-DD-A4NF-01A,10.7911586257576,-29.7787077082243,-34.2266778603701,1
TCGA-DD-A4NK-01A,18.9669482859701,-32.574090028052,-31.0445371023869,1
TCGA-DD-A73F-01A,12.8025183592277,-34.7909779661177,-30.5295128356379,1
TCGA-DD-AACK-01A,9.86740241838524,-34.2389002868348,-32.4413383696017,1
TCGA-DD-AACX-01A,13.1923569740008,-35.4594077112333,-33.7216840673243,1
TCGA-DD-AACY-01A,14.6335374053652,-29.9195613763165,-35.1380385988075,1
TCGA-DD-AAD6-01A,12.4669798438361,-27.6279232943574,-24.0852105994418,1
TCGA-DD-AAD8-01A,15.3863955372966,-27.8650096292799,-26.1381577142986,1
TCGA-DD-AADP-01A,15.6965135578368,-27.8729279204631,-26.4145066753042,1
TCGA-DD-AAE2-01A,16.7713687271074,-32.8609249210177,-32.1034573396844,1
TCGA-DD-AAEG-01A,14.3263855586632,-27.476461884584,-35.9561865824074,1
