Sample,X,Y,Z,Cluster
TCGA-2Y-A9GW-01A,-14.6557968141583,11.5280905194554,-4.90530272239279,1
TCGA-2Y-A9GX-01A,-16.2623921881659,14.9835204075182,-11.4351599831401,1
TCGA-2Y-A9H2-01A,-7.61075432099154,12.3815610039774,-9.99375579127489,1
TCGA-2Y-A9H5-01A,-11.7889697616499,12.3990797304617,-12.0804729698996,1
TCGA-2Y-A9H6-01A,-15.1884875505064,12.2433406429842,-5.69735507415173,1
TCGA-5C-A9VG-01A,-6.45693138517916,15.0144173817174,-3.99699619232565,1
TCGA-5C-A9VH-01A,-11.3134762956427,14.3568959608019,-6.55961134402295,1
TCGA-5R-AA1D-01A,-11.4561180327313,16.538764124178,-10.6237425810604,1
TCGA-5R-AAAM-01A,-14.4118783107099,14.4677136253751,-10.6310090236443,1
TCGA-BC-4072-01B,-7.5228550222665,15.0274455759684,-3.62194589037818,1
TCGA-BC-4073-01B,-20.3418830661016,13.8523993217702,-6.14507223357324,1
TCGA-BC-A10Q-01A,-5.77258102056583,11.1340657069689,-12.1532964096181,1
TCGA-BC-A10R-01A,-12.6689713886474,14.6757074595959,-6.29574806737236,1
TCGA-BC-A112-01A,-16.2122144097873,10.4319398798749,-6.48965778814364,1
TCGA-BD-A3EP-01A,-10.3444133620259,16.9357486915878,-7.76852400133821,1
TCGA-BD-A3ER-01A,-17.5452889213247,13.6589748278125,-13.0543443133259,1
TCGA-CC-5260-01A,-9.19181811167034,11.4435990065643,-9.40411588579457,1
TCGA-CC-5261-01A,-12.9628798878405,12.5993543614438,-11.6369861488414,1
TCGA-CC-5262-01A,-14.5051836964612,18.5899905125253,-7.77999194143504,1
TCGA-CC-A3M9-01A,-13.2987702746043,19.0434290521383,-11.5791445054386,1
TCGA-CC-A3MA-01A,-10.3968009263501,12.1083235573394,-10.2382607443543,1
TCGA-CC-A5UC-01A,-8.70142598875374,15.1275440336611,-8.98306946905437,1
TCGA-CC-A7II-01A,-5.01371842925417,15.9034256284519,-3.10976842038214,1
TCGA-CC-A7IJ-01A,-12.059034278378,17.6882926195168,-13.7851383063507,1
TCGA-CC-A9FV-01A,-14.7647133467923,15.0954630959592,-11.8870015466064,1
TCGA-DD-A114-01A,-5.947780566096,9.14056050092415,-10.7940009321512,1
TCGA-DD-A115-01A,-14.0915876272691,7.24878382844638,-9.57063533545359,1
TCGA-DD-A118-01A,-14.0324948356733,12.6074475035589,-5.90060524383536,1
TCGA-DD-A11B-01A,-16.9927979608925,9.84336414911292,-9.14719325888408,1
TCGA-DD-A11C-01A,-6.49014476661016,9.18886981356294,-9.44027253675469,1
TCGA-DD-A1EG-01A,-15.9934888849695,17.8900092752875,-10.205421860624,1
TCGA-DD-A1EH-01A,-7.30688458674398,6.94314277528907,-11.2447386492518,1
TCGA-DD-A1EI-01A,-17.0849903963312,15.0411511455844,-13.3756803444114,1
TCGA-DD-A4NA-01A,-4.9514154176159,13.6200591913467,-4.13785138075576,1
TCGA-DD-A4NB-01A,-15.034532560502,15.1011414931781,-10.4439906781982,1
TCGA-DD-A4ND-01A,-12.46568083286,15.3532179936421,-10.0353693576382,1
TCGA-DD-A4NE-01A,-16.2206702756893,10.2951594941076,-5.92701199692748,1
TCGA-DD-A4NH-01A,-13.0449887555468,12.8163342989655,-11.775362351419,1
TCGA-DD-A4NJ-01A,-18.5809016900595,12.2446769270012,-5.97211271418087,1
TCGA-DD-A4NR-01A,-11.6746303426263,20.0796903983978,-10.8289327192925,1
TCGA-DD-A4NS-01A,-13.2932155931292,14.8673279896805,-10.5090973604028,1
TCGA-DD-A4NV-01A,-17.046180540658,13.9334823467673,-13.059844453952,1
TCGA-DD-AA3A-01A,-4.43079793342288,13.6182103579366,-5.40945889691888,1
TCGA-DD-AAC9-01A,-12.150889079267,17.9403877741115,-10.6695964740648,1
TCGA-DD-AACO-01A,-16.7744843329952,8.8752308615597,-6.624580140274,1
TCGA-DD-AAD1-01A,-14.5465249564109,13.6384435313762,-6.26933368614405,1
TCGA-DD-AAD2-01A,-12.635650055588,14.9794337235403,-9.07092504396181,1
TCGA-DD-AADV-01A,-18.7827990893482,13.7549575067568,-9.812717160725,1
TCGA-DD-AADW-01A,-4.90061196324676,7.0777893158421,-11.4261383653833,1
TCGA-DD-AAE2-01A,-14.3449492372944,7.49619227437497,-8.19105177795071,1
TCGA-DD-AAEK-01A,-14.7940362338259,7.4981394403854,-8.42294519015809,1
TCGA-DD-AAVR-01A,-12.9419063355876,15.3990641934914,-5.89624011979031,1
TCGA-DD-AAVS-01A,-6.38476014957262,7.4491861676852,-9.00178807087944,1
TCGA-DD-AAVW-01A,-11.8658060806687,13.4916515862559,-6.08848074835794,1
TCGA-DD-AAW0-01A,-17.8594875168898,13.9355524826943,-9.02452554061958,1
TCGA-ED-A4XI-01A,-13.3140549226007,15.9055512482171,-10.1758534940437,1
TCGA-ED-A5KG-01A,-8.32584845507212,14.5134160784052,-4.31544073219861,1
TCGA-ED-A627-01A,-14.479810864834,14.2238909844686,-13.1639374184266,1
TCGA-ED-A66X-01A,-14.7335918840899,16.15531693052,-11.4998663157014,1
TCGA-ED-A7PX-01A,-12.0326304836892,17.5428841940419,-13.0418239394166,1
TCGA-ED-A7XP-01A,-15.861715914584,11.0894937726616,-9.10402265978715,1
TCGA-ED-A82E-01A,-8.50502688268002,13.7191829917501,-10.7207810476974,1
TCGA-ED-A8O6-01A,-9.74039710075454,13.0951607897421,-1.94026486532487,1
TCGA-ED-A97K-01A,-13.9501835108424,18.2189656566014,-11.1919012748125,1
TCGA-FV-A3I0-01A,-7.78889908479303,12.7545333067367,-11.6027309561552,1
TCGA-FV-A3I1-01A,-21.0698732129312,13.3954271784323,-7.93228872765917,1
TCGA-FV-A3R3-01A,-11.2145100088654,14.9519415536391,-11.1052517602684,1
TCGA-FV-A495-01A,-8.9502391034714,13.5995342418363,-12.5813785265601,1
TCGA-G3-A25T-01A,-7.11788461242667,14.1388582336871,-13.4655306847372,1
TCGA-G3-A25V-01A,-17.4366071584418,15.8993500775787,-14.5810184145177,1
TCGA-G3-A25X-01A,-17.7178585017989,16.2377183686994,-14.2540116337776,1
TCGA-G3-A25Y-01A,-9.65542441100485,13.5772852778837,-4.9137036332137,1
TCGA-G3-A5SM-01A,-15.394946549465,12.6207655429941,-8.3798667605701,1
TCGA-GJ-A3OU-01A,-15.0145610179728,13.4788905605328,-6.52327753908322,1
