Sample,X,Y,Z,Cluster
TCGA-05-4249-01A,-13.6356511561601,-106.333642129331,121.425157885045,1
TCGA-05-4382-01A,0.0459774303286085,-114.38465859903,120.751956317536,1
TCGA-05-4384-01A,-10.4061724720166,-102.037849661697,128.470201068145,1
TCGA-05-4403-01A,-17.6035473746237,-106.160840953336,122.164657380508,1
TCGA-05-4415-01A,-14.8735438585843,-112.892698448776,120.880489548413,1
TCGA-05-4417-01A,-6.80074884177934,-109.272438741325,128.30185809125,1
TCGA-05-4418-01A,-2.25086877908134,-113.37715076675,120.341994627568,1
TCGA-05-4424-01A,-16.650777175902,-110.079441434613,123.157755465141,1
TCGA-05-4426-01A,-13.5145693073796,-106.571906723344,124.975023983074,1
TCGA-05-4430-01A,1.21153113686916,-116.261613610758,118.39469966977,1
TCGA-05-4432-01A,-0.528050717341001,-115.206273529406,117.577592788602,1
TCGA-05-5429-01A,0.402286844547428,-111.494425519119,121.25720519951,1
TCGA-05-5715-01A,-3.64184358920613,-111.817067736444,119.317752647306,1
TCGA-35-3615-01A,0.171548713676583,-116.216046379533,120.214809884948,1
TCGA-44-5643-01A,-13.0251386832447,-113.338614377368,121.236575330219,1
TCGA-44-6776-01A,-13.568180995077,-107.408865441975,119.798169520784,1
TCGA-44-7667-01A,-12.5897432562479,-112.395032457551,119.425462336782,1
TCGA-44-7670-01A,-14.1855729071198,-113.109125301116,119.766860156326,1
TCGA-44-7671-01A,-12.021292958533,-102.419637068138,128.991015720024,1
TCGA-44-7672-01A,-14.2393380870923,-102.916140297201,120.072122966317,1
TCGA-44-8120-01A,-9.48419383188461,-104.891692462027,128.311344052846,1
TCGA-44-A47A-01A,-15.2757666587639,-105.53200191765,126.310751723818,1
TCGA-44-A47B-01A,-15.0072274150131,-106.473521851576,124.724050516226,1
TCGA-44-A4SS-01A,-1.91621529934724,-114.004983874746,118.660953223241,1
TCGA-49-4486-01A,-0.0633130025222888,-115.649249001185,118.911334434927,1
TCGA-49-4487-01A,-0.374124571971677,-115.202175652682,116.256912808921,1
TCGA-49-4506-01A,-0.533173624500694,-115.794024501639,119.303746560626,1
TCGA-49-4512-01A,-8.6538885206936,-107.248120929401,121.875493036926,1
TCGA-49-6742-01A,-17.2081095539628,-110.466152175636,120.536588716591,1
TCGA-49-6761-01A,-10.0538431888715,-109.846479624802,127.505191147255,1
TCGA-49-AAR2-01A,-10.6505959311845,-108.066206477756,119.595329329061,1
TCGA-49-AAR3-01A,-15.695951349475,-104.53763609063,126.918667062181,1
TCGA-49-AAR9-01A,-18.0520940192146,-110.301366658841,120.755637395001,1
TCGA-49-AARE-01A,-3.90453759580404,-114.414642054749,121.703367985503,1
TCGA-50-5044-01A,-12.5066000409889,-107.399429352145,123.693841065514,1
TCGA-50-5936-01A,-14.4369806247455,-110.337628118624,121.235978959311,1
TCGA-50-6590-01A,-12.6621998766265,-114.231596315785,127.303015090276,1
TCGA-50-6592-01A,-0.360207946766462,-111.773707882056,121.364939498428,1
TCGA-50-6595-01A,-12.4675372128015,-112.244540216033,121.306279629806,1
TCGA-50-6597-01A,-3.80037532156618,-111.597292379921,119.125182443899,1
TCGA-50-6673-01A,-15.8434326147306,-108.67215295139,124.089561773903,1
TCGA-50-8460-01A,-11.3522925836279,-106.653858894428,123.365726841797,1
TCGA-53-7624-01A,-13.8813045464492,-112.413539111931,120.114515354274,1
TCGA-55-1594-01A,-14.3632829676242,-112.569099197155,119.034618449834,1
TCGA-55-6975-01A,-12.6866057677658,-114.132840268535,127.150541053004,1
TCGA-55-6982-01A,-15.3740517860082,-109.359249432509,121.26341450103,1
TCGA-55-6983-01A,-14.2717711446608,-105.816982022494,118.996085205385,1
TCGA-55-6986-01A,-14.2127300897477,-103.224020366966,120.31032729134,1
TCGA-55-7227-01A,-4.5916563111914,-109.607486966354,128.929834393029,1
TCGA-55-7281-01A,-2.98596163429703,-112.766655666666,120.722523534868,1
TCGA-55-7283-01A,-15.6979702247681,-106.368713381026,126.169563868086,1
TCGA-55-7728-01A,-15.0593198637002,-104.344471332255,127.092304750519,1
TCGA-55-7913-01B,-0.188357327771889,-115.124121066295,115.840154020907,1
TCGA-55-7914-01A,-5.65187915356811,-109.516448123015,128.472060455337,1
TCGA-55-8090-01A,-5.92174282011745,-113.488166660029,117.037514457995,1
TCGA-55-8092-01A,-16.8193957425601,-109.26020095476,124.774500476016,1
TCGA-55-8094-01A,-0.781691749537856,-111.538311785414,121.802572957908,1
TCGA-55-8097-01A,-13.9504002765423,-103.770972587628,127.268299820976,1
TCGA-55-8301-01A,-14.1846406416683,-103.44982064053,120.458519149533,1
TCGA-55-8302-01A,-11.2302691050122,-109.188105513329,119.250074153763,1
TCGA-55-8505-01A,-17.0748222160275,-110.597179562171,120.355098576861,1
TCGA-55-8508-01A,-6.66399080385398,-109.588137728003,119.294065773445,1
TCGA-55-8512-01A,-13.8301421432586,-102.469909226443,129.223873088429,1
TCGA-55-8614-01A,-14.3083717489297,-108.601802301835,121.153055411567,1
TCGA-55-8615-01A,-10.7962432456774,-108.326580290353,119.331638750965,1
TCGA-55-8616-01A,-10.0532741961275,-109.180022706389,119.517899848269,1
TCGA-62-8398-01A,-14.6406435453253,-108.312554711965,119.48975258163,1
TCGA-62-8399-01A,-9.80083476545477,-100.513260677415,131.298387481394,1
TCGA-62-A46P-01A,-8.61301171152631,-107.299707744311,121.024556825838,1
TCGA-62-A46S-01A,-10.181608573989,-101.511813092844,127.84359439552,1
TCGA-64-5775-01A,-13.9562698497716,-110.423333419134,125.367359646248,1
TCGA-64-5815-01A,-6.87733766490732,-109.277391572628,128.298058086619,1
TCGA-67-3774-01A,-13.424770646216,-102.255674937509,129.070473619008,1
TCGA-67-6216-01A,-14.9224361039394,-107.757235725417,123.630295794304,1
TCGA-69-7763-01A,-13.9942115500473,-106.937922719238,119.898642276302,1
TCGA-69-7973-01A,-8.31337112754409,-106.659304299614,119.642601849679,1
TCGA-69-7974-01A,-1.93701702587602,-113.224307457753,122.08601189379,1
TCGA-69-7980-01A,-16.5927427363845,-109.232750612257,124.336983062329,1
TCGA-69-8253-01A,-12.7921664955406,-108.817977931975,119.661506091146,1
TCGA-69-8453-01A,-15.0539348479443,-107.165076063627,122.487834184714,1
TCGA-73-4668-01A,-10.0833080683935,-100.650118704819,131.133613010628,1
TCGA-73-A9RS-01A,-3.96435813907039,-113.16052508883,121.046007041112,1
TCGA-75-5146-01A,0.0513313186123691,-116.468690416632,120.364543664947,1
TCGA-75-6206-01A,-10.0564255527444,-102.609513111559,128.681666660861,1
TCGA-75-7027-01A,-12.49062148127,-110.913655019272,119.672721757911,1
TCGA-78-7148-01A,-12.3946566021842,-110.270914376809,119.749933142806,1
TCGA-78-7149-01A,-13.5065323318243,-106.369324006125,118.769748424664,1
TCGA-78-7150-01A,-13.4956983011961,-111.577395506729,120.24786451406,1
TCGA-78-7153-01A,-8.7576609731001,-107.102848918479,127.408705413899,1
TCGA-78-7158-01A,-14.38079043385,-107.059168325049,123.591874880276,1
TCGA-78-7160-01A,-11.999144037194,-113.257368748322,122.443454645261,1
TCGA-78-7166-01A,-10.954828662611,-109.47145488074,119.552547667091,1
TCGA-78-7539-01A,-4.24123966604737,-114.419334292779,121.910240145313,1
TCGA-78-7540-01A,-17.8247982658929,-106.06258498641,122.098996369077,1
TCGA-78-7542-01A,-16.3279717522927,-108.582776013284,120.162012321585,1
TCGA-78-7633-01A,-9.78840060779494,-102.811954554516,128.902554007246,1
TCGA-78-8655-01A,-9.23682469209669,-110.314588220143,118.279852919588,1
TCGA-78-8660-01A,-2.72381987750415,-112.961847826455,120.679025138767,1
TCGA-78-8662-01A,-5.47041923940903,-110.271875307619,119.458348057428,1
TCGA-80-5607-01A,-15.0333282272435,-106.826359470708,123.0629515042,1
TCGA-80-5608-01A,-0.416957184983823,-115.338740412662,118.201730258023,1
TCGA-83-5908-01A,-4.35912927041219,-114.227503077653,116.651431727889,1
TCGA-86-7713-01A,-11.8826445816776,-101.056644680606,130.665156373759,1
TCGA-86-8281-01A,-14.9220097872202,-107.853773529761,119.211044335653,1
TCGA-86-8585-01A,-13.2840858336816,-108.526324748632,119.996078520909,1
TCGA-86-8672-01A,-0.771590778283544,-113.916919374611,121.231023696788,1
TCGA-86-8674-01A,-11.6961439733044,-110.169890385773,119.525554902939,1
TCGA-91-6840-01A,-14.0235959021376,-105.212514399525,120.281950171635,1
TCGA-91-6849-01A,-15.2993335716631,-109.574179842751,122.559203138344,1
TCGA-93-7347-01A,-2.83740449475364,-111.003500112125,127.433675019621,1
TCGA-95-7043-01A,-1.34479318322401,-114.012702475377,121.449141712334,1
TCGA-95-7944-01A,-16.2525528092746,-108.664929751794,120.183919664625,1
TCGA-95-A4VP-01A,-4.42486548984443,-112.510920385881,120.640461004928,1
TCGA-97-7938-01A,-11.9976152673464,-113.612613820621,122.677316448703,1
TCGA-97-7941-01A,-15.4659578948527,-107.750430698848,124.037003268433,1
TCGA-97-8176-01A,-15.4017054087964,-103.604834123136,129.763529749928,1
TCGA-97-8177-01A,0.485001460180487,-114.959767902554,120.90393432813,1
TCGA-97-A4M3-01A,-8.37307463005658,-106.752521007725,119.793359047271,1
TCGA-97-A4M5-01A,-12.9046404500841,-102.359602294031,128.92729709964,1
TCGA-J2-8194-01A,-10.1464402774558,-103.672956994466,128.515474297213,1
TCGA-L9-A5IP-01A,-13.5263014068331,-111.6295915751,119.668539015828,1
TCGA-L9-A8F4-01A,-17.8400343885684,-108.651171899481,127.768298800213,1
TCGA-MN-A4N4-01A,-8.38251002754324,-109.053392597548,119.327936356849,1
TCGA-MP-A4T7-01A,-13.3656644965609,-107.333805657287,123.664163389996,1
TCGA-MP-A4TC-01A,-1.74921701428748,-113.976951646659,121.199182772306,1
TCGA-MP-A4TE-01A,-8.12179222510655,-112.453057956574,120.410843902794,1
TCGA-MP-A4TH-01A,-13.0393955755864,-102.483712671234,128.206491274957,1
TCGA-MP-A4TK-01A,-2.7771786481983,-111.048021306149,127.383562646223,1
TCGA-NJ-A4YG-01A,-13.1492214187181,-104.11271525587,126.243195636228,1
TCGA-NJ-A4YP-01A,-14.4154875221879,-102.875009606252,129.193892483384,1
TCGA-NJ-A55R-01A,-12.4019820099201,-101.709669622863,129.979397562757,1
TCGA-05-4244-01A,33.1133830156377,56.1236372686161,61.4866948460871,2
TCGA-05-4389-01A,42.7576630026854,43.5230762227606,48.0193137455782,2
TCGA-05-4397-01A,23.466104186215,49.5799044039552,46.7640951623698,2
TCGA-05-4402-01A,34.2435122888229,51.5409490652138,44.6388058401495,2
TCGA-05-4422-01A,21.4437886549747,51.9871435847186,48.6535206318661,2
TCGA-05-4433-01A,40.9723441807704,45.5157241993119,47.5061387693387,2
TCGA-38-4626-01A,36.7595778931786,59.28911711681,50.5581892767411,2
TCGA-38-4627-01A,27.8861139667897,71.1724580957771,55.7509483130942,2
TCGA-38-4630-01A,34.6231848274526,54.8485901585737,51.0619938830791,2
TCGA-38-6178-01A,38.0614620464774,57.1082956935738,54.1769602370319,2
TCGA-38-7271-01A,37.5534968519522,66.0253294226469,51.408961170458,2
TCGA-38-A44F-01A,42.4142264257243,67.9908126323799,50.476177418708,2
TCGA-44-2656-01B,24.4082185137061,65.4632271972581,58.3939086508827,2
TCGA-44-2657-01A,35.4212108278945,54.5233778631138,50.5612781160591,2
TCGA-44-2662-01B,23.4677794854187,65.475107369175,58.8898499569429,2
TCGA-44-2665-01A,22.4374284863377,65.3945416013539,59.5919758374413,2
TCGA-44-2666-01A,31.0499168592248,66.5537465849652,55.6974618943933,2
TCGA-44-2666-01B,26.3142323655922,65.7798730988545,57.5152706296076,2
TCGA-44-2668-01A,30.7823474553143,56.9452744832285,53.5277532798996,2
TCGA-44-2668-01B,24.8260831881863,64.9079709306744,58.3003711296359,2
TCGA-44-3917-01B,23.8745471676259,64.409473790808,57.3343506831461,2
TCGA-44-3918-01B,23.9165272633792,64.3455214475235,58.8256963649156,2
TCGA-44-3919-01A,25.0251433221665,52.195939220853,45.0123764241502,2
TCGA-44-4112-01B,24.8810216724904,65.3496402005665,58.160316653136,2
TCGA-44-5645-01A,25.9568399808709,62.8164931001895,56.7223520606253,2
TCGA-44-5645-01B,24.4190833778807,65.171323060937,57.7142356590188,2
TCGA-44-6146-01A,29.6019965313082,65.9607982251471,56.3722399025485,2
TCGA-44-6146-01B,25.4234161740144,65.9104986124956,57.8298011800599,2
TCGA-44-6147-01A,27.8190178769167,64.6709141766291,56.6102258884532,2
TCGA-44-6147-01B,24.45735646295,65.7650668567218,57.7281205571835,2
TCGA-44-6148-01A,37.558059321125,65.9509949435657,52.154196550055,2
TCGA-44-6774-01A,33.8836698154721,60.9328053855658,62.3031477965001,2
TCGA-44-6775-01A,25.7962475651089,62.2567596669142,56.8811037564882,2
TCGA-44-6775-01C,24.1773673378779,65.3572858982655,58.0438125203672,2
TCGA-44-6777-01A,22.4262754051824,63.6656846668043,59.8454727770902,2
TCGA-44-6778-01A,24.2895726703796,62.2355880405236,53.8297661115485,2
TCGA-44-6779-01A,40.0307588347134,68.6899413091763,48.1285355657992,2
TCGA-44-7659-01A,44.2254078120935,56.9892956769303,59.4651511634612,2
TCGA-44-7660-01A,30.5377324186611,54.4383590199849,42.4599745510505,2
TCGA-44-7661-01A,27.5876162355804,70.6642461738066,56.1226041259318,2
TCGA-44-7662-01A,37.5649309590413,59.714810438381,56.0418677012187,2
TCGA-44-8119-01A,22.7011845400314,49.4976773267842,45.3322252157429,2
TCGA-44-A47G-01A,42.3421101575403,55.8143499004409,59.4642790787165,2
TCGA-44-A4SU-01A,39.5902137429278,49.8780330932811,54.2413960308064,2
TCGA-49-4490-01A,39.4773658900113,43.4161820767789,54.3417566979139,2
TCGA-49-6743-01A,25.328357080953,63.1524823721699,52.3259485391865,2
TCGA-49-6744-01A,35.7711739282685,67.993865849994,52.3144183518693,2
TCGA-49-6745-01A,27.3420425936451,69.9656568865746,56.4753097153728,2
TCGA-49-AAQV-01A,24.5616380982704,51.8070189244228,46.2542233443931,2
TCGA-49-AAR4-01A,38.5864231731286,47.2460876887432,53.3732727982827,2
TCGA-49-AARO-01A,40.1643357136871,48.8133381350014,55.1903688101938,2
TCGA-49-AARQ-01A,32.525472025817,53.7637705684456,43.7917871551867,2
TCGA-49-AARR-01A,40.2957377069331,60.730228967899,51.623150682442,2
TCGA-50-5072-01A,42.0099433432331,44.2351274294873,48.1691099842652,2
TCGA-50-5931-01A,37.1192132857429,70.7779628599282,53.1192937809636,2
TCGA-50-5932-01A,38.0347045939214,59.2238024548491,54.8607246417829,2
TCGA-50-5939-01A,31.252196574818,58.3341545596415,52.8221350403836,2
