Sample,X,Y,Z,Cluster
TCGA-18-3406-01A,72.4925176560894,-15.1010411325627,-27.4840178894972,1
TCGA-18-3407-01A,84.402169952781,-9.5273866996878,-38.861751050776,1
TCGA-18-3409-01A,76.4181772584309,-16.4381093201966,-35.3636734452506,1
TCGA-18-3419-01A,74.3882296192767,-12.2654660635055,-34.3826965226228,1
TCGA-18-4086-01A,85.7841563152677,-9.16570888055003,-38.6559522450603,1
TCGA-21-1070-01A,66.4152094960838,-15.0351965689794,-28.3543417757458,1
TCGA-21-1071-01A,64.8608162140347,-11.3114917162921,-27.4936264747877,1
TCGA-21-1076-01A,66.3021738186961,-13.2620557712346,-35.4835940086949,1
TCGA-21-1080-01A,60.0108250935462,-12.5122696556095,-22.7271407341026,1
TCGA-22-1000-01A,84.4435407422295,-10.567703285931,-34.5339680731175,1
TCGA-22-1002-01A,69.9877640049738,-12.1911799084818,-30.7866932269017,1
TCGA-22-1011-01A,82.9193120653849,-11.5807728745837,-40.9733604654196,1
TCGA-22-1016-01A,68.9507221971334,-5.25887926723898,-27.138348119012,1
TCGA-22-4605-01A,83.0622990638392,-10.3525898453036,-42.663547390928,1
TCGA-22-5472-01A,78.3680759536907,-7.4025829945942,-37.2029579635929,1
TCGA-22-5480-01A,65.7836845991408,0.25217322929004,-38.93342228456,1
TCGA-22-5492-01A,86.3740541770553,-16.9758546221787,-35.0868623648073,1
TCGA-22-A5C4-01A,61.7278413938103,-13.5402531671294,-24.9611986164301,1
TCGA-33-4587-01A,75.3738644788392,-10.8419941909543,-42.820463367626,1
TCGA-33-6737-01A,68.3543419216918,-8.98969912859294,-30.0285150128586,1
TCGA-33-A4WN-01A,68.9596788434731,-11.9870705282913,-25.486357777752,1
TCGA-33-A5GW-01A,82.2579068097332,-10.5735377497598,-36.0025876488434,1
TCGA-34-5232-01A,68.9550490878151,-10.8437210754541,-29.0753015204311,1
TCGA-34-5241-01A,71.2450377909673,-11.1185935985412,-34.0006245278682,1
TCGA-34-5927-01A,71.5323366874369,0.577194001545744,-38.6894791120372,1
TCGA-34-5928-01A,69.9739656532789,-5.92763173342478,-34.578390157775,1
TCGA-34-8454-01A,69.8504224260885,-17.1784338081677,-28.295808974046,1
TCGA-34-8455-01A,82.6073946103272,-11.5405023594947,-41.8226913164331,1
TCGA-37-A5EM-01A,77.7341775800456,-6.80267329983093,-42.6535232410811,1
TCGA-39-5022-01A,75.3733457687617,-15.0492347065779,-33.16718241328,1
TCGA-39-5024-01A,78.098593623643,-9.48522771575072,-32.1243482306538,1
TCGA-39-5028-01A,82.5824773391176,-6.0267134962042,-28.4400294334223,1
TCGA-39-5029-01A,78.6923503129858,-14.0809161638231,-32.8925130165351,1
TCGA-39-5030-01A,69.1611126631305,-9.37544252317268,-42.7851167594966,1
TCGA-39-5034-01A,72.9721547579595,-16.3092489919696,-29.3786048977237,1
TCGA-39-5035-01A,79.4798722473308,-9.68769788997919,-26.2696019485685,1
TCGA-43-6647-01A,79.1167138362913,-3.41863828338031,-36.365358685923,1
TCGA-43-6771-01A,84.3788954934656,-6.87806208390098,-35.4559297123509,1
TCGA-43-7656-01A,64.790478678288,-9.71611140139936,-21.4363447229431,1
TCGA-43-8115-01A,70.5877151954423,-9.19788060243943,-29.585553732204,1
TCGA-43-8116-01A,68.319779722215,-3.31825559744166,-34.283043629958,1
TCGA-46-3765-01A,67.1760361749678,-1.61347861298833,-26.3713711601774,1
TCGA-46-3766-01A,81.8723291912994,-9.54373736724565,-37.4121038059038,1
TCGA-46-3767-01A,75.0055701641243,-15.0669076754298,-28.0426005352602,1
TCGA-46-3769-01A,76.6500807028951,-9.08636427817617,-26.2596655626202,1
TCGA-51-4079-01A,84.8744321917003,-10.7008854826385,-39.3373764497984,1
TCGA-56-1622-01A,71.3217858410289,-12.3791726155705,-33.8203141526262,1
TCGA-56-5897-01A,82.9326727156826,-11.4321570942333,-41.91339263395,1
TCGA-56-7221-01A,79.2175510811264,-3.34594246615665,-42.9812171324749,1
TCGA-56-7579-01A,64.4048699655363,-14.4358405810852,-25.28695547615,1
TCGA-56-7580-01A,64.0229379058679,-9.00046211374983,-20.3047492931115,1
TCGA-56-7822-01A,74.941206070693,-10.5270097812242,-34.9256965666101,1
TCGA-56-8307-01A,72.2238931876413,-6.56182370481617,-37.4485161830576,1
TCGA-56-8308-01A,79.704928405521,-7.08235399485359,-32.8677174112748,1
