Sample,X,Y,Z,Cluster
TCGA-18-3407-01A,30.5537974391457,-17.2907159304474,152.963107879062,1
TCGA-18-3412-01A,24.925860237295,-14.7304748188231,157.194897460905,1
TCGA-18-3415-01A,32.5027325380555,-14.4781882182499,138.935302445198,1
TCGA-18-3417-01A,39.1015081183184,-17.6454860019159,140.342563466712,1
TCGA-18-3419-01A,30.8187592873872,-19.7656831475783,151.914400737912,1
TCGA-18-3421-01A,36.270895479004,-15.1993947700506,131.964187963899,1
TCGA-18-4086-01A,36.8655820996517,-15.1558681287936,132.620024989896,1
TCGA-21-1070-01A,25.6805892120098,-19.0420490261066,157.325732493125,1
TCGA-21-1071-01A,37.2595511849078,-15.3939286252784,134.171650597606,1
TCGA-21-1076-01A,48.8835594951298,-19.0110992281886,159.257038203004,1
TCGA-21-1078-01A,53.9018348181188,-26.5659154682364,167.407458416427,1
TCGA-21-1079-01A,27.5542221566881,-15.4632420531505,157.704358356474,1
TCGA-21-1082-01A,48.6147465679248,-18.8899183825773,159.127469237965,1
TCGA-21-1083-01A,34.2766368311728,-15.6549851753623,131.152231080426,1
TCGA-21-A5DI-01A,32.1074625091122,-20.4688997975779,153.561850882018,1
TCGA-22-1000-01A,39.6715570544836,-20.7543400602041,154.487611098085,1
TCGA-22-1005-01A,42.5138001954152,-23.2671638926364,153.753641209338,1
TCGA-22-1011-01A,49.3838644796531,-19.2283790832462,159.578606916734,1
TCGA-22-1012-01A,56.9589794302428,-23.6558587709737,171.715393693652,1
TCGA-22-1016-01A,37.462723782796,-20.2975207038067,153.674039687222,1
TCGA-22-4591-01A,51.7249864034173,-26.52394438155,162.974464085528,1
TCGA-22-4594-01A,52.6563029219919,-26.3785307924662,161.184267398096,1
TCGA-22-4595-01A,33.4254933356624,-16.9073144401325,153.451453542405,1
TCGA-22-4599-01A,35.4639527708605,-16.2218748926622,137.253778690426,1
TCGA-22-5471-01A,44.4384079846615,-18.2361794709917,157.042955996072,1
TCGA-22-5472-01A,47.5557637079725,-26.276463093404,160.502264881685,1
TCGA-22-5478-01A,43.2735627706813,-24.9297841311142,155.389252879645,1
TCGA-22-5479-01A,45.805914191405,-16.6963065066616,159.625453562175,1
TCGA-22-5489-01A,32.5066902192403,-22.6636234489197,152.735282551789,1
TCGA-22-5492-01A,41.1747870291777,-23.037981341002,153.527824700707,1
TCGA-22-A5C4-01A,32.0076580784331,-21.3982539857076,152.953923560299,1
TCGA-33-4538-01A,36.1488305709669,-14.0741614083345,151.404475361024,1
TCGA-33-4547-01A,51.980002741276,-26.4185671062495,162.373146700688,1
TCGA-33-4586-01A,33.785637341582,-17.5006407031908,136.207043627495,1
TCGA-33-4587-01A,53.7790256315377,-27.0098686375119,165.190695401706,1
TCGA-33-4589-01A,32.5252145908576,-14.5409769994542,138.869631946594,1
TCGA-33-6737-01A,24.1992534654717,-16.8361638966848,158.498941508295,1
TCGA-33-6738-01A,53.8546217812912,-26.294735290568,166.323127711761,1
TCGA-33-A4WN-01A,57.650545294588,-24.7828154723087,166.621268129969,1
TCGA-33-A5GW-01A,54.5236840062063,-26.3764667624228,168.582446168492,1
TCGA-33-AASB-01A,33.1416395215143,-16.0080979710328,154.41122471419,1
TCGA-33-AASI-01A,42.3967132458854,-14.8596079310294,161.099972114276,1
TCGA-33-AASL-01A,38.672042800185,-15.2434446665563,151.659435778518,1
TCGA-34-2600-01A,55.8548309334303,-25.2620667311243,168.575077269533,1
TCGA-34-2608-01A,45.2532083270613,-23.2941868319875,152.312902820609,1
TCGA-34-5234-01A,38.2260153809065,-17.7704919916564,139.803915296652,1
TCGA-34-5236-01A,31.7724082718996,-16.4043541616367,129.812221059614,1
TCGA-34-5239-01A,41.2375538437337,-15.9523834994658,161.908785326011,1
TCGA-34-5240-01A,38.4688073748771,-17.3653515135958,139.500631863731,1
TCGA-34-5241-01A,30.9382950988413,-19.7478135516537,152.097631035926,1
TCGA-34-5927-01A,58.2633452315991,-23.5181047624312,172.119785007806,1
TCGA-34-5928-01A,38.2499197418865,-26.6539485498279,149.112583029704,1
TCGA-34-5929-01A,56.2744073687915,-24.7607605889757,169.837094852964,1
TCGA-34-A5IX-01A,22.5244938494554,-16.6974713718182,158.372512473779,1
TCGA-37-3783-01A,24.9076502799163,-14.7728913524696,157.202554468342,1
TCGA-37-3792-01A,35.7608515700752,-14.2059789427392,151.583538293393,1
TCGA-37-4129-01A,45.7076064627327,-23.3390742522663,152.034470553686,1
TCGA-37-4133-01A,35.9830220680788,-15.2707772118303,131.863097226975,1
TCGA-37-4135-01A,38.5493664132924,-17.2608024183382,138.824227474445,1
TCGA-37-5819-01A,45.6560041017478,-19.9804447696062,156.347924929025,1
TCGA-37-A5EM-01A,25.0595945291032,-15.8059949829979,159.507709032249,1
TCGA-37-A5EN-01A,60.0579770177115,-20.7025378936862,175.44356915862,1
TCGA-39-5011-01A,42.8288518099717,-27.4225028805407,155.29129822727,1
TCGA-39-5022-01A,41.2512162516467,-19.2371568861172,157.33147185326,1
TCGA-39-5024-01A,41.7571195078824,-22.1721565555813,153.310750119994,1
TCGA-39-5027-01A,45.3926636255771,-19.1994531294824,156.878499018845,1
TCGA-39-5034-01A,53.4897349752225,-26.8630650283867,165.111128374294,1
TCGA-39-5037-01A,52.0588433896458,-23.9117182410626,160.259030859015,1
TCGA-39-5039-01A,43.3928007801054,-22.5348875370732,149.268260995581,1
TCGA-39-5040-01A,59.4680512819232,-20.4504222093275,174.20061780266,1
TCGA-43-2576-01A,42.7761147423382,-25.2660387890041,155.077191310496,1
TCGA-43-2578-01A,39.2262435710922,-28.8456962585235,154.327474673608,1
TCGA-43-3920-01A,38.3671847098577,-17.0757349904923,139.152493000003,1
TCGA-43-5668-01A,50.4605810724075,-25.4578889459609,159.109374492699,1
TCGA-43-6647-01A,39.456269676355,-25.9939193972961,150.601108631656,1
TCGA-43-6770-01A,32.3229974822375,-16.0736435605989,130.312249198677,1
TCGA-43-6771-01A,31.2879798514362,-17.2594891991567,154.020934026062,1
TCGA-43-8115-01A,50.1161042242911,-25.4008046695955,159.140983912252,1
TCGA-43-A56V-01A,43.6701038448433,-16.8843556836147,158.450779188179,1
TCGA-46-3766-01A,44.8127719185401,-23.2198484181646,152.511069874408,1
TCGA-46-3767-01A,41.1046081013658,-22.6217013819507,151.882891672513,1
TCGA-46-3768-01A,39.4963276786305,-17.8272132470403,140.925313450587,1
TCGA-46-3769-01A,38.019371105256,-18.0715897596595,139.943826680939,1
TCGA-46-6025-01A,29.9510991429033,-16.5839024992547,131.96156016752,1
TCGA-46-6026-01A,58.0538989280982,-23.5589475327337,171.989201273973,1
TCGA-51-4081-01A,45.0871201393343,-18.887883263094,157.004849788449,1
TCGA-52-7622-01A,42.1286419688345,-14.9633089555214,161.282890352896,1
TCGA-52-7811-01A,25.199748302587,-18.9207951534723,157.660458663991,1
TCGA-56-6545-01A,39.2135888667311,-28.6500140353632,154.795644024376,1
TCGA-56-6546-01A,48.9823235320131,-26.0168896785398,159.203474225101,1
TCGA-56-7221-01A,58.1928935972268,-23.5618261845595,172.010479260403,1
TCGA-56-7730-01A,33.1264360125662,-14.0802993835993,139.997359047406,1
TCGA-56-7731-01A,41.6852354318724,-24.4879081121217,154.566321676265,1
TCGA-56-7822-01A,26.5940360177168,-17.9716006440223,156.185566985914,1
TCGA-56-7823-01B,61.1715127152462,-22.2751479251289,175.428127945915,1
TCGA-56-8082-01A,59.9829093859474,-20.5653149888433,175.369737657294,1
TCGA-56-8305-01A,34.4253995250717,-16.9382963061306,152.814007771682,1
TCGA-56-8309-01A,42.6392370998627,-23.0329181321373,153.391310872145,1
TCGA-56-8503-01A,37.9640916785235,-28.2591120265324,153.326112993996,1
TCGA-56-8623-01A,41.3964543899187,-28.5005084331203,155.527122004765,1
TCGA-56-8625-01A,46.9631618596021,-25.463357525485,158.025616365357,1
TCGA-56-8628-01A,46.3217159805839,-25.3963789014299,157.780574780284,1
TCGA-56-8629-01A,51.1946512632579,-25.653040626079,158.591084870663,1
TCGA-56-A49D-01A,59.8549326539398,-22.6637375885312,173.903643745818,1
TCGA-56-A4BW-01A,40.2514782572408,-20.294110410234,152.691667025738,1
TCGA-56-A4BX-01A,57.9045888611543,-24.4355706193332,170.555022920506,1
TCGA-56-A4BY-01A,60.3951705709583,-20.9464748487776,175.538971226748,1
TCGA-56-A4ZJ-01A,40.8233569986514,-22.6226750635909,153.265617932568,1
TCGA-56-A5DS-01A,49.7927542233819,-23.8339671974739,159.208659027414,1
TCGA-58-8387-01A,36.495850115383,-15.4380421672395,133.368752494567,1
TCGA-58-8393-01A,24.64341837627,-16.2971507389993,158.776573066759,1
TCGA-58-A46K-01A,29.4982321318476,-16.4468419128338,130.888319598798,1
TCGA-60-2695-01A,39.0088287926592,-27.9579220131641,149.943661955351,1
TCGA-60-2704-01A,23.204230550475,-17.1848531690284,159.102930916917,1
TCGA-60-2707-01A,31.0601574165322,-16.9624214287146,154.04701613002,1
TCGA-60-2709-01A,43.3030280114785,-28.1400991592273,154.871260080614,1
TCGA-60-2710-01A,53.5460833786097,-26.5327616938663,158.958372079811,1
TCGA-60-2711-01A,56.1663804823637,-24.8854116693702,169.597318878128,1
TCGA-60-2713-01A,55.2684628978698,-25.4634716316879,168.754046104956,1
TCGA-60-2714-01A,31.9755398158141,-16.2699640270623,130.110868730234,1
TCGA-60-2719-01A,53.2294771569884,-26.5088335818419,161.363769757049,1
TCGA-60-2721-01A,54.1543203430064,-25.7421784405822,166.630999571911,1
TCGA-60-2725-01A,37.7581700990675,-15.9035048971629,151.615423077123,1
TCGA-60-2726-01A,48.2381829257661,-25.5909477883956,155.574639645497,1
TCGA-63-5131-01A,52.0227318523149,-26.2438637506056,161.901983185143,1
