Sample,X,Y,Z,Cluster
TCGA-FA-A6HN-01A,-6.12960512257362,-5.24074638555024,22.0095781789792,1
TCGA-FA-A6HO-01A,-9.69236731335255,-7.17110586079696,24.9830458596394,1
TCGA-FA-A7DS-01A,-10.2166889960764,-4.80954210403903,25.781506756465,1
TCGA-FA-A82F-01A,-6.98720829164084,-3.78236967784425,24.6057368491862,1
TCGA-FA-A86F-01A,-7.98481860158647,-3.00461788224381,26.2793456952615,1
TCGA-FF-8046-01A,-7.48979429749352,-4.59429292323402,21.2897035344598,1
TCGA-FF-8047-01A,-9.68347433535833,-1.47118508596758,27.2654592884545,1
TCGA-FF-A7CQ-01A,-9.53457087321329,-1.72973249311986,27.3697785934457,1
TCGA-FF-A7CR-01A,-10.1144265124148,-6.56787589860957,24.6792508350725,1
TCGA-FF-A7CW-01A,-8.88538247892022,-2.70714405087085,27.364564658221,1
TCGA-FF-A7CX-01A,-7.48115873848324,-4.13535734061755,24.6245780171902,1
TCGA-G8-6324-01A,-8.22937831533757,-5.23320148641078,26.1089409745514,1
TCGA-G8-6914-01A,-9.40855878011866,-1.01930557824805,26.3011769128505,1
TCGA-GR-A4D5-01A,-8.19549139751144,-6.82948252883,25.3348448575251,1
TCGA-GR-A4D6-01A,-9.59754460238269,-3.47643075748876,25.1076632980644,1
TCGA-GR-A4D9-01B,-8.95531461923018,-4.91868258632358,25.9743407947631,1
TCGA-GS-A9TT-01A,-8.30810150814363,-2.20625982459543,26.8526081800751,1
TCGA-GS-A9TU-01A,-9.38168848383998,-2.99160467072308,25.7884794541678,1
TCGA-GS-A9TV-01A,-10.3580966724155,-7.74650501373356,25.8525829639725,1
TCGA-GS-A9TX-01A,-6.0953571798953,-4.76305631195925,21.0799759437171,1
TCGA-GS-A9TY-01A,-5.8176078474736,-3.00714029135791,26.477372702658,1
TCGA-GS-A9TZ-01A,-6.8687815659887,-1.81870282964948,25.2457722209681,1
TCGA-GS-A9U3-01A,-8.78511318390428,-7.56481667025621,26.5485742825138,1
TCGA-FA-8693-01A,6.23599768613319,2.90746227145462,-24.8312050984099,2
TCGA-FA-A4BB-01A,8.54572909638366,5.08724066390849,-23.9667879870848,2
TCGA-FA-A4XK-01A,5.09511292619094,4.13469995972882,-21.5181051844253,2
TCGA-FA-A7Q1-01A,5.00526334626979,7.42250335406046,-22.3914111742296,2
TCGA-FF-8041-01A,10.1045813777903,-0.684462949250997,-27.1197680141354,2
TCGA-FF-8042-01A,10.1810367988336,6.91462817686619,-20.0397756872106,2
TCGA-FF-8043-01A,6.48318966725777,2.61859465578605,-22.0659332359742,2
TCGA-FF-8061-01A,8.99544508411574,5.75707166317872,-21.5158858164755,2
TCGA-FF-8062-01A,8.42189948621156,4.52471083491034,-24.4801315413374,2
TCGA-FM-8000-01A,9.84410889826413,5.90352224937822,-22.1300487427265,2
TCGA-G8-6325-01A,7.40761334474366,2.84436827363055,-25.2538193474352,2
TCGA-G8-6326-01A,8.05292117910087,0.302680228377859,-24.54788357217,2
TCGA-G8-6906-01A,4.83954515331752,4.10252980448784,-23.3739438515595,2
TCGA-G8-6907-01A,11.2203194924093,6.55236770044193,-20.5331315513144,2
TCGA-G8-6909-01A,9.79043318760689,5.58902009797332,-21.6087133081859,2
TCGA-GR-7351-01A,8.55386636216134,3.65310409582656,-23.7653255891598,2
TCGA-GR-7353-01A,7.35455327816522,3.00243511181154,-22.8371056130374,2
TCGA-GR-A4D4-01A,7.11786880809227,5.67506144928718,-23.6664234399345,2
TCGA-GS-A9TQ-01A,8.61615497260163,3.28760921033189,-22.8716648394634,2
TCGA-GS-A9TW-01A,10.0989868291179,-0.422261974354454,-27.1697093376502,2
TCGA-GS-A9U4-01A,9.37632317492767,1.11047571999374,-24.048210787356,2
TCGA-RQ-A68N-01A,3.50591292701715,5.42237378035183,-21.1837757428015,2
TCGA-RQ-A6JB-01A,5.03077672043443,6.50175945992124,-23.048667794848,2
TCGA-RQ-AAAT-01A,7.56399925300481,3.12782391265229,-23.7998743251807,2
TCGA-VB-A8QN-01A,6.75889066720353,1.45384050171562,-25.1575792700965,2
