Sample,X,Y,Z,Cluster
TCGA-3H-AB3O-01A,4.25523375805618,4.63628288273212,6.4537001875331,1
TCGA-3U-A98F-01A,1.37343888206924,7.37831866762089,3.84128237963003,1
TCGA-3U-A98G-01A,2.41527192611288,4.97352904881009,5.97342538156829,1
TCGA-3U-A98I-01A,3.9404463192739,-0.724162328466373,5.40826263686789,1
TCGA-LK-A4O0-01A,-0.513523630179419,1.76731515085354,4.99117940065092,1
TCGA-LK-A4O4-01A,3.94254851526635,-0.726692963597232,5.35666346925074,1
TCGA-LK-A4O6-01A,0.980929659075133,1.69627437865889,5.46568529659214,1
TCGA-MQ-A4LM-01A,1.38497959155234,7.97891437705985,2.98273864065359,1
TCGA-MQ-A6BL-01A,1.79595285912034,5.22564779940612,5.99824827017775,1
TCGA-MQ-A6BR-01A,1.43359821790236,8.6696154854143,1.89392642760884,1
TCGA-SC-A6LM-01A,4.93645192804621,4.37935913980775,6.16054057123512,1
TCGA-SC-A6LN-01A,1.23448306762162,5.38631786435365,5.68828648495818,1
TCGA-SC-A6LP-01A,1.42339372146456,8.48598135712362,2.13981874870807,1
TCGA-TS-A7OY-01A,0.931251311045782,5.22759899122662,5.94114838051792,1
TCGA-TS-A7OZ-01A,1.90662046347113,5.36019425365897,5.68620838927801,1
TCGA-TS-A7P3-01A,2.42996726610412,3.03777428032677,5.87293006663612,1
TCGA-TS-A7P8-01A,1.20560656782406,1.7738290889245,5.49368358015729,1
TCGA-TS-A8AI-01A,3.15983434223056,5.10467203697499,5.3783362205802,1
TCGA-TS-A8AV-01A,2.62679190706448,4.5426351735741,6.40868111321713,1
TCGA-UD-AABY-01A,3.83680498076022,1.34324652175049,4.12342669735289,1
TCGA-UT-A88D-01B,3.91233876566988,1.25124294845204,3.94920868110736,1
TCGA-UT-A88G-01B,5.48516020574226,4.12541320729684,5.8984468367686,1
TCGA-UT-A97Y-01A,1.34154817743473,6.57908865497351,4.71889902726021,1
TCGA-ZN-A9VO-01A,1.37127801155032,5.10742018764597,7.31657192155254,1
TCGA-ZN-A9VQ-01A,3.99773101103639,4.98068677148643,6.95968388198594,1
TCGA-3H-AB3M-01A,-5.68154868217119,-5.33857115494876,-0.0669903408047544,2
TCGA-3H-AB3U-01A,-0.855118191778845,-9.07329637376552,1.75592462655129,2
TCGA-3U-A98E-01A,-0.185081927344311,-8.52669318822514,2.49347390234877,2
TCGA-3U-A98H-01A,-1.24199332246667,-6.3718598673212,-5.95480256840646,2
TCGA-3U-A98J-01A,-4.3709804515088,-5.70769314792135,-2.08385612428305,2
TCGA-LK-A4NW-01A,-4.51279191564659,-7.64450156117081,-2.25407040918468,2
TCGA-LK-A4NZ-01A,-2.88927297933581,-4.79464951723712,0.398745988865227,2
TCGA-LK-A4O2-01A,-0.094327132601404,-5.88542224674638,-6.75104572391967,2
TCGA-LK-A4O5-01A,-4.75231747404952,-7.46540066760839,-2.22553245542095,2
TCGA-LK-A4O7-01A,-4.26194851663099,-2.70697800354237,3.14893654095153,2
TCGA-MQ-A4KX-01A,-4.55741538901075,-9.44609985600209,-2.61219111906326,2
TCGA-MQ-A4LC-01A,-4.25761466195933,-8.79309606017357,0.400921843247998,2
TCGA-MQ-A4LI-01A,-3.31026339489582,-4.63177765542809,-0.17358450451866,2
TCGA-MQ-A4LJ-01A,-3.58609662258555,-3.16828725831338,1.50522206748313,2
TCGA-MQ-A4LP-01A,-3.31098856471176,-11.6306881263149,1.22067721041534,2
TCGA-MQ-A6BQ-01A,-4.10177727743081,-7.76506214591518,3.63473728003217,2
TCGA-MQ-A6BS-01A,0.770438765841044,-8.88090617178398,0.94806006044441,2
TCGA-SC-A6LQ-01A,-1.43475405362816,-6.41737362747129,-5.77189572872683,2
TCGA-SC-A6LR-01A,-3.85941687393986,-6.14924556947112,-2.29324706281321,2
TCGA-SC-AA5Z-01A,-3.0829357613023,-5.86058831285082,-3.04426416086624,2
TCGA-SH-A7BC-01A,-4.00511604347057,-2.72099183257354,2.48104703415227,2
TCGA-SH-A9CT-01A,-3.6315752412942,-3.03523776130959,1.71572300061219,2
TCGA-SH-A9CU-01A,-3.45867535029118,-3.98532948479993,-0.215965689495412,2
TCGA-TS-A7OU-01B,-2.83565722030356,-10.4186629281838,1.33814915832368,2
TCGA-TS-A7P1-01A,0.0809124234207633,-8.143053627107,3.07101827035901,2
TCGA-TS-A8AF-01A,0.0893036777486137,-6.29923320291237,-6.56602772927856,2
TCGA-TS-A8AS-01A,-4.20474498072592,-7.06700454142414,-2.05332155075978,2
TCGA-TS-A8AY-01A,-4.07223497824705,-7.73185289757748,3.64209905362479,2
TCGA-UD-AAC4-01A,-4.35727706144463,-8.75074683617202,0.459800582498899,2
TCGA-UD-AAC5-01A,0.804402513101968,-8.86318101899534,0.972035989689012,2
TCGA-UT-A88C-01B,-0.113132552302013,-6.40779035543589,-6.37982024503194,2
TCGA-UT-A88E-01B,0.0625944498487564,-6.07155904830985,-6.70866526798202,2
TCGA-YS-A95B-01A,-3.95410902773304,-2.79126742994886,2.39039603943712,2
TCGA-YS-A95C-01A,-2.95018953670958,-6.01394305243204,-3.83338652627948,2
TCGA-YS-AA4M-01A,-4.55306770272399,-8.91806796582721,-2.5966956178898,2
TCGA-ZN-A9VS-01A,-1.81520632396139,-9.59497572393464,1.62370213630765,2
TCGA-ZN-A9VU-01A,-2.43939694216237,-9.902505857893,1.4791271375993,2
TCGA-ZN-A9VW-01A,-3.20827631212652,-11.270312742842,1.17909929352369,2
TCGA-3H-AB3K-01A,0.870875765681294,8.43180862620777,-5.13556641999993,3
TCGA-3H-AB3L-01A,0.787367988346966,8.86695172045442,-5.35225676572277,3
TCGA-3H-AB3S-01A,4.16743882357369,4.18236864248497,-4.4931532138,3
TCGA-3H-AB3T-01A,3.63908154069746,5.69856886798326,-4.85795736678884,3
TCGA-3H-AB3X-01A,-0.0198335504372701,8.75703633580176,-2.04745535979676,3
TCGA-3U-A98D-01A,1.13916140048669,6.96261473332667,-5.77176861324266,3
TCGA-MQ-A4LV-01A,3.91301678916933,-0.00467954174968821,-4.81717884502102,3
TCGA-MQ-A6BN-01A,4.23816494074866,7.59693035009755,-3.43209832364746,3
TCGA-NQ-A57I-01A,2.85236082514734,6.69124098909781,-5.04658614103561,3
TCGA-NQ-A638-01A,4.20067916086029,4.09556159046853,-4.49340137224481,3
TCGA-SH-A7BD-01A,4.03382128194643,7.78530353820483,-3.30877652947855,3
TCGA-SH-A7BH-01A,0.543713710100675,8.76226039881307,-2.79079865519792,3
TCGA-TS-A7P0-01A,-1.371463297012,8.05120457599247,-6.24592657963995,3
TCGA-TS-A7P6-01A,0.582619844371843,8.936016915841,-2.22123838764477,3
TCGA-TS-A7P7-01A,1.18726741097326,7.7533433564543,-5.16873406599316,3
TCGA-TS-A7PB-01A,4.88223843529253,7.3591792545387,-3.40898465136853,3
TCGA-UD-AABZ-01A,3.9204800378016,-0.0159078236146699,-4.79534393926195,3
TCGA-UD-AAC1-01A,0.590886027727899,8.5964520489844,-3.82012847959698,3
TCGA-UD-AAC6-01A,-1.53546079192158,8.03154590339325,-6.34813155619039,3
TCGA-UD-AAC7-01A,2.2696894122791,6.92258246547624,-5.29669851396002,3
TCGA-XT-AASU-01A,-2.0102343687861,7.96927559515738,-6.61110824471639,3
TCGA-ZN-A9VP-01A,0.651925569933992,8.45304122261081,-4.4989076143263,3
TCGA-ZN-A9VV-01A,3.79571585423564,6.80070407779686,-4.41231744491682,3
