Sample,X,Y,Z,Cluster
TCGA-3H-AB3L-01A,3.29732896006182,7.87449992301033,3.38897431347394,1
TCGA-3H-AB3X-01A,6.25297741488495,8.10873620582539,3.36354198204081,1
TCGA-3U-A98H-01A,7.11119338944127,9.04378254526517,2.92582338296151,1
TCGA-LK-A4NW-01A,8.35686606070939,8.57634483757937,3.19863784348852,1
TCGA-MQ-A4LJ-01A,7.08045914707099,8.34613505727198,2.69763313142552,1
TCGA-MQ-A4LP-01A,4.76940672014083,7.89420105233656,3.5489251960725,1
TCGA-MQ-A6BR-01A,2.25151243701008,9.02405509656558,3.4638533690725,1
TCGA-SC-AA5Z-01A,4.67820901326347,7.46239446332503,2.69031795692234,1
TCGA-SH-A7BC-01A,4.22291672455474,9.40530728251492,2.51147364608468,1
TCGA-SH-A9CT-01A,8.88454959286789,8.5755014867522,2.85001018063832,1
TCGA-TS-A7P1-01A,2.25591754351862,8.23734672870236,4.20079512898291,1
TCGA-TS-A8AF-01A,5.69356063745795,7.35452619743568,3.2537003524794,1
TCGA-UD-AAC1-01A,5.7824685775515,8.75793654880577,3.82492114186834,1
TCGA-UT-A88D-01B,9.33571115773228,8.08129955274916,1.87717450547173,1
TCGA-UT-A88G-01B,7.86514752623917,9.46699391414351,2.62037002604138,1
TCGA-ZN-A9VP-01A,7.17583646068598,6.83309975335993,6.05643784688753,1
TCGA-3H-AB3S-01A,1.71906455056323,4.74048078266832,-6.44628749668211,2
TCGA-LK-A4O6-01A,3.18101914777034,5.77285272365369,-4.33833468460584,2
TCGA-MQ-A6BN-01A,0.847152573544658,5.10149000059529,-3.6455693654697,2
TCGA-SC-A6LN-01A,2.79826117742167,3.6737918023488,-3.82112701727839,2
TCGA-SC-A6LR-01A,1.04403463346472,5.36534520221157,-7.19097485503187,2
TCGA-SH-A7BD-01A,1.6822326296231,4.47281669579671,-3.89793222757117,2
TCGA-SH-A7BH-01A,1.46949298220713,5.05972885711058,-4.01477472133142,2
TCGA-UD-AABZ-01A,2.65855986462248,5.35974283747187,-4.93405261074944,2
TCGA-UD-AAC4-01A,3.28095228351294,4.97616027898449,-3.78483555710386,2
TCGA-UT-A88E-01B,2.6173762503734,5.0208422934035,-3.85772648609176,2
TCGA-3H-AB3K-01A,-2.40525720317039,-5.19358135307697,-1.36519601776724,3
TCGA-3H-AB3O-01A,-1.98846542897098,-5.25413815021866,-0.387625309540911,3
TCGA-3H-AB3T-01A,-3.27557005468313,-4.72353805986444,-0.578271954996464,3
TCGA-3U-A98F-01A,-0.819829390429882,-3.93948800490157,2.74380826980972,3
TCGA-3U-A98I-01A,-3.01187796722513,-3.77070305366859,-0.997019828556926,3
TCGA-LK-A4O0-01A,-2.91683282147268,-1.26171527257232,-0.988160247246458,3
TCGA-LK-A4O4-01A,-2.38459967648282,-3.64732042001771,0.572541178232674,3
TCGA-MQ-A4LM-01A,-2.1840702923448,-2.15232918933018,-0.587700212614591,3
TCGA-MQ-A4LV-01A,-3.10103328914761,-3.81511870492667,-0.650778709981719,3
TCGA-NQ-A57I-01A,-3.85672864159464,-5.49077145404217,0.103622653485848,3
TCGA-SC-A6LQ-01A,-3.47372476170089,-3.9535277732168,0.16613769533378,3
TCGA-TS-A7OZ-01A,-3.54190631854877,-3.39721908085198,1.44205231182101,3
TCGA-TS-A7PB-01A,-3.58496001647861,-6.29283901225787,-1.51371479410634,3
TCGA-TS-A8AI-01A,-4.85845082192922,-5.02657440997389,0.154389644752343,3
TCGA-TS-A8AV-01A,-2.1680458276409,-4.46756547816209,-1.26747885964589,3
TCGA-UD-AAC5-01A,-2.8184353916926,-5.73906712500996,-1.35087162630543,3
TCGA-XT-AASU-01A,-1.95528421711357,-0.650023070849234,-0.79320196177927,3
TCGA-YS-AA4M-01A,-2.63635970197063,-3.30648762094398,1.77390504871885,3
