Sample,X,Y,Z,Cluster
TCGA-04-1332-01A,-12.1481625575149,-23.1255833635393,-6.23958614853762,1
TCGA-04-1343-01A,-19.7209629617726,-25.1712671993376,0.0789990706495486,1
TCGA-04-1347-01A,-9.8177235570282,-20.6271620881805,-6.73352332697231,1
TCGA-04-1350-01A,-1.89142457297246,-17.5935472370858,-1.51106972719514,1
TCGA-04-1362-01A,-3.65333482164647,-25.3655988966523,-0.249742614020301,1
TCGA-04-1365-01A,-10.488937430764,-23.4681589077924,-0.340845115902702,1
TCGA-04-1519-01A,-11.1724934677266,-13.69495180101,-10.9898713950175,1
TCGA-04-1530-01A,-5.752540009798,-27.0988484465369,-1.63167851669382,1
TCGA-04-1536-01A,-2.81926539670185,-19.2680381437172,-0.523763584477147,1
TCGA-04-1542-01A,-3.1564925262991,-12.636645216475,-1.210086598097,1
TCGA-04-1648-01A,-15.9157275467058,-23.1990308326338,2.35609874315071,1
TCGA-09-0366-01A,-5.89889495228738,-21.8232330999838,-1.84571912561847,1
TCGA-09-1661-01B,-0.942225752568125,-15.1252583468586,-2.18275167470829,1
TCGA-09-1665-01B,-1.62902642319267,-26.984890850053,4.36970532544434,1
TCGA-09-2044-01B,-5.67287089477734,-20.7444279396816,6.17236829885073,1
TCGA-09-2053-01C,-8.3819994805147,-17.2853243896026,-10.8061639085757,1
TCGA-10-0928-01A,6.65476601411967,-12.8301263642835,-3.01445457840646,1
TCGA-10-0936-01A,-13.9746089620741,-8.76842824754548,-10.3666319107417,1
TCGA-13-0724-01A,-14.9210083072506,-9.77556286121351,-11.4339738281654,1
TCGA-13-0726-01A,-7.30633611492957,-15.2677081638058,0.107177829227223,1
TCGA-13-0727-01A,-11.6206192237768,-17.1107010193987,-11.5441770254113,1
TCGA-13-0762-01A,-6.03436722769106,-19.1152287351836,-1.60338492934721,1
TCGA-13-0768-01A,-2.34331271729295,-24.3163108091844,-0.681083539390104,1
TCGA-13-0804-01A,-4.41255918672988,-26.3119209494131,-4.6516675077792,1
TCGA-13-0886-01A,-13.4410744205008,-23.7854646963003,1.61692313208203,1
TCGA-13-0887-01A,-17.9593430509158,-22.9705053832246,2.59862120147699,1
TCGA-13-0888-01A,-5.00159279270264,-17.7470578122635,-3.60872890061314,1
TCGA-13-0901-01B,-13.7244856302726,-8.56528744341793,-10.6874977388702,1
TCGA-13-0905-01B,-9.25363736461494,-20.0048107813929,-6.50619690221285,1
TCGA-13-0911-01A,-11.2081987429818,-20.883297597239,0.0375796319677954,1
TCGA-13-0923-01A,-15.3498064548682,-26.2367044922145,-2.65080641444362,1
TCGA-13-1403-01A,-7.23251524467377,-17.4564152425,-5.02088104429397,1
TCGA-13-1408-01A,-6.62603582064567,-24.4789782899268,-1.12630807293126,1
TCGA-13-1409-01A,-6.67310739022633,-14.2415669400174,-4.69223550712979,1
TCGA-13-1410-01A,-2.98402641435761,-20.5007712239331,4.75422441445543,1
TCGA-13-1411-01A,-9.45114558613867,-26.7981050006896,-1.50189231185575,1
TCGA-13-1477-01A,-1.98821538601182,-16.1170084866748,1.24161025643754,1
TCGA-13-1485-01A,-6.95218402957083,-20.1439850309307,-4.69334771494628,1
TCGA-13-1487-01A,-4.96604159609192,-15.1717677061622,0.416013092957738,1
TCGA-13-1488-01A,-11.4947039258243,-20.3389149453893,0.133650873714858,1
TCGA-13-1489-01A,-8.08048466079737,-18.6543357848252,-6.32594207568808,1
TCGA-13-1496-01A,-4.16389202138553,-19.112499323221,-1.3749718199647,1
TCGA-13-1499-01A,-7.44840788249009,-18.1191292955429,-0.852748541392718,1
TCGA-13-1501-01A,-5.06703278618527,-14.8920413655347,-2.8429812494385,1
TCGA-13-1506-01A,8.66340335849635,-8.51575188988849,-4.51165736513577,1
TCGA-13-1509-01A,-2.01670829349687,-21.5527180441895,-4.31093467364839,1
TCGA-13-1510-01A,-3.84336060881568,-14.8884028931801,0.652333309076976,1
TCGA-13-1511-01A,-4.90478075843544,-15.9101012688874,-1.43718150233403,1
TCGA-20-1683-01A,-3.9036259101211,-19.1597639964366,2.02161849621182,1
TCGA-23-1022-01A,0.808363608918681,-13.8279846439946,-3.30790854043456,1
TCGA-23-1023-01A,-7.62695822111873,-21.9498125615349,-3.35124508910877,1
TCGA-23-1024-01A,-16.7091232340355,-9.20383530914517,-11.8988990365244,1
TCGA-23-1109-01A,-20.4589558771565,-26.7291930551423,3.0199366080125,1
TCGA-23-1113-01A,-10.409936229119,-14.1488268092188,-7.62983590785094,1
TCGA-23-1120-01A,2.51933408129975,-15.0345216529995,-0.666345645414155,1
TCGA-23-1122-01A,-8.03881475608433,-15.1347566489395,-7.26791522621614,1
TCGA-23-1809-01A,-10.4627428966741,-17.1298309679483,-5.9922287857396,1
TCGA-24-0968-01A,-17.8930051783095,-24.8909902890783,-0.702839269224964,1
TCGA-24-0982-01A,-2.41647456437645,-14.0072082028233,-0.570889654576501,1
TCGA-24-1104-01A,-14.7849359839336,-25.1585551972203,-0.255284624279416,1
TCGA-24-1105-01A,-3.20891720908839,-12.8076496041594,-2.2473040889792,1
TCGA-24-1413-01A,-1.4139833228405,-16.0543476826407,0.369346525922324,1
TCGA-24-1423-01A,-16.9488499783861,-29.0633121459841,-0.903704750850879,1
TCGA-24-1426-01A,-11.8844944360049,-7.3170721905775,-10.1579763289843,1
TCGA-24-1430-01A,-18.6969954038287,-27.4717483368657,-2.00992492193392,1
TCGA-24-1469-01A,8.58596215657006,-11.451987250649,-4.72056593445082,1
TCGA-24-1470-01A,-5.66432453238555,-19.349166673657,-6.78684603578643,1
TCGA-24-1544-01A,-17.968104326921,-25.8164189616458,1.84623359174331,1
TCGA-24-1551-01A,-21.3316555372239,-23.7988601400377,2.23109288444021,1
TCGA-24-1553-01A,-3.78138141371525,-10.5509377207634,1.19078174656813,1
TCGA-24-1557-01A,-21.2698506045255,-22.7816473282508,-0.367636494233333,1
TCGA-24-1560-01A,-7.48835371483199,-17.2080069116167,6.6375973591928,1
TCGA-24-1565-01A,-13.5045498062029,-29.6803344156152,3.79450289834876,1
TCGA-24-1603-01A,-16.7375630794265,-27.7922815876365,2.2209891541587,1
TCGA-24-1843-01A,-6.50917767844238,-18.8756132546691,2.96340612369992,1
TCGA-24-1923-01A,-10.3257033549873,-16.4225481020503,-8.71951239142741,1
TCGA-24-1928-01A,-11.2069697993932,-13.0162868192684,-11.0760118510957,1
TCGA-24-1930-01A,-10.6851502150788,-18.0633209369578,-2.44556502579063,1
TCGA-24-2254-01A,-20.3343002771331,-24.5314575844866,-0.928572544796153,1
TCGA-24-2280-01A,-15.815172413662,-26.8789550601893,-2.80611090952463,1
TCGA-24-2297-01A,-15.777218523456,-26.2866060782436,1.75006835980048,1
TCGA-25-1319-01A,-12.9273065233676,-14.695574029139,-4.63503659581209,1
TCGA-25-1320-01A,-2.12194464772649,-15.5394940733717,-0.579273045338196,1
TCGA-25-1323-01A,-9.27504723557545,-16.4986597713333,-9.05106955522991,1
TCGA-25-1635-01A,-4.88483146503444,-22.0647861824547,1.89054577066306,1
TCGA-25-2393-01A,-5.50294927519781,-16.8134919034653,-2.96915600510771,1
TCGA-25-2398-01A,-3.2769368264031,-16.1317819668731,0.968286795349814,1
TCGA-25-2404-01A,-5.27777466783362,-18.6849166617202,2.59507740067189,1
TCGA-29-1688-01A,4.59161122940264,-10.5753852003361,-3.00678790480638,1
TCGA-29-1697-01A,-9.25115649082402,-15.6423995198762,-8.49294147195966,1
TCGA-29-1710-01A,-5.14779009626719,-16.2824566281282,-2.29952629164509,1
TCGA-29-1711-01A,-20.9079220155943,-26.6318756767206,2.09874518612272,1
TCGA-29-1769-01A,-13.1530972606658,-23.3433686086889,3.25407153002929,1
TCGA-29-1783-01A,-15.702476684397,-27.7671404310716,1.38396111633475,1
TCGA-30-1714-01A,-1.52084796239195,-14.6884646172396,-1.72596168659279,1
TCGA-30-1853-01A,-6.16473575817143,-16.9751032406922,4.80807433429695,1
TCGA-30-1866-01A,-9.85141282059083,-18.9485526358025,-1.54144316248038,1
TCGA-31-1950-01A,-10.400959255107,-17.4898595007984,-7.407816482124,1
TCGA-36-1576-01A,-6.82240361603853,-21.5118919400368,-4.89516431432208,1
TCGA-36-1580-01A,-8.67073602498199,-25.5960054821002,-0.678913567578874,1
TCGA-36-1581-01A,-7.28918020352966,-17.9967530761836,-3.42948548706792,1
TCGA-57-1993-01A,-8.11633593776497,-24.2716502495322,-0.659271915602695,1
TCGA-57-1994-01A,-17.1349403709806,-29.2774213003052,1.81447182240544,1
TCGA-59-2350-01A,-14.6150186651002,-14.7747505065781,-11.1156136464179,1
TCGA-61-1721-01A,-1.9695790433481,-17.2200828392593,0.933564441881904,1
TCGA-61-1737-01A,-0.922578117486416,-23.0831779093494,9.20648079133157,1
TCGA-61-1911-01A,-4.03234623519564,-16.8937443826381,3.27455776008177,1
TCGA-61-1914-01A,-4.02097994395518,-24.2711282627247,6.89970781402691,1
TCGA-61-1995-01A,-11.3303750005116,-11.949247341271,-11.9417286152677,1
TCGA-61-2003-01A,-4.88798315148466,-23.7856994526488,-1.00737811190457,1
TCGA-61-2012-01A,-10.250613662933,-19.4434531582701,-3.59238130241808,1
TCGA-61-2088-01A,-7.38836787465259,-21.3654193267802,-5.64370677131831,1
TCGA-61-2101-01A,-3.85687014955083,-16.7160882886199,1.25511159851452,1
TCGA-61-2109-01A,-15.2386085835467,-8.54246075544838,-9.58527230887007,1
TCGA-61-2113-01A,-13.1725253327279,-20.4136324856877,-9.95851736021079,1
TCGA-OY-A56Q-01A,2.32917267801545,-11.5275850341891,-0.9594026699075,1
TCGA-VG-A8LO-01A,-14.7635634092537,-9.9872400953417,-8.26315633356856,1
TCGA-04-1331-01A,20.2647167413444,23.3258481454442,48.6045336191459,2
TCGA-04-1341-01A,20.1326244926957,22.241697145135,47.856367344057,2
TCGA-04-1356-01A,19.1805896557562,24.9561347351803,49.0211179947362,2
TCGA-04-1357-01A,15.531996966544,16.7810255869585,47.4393514420719,2
TCGA-13-0891-01A,23.2637811761332,27.3822094745826,45.6912249906762,2
TCGA-13-1495-01A,19.1456967861243,22.8828155815892,44.4307300259578,2
TCGA-13-1497-01A,17.2450479060493,22.6771345892609,48.8757570845411,2
TCGA-13-2060-01A,24.234323708821,24.1554410831932,43.8524264290222,2
TCGA-13-A5FT-01A,14.3690909579002,26.5818510253016,49.128097396569,2
TCGA-20-1682-01A,21.4987701947994,27.4330018495129,43.3536300828845,2
TCGA-20-1686-01A,18.5409648760276,22.0690947933408,47.5436178030336,2
TCGA-23-1107-01A,21.6899802503318,19.4520845264004,45.2945876284748,2
TCGA-23-1114-01B,21.3406562382343,15.1667099503722,47.0683992219263,2
TCGA-23-1123-01A,16.4679760229579,17.6236007363131,45.0518523563187,2
TCGA-24-0966-01A,21.3701050822066,19.009994244148,50.1314060355036,2
TCGA-24-1558-01A,20.013232981721,23.3722972656168,45.0352103309494,2
TCGA-24-1616-01A,13.756366737861,19.9793647615496,49.6135149948675,2
TCGA-24-1847-01A,16.366878752737,14.7018628292279,43.0194570359843,2
TCGA-24-1924-01A,13.9289644753774,23.6422181997857,50.7999685646286,2
TCGA-24-2027-01A,22.1787237203327,25.0596692051909,44.7211591713965,2
TCGA-24-2262-01A,26.1329083282824,21.7504647351017,47.3497309880198,2
TCGA-24-2281-01A,15.3000435743838,24.4364108360338,48.7382831540995,2
TCGA-24-2298-01A,19.8620660951544,11.9407005114913,47.4280146241955,2
TCGA-25-1312-01A,16.5119813781981,18.148837003262,51.0835855204524,2
TCGA-25-1313-01A,15.5899090539039,22.5536729962297,47.4835235494683,2
TCGA-25-1315-01A,20.2626063033349,21.9897251354299,48.4921271132188,2
TCGA-25-1318-01A,16.9414218134201,19.0735738722396,49.9848675712786,2
TCGA-25-1321-01A,19.2073037893276,17.5313943270291,49.1914188250681,2
TCGA-25-1627-01A,15.2311832542476,22.721694072858,50.6091052119096,2
TCGA-25-1633-01A,16.0673053347292,25.5720192195637,49.7134913582311,2
TCGA-25-2392-01A,18.8260865481229,21.3375063195899,46.7663604263521,2
TCGA-25-2400-01A,16.7847769828082,22.4547744119353,51.0117477901951,2
TCGA-29-1695-01A,14.103011435232,14.5895972931977,49.1589366076476,2
TCGA-29-1766-01A,22.989862080655,24.5420982872901,44.7908581709819,2
TCGA-29-1784-01A,17.3996112408491,22.5169519529557,48.3454063303168,2
TCGA-29-A5NZ-01A,21.6101549410412,24.0795455118805,45.136818785535,2
TCGA-30-1860-01A,17.7185701479923,22.3597340107098,49.9947344849626,2
TCGA-30-1861-01A,22.2517626285953,24.7871461310783,45.799492092431,2
TCGA-57-1586-01A,15.554352629298,26.3871330162866,49.5506868657938,2
TCGA-59-2352-01A,17.5280164630085,24.5203852938398,49.5066241725467,2
TCGA-59-2355-01A,16.8919714886927,26.7760443700972,47.7397691011498,2
TCGA-5X-AA5U-01A,22.3781944643576,16.556193615919,46.3384469014907,2
TCGA-61-1724-01A,18.9991118725207,21.9159490187593,49.7587034006972,2
TCGA-61-1919-01A,16.3629853172821,21.2826218713559,47.2696759593412,2
TCGA-61-1998-01A,23.5031341877049,26.3865614167842,41.4022398015111,2
TCGA-61-2111-01A,22.1363325894824,25.7087473006513,43.7528702286507,2
TCGA-04-1361-01A,-7.91585883528725,7.89986667424284,3.6339493526625,3
TCGA-04-1364-01A,-4.79675453566806,3.84412131876774,-4.83366231149446,3
TCGA-09-0367-01A,-8.37730006634247,13.3063284439189,-1.16702520216977,3
TCGA-09-1659-01B,-15.6946780690404,1.39030425673112,-1.47453821122703,3
TCGA-09-1662-01A,-3.63466553852424,3.71701379284404,-3.45906309322563,3
TCGA-09-1666-01A,-11.1545195867835,3.95839295078121,-3.8653431907688,3
TCGA-09-1667-01C,-8.2288971437244,10.057776173381,-9.1125729006283,3
TCGA-09-1668-01B,-4.79490892290627,12.5148547329849,-7.34359319544139,3
TCGA-09-1669-01A,-4.87638886134721,13.5698228443236,-5.76499744650881,3
TCGA-09-1670-01A,-3.90967523597072,10.7922219669491,-10.2832241363168,3
TCGA-09-1673-01A,-4.09116832401934,7.84980865771753,-2.76729632725598,3
TCGA-10-0927-01A,-17.7663226346571,11.6133155369753,-7.7498939136811,3
TCGA-10-0931-01A,-10.9685923561665,9.81136566353428,-1.01158660630898,3
TCGA-10-0937-01A,-3.23620577318173,14.0367902198766,-11.1399396395835,3
TCGA-10-0938-01A,-11.1906154716879,15.248767012663,2.35507355496782,3
TCGA-13-0714-01A,-11.6609128396192,4.91661925824324,-6.90518599987009,3
TCGA-13-0720-01A,-6.86361353671568,8.51968759015976,-2.49577657501614,3
TCGA-13-0725-01A,-4.51982481140391,3.59301303888885,-11.8605987112548,3
TCGA-13-0766-01A,-13.8038413053755,6.14505589029181,-0.490942526807511,3
TCGA-13-0795-01A,-14.2683992627468,6.42909756570729,-2.42538874455188,3
TCGA-13-0797-01A,-4.21255691975857,11.1509324044732,-9.26292957655737,3
TCGA-13-0883-01A,-4.1566933086835,9.86180236345226,-5.67054415398557,3
TCGA-13-0884-01B,-9.44514181924593,13.844844939783,3.46929917999568,3
TCGA-13-0885-01A,-11.25929217935,14.1546355920921,-13.9662914036445,3
TCGA-13-0893-01B,-12.8086432337301,14.6931444215492,4.5294188043766,3
TCGA-13-0916-01A,-10.2739944536491,16.5546172783786,4.95953743254079,3
TCGA-13-0920-01A,-14.6887403151688,15.2162174569161,2.83167752841547,3
TCGA-13-0924-01A,-7.168454149179,5.64810066375653,-8.93233325364484,3
TCGA-13-1404-01A,-1.10074475798186,14.501225495503,-9.09116478202513,3
TCGA-13-1483-01A,-6.85556899618227,6.22512718770014,-6.96614119403147,3
TCGA-13-1498-01A,-20.326371744325,11.6555116460983,-6.34321681248861,3
TCGA-13-1507-01A,-15.7056219563211,3.55237748056747,0.412890194076485,3
TCGA-20-0987-01A,-17.0835501700289,6.49466529020432,-1.18787400842152,3
TCGA-20-0991-01A,-11.0778064060531,14.7173089785966,-0.220968834239605,3
TCGA-20-1687-01A,-6.89600520052887,8.58511320688785,-1.33317043590805,3
TCGA-23-1021-01B,-10.7969040721549,7.66808713400732,-0.625079596078204,3
TCGA-23-1026-01B,-6.61099322836257,11.0367950690952,-1.83410641023806,3
TCGA-23-1027-01A,-7.58823602496786,8.98591772979319,-8.88828614820747,3
TCGA-23-1028-01A,-5.09347723371339,11.6554309717052,-7.00941232703822,3
TCGA-23-1029-01B,-7.88856528951186,10.5731134044778,-16.275061847289,3
TCGA-23-1030-01A,-5.34376107235973,9.68059344826563,-0.0759467334614386,3
TCGA-23-1110-01A,-11.8419473397296,16.5058593894131,2.25594454839542,3
TCGA-23-1111-01A,-23.6719130098345,-0.214359378712405,-7.97124738052799,3
TCGA-23-1116-01A,-12.6942874552789,10.1512697668022,-5.41017150895688,3
TCGA-23-1118-01A,-5.74094583355792,4.18483743222437,-9.32681908637003,3
TCGA-23-2077-01A,-8.38214121891106,11.9224088040925,0.321818298774694,3
TCGA-23-2084-01A,-9.44204597820734,12.23206602716,-10.9189538549608,3
TCGA-24-0979-01A,-17.1774416076447,9.97578121632768,-10.4610257422483,3
TCGA-24-1103-01A,-24.1127235229573,2.12059218384304,-3.99889139545791,3
TCGA-24-1416-01A,-10.2692334974325,8.24449128612324,-5.54692655889798,3
TCGA-24-1418-01A,-21.0122721507078,2.37205782193851,-8.2278055195614,3
TCGA-24-1422-01A,-8.16378253380457,13.3251834594803,-4.24059130712512,3
TCGA-24-1425-01A,-11.3063567793466,7.16810382127724,-6.11129355655795,3
TCGA-24-1427-01A,-4.14087420030603,0.561442876341494,-8.41370050336645,3
TCGA-24-1428-01A,-12.6356917193117,8.93688040680465,-5.36121393659355,3
TCGA-24-1431-01A,-6.03105311924982,10.2312015840686,-4.93767474085547,3
TCGA-24-1434-01A,-19.0926730325178,11.5435265272831,-11.6406149539376,3
TCGA-24-1435-01A,-9.73398535807298,11.8288969203757,4.45754780344869,3
TCGA-24-1464-01A,-13.3763326796322,11.6241305868935,-9.5821973616914,3
TCGA-24-1467-01A,-6.59133154028968,10.1202998611287,-9.97453002504741,3
TCGA-24-1471-01A,-6.15050309656912,12.3364259371777,-4.57579391637725,3
TCGA-24-1474-01A,-7.23341071862268,10.2246486485297,-2.03682782836916,3
TCGA-24-1546-01A,-19.0259600216742,-0.810669122826617,-10.9985919892668,3
TCGA-24-1552-01A,-16.6497398071498,11.4760960331897,-8.6239227673095,3
TCGA-24-1563-01A,-5.80685505684318,9.56134976058483,-6.18696543892275,3
TCGA-24-1567-01A,0.783522676043172,11.5106797606924,-5.68436315629913,3
TCGA-24-1604-01A,-8.30775256809588,9.78247741679723,-5.41922917494055,3
TCGA-24-1842-01A,-7.42117469997399,12.882948270258,-13.8899619522749,3
TCGA-24-1844-01A,-8.41019716228416,10.1154792933295,3.49740948128857,3
TCGA-24-1845-01A,-10.9327013625689,11.2202109263131,3.00578809889579,3
TCGA-24-1846-01A,-6.73683494104678,10.6196980475998,-6.09673390581713,3
TCGA-24-2023-01A,-13.6852425285443,5.24178170477851,-11.5420943381698,3
TCGA-24-2024-01A,-8.84505527617496,6.47563943434978,-5.73062778260027,3
TCGA-24-2026-01A,-10.5648705024125,12.3336105582927,3.82442805371527,3
TCGA-24-2033-01A,-6.22634383937748,8.97569353892152,-3.01716217009583,3
TCGA-24-2035-01A,-7.19652944110366,5.23869320632209,-4.16276751164277,3
TCGA-24-2036-01A,-18.2678281836224,-3.49818345129909,-5.69048673735592,3
TCGA-24-2038-01A,-5.17496033717331,10.9677748299172,-3.46071623699345,3
TCGA-24-2261-01A,-23.550857984887,5.26072068577808,-11.1490245539295,3
TCGA-24-2267-01A,-6.3177317291552,7.13176430487228,-10.5884508772114,3
TCGA-24-2288-01A,-9.69851998362218,15.5558807094306,-12.0961043247017,3
