Sample,X,Y,Z,Cluster
TCGA-04-1331-01A,-13.7967916462515,11.6445503926208,-9.0304668198328,1
TCGA-04-1343-01A,-19.3280500238986,31.4680019054047,-6.42862051809051,1
TCGA-04-1356-01A,-15.4322051210751,16.6246287500393,-15.366638475886,1
TCGA-04-1362-01A,-19.0656158394937,32.1209185973226,-7.36611643182473,1
TCGA-04-1365-01A,-9.72006856737167,21.2194531759177,-21.988933142899,1
TCGA-04-1514-01A,-10.0023978235956,21.9228492184679,-18.742513850811,1
TCGA-04-1530-01A,-8.91222765167918,17.9321417897769,-17.8622951516132,1
TCGA-04-1648-01A,-13.8763938470254,5.08079707030744,-9.45243892594499,1
TCGA-09-0369-01A,-9.11064247907025,18.2073645529604,-18.1761292839142,1
TCGA-09-1673-01A,-10.2176799059756,13.7197219328017,-16.7795183319737,1
TCGA-09-2045-01A,-16.8225563770018,17.3188611641518,-17.0414288002729,1
TCGA-13-0762-01A,-19.657321584234,28.5955150405386,-6.5891392661006,1
TCGA-13-0768-01A,-9.72792602426889,21.2401224211807,-22.0983484590609,1
TCGA-13-0888-01A,-9.63812063932197,21.0710675675476,-21.2477514357801,1
TCGA-13-0900-01B,-8.13118212546845,21.982840318861,-18.24000045686,1
TCGA-13-0905-01B,-11.9931611961207,15.8981361215703,-2.8298856147058,1
TCGA-13-0906-01A,-4.60297393958349,10.1385218721917,-18.8950763088029,1
TCGA-13-0908-01B,-10.4997093051762,4.65077975736556,-8.92215423423306,1
TCGA-13-1405-01A,-13.742914776715,4.01131189096843,-8.60683685771207,1
TCGA-13-1410-01A,-19.4488791781778,31.931532688342,-6.45096926210518,1
TCGA-13-1411-01A,-7.99758792490483,12.5978036978133,-16.9619508651928,1
TCGA-13-1483-01A,-7.9261668820554,18.5098393615122,-16.3540557019255,1
TCGA-13-1488-01A,-7.85117988388293,18.9196337549424,-15.4747696541074,1
TCGA-13-1495-01A,-8.79958959818108,21.4149816209138,-17.4709715362744,1
TCGA-13-1496-01A,-19.8063547020016,32.55807544492,-6.27693976975124,1
TCGA-13-1499-01A,-3.65533074995167,9.8605260973976,-18.3067569990536,1
TCGA-13-1505-01A,-8.90410274739075,21.4838605551319,-17.6181327335707,1
TCGA-13-1507-01A,-19.7523319251779,32.7680357341623,-6.46907353562476,1
TCGA-13-1511-01A,-13.4007866677742,4.44884753225489,-9.07767093773709,1
TCGA-20-1683-01A,-14.5967176809489,9.75789529370596,-9.65627523160082,1
TCGA-23-1027-01A,-7.81619559028468,17.6261459831273,-17.1136398665218,1
TCGA-23-1114-01B,-14.288190126346,18.3748921175908,-17.8120732405861,1
TCGA-23-1122-01A,-9.66810252122561,16.5713302735431,-17.7886357204023,1
TCGA-23-1809-01A,-13.1147714449348,16.6390477688744,-3.89857583741492,1
TCGA-23-2077-01A,-13.9151486351266,18.459897468032,-17.9687490357436,1
TCGA-24-0970-01B,-9.47942870810499,20.7382829992664,-20.3674947620371,1
TCGA-24-0982-01A,-19.7562902858147,29.0690852471804,-5.8726864756203,1
TCGA-24-1104-01A,-15.4866539011932,7.01181938354447,-8.89239188259077,1
TCGA-24-1417-01A,-12.132499680653,15.8417681476635,-3.04620498508031,1
TCGA-24-1419-01A,-4.9291388145454,10.7565212479016,-19.0073519226213,1
TCGA-24-1422-01A,-13.1907880872742,1.94683980211301,-8.64066309920177,1
TCGA-24-1430-01A,-14.0271601108822,11.0550894324615,-9.34331287289697,1
TCGA-24-1434-01A,-12.4836273209273,4.275640578627,-8.97834616810891,1
TCGA-24-1470-01A,-15.6691929326777,8.38344577114298,-10.1445390571504,1
TCGA-24-1549-01A,-9.14691004776593,12.5149642517685,-14.7130945870377,1
TCGA-24-1550-01A,-16.7624321528362,28.0879890604299,-10.8917984341614,1
TCGA-24-1553-01A,-15.2711075770094,7.9070047105087,-9.51207138125942,1
TCGA-24-1557-01A,-13.5546145230161,2.12822626076267,-8.20834532629847,1
TCGA-24-1558-01A,-19.5308780916468,30.1731091314076,-5.79676650855866,1
TCGA-24-1567-01A,-16.855607264964,28.062004615169,-10.9070256864303,1
TCGA-24-1842-01A,-15.4676777971736,5.85972950275305,-8.12085096833235,1
TCGA-24-1843-01A,-19.2372939963122,32.0866692166908,-6.926704335949,1
TCGA-24-1845-01A,-7.69128261812913,19.6496336409493,-14.7685663943743,1
TCGA-24-1928-01A,-13.4443393200273,2.53058966876811,-8.4652140727842,1
TCGA-24-1930-01A,-19.0186901616935,30.1419153763101,-4.78981940616704,1
TCGA-24-2026-01A,-9.02588320602904,13.8809327312492,-16.7247790167886,1
TCGA-24-2027-01A,-4.46362298359155,10.3338752124728,-19.5788059588404,1
TCGA-24-2035-01A,-13.8295770170482,17.3476925229081,-4.21827351962482,1
TCGA-24-2036-01A,-16.8798827754005,17.3361134194293,-17.1008005171475,1
TCGA-24-2261-01A,-13.9867177960175,17.5317069263737,-4.26870141293475,1
TCGA-24-2262-01A,-11.1057032102963,13.9635039978691,-13.7142305183195,1
TCGA-24-2280-01A,-9.27132795559855,20.8119020761863,-19.5251939951242,1
TCGA-24-2281-01A,-18.4163772859994,31.0758216053642,-8.12923246762604,1
TCGA-24-2289-01A,-9.05998938976171,15.3127223925923,-17.1244918450029,1
TCGA-24-2293-01A,-9.55690417109982,4.52588316013519,-8.86117379435512,1
TCGA-24-2297-01A,-13.4355855228196,12.2559531129072,-9.04230423505895,1
TCGA-25-1315-01A,-19.611012501255,30.1056485277324,-5.99708675688099,1
TCGA-25-1322-01A,-13.1289664872837,2.48594106366649,-8.91081039310022,1
TCGA-25-1323-01A,-18.928998598019,31.1858953810204,-6.75882577894305,1
TCGA-25-1326-01A,-13.197330634041,15.0619446545688,-5.21436874218413,1
TCGA-25-1626-01A,-15.4310317873421,12.9719794513402,-12.2661128415351,1
TCGA-25-1628-01A,-16.1722655793306,17.2195620197269,-16.6768901638741,1
TCGA-25-1635-01A,-8.28596993133959,12.826873728504,-15.9251178323778,1
TCGA-25-2042-01A,-13.3192356850671,14.8914902326554,-5.13718762092012,1
TCGA-25-2391-01A,-14.0135695295386,3.43937746273655,-8.33050078374771,1
TCGA-25-2393-01A,-7.56117079756834,19.5853071324069,-15.0146311789899,1
TCGA-25-2398-01A,-8.78130385571148,17.7396515373238,-17.0978015434664,1
TCGA-25-2400-01A,-16.4367420727945,26.9152871182597,-11.8397763774089,1
TCGA-29-1691-01A,-8.85612171564806,17.9206512125446,-19.0556898845337,1
TCGA-29-1697-01A,-9.07208170569067,20.9163853918336,-19.3160119594131,1
TCGA-29-1710-01A,-19.7697256674221,31.3455482432156,-4.0916453580429,1
TCGA-29-1711-01A,-4.8553657243825,10.4158501422446,-18.5283517759017,1
TCGA-29-1762-01A,-7.42629044110241,19.4185564430214,-15.4326296813048,1
TCGA-29-1763-01A,-13.05225197435,14.6171676785566,-6.7180103755015,1
TCGA-29-1783-01A,-19.4919566324904,29.6372544708794,-5.30938382071971,1
TCGA-29-2425-01A,-7.18522258653183,16.6665051682733,-16.902667464775,1
