Sample,X,Y,Z,Cluster
TCGA-09-0366-01A,-58.7033850310806,-126.975844751076,-175.63055226886,1
TCGA-09-2045-01A,-56.5898193492648,-142.783462186471,-172.605713730884,1
TCGA-13-0726-01A,-52.5397930731026,-124.824343185548,-157.782872234195,1
TCGA-13-0911-01A,-49.6451371768642,-129.392146620352,-167.837906993518,1
TCGA-13-1408-01A,-66.3754764654459,-131.100289726748,-159.381583678921,1
TCGA-20-1682-01A,-66.7282366416466,-128.074081180396,-158.584433797552,1
TCGA-23-2078-01A,-74.4121303830337,-129.239537766383,-168.29907051271,1
TCGA-24-1423-01A,-64.0485538236025,-139.128945740044,-168.366980725977,1
TCGA-24-1425-01A,-68.0111589139053,-124.566769025583,-155.351287057148,1
TCGA-24-1563-01A,-69.4566676399754,-128.861778255941,-180.131965272553,1
TCGA-24-2288-01A,-73.2397367501625,-141.848985879837,-166.611533293957,1
TCGA-25-1318-01A,-57.4439603607024,-135.253440961175,-172.854321866424,1
TCGA-25-1326-01A,-68.5224907162041,-132.520038869494,-162.872655601667,1
TCGA-25-1630-01A,-59.3578379471168,-121.1482158436,-168.864264737148,1
TCGA-25-1633-01A,-56.3662218859459,-137.833619506936,-165.229389659964,1
TCGA-29-1690-01A,-70.0557956067874,-127.536632776238,-167.965698006186,1
TCGA-29-1694-01A,-67.082375033003,-126.402861164891,-168.253327647745,1
TCGA-29-1711-01A,-61.4522507744877,-120.154300809392,-163.622806638766,1
TCGA-29-1769-01A,-54.8114426794937,-119.42694484939,-166.357704019108,1
TCGA-31-1951-01A,-55.7836851501679,-133.775405909619,-166.224490213709,1
TCGA-36-1569-01A,-52.4271381288445,-131.136942422174,-166.3482064608,1
TCGA-36-1574-01A,-50.962428990018,-117.707861225252,-167.751081472296,1
TCGA-61-1721-01A,-64.2027884977149,-138.079663206719,-173.443649632059,1
TCGA-VG-A8LO-01A,-62.7040553038272,-143.608395248356,-160.46087091548,1
TCGA-04-1331-01A,18.3843950810476,-204.923642305133,-119.673504001459,2
TCGA-04-1343-01A,15.5109465632646,-183.237678125239,-119.407249673857,2
TCGA-04-1357-01A,10.2539790854613,-202.951726613542,-116.7717002417,2
TCGA-04-1362-01A,11.1809651374482,-197.123811155222,-136.042321063644,2
TCGA-04-1648-01A,9.95962688221589,-201.228779780923,-110.871289672142,2
TCGA-04-1651-01A,23.4886665227857,-202.005360850462,-126.733997083646,2
TCGA-09-1659-01B,19.8034835351724,-202.657723522893,-126.612762098814,2
TCGA-09-1661-01B,22.2635287382291,-200.469557508958,-129.312968104065,2
TCGA-09-1669-01A,21.3380120881845,-207.741700515027,-116.420365934718,2
TCGA-09-2044-01B,5.91318973477923,-193.589672391638,-124.390565070918,2
TCGA-09-2051-01A,11.7743104604257,-193.024640153,-132.380989087318,2
TCGA-10-0931-01A,13.4964612471707,-194.416947004238,-131.604835601232,2
TCGA-10-0933-01A,14.3735933890886,-205.703290815344,-122.178661538933,2
TCGA-10-0938-01A,18.9614195877208,-194.077911889861,-135.759524161724,2
TCGA-13-0725-01A,7.67988700187592,-196.076098363951,-115.622504899641,2
TCGA-13-0730-01A,17.1520987426573,-185.312128374852,-129.616554377955,2
TCGA-13-0797-01A,30.036753314774,-197.27300956236,-114.652704168704,2
TCGA-13-0884-01B,4.60794761724107,-195.930528155524,-119.560898757701,2
TCGA-13-0885-01A,17.0831688933566,-183.5919551307,-120.309326116123,2
TCGA-13-0887-01A,15.0703093200042,-192.699584062282,-111.657980771553,2
TCGA-13-0888-01A,5.71947342393479,-205.49967824045,-118.132676330916,2
TCGA-13-0897-01A,12.4923685469299,-201.813449007306,-110.451586931873,2
TCGA-13-0901-01B,26.8974877585918,-193.322893081499,-132.611992344574,2
TCGA-13-0908-01B,14.4936863670424,-199.680529044336,-119.028232484746,2
TCGA-13-0916-01A,30.0090151725746,-189.089339108907,-116.278237976129,2
TCGA-13-0920-01A,23.904245579269,-205.494914005025,-124.664383479367,2
TCGA-13-0923-01A,19.6340496660011,-199.492638394619,-130.337342105848,2
TCGA-13-1403-01A,19.0804052530141,-190.105798140654,-128.368815617169,2
TCGA-13-1405-01A,15.1977687357279,-198.974002649493,-107.76903999756,2
TCGA-13-1410-01A,16.8199601652037,-198.293972504216,-113.271257756041,2
TCGA-13-1483-01A,15.3303326316572,-195.917383922178,-122.402007220771,2
TCGA-13-1488-01A,8.57128524736261,-201.990890950585,-124.842126980342,2
TCGA-13-1489-01A,19.2894491088151,-260.172569852765,-150.885654197466,2
TCGA-13-1492-01A,24.1612086882202,-187.470308057855,-136.480055294817,2
TCGA-13-1498-01A,11.0524495503138,-187.801193361046,-117.581232493888,2
TCGA-13-1505-01A,17.9815913180861,-187.448616884166,-148.085946249915,2
TCGA-13-1506-01A,11.031508128598,-200.425682748654,-130.75364507741,2
TCGA-13-1507-01A,16.7299337584688,-191.113654618383,-135.723353286286,2
TCGA-13-1509-01A,26.310202650226,-197.993846483481,-121.881963531851,2
TCGA-13-1510-01A,24.7195669278266,-193.554075310526,-132.054499816001,2
TCGA-13-A5FT-01A,11.4815703694858,-195.424034384506,-120.070276486768,2
TCGA-20-1683-01A,14.4990591203377,-203.762105149857,-119.21335927461,2
TCGA-23-1024-01A,20.5177565641161,-192.282970658218,-114.036619448292,2
TCGA-23-1027-01A,22.7304975593523,-201.973496472115,-116.947110665533,2
TCGA-23-1107-01A,17.1627836302146,-189.132077144047,-117.288185086571,2
TCGA-23-1113-01A,26.1285697991521,-200.648895330354,-121.187144925434,2
TCGA-23-1114-01B,25.068981894506,-160.966878259094,-197.2148588793,2
TCGA-23-1116-01A,23.787879582247,-250.025820128956,-247.794168337291,2
TCGA-23-2084-01A,15.3891759323605,-201.649011104067,-122.50232178309,2
TCGA-24-0970-01B,24.4913696738557,-187.973139901784,-115.017969666271,2
TCGA-24-1103-01A,9.79752025050863,-182.815672153215,-138.892605850602,2
TCGA-24-1413-01A,30.6113951167955,-213.644893846306,-102.265731340285,2
TCGA-24-1418-01A,18.2615227187167,-206.255041391749,-124.796227411607,2
TCGA-24-1431-01A,26.003101883137,-207.907851187378,-119.311536638124,2
TCGA-24-1470-01A,11.396647064879,-195.852232165245,-132.054586090718,2
TCGA-24-1471-01A,22.4414547797471,-206.342052257933,-110.938645228942,2
TCGA-24-1474-01A,15.7809814785057,-202.319270339159,-120.817151420331,2
TCGA-24-1550-01A,24.6983736305673,-196.688931059825,-138.324223029435,2
TCGA-24-1562-01A,10.3808104736462,-202.892905681148,-121.611711397173,2
TCGA-24-1603-01A,20.2357282156911,-201.966374379435,-126.285604486451,2
TCGA-24-1604-01A,11.8662119848799,-209.505355741121,-116.198964656593,2
TCGA-24-1843-01A,8.27194747208103,-184.127099458898,-122.383379026733,2
TCGA-24-1845-01A,18.8294904506149,-185.292573838518,-116.793713304949,2
TCGA-24-1846-01A,16.605699600174,-192.019977404913,-116.42515521956,2
TCGA-24-1850-01A,25.1505684173924,-196.418569540372,-127.935391416898,2
TCGA-24-1924-01A,4.71482013509666,-195.44250270382,-139.30852596763,2
TCGA-24-1928-01A,25.7454465633456,-187.335564414751,-121.637391401111,2
TCGA-24-1930-01A,22.9300600833108,-195.371552684483,-136.246958839344,2
TCGA-24-2020-01A,24.6522086199293,-199.381707805536,-117.903696599044,2
TCGA-24-2027-01A,21.3920735015985,-193.877242967266,-120.59355944828,2
TCGA-24-2035-01A,9.74217658393609,-210.776731704193,-109.312459410255,2
TCGA-24-2267-01A,23.1019732664613,-205.489433891317,-122.172189375586,2
TCGA-24-2271-01A,25.6860628849289,-195.523501338012,-134.266808666268,2
TCGA-24-2280-01A,24.0479189645674,-187.722783583636,-136.373070589576,2
TCGA-24-2289-01A,30.6603232852376,-201.991945770816,-123.937270964006,2
TCGA-24-2290-01A,1.8449503952136,-201.839192209587,-119.507563025292,2
TCGA-24-2293-01A,27.7761128343618,-200.607490127643,-118.324585965223,2
TCGA-24-2298-01A,18.5980814370778,-188.40774469359,-146.742051835786,2
TCGA-25-1312-01A,11.3700068325646,-186.840576960758,-134.885554246719,2
TCGA-25-1320-01A,19.1836671944291,-193.194379824816,-125.736612192675,2
TCGA-25-1329-01A,18.4358368629913,-192.048077703752,-133.780595815554,2
TCGA-25-1628-01A,29.6656996017557,-191.865897396197,-131.964674928339,2
TCGA-25-1631-01A,20.4860720606493,-189.645082678138,-123.142312140905,2
TCGA-25-1634-01A,32.3716143402837,-195.829188659595,-121.346638126683,2
TCGA-25-1870-01A,18.7308413618156,-196.784710172694,-118.233201729862,2
TCGA-25-2042-01A,23.25321190015,-197.88425196766,-113.692245998999,2
TCGA-25-2391-01A,30.7371773162981,-192.888487355795,-113.124042254425,2
TCGA-25-2400-01A,13.2208924753105,-200.14696462675,-125.215920392322,2
TCGA-29-1691-01A,14.1599065634614,-185.794010113896,-119.80349406371,2
TCGA-29-1693-01A,25.7536727484556,-193.117563639856,-138.890126432969,2
TCGA-29-1696-01A,28.4008579898155,-198.674581668861,-131.304195087095,2
TCGA-29-1701-01A,2.61351906569553,-203.553021831478,-128.151140428205,2
TCGA-29-1761-01A,5.79789313797314,-204.732327124768,-125.688319873571,2
TCGA-29-1762-01A,10.6541532533366,-195.687957576908,-123.704358241609,2
TCGA-29-1766-01A,10.4708581581649,-204.191811038904,-115.505103546014,2
TCGA-29-1774-01A,16.3335032434281,-200.613851048212,-121.609209146417,2
TCGA-29-1777-01A,9.29475314555933,-198.950316702359,-137.215127976253,2
TCGA-29-1781-01A,12.0191290841745,-192.98644174686,-124.708416018912,2
TCGA-29-1783-01A,15.1652012976686,-189.529906732628,-144.461758850419,2
TCGA-29-1785-01A,21.6655749806232,-197.363883288876,-135.213276826409,2
TCGA-30-1718-01A,11.5067299306498,-194.507153533399,-112.289830626227,2
TCGA-30-1861-01A,9.87131564959841,-199.050583983514,-115.381427344752,2
TCGA-30-1862-01A,30.5273624251301,-190.807099357633,-142.299921092641,2
TCGA-30-1892-01A,21.6147716918286,-203.506026297401,-117.036399779793,2
TCGA-31-1944-01A,8.68398027009523,-202.558803732306,-124.899882961902,2
TCGA-31-1946-01A,20.1206544102124,-188.526698777757,-131.291684606137,2
TCGA-31-1953-01A,13.9790695239738,-182.182146617138,-157.91010342045,2
TCGA-36-1570-01A,19.1759765833997,-189.722428961806,-124.31129706432,2
TCGA-36-1577-01A,25.5766177489089,-191.371856956299,-112.243587020016,2
TCGA-57-1583-01A,6.99346029053145,-191.054675357832,-128.485972231323,2
TCGA-57-1993-01A,24.4420646394351,-222.116337681213,-86.6147460151061,2
TCGA-57-1994-01A,15.5775185776493,-196.499304008045,-137.340265805971,2
TCGA-59-2351-01A,9.68429889502186,-195.627083162267,-118.938386743208,2
TCGA-59-2355-01A,19.060492959679,-202.404329341341,-113.617965149279,2
TCGA-59-A5PD-01A,22.5991689958165,-201.092412265463,-112.227861616234,2
TCGA-5X-AA5U-01A,32.5701773420582,-191.456917404106,-121.165560985017,2
TCGA-61-1724-01A,15.4203018658726,-195.684133702299,-132.7443594952,2
TCGA-61-1733-01A,30.8869529400447,-196.679930227213,-131.898116514021,2
TCGA-61-1737-01A,6.11655370565685,-187.681564625715,-122.397141753121,2
TCGA-61-1900-01A,7.6047083588104,-192.913008666945,-118.761115246838,2
TCGA-61-1907-01A,12.3488580739078,-189.659340373562,-132.737235127652,2
TCGA-61-1910-01A,28.3837704258091,-197.322568057113,-122.155193187819,2
TCGA-61-2002-01A,27.5454678920256,-192.299604503241,-115.357890159998,2
TCGA-61-2008-01A,26.2657524179277,-212.532658393964,-109.390566764558,2
TCGA-61-2088-01A,24.8138242141965,-196.830275289958,-127.997876147465,2
TCGA-61-2097-01A,22.1297243250554,-198.455030417564,-124.574438392688,2
TCGA-61-2101-01A,20.4972850669786,-192.419734629044,-128.594188940294,2
TCGA-61-2109-01A,11.7150226624825,-196.684293798148,-134.647733434073,2
TCGA-OY-A56Q-01A,27.2425879636632,-196.87371372184,-137.187802927505,2
TCGA-04-1332-01A,1.78645359354871,131.368210290075,96.427415282489,3
TCGA-04-1338-01A,0.887955765517596,128.261701025397,90.7157944860297,3
TCGA-04-1341-01A,9.5308433873818,135.809852697175,83.5832030268549,3
TCGA-04-1347-01A,-7.28687044003361,139.074053420567,88.872686094552,3
TCGA-04-1350-01A,-7.87051784878487,119.999150486784,89.4812684313246,3
TCGA-04-1356-01A,-5.37973368447282,117.418246704473,104.987352968883,3
TCGA-04-1361-01A,-16.3286185310046,128.357287358739,97.6601179624332,3
TCGA-04-1364-01A,-6.17229936692614,133.904611599415,91.1929725908161,3
TCGA-04-1365-01A,-10.9141525943506,137.763057703368,84.5723194169783,3
TCGA-04-1514-01A,-10.9454896186181,123.96872249592,94.5075295311172,3
TCGA-04-1519-01A,-2.00510989516995,121.969438698726,99.4959727729475,3
TCGA-04-1530-01A,8.70734423380901,143.879870888652,88.7727950850704,3
TCGA-04-1536-01A,-19.8257549069299,121.510159695987,80.776360025704,3
TCGA-04-1542-01A,-14.2247411974701,131.050341500121,94.7537217283296,3
TCGA-04-1655-01A,-2.43377489953995,127.359899237144,88.3537388180471,3
TCGA-09-0364-01A,-3.89700058228045,130.89041528067,76.8066972943936,3
TCGA-09-0367-01A,1.78289838140884,131.992493071359,98.9836014414591,3
TCGA-09-0369-01A,8.68879504862628,120.652756582532,90.3981657247763,3
TCGA-09-1662-01A,0.0694035324556398,120.524599857265,94.223464311321,3
TCGA-09-1665-01B,-2.76425386343897,121.958376640933,103.257257631868,3
TCGA-09-1666-01A,4.78888058190737,119.775725280143,78.4176923589803,3
TCGA-09-1667-01C,2.52449893921239,121.088192331001,101.795025136969,3
TCGA-09-1668-01B,-7.60985184880004,141.827122904687,88.6770827475215,3
TCGA-09-1670-01A,0.318517790966236,124.017596386125,83.5956266763593,3
TCGA-09-1673-01A,-7.9372047408724,125.388677354023,92.8802122701076,3
