Sample,X,Y,Z,Cluster
TCGA-2J-AAB8-01A,-19.7088745533556,-5.95062091773543,12.2264918281883,1
TCGA-2J-AABA-01A,-10.8449530251645,-8.76885919745776,11.1860616481031,1
TCGA-2J-AABE-01A,-15.0243823681834,-9.47050481992972,12.3144735758695,1
TCGA-2J-AABF-01A,-18.6133806214121,-8.83898433970089,14.5227053020083,1
TCGA-2J-AABH-01A,-7.65587943321966,-10.7889020519364,10.834635708648,1
TCGA-2J-AABO-01A,-23.2125724040654,-4.97118231862531,10.4901262461878,1
TCGA-2J-AABR-01A,-13.9534010256058,-1.67531347161809,19.5434569430633,1
TCGA-2J-AABU-01A,-18.6202707443121,-15.1604251098488,19.5226171806063,1
TCGA-2L-AAQA-01A,-11.8931275124739,-9.7790596716841,14.397568602809,1
TCGA-2L-AAQE-01A,-17.6098658591382,-8.4089921372036,9.14101988315214,1
TCGA-2L-AAQI-01A,-22.460936977195,-3.23194849587399,20.4890354862922,1
TCGA-2L-AAQJ-01A,-13.7107072380403,-5.34703393454397,5.60759022856098,1
TCGA-3A-A9IH-01A,-14.3662119748238,-5.93832015958816,10.0469866320684,1
TCGA-3A-A9IR-01A,-22.6216349438819,-4.97689414192224,12.7596095438407,1
TCGA-3A-A9IX-01A,-15.7731645304698,-3.52664377293699,19.2671431890212,1
TCGA-3A-A9J0-01A,-19.6602248612779,-3.25196684826212,10.4210883975347,1
TCGA-3E-AAAZ-01A,-10.9104145149745,-11.4358954618363,18.5551699401546,1
TCGA-F2-6879-01A,-11.1897824802216,-8.00929513593468,13.1654382806702,1
TCGA-F2-7273-01A,-16.3308584793533,-4.3102858496399,21.2500034047423,1
TCGA-F2-7276-01A,-16.2364871789022,-2.48168786820927,19.1256922650633,1
TCGA-F2-A44G-01A,-11.1395944817132,-8.02650557462052,17.2775479854912,1
TCGA-F2-A8YN-01A,-12.2962031144802,-8.48847891672309,13.2473604273463,1
TCGA-FB-A4P6-01A,-12.279961290737,-0.49594669733905,19.4560297676801,1
TCGA-FB-A78T-01A,-8.63146039628378,-10.5707068675258,12.8145547786689,1
TCGA-FB-AAPQ-01A,-19.466472059523,-4.39374596700989,9.91200637592806,1
TCGA-FB-AAPZ-01A,-15.242395659137,-6.66516868295905,6.25092347008075,1
TCGA-FB-AAQ0-01A,-7.74919569824187,-3.29584247733264,17.8590477455936,1
TCGA-FB-AAQ2-01A,-11.1210874619412,-7.94493558973786,12.0140204734635,1
TCGA-FB-AAQ3-01A,-15.2660103968754,-5.30602366007075,23.7160846064579,1
TCGA-FB-AAQ6-01A,-9.15262204558594,-8.34431882403989,11.0414875754995,1
TCGA-H6-8124-01A,-10.4666608558584,-5.83238177917265,20.5325370174054,1
TCGA-H8-A6C1-01A,-9.88529182708474,-11.7907832460969,17.2429148719728,1
TCGA-HV-A5A3-01A,-17.7967902534911,-6.74440953564674,10.1881102213797,1
TCGA-HV-A5A4-01A,-9.45887268061234,-4.09964919348704,18.1342763294325,1
TCGA-HV-A5A6-01A,-19.9953436215596,-12.3403977240352,18.8582363393778,1
TCGA-HV-AA8X-01A,-21.1168746315146,-6.36088297853965,11.4220013557284,1
TCGA-HZ-7918-01A,-20.7659134661664,-4.13409457243782,20.2570477950305,1
TCGA-HZ-7919-01A,-20.7688991170114,-6.66069910036366,12.9678380362,1
TCGA-HZ-7922-01A,-14.7714338254173,-10.6234350646373,16.3986880396134,1
TCGA-HZ-7923-01A,-11.9066270615527,-10.8035475705146,18.6167609506232,1
TCGA-HZ-7924-01A,-11.4624756280375,-4.14227641347649,19.9661094728265,1
TCGA-HZ-7925-01A,-17.143570438528,-13.4583535273248,21.3346359265507,1
TCGA-HZ-7926-01A,-9.76334946530771,-6.69728782846835,17.3213953385191,1
TCGA-HZ-8002-01A,-14.428776193277,-2.98399579100401,18.4105414930102,1
TCGA-HZ-8315-01A,-14.1652754656331,-4.60100883136742,19.9898295763988,1
TCGA-HZ-8317-01A,-20.2319478062774,-4.60183602777191,23.6393243966843,1
TCGA-HZ-8519-01A,-7.2498402506583,-13.3912432915053,19.0865422256238,1
TCGA-HZ-8636-01A,-13.0887779621879,-9.49705146320262,13.3096616956878,1
TCGA-HZ-8637-01A,-19.5805689004084,-13.1179159943521,17.3945872904245,1
TCGA-HZ-8638-01A,-13.4379587272364,-5.03549522366648,19.1505569935923,1
TCGA-HZ-A49H-01A,-15.4086649008475,-3.55690134363799,26.6716592456163,1
TCGA-HZ-A49I-01A,-15.9871964734435,-11.6752765540747,17.0657111554106,1
TCGA-HZ-A4BH-01A,-18.7043616524271,-4.93063225247566,13.516535884598,1
TCGA-HZ-A4BK-01A,-21.1970855392318,-13.9183299977163,17.5296938667919,1
TCGA-HZ-A77Q-01A,-17.1094627115674,-14.5737422307187,21.0398905549895,1
