Sample,X,Y,Z,Cluster
TCGA-2J-AAB8-01A,-38.8729588219586,-20.2243380527399,0.507226668860191,1
TCGA-2J-AABA-01A,-42.022285779405,-37.5113860937995,-4.33319503901732,1
TCGA-2J-AABF-01A,-44.6741237110393,-31.1140319739094,-27.0327366344977,1
TCGA-2J-AABI-01A,-45.2885612345962,2.55332492056922,-25.7752612034256,1
TCGA-2J-AABO-01A,-26.0731681377333,-46.2462886302773,-14.8435907419945,1
TCGA-2J-AABP-01A,-56.7238364316478,-55.2452293066466,-13.2410988682159,1
TCGA-2J-AABR-01A,-67.2047121375928,-36.7085354282392,30.6246383924314,1
TCGA-2J-AABT-01A,-67.4839893729018,-52.629467693466,-49.9180403508901,1
TCGA-2J-AABU-01A,-55.5887583366914,-18.5359461739586,-42.7466899409048,1
TCGA-2L-AAQE-01A,-14.3476554059493,-21.7939270559521,9.46271653624778,1
TCGA-2L-AAQI-01A,-36.2959877358985,-27.7042628886939,-30.245295472965,1
TCGA-2L-AAQJ-01A,-36.6564858843673,-47.0412960755068,-0.977703975802847,1
TCGA-2L-AAQM-01A,-18.1159632575342,-0.98063818591378,-8.92443077664834,1
TCGA-3A-A9I5-01A,-26.4079380452461,-42.8525746182518,23.5966384439204,1
TCGA-3A-A9I7-01A,-22.5178530321617,-36.7541098215648,35.780251778512,1
TCGA-3A-A9IB-01A,-70.1090184208315,-36.5123446840762,-3.32558819223509,1
TCGA-3A-A9IH-01A,-38.1455980890221,-16.6765281758026,-12.920062178306,1
TCGA-3A-A9IJ-01A,-24.0807995627163,-16.6709451223505,10.055797413719,1
TCGA-3A-A9IL-01A,-75.9875274232031,-18.0887004626533,-16.8812327936607,1
TCGA-3A-A9IO-01A,-43.4197893034837,-21.1372359523517,-9.58859704904929,1
TCGA-3A-A9IR-01A,-48.8237368882465,-16.8046695880939,-18.674715155426,1
TCGA-3A-A9IS-01A,-45.3800540223138,-12.1268014362305,-9.07495023398005,1
TCGA-3A-A9IU-01A,-45.1008052564003,-44.8339135623087,-27.3464362067806,1
TCGA-3A-A9IV-01A,-74.9498307827986,-41.4971567754535,15.1225754188387,1
TCGA-3A-A9IX-01A,-53.928168515036,-49.3200505368406,19.0000181614937,1
TCGA-3A-A9IZ-01A,-85.1768350367925,-22.4164791952391,37.1497928849258,1
TCGA-3E-AAAY-01A,-59.9375210734244,-25.1320179013409,23.5004653089227,1
TCGA-3E-AAAZ-01A,-19.1258511191286,-45.2737504411786,5.98744043686333,1
TCGA-F2-6879-01A,-43.3875422561961,-20.8504976153278,-24.1044879953067,1
TCGA-F2-6880-01A,-49.1545837733911,-30.7902387504235,-5.10134246467442,1
TCGA-F2-7273-01A,-41.330414375317,-49.8777922707934,-9.24296277507703,1
