Sample,X,Y,Z,Cluster
TCGA-2J-AAB9-01A,211.485247875909,141.985907128434,118.625084228212,1
TCGA-2J-AABA-01A,209.623830038144,132.039720951859,119.108233513698,1
TCGA-2J-AABH-01A,222.521216568475,131.807751182828,113.200581512789,1
TCGA-2J-AABP-01A,214.551318293461,132.248841992934,121.319085538607,1
TCGA-2J-AABR-01A,211.941519684477,149.507208097795,124.467705837421,1
TCGA-2J-AABV-01A,202.526356598262,148.086891304615,121.618321025458,1
TCGA-2L-AAQJ-01A,207.922947748952,152.451977964474,119.217998513653,1
TCGA-3A-A9IB-01A,196.502027437463,155.636861725082,123.897817049113,1
TCGA-3A-A9IX-01A,212.387875022292,133.960629464396,111.115549778876,1
TCGA-3E-AAAZ-01A,198.874067357239,137.511014499137,125.822123800034,1
TCGA-F2-7273-01A,207.259938993384,137.039186604154,135.049867639758,1
TCGA-F2-7276-01A,217.089157125384,130.732810969227,116.00370797954,1
TCGA-F2-A7TX-01A,211.560404636058,130.738768882364,128.777567220792,1
TCGA-F2-A8YN-01A,210.428641632691,136.740691673517,131.474936791871,1
TCGA-FB-A5VM-01A,196.726650688032,155.501612143873,118.94729485857,1
TCGA-FB-AAQ1-01A,197.057405955668,142.233053458298,122.522066202777,1
TCGA-FB-AAQ2-01A,196.622931585159,151.099463792746,135.287201025717,1
TCGA-FB-AAQ6-01A,198.418290751551,142.021338053108,111.480749555004,1
TCGA-H6-8124-01A,208.572527493874,132.786691651619,115.145150195275,1
TCGA-H8-A6C1-01A,201.036815401666,123.611852288638,118.670430812168,1
TCGA-HV-A5A3-01A,218.750591284858,131.024770845135,130.184759556615,1
TCGA-HV-A5A4-01A,203.469019477487,142.523653978351,135.295718276972,1
TCGA-HZ-7922-01A,206.660548692187,146.389201673517,136.969320396627,1
TCGA-HZ-8002-01A,211.367846089702,130.471114585381,136.844734982455,1
TCGA-HZ-8005-01A,198.931549260839,155.937280489487,128.044387884756,1
TCGA-HZ-8317-01A,210.901493303277,131.727980464889,137.282580376227,1
TCGA-HZ-8636-01A,209.924788997857,140.928411708722,134.971379575193,1
TCGA-HZ-A49H-01A,203.60241900665,156.883315202746,129.362795024142,1
TCGA-HZ-A77O-01A,211.166217828007,141.451931363863,128.713639462623,1
TCGA-HZ-A77Q-01A,196.748330502956,152.786076836313,129.797671984418,1
TCGA-IB-7644-01A,196.462817601479,151.34861118861,134.960910391507,1
TCGA-IB-7645-01A,194.816246731053,139.787256992688,118.279062392524,1
TCGA-IB-7651-01A,208.927410206545,142.965134485807,115.885763702715,1
TCGA-IB-7654-01A,200.141863750602,140.210508838155,140.187874905901,1
TCGA-IB-7888-01A,198.963889823749,131.551947804552,130.564423072909,1
TCGA-IB-7889-01A,203.102428018939,145.13553976952,131.578803159644,1
TCGA-IB-7890-01A,202.462473618182,150.309078965129,130.261024486024,1
TCGA-IB-7891-01A,213.469985162072,138.685279863417,128.948351558858,1
TCGA-IB-7897-01A,220.070960585523,143.430835233858,118.645962516638,1
TCGA-IB-8126-01A,211.595393208494,133.613721594807,127.410182800996,1
TCGA-IB-A5SS-01A,194.477864846943,151.094054694162,121.072371689667,1
TCGA-IB-A5ST-01A,214.494151835205,150.678214629462,118.214578926274,1
TCGA-IB-A6UG-01A,212.060109586105,150.597869189295,124.254752778062,1
TCGA-IB-A7M4-01A,210.977355401668,146.776199341542,115.582742762314,1
TCGA-IB-AAUO-01A,210.473413608819,128.059812252368,124.087189208767,1
TCGA-IB-AAUR-01A,206.084928498897,150.311049343205,121.474970708128,1
TCGA-IB-AAUV-01A,211.002847174032,134.053942894267,133.316340192464,1
TCGA-IB-AAUW-01A,204.242758166217,144.152231843096,141.476617502087,1
