Sample,X,Y,Z,Cluster
TCGA-2J-AAB6-01A,101.499557402049,-95.1381465547373,129.518901938973,1
TCGA-2J-AAB8-01A,97.3701590644529,-93.978312361992,128.262452597738,1
TCGA-2J-AABE-01A,97.1836424540953,-96.6641759151857,127.757694148211,1
TCGA-2J-AABO-01A,96.8299910669525,-90.6706491532284,134.454117087984,1
TCGA-2J-AABU-01A,92.4372835803926,-97.6347492377355,127.110276978419,1
TCGA-3A-A9I7-01A,99.8752003077888,-97.7601909845543,131.464037255647,1
TCGA-3A-A9IB-01A,98.3099790655534,-92.0783377608612,127.287382399573,1
TCGA-3A-A9IC-01A,97.1345077807415,-96.6939599157754,127.742974569662,1
TCGA-3A-A9IU-01A,98.2516562414067,-97.2308204770407,126.106342245878,1
TCGA-3A-A9IZ-01A,92.8398036416079,-97.1625220258101,127.750355510551,1
TCGA-3A-A9J0-01A,99.9567916020811,-96.8277726862854,128.831856569574,1
TCGA-F2-6879-01A,95.8064602919784,-96.0656498423484,129.222813805497,1
TCGA-F2-A44G-01A,94.6505989475551,-96.3882815655352,128.792451625876,1
TCGA-F2-A44H-01A,100.190051226467,-94.7340471813791,132.811884541192,1
TCGA-F2-A8YN-01A,92.5410485008809,-97.5235397697474,127.252596624478,1
TCGA-FB-A7DR-01A,101.353436318277,-95.9600892543829,132.320795553636,1
TCGA-FB-AAPS-01A,99.5429601194506,-95.7762104251048,131.427983241354,1
TCGA-H6-8124-01A,95.0637070287086,-96.1225178717356,129.54760232291,1
TCGA-HV-A5A6-01A,92.5114637335755,-97.3010957833156,127.56041860541,1
TCGA-HV-AA8V-01A,99.7654692744155,-95.800250704287,131.38285232871,1
TCGA-HZ-7919-01A,93.3797864894453,-96.6378592717857,128.421419220974,1
TCGA-HZ-7922-01A,96.6722724235921,-95.1932191386195,130.99595699374,1
TCGA-HZ-7923-01A,96.457752612152,-91.3756710551236,136.043276184835,1
TCGA-HZ-7925-01A,97.8746716007666,-95.3492262343545,132.439788834947,1
TCGA-HZ-8001-01A,96.3377595477835,-92.5546074051522,134.53267105701,1
TCGA-HZ-8002-01A,95.9905181961019,-91.4064216236608,136.09076645611,1
TCGA-HZ-8003-01A,96.2234730017774,-92.885943347914,135.822011988461,1
TCGA-HZ-8005-01A,98.6126976086722,-97.1596843847351,131.79529739435,1
TCGA-HZ-8315-01A,97.6072564129626,-93.1955349540162,127.465591060932,1
TCGA-HZ-8636-01A,97.1752147229841,-95.3112236885302,132.366684350829,1
TCGA-HZ-A77Q-01A,99.9480763511161,-95.7532775101749,131.79856880179,1
TCGA-IB-7644-01A,94.1418600385327,-96.4280529484574,128.664518367951,1
TCGA-IB-7645-01A,96.1293632454557,-92.9904358990781,135.353393907373,1
TCGA-IB-7646-01A,96.4713385280899,-94.7052184008583,131.262273635009,1
TCGA-IB-7649-01A,95.8477190731353,-91.9606364920635,135.934415740549,1
TCGA-IB-7651-01A,96.3051460203502,-93.7964001745288,134.577463608974,1
TCGA-IB-7652-01A,95.7526100169262,-93.5192833611574,135.358795078218,1
TCGA-IB-7654-01A,96.75082084768,-93.8926118952954,136.205110051782,1
TCGA-IB-7885-01A,96.7952498494746,-95.6378600251535,130.623675880429,1
TCGA-IB-7886-01A,96.6707945303676,-94.9797192071919,130.297458760862,1
TCGA-IB-7887-01A,95.9231821267824,-96.0937933166062,129.13841359155,1
TCGA-IB-7888-01A,96.6165764665502,-90.970656188969,134.859030655924,1
TCGA-IB-7890-01A,97.8439712354773,-95.1896328063756,132.479103138563,1
TCGA-IB-7891-01A,96.1581289088598,-93.1013320905628,134.965285798155,1
TCGA-IB-7893-01A,96.9565785942428,-95.3066580286896,131.038731480786,1
TCGA-IB-8127-01A,98.2690397427576,-96.3297468069887,131.873855502727,1
TCGA-IB-A5SO-01A,98.4284421932958,-95.2954399037756,133.862939479267,1
TCGA-IB-A5SS-01A,100.748422426877,-95.8820957915072,131.891107541703,1
TCGA-IB-AAUP-01A,101.179623261283,-93.7373751890892,133.57859748355,1
TCGA-IB-AAUQ-01A,97.8086703263286,-92.8744526503913,127.338071222059,1
TCGA-IB-AAUS-01A,99.5056249254569,-95.5823890564068,131.932356774453,1
TCGA-IB-AAUT-01A,101.379780506151,-93.6872449893279,133.636520496697,1
TCGA-IB-AAUV-01A,98.6566607096706,-94.467146803002,133.183821238488,1
TCGA-M8-A5N4-01A,98.1169725125347,-97.2564312926959,126.130465119918,1
TCGA-PZ-A5RE-01A,97.5696572229296,-97.0814546925308,126.739295007783,1
TCGA-RB-A7B8-01A,100.352148979194,-95.3889468517073,129.563769099805,1
TCGA-US-A774-01A,97.5564927145022,-95.5289227577714,132.089811175439,1
TCGA-US-A77E-01A,100.477385667001,-95.354219115411,129.37978247463,1
TCGA-XD-AAUG-01A,98.2948819525739,-94.8937852617564,133.857402788456,1
TCGA-XD-AAUL-01A,100.144629167721,-95.7412808016509,130.964892750446,1
TCGA-YB-A89D-01A,98.8884109127734,-95.8967206315339,134.003873480182,1
TCGA-YH-A8SY-01A,99.8090181284769,-96.0267112811914,130.422552311775,1
TCGA-2J-AAB1-01A,-57.2728546236523,58.1015620777135,-89.3873610367982,2
TCGA-2J-AAB4-01A,-57.1992730159636,57.1764811816798,-89.2270724670114,2
TCGA-2J-AABF-01A,-63.8864553503221,62.1158918878096,-88.2817688701544,2
TCGA-2J-AABH-01A,-61.1491683259451,51.3638989926497,-89.4168441468101,2
TCGA-2J-AABI-01A,-61.0091020407766,53.547840547231,-87.7698750479385,2
TCGA-2J-AABK-01A,-54.7001038716488,59.3858422287214,-89.1132582193655,2
TCGA-2J-AABP-01A,-65.5982844680611,61.561274764136,-85.6398698698892,2
TCGA-2J-AABR-01A,-63.837482448419,61.1451762394203,-91.379743433407,2
TCGA-2J-AABT-01A,-65.1507153502402,61.0688888522151,-85.5992078024074,2
TCGA-2J-AABV-01A,-61.7100089740201,61.2943829878932,-89.47012608293,2
TCGA-2L-AAQA-01A,-60.0930911718171,52.471806763256,-89.2337676800332,2
TCGA-2L-AAQE-01A,-55.1704009559334,55.6852915393837,-85.5781726077758,2
TCGA-2L-AAQI-01A,-63.2801052101901,59.232879771344,-90.7436059298483,2
TCGA-2L-AAQJ-01A,-60.5062972665102,56.5896335808178,-86.7297881894353,2
TCGA-2L-AAQL-01A,-56.4061650071754,59.5834324278191,-90.0351782881742,2
TCGA-2L-AAQM-01A,-65.2586861415686,59.5118223057459,-84.9895469106902,2
TCGA-3A-A9I5-01A,-62.6644415076758,57.3115563215334,-87.4148057694907,2
TCGA-3A-A9I9-01A,-60.3187419409896,53.3431378218014,-88.294266265254,2
TCGA-3A-A9IH-01A,-60.2206938064238,56.5190084942112,-86.7060665568305,2
TCGA-3A-A9IJ-01A,-65.8324620352965,59.640148091153,-85.2965506868838,2
TCGA-3A-A9IL-01A,-63.8419708114572,58.866266786801,-85.3852311740084,2
TCGA-3A-A9IN-01A,-65.6387815041258,59.7254697537703,-85.279105098248,2
TCGA-3A-A9IO-01A,-63.8015828975602,60.6039735281914,-85.2376389289556,2
TCGA-3A-A9IR-01A,-63.5767168239956,60.7103233205651,-84.3339349366419,2
TCGA-3A-A9IS-01A,-65.1661592716063,59.2667415443054,-84.7849819406552,2
TCGA-3A-A9IV-01A,-66.3204170914063,59.0333950025344,-84.2114628160786,2
TCGA-3E-AAAY-01A,-62.5602767404484,61.5407843068032,-91.1544000993981,2
TCGA-3E-AAAZ-01A,-63.8285636364142,58.7156646959362,-85.2769460537483,2
TCGA-F2-6880-01A,-64.1773506145549,60.5339941355967,-88.6043552889655,2
TCGA-F2-A7TX-01A,-62.7041741605676,61.2139784214814,-85.6792190637301,2
TCGA-FB-A4P6-01A,-65.2077968982264,60.4727132966686,-88.8354083803151,2
TCGA-FB-A5VM-01A,-62.6426649434499,59.2456939294045,-91.7396151580084,2
TCGA-FB-A78T-01A,-56.1917306798854,57.4302132324527,-87.3764250587451,2
TCGA-FB-AAPP-01A,-54.1543241370094,57.741909589346,-84.8478618768319,2
TCGA-FB-AAPQ-01A,-60.3067496607487,51.5575620571546,-88.7022598568878,2
TCGA-FB-AAPU-01A,-54.7016675151517,57.9259902089322,-86.1869188814881,2
TCGA-FB-AAPY-01A,-53.7140615886618,57.4691269789607,-85.3010985102743,2
TCGA-FB-AAPZ-01A,-57.2081872944593,57.4845127326253,-89.3500148261412,2
TCGA-FB-AAQ0-01A,-52.3550058062118,59.3804879745007,-88.5936610210896,2
TCGA-FB-AAQ1-01A,-55.3452026433753,58.5338869640815,-87.4827702283405,2
TCGA-FB-AAQ2-01A,-62.2432180701555,57.4860095940953,-86.6915044200344,2
TCGA-FB-AAQ3-01A,-51.9154756434285,59.5010713538615,-88.7779458579274,2
TCGA-FB-AAQ6-01A,-53.0974151425041,58.6346867912656,-87.0693483590527,2
TCGA-H6-A45N-01A,-63.0014164773707,60.4431142861593,-91.7968685761648,2
TCGA-H8-A6C1-01A,-53.5715250698034,59.4746707906774,-88.987989200764,2
TCGA-HV-A5A3-01A,-54.2053386338684,55.3910901634315,-84.464482040471,2
TCGA-HV-A5A4-01A,-51.221192582383,59.8536273023156,-89.3715016193113,2
TCGA-HV-A5A5-01A,-60.69152770243,58.1844408970716,-92.9705285578373,2
